Variable:,tasmin
Country:,Mauritania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.36,15.01,16.45,20.29,22.92,26.14,25.95,25.77,24.42,21.70,17.07,12.46
1902,12.82,14.99,16.90,20.42,23.67,25.67,26.21,26.05,24.42,22.37,18.46,13.06
1903,12.34,15.13,17.39,19.87,23.21,25.58,25.82,25.14,24.13,22.75,17.91,12.97
1904,12.36,14.14,16.76,19.76,23.18,25.65,25.92,25.66,24.60,22.39,18.16,13.51
1905,12.71,13.70,16.86,20.24,23.01,25.65,26.19,25.27,24.39,22.29,17.49,13.57
1906,13.10,13.74,17.65,20.07,23.14,25.75,25.56,24.74,24.47,22.30,17.78,12.72
1907,11.98,13.34,16.11,19.08,22.60,24.88,26.15,25.13,24.52,22.04,17.17,13.12
1908,12.72,14.22,17.03,20.08,23.68,25.92,26.15,25.09,24.75,22.56,18.27,14.16
1909,12.51,14.62,17.82,20.14,23.67,25.27,25.86,25.21,24.29,22.45,17.91,13.79
1910,11.85,14.46,17.14,19.59,23.15,25.62,25.59,25.26,24.69,22.54,18.72,13.77
1911,11.94,14.09,16.05,20.05,22.85,25.10,25.82,25.39,24.82,22.69,17.51,13.50
1912,12.53,15.44,17.74,20.04,23.65,25.96,25.78,25.25,24.49,21.97,17.52,13.41
1913,12.92,14.74,16.51,19.85,22.76,26.01,26.31,25.67,24.39,22.36,17.47,13.70
1914,12.61,13.84,17.36,19.90,23.95,25.49,25.73,25.08,24.10,22.21,17.54,12.95
1915,12.41,13.84,16.85,19.30,23.28,25.56,26.20,25.45,24.39,22.25,17.55,13.73
1916,11.96,13.42,16.27,18.87,22.77,25.29,25.87,25.13,23.81,21.92,17.10,13.69
1917,12.89,13.72,16.28,18.88,22.48,24.89,26.27,25.47,24.08,21.20,16.35,13.26
1918,12.88,13.24,15.51,19.02,22.90,26.01,25.80,24.73,23.94,21.71,17.02,13.62
1919,13.04,15.61,17.81,19.52,23.26,25.97,25.95,25.87,24.59,22.62,18.41,13.43
1920,12.70,13.56,16.51,20.17,22.89,25.51,25.46,25.11,24.04,22.24,17.36,13.66
1921,13.09,14.09,16.42,19.77,23.17,25.58,25.85,25.53,24.43,22.30,17.22,13.06
1922,12.23,14.43,16.35,19.55,23.15,24.95,25.67,24.84,23.51,21.88,17.53,13.08
1923,11.59,14.38,16.77,18.95,23.21,25.17,25.87,25.57,24.55,23.08,17.92,14.64
1924,12.99,13.57,17.68,20.05,23.94,25.33,25.88,25.43,24.47,21.65,17.51,12.85
1925,11.43,14.03,16.31,19.71,23.55,25.41,25.87,25.45,24.20,21.57,17.57,15.04
1926,13.94,15.00,16.99,20.27,23.32,25.97,26.16,25.82,24.93,23.01,16.67,13.73
1927,11.97,13.64,17.49,19.96,23.61,25.32,25.78,24.89,23.99,22.36,17.89,13.69
1928,11.10,13.26,17.20,19.46,23.03,26.13,26.50,25.39,24.42,22.18,16.84,12.88
1929,12.87,14.07,16.23,20.22,21.96,24.94,25.66,24.78,23.76,22.02,16.76,12.94
1930,11.62,13.30,15.81,19.15,22.67,24.88,25.67,25.31,24.77,22.58,18.54,13.54
1931,12.98,14.24,17.14,20.21,23.59,25.34,25.99,26.07,24.10,23.09,17.85,13.47
1932,12.73,14.14,16.41,20.33,23.06,25.88,25.63,25.14,24.24,22.35,17.63,12.95
1933,13.15,14.96,17.19,20.28,24.00,25.46,25.74,25.42,23.77,21.72,16.20,11.84
1934,11.95,14.04,16.13,20.15,23.56,25.81,26.15,25.33,25.00,22.50,17.81,14.06
1935,13.21,13.92,17.75,21.13,23.58,26.16,26.11,25.13,25.22,21.88,18.15,15.39
1936,14.32,15.09,17.64,20.83,22.69,25.77,25.79,25.23,25.07,22.52,17.41,14.09
1937,12.84,15.38,17.43,20.20,23.59,26.07,26.34,25.62,24.61,22.36,18.86,14.46
1938,12.81,15.57,17.37,20.28,24.08,26.65,25.99,25.54,24.22,22.44,18.24,13.33
1939,13.19,13.88,16.81,20.24,23.50,26.09,26.16,25.31,24.71,22.33,18.03,14.16
1940,12.84,14.70,17.76,19.83,23.50,26.14,26.04,25.80,24.61,21.98,17.69,13.44
1941,13.32,14.95,17.03,19.58,23.41,25.53,26.07,25.75,24.52,23.75,18.22,13.13
1942,11.75,13.86,17.16,20.69,24.07,25.97,25.78,24.83,24.75,21.97,18.05,13.30
1943,11.93,14.07,16.81,20.82,24.64,25.96,25.98,25.25,24.20,22.77,17.35,13.19
1944,12.72,15.14,16.43,20.69,24.53,26.47,26.65,25.59,24.57,22.92,18.96,13.26
1945,13.01,15.16,17.38,21.78,24.08,26.08,26.15,24.90,24.50,22.57,18.38,14.83
1946,12.17,14.14,17.53,19.91,23.69,25.79,26.13,25.02,24.53,22.23,18.11,13.07
1947,12.32,14.58,18.64,21.13,23.50,25.92,26.11,25.42,24.67,22.66,18.08,13.87
1948,12.31,14.79,17.93,19.31,23.75,25.54,25.92,25.41,24.61,22.36,18.10,13.46
1949,12.32,14.27,16.12,20.72,23.25,25.96,26.01,25.74,24.49,22.97,18.00,14.69
1950,11.97,14.63,18.01,19.93,23.65,26.61,26.01,24.44,23.76,21.69,18.08,13.10
1951,12.00,14.10,17.54,20.63,23.06,26.25,25.77,25.28,24.13,20.90,17.73,12.62
1952,10.73,13.64,17.48,18.74,23.11,26.58,25.48,25.14,23.18,21.94,18.42,12.93
1953,14.53,14.14,15.83,20.65,24.10,24.88,25.31,25.69,24.14,22.05,18.52,13.54
1954,12.14,13.09,16.53,18.96,24.25,25.32,25.31,24.67,24.10,22.43,18.28,13.47
1955,13.36,15.48,17.43,20.19,24.32,25.52,25.02,24.75,24.04,22.11,18.70,13.42
1956,13.09,14.30,16.00,19.05,23.76,25.62,25.40,24.67,23.43,21.80,17.81,12.51
1957,11.50,14.16,17.09,19.32,22.27,25.33,25.19,24.96,24.20,21.83,17.90,13.88
1958,13.41,15.39,16.76,20.32,23.81,25.45,25.30,24.89,24.49,21.40,17.79,12.94
1959,12.88,13.80,16.98,20.84,23.31,26.10,25.76,24.98,23.86,22.45,17.34,12.64
1960,12.33,15.85,16.30,19.34,23.57,25.48,25.45,25.62,23.92,22.50,18.19,12.09
1961,12.45,14.13,17.93,21.10,25.26,25.85,26.63,25.81,24.66,22.65,17.98,13.76
1962,13.67,14.90,17.09,19.93,23.96,25.73,26.31,25.17,24.38,23.22,19.19,14.17
1963,14.15,15.75,17.17,19.60,22.56,25.70,26.08,25.09,24.28,21.55,18.07,12.71
1964,12.89,15.22,18.41,19.33,24.69,25.37,25.70,24.74,23.62,21.84,17.22,13.61
1965,11.63,14.75,17.17,18.87,23.77,25.89,25.57,24.76,23.36,21.80,17.91,12.98
1966,13.17,15.46,17.08,20.39,23.59,26.37,25.79,26.01,24.11,20.87,17.16,13.89
1967,12.74,14.41,16.60,18.79,23.98,25.42,25.98,25.09,23.54,21.76,17.56,11.54
1968,10.68,14.59,15.35,18.92,22.45,24.68,25.19,25.27,24.41,21.74,17.70,14.05
1969,14.36,16.54,18.56,18.50,23.39,25.24,25.35,24.91,23.69,22.06,17.53,13.50
1970,12.97,15.70,16.94,20.04,23.30,25.62,25.93,25.20,24.38,22.15,17.77,12.91
1971,12.16,13.77,16.01,19.56,21.63,24.61,24.91,24.67,23.65,22.25,17.10,13.13
1972,12.21,13.48,15.90,18.95,21.95,24.10,25.50,25.55,24.20,23.30,17.55,12.95
1973,11.54,15.01,17.25,20.59,25.07,25.71,26.48,25.53,25.02,22.28,18.32,11.08
1974,11.27,14.15,15.44,18.14,23.24,26.05,25.32,25.16,24.21,20.74,16.94,13.99
1975,12.50,13.41,16.37,18.99,22.20,25.43,25.17,25.18,23.64,21.67,15.89,13.88
1976,11.32,13.03,15.97,19.69,21.98,24.79,25.63,25.51,24.29,21.65,17.53,13.02
1977,13.52,14.08,18.34,20.80,22.63,25.75,25.96,25.33,24.27,22.76,17.14,14.78
