Variable:,tasmin
Country:,Martinique
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.77,20.82,20.98,21.72,22.72,23.07,22.92,23.06,22.57,22.17,21.92,20.97
1902,20.22,20.47,20.38,21.08,22.28,22.92,22.87,22.96,22.37,21.92,22.02,21.27
1903,20.52,20.52,20.38,21.18,22.47,23.17,22.97,22.82,22.42,22.22,21.82,21.02
1904,20.22,20.02,19.93,20.68,21.98,22.62,22.57,22.42,22.22,21.72,22.07,21.12
1905,20.33,19.97,20.13,21.38,21.88,22.87,22.87,22.96,22.47,22.12,22.22,20.97
1906,20.13,20.17,20.33,21.03,22.18,22.62,22.62,22.86,22.32,22.22,22.17,20.63
1907,19.83,19.68,19.83,20.68,21.63,22.62,22.72,22.62,22.27,22.02,21.92,21.12
1908,20.27,19.98,19.99,20.68,21.68,22.72,22.82,22.86,22.42,21.92,21.77,21.13
1909,20.03,19.92,20.58,20.78,22.07,22.42,22.57,22.52,22.32,22.02,21.72,20.63
1910,19.83,19.68,19.84,20.58,21.88,22.62,22.67,22.72,22.12,22.07,22.17,21.23
1911,19.93,19.78,19.94,20.78,21.68,22.92,22.43,22.82,22.47,22.12,22.07,21.22
1912,20.52,20.38,20.23,21.08,22.22,22.72,22.87,22.82,22.32,22.02,21.92,21.22
1913,20.07,19.68,19.93,20.54,22.38,22.32,22.17,22.32,22.22,21.62,21.62,20.53
1914,20.08,20.18,20.43,20.78,21.68,22.42,22.37,22.32,22.17,21.82,21.87,21.37
1915,20.42,20.22,20.78,21.13,22.22,22.92,22.82,23.02,22.52,22.37,22.17,21.27
1916,20.07,20.08,20.13,20.98,22.22,22.82,22.67,22.66,22.22,21.92,21.67,20.53
1917,19.93,19.78,19.89,20.78,22.17,22.87,22.82,22.52,22.32,22.32,21.97,20.83
1918,19.93,19.98,20.04,20.68,21.78,22.87,22.77,22.96,22.67,22.27,21.92,20.87
1919,20.02,20.22,20.23,20.78,22.22,22.92,22.57,22.72,22.22,21.82,21.52,21.02
1920,20.03,20.08,20.33,20.98,22.02,22.48,22.37,22.42,22.02,21.82,21.72,20.82
1921,20.27,20.38,20.33,20.54,22.08,22.72,22.27,22.52,22.37,21.92,21.97,21.02
1922,20.13,20.08,19.99,20.48,21.78,22.52,22.57,22.52,22.32,22.12,21.77,20.67
1923,19.93,19.78,19.93,20.68,22.42,22.62,22.67,22.92,22.57,22.27,22.27,20.97
1924,20.22,20.28,20.68,21.42,22.52,22.82,22.77,22.86,22.57,22.07,21.77,20.87
1925,19.92,19.68,19.93,21.03,22.08,22.72,22.57,22.76,22.52,22.27,22.07,21.57
1926,20.57,20.52,20.78,21.38,22.62,23.36,23.02,22.86,22.47,22.12,22.17,21.17
1927,20.13,19.78,20.38,20.78,22.07,22.72,22.57,22.72,22.57,22.17,22.27,21.27
1928,20.32,20.32,20.38,21.03,22.18,22.82,22.67,22.66,22.32,22.02,22.17,21.17
1929,20.22,20.32,20.03,20.68,21.48,22.52,22.67,22.66,22.22,22.12,21.87,20.92
1930,19.97,19.88,20.23,20.88,22.22,22.72,22.52,22.72,22.32,22.27,22.22,21.32
1931,20.62,20.42,21.28,21.72,22.92,23.36,23.06,23.02,22.52,22.37,22.22,21.32
1932,20.37,20.13,20.88,21.72,22.47,23.32,22.97,23.06,23.07,22.57,22.57,21.62
1933,20.42,19.83,20.48,21.27,22.42,22.97,22.92,22.86,22.42,22.22,22.07,20.93
1934,20.03,19.98,20.13,21.23,22.37,23.12,22.77,22.87,22.47,22.22,21.98,21.27
1935,20.13,20.02,19.78,20.77,21.72,22.87,22.52,22.36,22.07,21.97,21.97,20.82
1936,20.27,20.17,20.63,21.27,22.57,23.02,22.56,22.66,22.57,21.97,21.67,20.63
1937,19.97,19.92,20.73,21.22,22.67,23.32,22.92,23.16,23.02,22.57,22.57,21.48
1938,19.97,19.73,19.92,20.13,21.67,22.52,22.62,22.96,22.72,22.47,22.07,21.42
1939,19.82,19.42,20.03,20.37,21.72,22.42,22.72,23.06,23.07,22.57,22.57,21.77
1940,20.78,20.92,20.98,21.78,23.12,23.36,23.26,23.16,23.37,22.97,22.57,21.47
1941,20.97,21.62,21.53,22.07,23.22,23.17,22.92,23.22,22.87,22.77,22.57,21.62
1942,21.32,21.38,21.37,21.97,22.82,23.47,23.06,23.12,22.97,22.87,22.92,21.57
1943,20.62,20.52,20.28,21.37,21.67,22.77,22.66,22.76,22.97,22.57,22.32,21.52
1944,20.67,20.53,20.48,21.52,22.23,22.82,23.02,23.32,22.72,22.77,22.37,21.37
1945,20.03,19.92,20.23,20.68,22.08,22.82,22.86,22.92,22.57,22.17,21.97,21.17
1946,20.42,19.92,20.28,20.93,21.82,22.67,22.66,22.76,22.57,22.42,22.37,21.67
1947,20.42,20.97,21.03,21.12,22.38,23.12,22.66,22.96,22.72,22.72,22.42,21.37
1948,20.87,20.32,20.42,20.87,23.02,23.36,22.86,22.96,22.67,22.42,22.27,21.17
1949,19.72,19.87,20.33,21.27,22.66,22.82,22.52,23.01,22.66,22.21,22.07,20.77
1950,19.57,19.92,19.83,20.67,21.72,22.56,22.46,22.76,22.71,22.21,22.22,21.02
1951,19.82,19.67,19.88,21.66,23.11,23.22,22.86,22.96,22.77,22.22,22.32,21.37
1952,20.37,20.27,20.37,21.67,22.72,23.06,22.56,22.86,22.76,22.87,21.87,20.48
1953,20.02,20.02,20.38,21.03,22.07,22.82,23.16,22.81,22.77,21.87,22.27,21.27
1954,19.87,19.77,20.42,20.97,22.11,22.72,22.32,22.92,22.57,21.92,21.17,20.67
1955,19.47,20.57,19.47,20.27,22.02,22.66,22.26,23.02,22.46,22.27,22.27,21.37
1956,20.57,20.57,20.63,21.22,22.02,22.92,22.66,22.56,22.42,22.01,21.97,21.57
1957,20.27,20.52,19.78,20.47,21.92,23.16,23.41,23.46,23.16,22.37,22.57,21.77
1958,20.37,20.42,21.43,22.62,23.42,23.82,23.36,23.52,23.46,22.87,22.42,21.77
1959,20.27,21.02,21.48,22.02,22.52,22.86,22.82,22.86,22.96,22.47,21.67,22.12
1960,20.62,20.32,20.82,21.37,22.66,23.41,22.86,23.02,22.36,22.51,22.17,21.17
1961,20.87,20.62,20.92,21.67,22.92,23.36,23.22,23.26,22.76,22.52,21.87,21.87
1962,21.17,20.12,20.38,21.57,22.32,23.26,23.31,23.12,23.12,22.67,22.27,21.37
1963,20.96,20.87,20.97,21.67,22.22,23.26,23.36,23.76,23.32,22.82,22.37,21.82
1964,20.22,21.22,21.12,21.87,22.37,23.22,23.12,23.22,22.96,22.32,21.87,20.37
1965,20.12,20.22,21.03,20.53,22.47,22.76,23.42,23.12,22.92,22.57,22.57,21.72
1966,20.92,21.08,21.38,21.72,23.02,23.22,23.37,23.37,22.71,22.67,22.63,21.72
1967,21.38,20.78,20.33,20.88,22.63,22.98,22.87,22.73,22.97,22.47,22.12,20.72
1968,20.22,19.88,20.22,20.92,22.22,22.86,22.72,22.92,22.72,22.26,21.97,21.27
1969,20.46,19.87,21.47,22.21,23.72,23.56,23.16,22.86,22.91,22.12,22.62,21.61
1970,21.01,20.62,20.62,21.47,22.72,23.36,23.06,22.80,22.56,22.51,21.91,22.12
1971,20.51,20.07,20.12,20.97,21.72,22.76,22.46,22.46,22.06,21.66,21.72,20.46
1972,20.42,20.22,20.82,21.17,22.21,23.16,23.22,22.91,22.81,22.67,22.17,21.42
1973,21.02,20.27,21.12,21.43,22.47,23.51,23.16,23.16,22.96,22.61,22.31,20.57
1974,21.32,21.02,20.97,21.07,21.67,22.92,22.61,22.76,22.56,22.41,22.81,20.81
1975,20.47,20.52,20.62,20.77,22.12,23.02,22.81,22.86,22.66,22.11,21.87,21.22
1976,20.07,20.22,20.12,20.87,22.22,22.82,22.76,23.16,23.06,22.97,22.77,21.17
1977,20.37,20.47,21.02,21.42,22.82,23.26,22.71,23.46,23.07,22.87,22.82,21.67
1978,20.17,20.77,21.37,22.31,22.92,23.22,23.26,23.26,23.02,22.72,22.62,21.37
1979,19.87,20.72,21.08,22.21,23.17,24.02,23.62,23.56,22.96,23.17,22.92,22.07
1980,21.22,21.23,20.98,21.97,23.67,23.96,23.81,23.81,23.62,22.96,22.47,22.07
1981,21.32,21.82,21.72,22.47,23.57,23.62,23.36,23.36,22.56,22.62,22.87,22.67
1982,21.07,21.42,21.02,21.63,23.22,23.62,23.22,22.86,22.97,22.17,22.37,21.57
1983,21.42,21.02,22.38,22.17,23.57,24.02,24.06,23.76,23.86,22.52,22.17,21.77
1984,20.97,21.18,21.13,21.63,22.47,23.42,23.16,23.22,22.87,22.36,22.67,21.22
1985,19.72,20.12,20.83,21.23,22.96,23.42,23.26,23.22,22.96,22.61,22.52,21.72
1986,20.72,19.87,20.83,22.08,22.77,23.52,23.16,23.52,23.22,22.62,22.37,21.47
1987,20.57,20.67,21.32,22.97,23.62,24.26,24.16,24.16,23.46,23.62,23.51,23.02
1988,21.51,21.82,21.62,22.12,23.28,23.86,23.92,23.76,23.16,23.07,22.97,21.53
1989,21.12,21.18,20.52,21.32,21.92,22.82,23.42,23.52,23.47,23.12,22.28,21.78
1990,21.78,20.47,20.68,21.93,23.27,23.96,23.52,23.66,23.36,23.47,22.97,21.67
1991,21.88,21.67,21.88,22.23,23.07,24.12,23.77,23.61,23.12,22.21,22.57,20.97
1992,21.02,21.32,21.12,22.33,23.58,23.82,23.36,23.16,22.77,22.41,22.67,21.91
1993,21.77,20.82,21.58,22.68,23.82,24.22,23.76,23.61,23.16,22.76,22.32,21.62
1994,21.02,20.92,20.82,21.57,22.97,23.26,23.26,23.21,23.22,22.77,22.62,22.02
1995,20.52,21.17,21.28,22.08,23.27,23.92,23.92,23.82,23.92,22.87,22.87,22.17
1996,21.12,21.68,21.88,22.32,22.77,23.42,23.72,23.42,23.62,23.22,22.92,21.97
1997,21.27,22.02,20.72,21.37,22.87,23.92,23.52,23.72,24.12,23.87,23.27,22.58
1998,22.08,21.98,22.48,23.23,23.73,24.32,24.06,24.67,24.21,23.81,23.47,22.66
1999,21.72,20.83,21.48,22.08,23.27,24.16,23.96,23.76,23.66,23.21,23.47,22.46
2000,21.82,21.42,20.83,22.27,22.72,23.52,23.62,23.81,23.27,22.97,22.97,22.47
2001,21.02,21.02,21.28,21.87,23.87,23.91,23.72,24.32,23.37,23.37,22.87,23.42
2002,22.32,21.22,22.02,22.57,23.57,24.22,24.02,23.92,23.87,23.37,22.92,22.57
2003,21.82,22.22,21.52,23.27,23.57,23.62,24.22,23.96,23.67,23.57,23.82,22.73
2004,21.67,21.12,21.98,22.72,22.72,23.66,24.12,24.12,23.86,23.07,22.77,22.27
2005,21.42,21.38,22.08,23.12,23.92,24.06,23.96,24.16,24.01,23.47,22.67,22.07
