Variable:,tasmin
Country:,"New Caledonia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.21,21.59,21.78,21.90,19.71,17.16,15.98,15.90,18.17,19.63,18.92,20.31
1902,22.41,22.39,21.18,19.30,17.31,16.56,15.58,14.90,15.87,17.93,19.02,22.11
1903,22.21,22.99,21.78,20.40,18.91,17.46,16.88,16.20,16.97,19.03,19.62,21.11
1904,21.41,21.59,21.38,20.40,17.41,16.16,15.88,15.80,15.77,16.83,18.82,19.91
1905,20.81,21.89,20.38,19.00,18.21,17.06,15.28,15.90,16.57,17.43,19.02,22.61
1906,22.31,20.99,21.08,20.30,18.21,16.36,15.78,16.00,17.37,18.33,20.52,21.61
1907,23.01,21.89,23.48,20.70,18.51,17.96,16.28,15.50,16.17,18.83,20.32,22.01
1908,21.61,21.89,21.68,20.30,19.21,17.16,15.78,16.40,17.47,17.03,19.72,20.41
1909,22.51,22.79,20.88,20.70,18.41,17.86,17.88,16.70,17.87,18.53,20.72,21.71
1910,23.01,23.79,23.77,21.60,19.51,18.36,17.68,16.70,17.67,19.93,21.02,22.11
1911,21.71,21.89,21.58,20.20,18.51,17.16,15.98,15.90,16.47,18.03,19.52,20.81
1912,21.71,21.89,21.58,20.20,18.51,17.16,15.98,15.90,16.47,18.03,19.52,20.81
1913,21.71,21.89,21.58,20.20,18.51,17.16,15.98,15.90,16.47,18.03,19.52,20.81
1914,21.71,21.89,21.58,20.20,18.51,17.16,15.98,15.90,16.47,18.03,19.52,20.81
1915,22.18,22.52,21.71,20.43,18.64,17.35,16.36,16.22,16.47,18.42,19.99,21.18
1916,21.76,22.27,21.89,20.59,18.64,17.55,16.28,16.08,16.79,18.54,19.87,21.16
1917,21.85,21.96,21.32,20.42,18.58,17.16,16.11,16.04,16.92,18.42,19.74,20.81
1918,21.85,21.89,21.44,20.32,18.39,17.16,15.77,15.78,16.47,18.30,19.74,20.67
1919,21.66,22.02,21.50,20.16,18.51,17.03,15.99,15.85,16.57,18.21,19.35,20.69
1920,22.08,22.11,21.68,20.20,18.09,16.83,16.09,16.27,16.57,18.35,19.97,21.03
1921,22.08,22.11,21.68,20.20,18.61,17.28,16.24,16.52,16.35,18.41,19.67,20.88
1922,21.96,21.67,21.38,19.76,18.07,16.66,15.82,16.20,16.69,17.84,19.48,21.08
1923,21.71,21.89,22.03,20.03,18.07,16.64,16.52,16.17,16.37,18.03,19.54,20.76
1924,21.54,21.65,21.68,20.39,18.80,17.40,16.32,16.29,16.37,17.85,19.68,21.03
1925,21.74,21.84,21.54,20.62,18.41,17.06,16.08,16.19,16.96,18.55,19.82,21.28
1926,21.54,22.38,22.03,20.13,18.66,17.26,16.08,16.10,16.77,17.93,19.16,20.56
1927,21.72,21.81,21.54,20.34,18.39,16.71,16.10,15.93,16.59,17.80,19.08,20.56
1928,21.44,21.74,21.48,20.67,18.70,17.10,16.18,16.00,16.27,17.93,19.16,20.56
1929,21.91,22.10,21.86,20.10,18.09,17.16,15.83,15.72,16.32,18.20,19.48,21.11
1930,22.02,22.15,21.77,20.49,18.83,17.74,16.32,16.32,16.17,17.53,19.52,20.19
1931,21.71,22.12,21.38,19.81,18.40,17.05,16.02,15.98,16.29,18.70,20.25,21.36
1932,22.09,22.31,22.36,21.03,18.36,17.42,15.98,15.97,17.03,18.08,19.73,21.02
1933,22.12,22.14,21.94,20.05,18.35,16.73,16.05,15.38,16.40,18.35,19.27,21.60
1934,21.65,20.98,21.43,19.91,18.72,17.50,16.08,15.84,16.80,18.23,19.57,21.18
1935,22.33,22.40,22.12,20.56,18.28,16.82,15.69,15.77,16.62,18.36,18.91,21.11
1936,21.40,21.30,21.47,20.71,18.90,17.11,15.38,15.90,16.20,17.83,19.43,20.51
1937,22.03,21.94,21.58,19.63,17.75,17.59,15.76,15.97,16.00,17.68,19.64,20.74
1938,21.65,21.57,21.98,20.20,18.70,16.91,15.78,15.78,16.10,18.16,19.71,20.89
1939,21.29,21.59,22.05,20.54,19.00,17.46,15.47,15.25,15.65,17.15,19.29,20.20
1940,21.44,21.43,21.80,19.67,18.51,16.99,15.52,15.52,15.95,17.65,18.54,21.48
1941,21.77,23.10,22.29,20.32,17.92,16.40,15.88,15.08,16.76,18.05,19.84,21.56
1942,21.95,22.43,22.92,21.60,18.66,17.94,17.05,16.44,16.69,19.48,19.99,21.22
1943,22.09,21.84,22.57,20.37,19.00,17.49,15.73,15.37,15.91,19.10,20.50,21.29
1944,22.87,22.47,21.56,20.57,18.63,16.70,16.29,16.34,16.36,17.80,20.04,21.01
1945,21.31,21.29,21.62,20.85,18.04,16.77,15.78,15.91,16.06,17.25,19.23,20.40
1946,23.20,22.90,22.08,21.38,18.56,17.46,15.44,15.88,17.17,18.11,19.29,21.52
1947,22.91,22.17,21.91,21.30,18.78,16.88,14.71,16.66,17.46,18.22,19.79,21.96
1948,22.50,21.26,21.95,20.73,18.85,17.25,16.82,16.60,17.25,18.84,20.30,20.98
1949,21.50,22.58,22.49,20.14,18.59,18.99,17.60,15.75,17.12,18.52,19.42,21.81
1950,22.51,22.57,21.69,20.22,19.59,18.83,16.95,17.31,16.59,18.09,19.40,21.25
1951,21.57,21.79,21.11,19.60,17.12,16.15,15.86,15.69,16.19,17.51,19.86,21.57
1952,21.72,21.74,21.79,20.38,18.32,16.96,15.68,15.29,15.81,18.30,19.82,20.75
1953,20.84,21.58,20.99,19.17,18.30,16.18,14.74,16.09,16.51,18.71,20.10,20.66
1954,21.97,21.53,20.81,19.60,18.34,17.01,16.44,15.06,16.51,17.13,19.33,20.36
1955,20.96,21.59,20.87,19.83,18.73,16.11,14.83,15.24,17.48,17.84,19.98,21.55
1956,21.51,22.05,21.36,19.99,18.22,16.90,15.06,15.17,16.87,18.10,18.74,21.09
1957,21.40,21.96,20.58,19.68,17.41,15.19,14.72,15.90,15.67,17.47,18.97,20.55
1958,21.11,22.29,21.81,20.50,18.01,17.87,15.22,15.90,16.95,17.32,18.33,20.47
1959,21.55,21.24,20.87,19.44,16.73,16.23,16.34,15.39,16.49,17.52,20.31,21.96
1960,20.98,21.01,21.04,19.31,18.44,16.69,15.56,15.77,17.08,17.91,19.06,19.72
1961,21.33,22.45,21.84,20.01,18.17,17.51,16.27,15.74,17.09,18.46,20.37,21.50
1962,22.15,21.90,20.97,20.10,19.61,16.91,16.43,16.02,16.08,18.12,18.80,20.56
1963,21.96,22.13,21.68,19.81,18.68,17.48,15.49,16.03,15.88,16.98,18.94,20.14
1964,21.51,22.30,21.94,20.62,18.37,17.26,16.09,16.27,16.20,18.09,20.19,20.06
1965,21.02,21.85,20.74,19.22,17.24,16.18,15.47,14.69,15.86,16.71,18.34,20.60
1966,21.02,21.85,21.10,19.71,16.79,16.13,14.89,14.73,15.48,17.09,18.65,19.85
1967,21.53,21.95,22.02,20.06,18.47,17.24,16.11,17.08,16.78,18.36,18.88,20.65
1968,21.32,21.58,21.21,19.11,18.04,16.33,15.37,15.42,15.58,17.98,18.97,20.77
