Variable:,tasmin
Country:,"Norfolk Island"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.30,19.30,19.40,18.40,16.60,14.80,13.40,13.30,14.20,15.40,15.90,17.40
1902,19.40,19.70,19.20,17.30,15.50,14.50,13.20,12.80,13.20,14.70,15.90,18.20
1903,19.30,19.90,19.40,17.70,16.20,14.90,13.80,13.40,13.70,15.30,16.20,17.80
1904,19.00,19.30,19.30,17.70,15.60,14.30,13.40,13.20,13.20,14.20,15.80,17.20
1905,18.80,19.40,18.90,17.10,16.00,14.80,13.10,13.30,13.50,14.50,15.90,18.40
1906,19.30,19.00,19.10,17.70,15.90,14.40,13.30,13.30,13.90,14.90,16.60,18.00
1907,19.70,19.50,20.20,17.90,16.10,15.10,13.50,13.10,13.30,15.10,16.60,18.20
1908,19.20,19.50,19.40,17.70,16.40,14.80,13.30,13.50,13.90,14.30,16.20,17.50
1909,19.50,19.90,19.10,17.90,16.10,15.10,14.20,13.60,14.10,15.00,16.70,18.10
1910,19.80,20.40,20.30,18.20,16.50,15.30,14.10,13.60,14.00,15.60,16.80,18.20
1911,19.20,19.40,19.40,17.80,16.10,14.80,13.40,13.30,13.50,14.70,16.10,17.60
1912,19.00,19.40,19.20,17.60,15.60,14.70,13.30,13.10,13.50,14.70,16.40,17.80
1913,19.30,19.60,19.50,17.60,15.90,14.50,13.40,13.20,13.60,14.90,16.10,17.30
1914,19.50,19.30,19.40,17.80,15.90,14.50,13.30,13.20,13.60,14.70,16.50,17.80
1915,20.30,21.10,19.40,18.10,16.30,15.10,14.50,14.20,13.90,16.00,17.50,18.60
1916,19.30,20.60,20.20,18.80,16.10,15.70,14.20,13.70,14.30,16.10,17.10,18.70
1917,19.70,19.40,18.70,18.10,16.00,14.60,13.80,13.50,14.80,16.00,16.80,17.70
1918,19.40,19.40,18.90,17.70,15.60,14.80,12.60,12.90,13.50,15.40,16.60,17.10
1919,19.00,19.80,19.00,17.20,16.00,14.30,13.30,13.00,13.60,15.30,15.70,17.40
1920,19.30,19.40,19.00,17.30,15.40,14.70,14.00,13.00,13.50,15.70,17.30,18.10
1921,19.50,19.50,19.20,17.70,16.20,15.20,14.30,13.40,14.10,14.90,16.20,18.30
1922,19.60,19.00,19.20,17.50,16.10,15.10,13.80,13.80,13.40,15.60,16.70,18.40
1923,19.00,19.40,19.20,17.30,16.10,14.80,13.20,12.90,13.50,14.60,16.00,18.20
1924,19.00,19.40,19.30,17.80,15.80,14.70,13.40,13.30,13.50,14.80,16.10,17.20
1925,18.90,19.20,18.90,17.30,15.90,14.70,13.10,13.00,13.10,14.60,16.00,17.70
