Variable:,tasmin
Country:,Nepal
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.71,-2.72,2.16,6.89,10.27,14.93,15.47,14.45,12.48,8.34,1.45,-2.21
1902,-2.18,-1.35,4.11,6.91,10.38,13.72,14.37,14.89,12.30,6.85,0.63,-2.99
1903,-3.32,-2.80,1.50,6.52,10.45,14.07,16.03,14.31,12.69,7.07,0.65,-2.88
1904,-3.39,-1.87,2.22,7.55,9.67,13.03,13.75,14.00,12.11,7.02,0.42,-2.38
1905,-4.78,-3.46,-0.24,4.41,10.16,14.91,14.59,14.57,12.62,7.40,1.62,-2.56
1906,-4.06,-3.32,0.70,7.15,11.58,13.25,14.62,14.04,12.34,7.31,1.77,-1.76
1907,-1.82,-3.28,-0.03,4.94,9.31,13.25,15.51,14.29,12.99,7.89,1.50,-3.00
1908,-3.93,-1.91,2.43,8.63,10.68,14.29,14.37,13.98,12.48,7.14,0.67,-3.16
1909,-2.89,-2.73,3.33,5.42,10.25,11.55,14.00,14.07,12.33,7.50,2.36,-2.33
1910,-3.49,-2.25,2.42,6.47,10.32,12.30,14.01,14.10,12.46,6.60,0.33,-3.01
1911,-2.06,-2.32,0.66,6.54,11.07,12.41,15.85,14.64,11.91,7.18,-0.22,-3.30
1912,-3.01,-1.09,1.82,5.96,10.23,14.04,14.45,14.07,11.89,7.05,0.27,-2.99
1913,-3.15,-2.30,0.46,7.66,8.86,10.98,14.36,14.48,12.80,7.56,0.44,-3.07
1914,-2.23,-1.93,1.60,5.87,9.90,12.86,14.19,14.09,12.28,6.05,1.31,-2.45
1915,-2.70,-2.74,1.66,6.63,11.31,13.32,15.08,14.54,12.70,8.77,2.14,-2.24
1916,-3.09,-2.16,4.33,7.60,10.96,11.67,13.98,14.04,12.30,7.25,0.51,-3.36
1917,-3.47,-2.32,1.44,4.76,8.03,11.95,14.02,14.06,11.72,6.70,0.46,-2.71
1918,-4.32,-1.91,2.46,5.45,11.02,11.54,15.77,14.36,12.73,7.56,1.09,-3.34
1919,-3.06,-3.06,2.82,6.01,9.88,13.45,13.86,14.20,12.00,6.91,1.07,-2.81
1920,-2.71,-2.62,1.83,6.56,8.49,13.28,14.32,14.38,12.91,8.16,1.97,-1.61
1921,-2.53,-1.99,4.48,8.25,12.40,13.14,15.09,13.91,11.90,6.17,0.73,-1.83
1922,-3.31,-1.05,3.68,7.76,11.37,12.29,14.13,13.93,11.96,6.47,1.06,-2.81
1923,-3.01,-2.68,2.79,7.72,10.44,14.99,14.42,14.11,12.43,6.50,1.18,-2.12
1924,-3.61,-1.91,4.04,7.93,9.31,15.13,14.20,14.16,11.84,7.35,0.83,-2.24
1925,-4.74,-3.20,2.58,7.47,9.70,11.88,13.59,14.48,12.35,7.14,0.37,-2.89
1926,-3.31,-1.18,1.08,4.55,9.07,14.98,14.87,14.24,12.13,6.72,-0.47,-2.48
1927,-4.03,-2.99,0.96,6.56,9.56,13.65,14.48,13.97,12.47,7.26,0.67,-1.69
1928,-3.54,-1.66,2.82,6.70,11.12,12.76,14.30,15.01,13.12,7.89,1.46,-2.29
1929,-3.32,-2.98,3.53,7.24,11.36,13.44,14.22,13.80,12.85,6.78,1.19,-3.06
1930,-4.17,-2.41,3.11,6.59,10.47,13.07,13.84,14.21,12.60,7.38,0.75,-2.59
1931,-1.91,-2.74,1.94,8.18,10.55,14.50,14.51,14.89,12.08,7.01,0.74,-1.88
1932,-1.68,-2.91,3.03,6.93,10.00,14.49,14.82,14.15,12.53,7.47,1.20,-2.43
1933,-4.71,-1.44,2.84,5.19,8.50,12.48,14.00,13.78,11.87,6.81,0.95,-2.07
1934,-3.97,-1.47,1.88,7.07,10.27,12.67,14.22,13.95,12.65,6.45,0.74,-2.18
1935,-4.28,-1.59,2.75,4.93,11.38,14.37,14.44,13.75,12.31,6.81,1.42,-2.55
1936,-4.08,-2.22,2.62,6.76,11.06,11.40,13.83,14.21,12.04,6.87,1.56,-2.19
1937,-4.00,-1.94,1.56,6.02,10.15,13.51,14.78,14.41,12.67,6.67,1.13,-2.77
1938,-3.02,-3.45,3.87,8.11,10.94,11.80,14.26,14.62,13.25,7.73,0.18,-2.29
1939,-2.38,-1.66,0.98,6.57,11.47,12.54,14.25,14.56,12.30,7.62,1.09,-1.95
1940,-3.23,-2.33,0.73,6.21,10.84,13.86,14.62,14.24,12.17,7.38,2.18,-2.35
1941,-3.29,-1.25,4.39,8.62,11.20,12.38,15.22,14.77,12.72,8.28,1.41,-0.97
1942,-3.60,-1.40,3.67,7.54,11.42,14.47,14.24,13.91,11.86,7.34,2.22,-2.49
1943,-2.11,-2.18,2.98,5.56,10.85,13.28,14.23,13.88,12.77,7.39,2.31,-1.22
1944,-3.39,-2.39,1.79,5.66,11.91,13.34,14.31,14.53,12.57,7.11,1.73,-0.86
1945,-4.21,-2.82,3.19,6.02,10.24,13.96,14.79,14.82,12.56,6.79,1.25,-3.11
1946,-2.36,-0.10,2.62,6.79,10.19,12.78,14.06,14.72,12.82,7.48,1.54,-1.67
1947,-3.65,-1.56,3.31,8.28,11.15,14.48,14.74,14.70,12.40,6.76,2.06,-1.55
1948,-2.87,-1.88,1.87,8.04,11.09,14.20,14.30,14.09,12.57,7.53,1.25,-2.35
1949,-1.87,-1.92,2.93,6.94,10.28,13.76,14.39,14.42,12.79,7.69,0.23,-3.34
1950,-2.41,-2.65,1.48,6.41,10.85,13.16,14.20,13.93,12.04,7.00,0.85,-2.53
1951,-3.86,-1.91,2.65,5.74,10.61,13.56,14.85,14.78,12.58,9.17,2.30,-2.05
1952,-2.22,-0.21,1.94,7.32,10.77,12.94,14.44,14.02,12.77,8.02,1.58,-1.95
1953,-3.87,-0.51,5.26,7.84,11.39,13.79,14.05,14.38,12.35,7.25,1.05,-0.70
1954,-4.14,-0.48,2.82,8.25,11.93,13.36,14.44,14.44,12.52,6.19,0.79,-2.41
1955,-3.32,-1.93,4.13,5.98,10.54,13.66,14.09,14.14,12.53,7.23,1.40,-2.13
1956,-3.09,-2.51,2.97,7.84,11.87,12.73,13.79,14.19,12.40,7.75,1.34,-1.52
1957,-2.66,-2.46,1.03,6.54,10.66,13.38,14.99,14.78,12.24,7.11,1.46,-1.47
1958,-1.44,-1.37,2.81,8.22,11.30,14.44,14.94,14.54,12.85,8.22,1.87,-1.22
1959,-2.63,-2.31,2.63,7.67,10.78,13.44,14.69,14.67,12.32,8.89,1.93,-1.43
1960,-3.99,-0.49,1.65,6.62,10.73,13.69,14.62,14.93,12.90,7.49,0.69,-1.72
1961,-2.33,-2.72,3.37,7.09,10.86,13.00,14.74,14.93,12.99,7.69,1.03,-4.13
1962,-4.15,-1.94,1.64,6.95,10.19,13.80,15.01,14.28,12.59,6.46,1.58,-2.05
1963,-4.93,-1.97,1.69,6.41,9.63,12.93,14.86,14.56,12.10,8.01,2.93,-2.32
1964,-3.18,-1.54,3.27,8.15,8.97,13.12,14.11,14.60,12.83,7.92,1.36,-2.11
1965,-3.26,-2.57,1.05,6.15,10.15,13.76,14.28,13.85,11.63,6.87,1.69,-3.43
1966,-3.85,-0.29,2.56,7.15,10.44,13.06,14.63,14.56,11.77,6.21,1.59,-2.42
1967,-3.63,-1.32,1.37,5.94,9.63,13.31,14.26,14.27,11.85,5.96,0.57,-1.89
1968,-3.80,-2.92,2.12,6.30,9.91,12.79,14.19,14.11,12.73,6.54,1.28,-1.91
1969,-3.14,-1.31,3.17,7.06,9.71,13.51,14.34,13.86,12.36,7.57,2.61,-2.02
1970,-3.00,-2.58,2.24,7.14,11.04,12.40,14.54,14.50,12.67,7.69,1.01,-2.40
1971,-3.56,-2.92,1.88,6.40,9.19,12.65,13.71,13.19,11.64,7.67,0.96,-2.67
1972,-2.62,-3.15,2.75,5.81,10.60,13.19,14.55,13.76,11.55,6.80,1.31,-1.65
1973,-1.96,-0.94,1.40,7.45,10.42,13.27,14.32,14.08,12.86,7.99,1.55,-2.63
1974,-3.42,-2.18,3.49,7.65,10.38,13.04,14.08,14.19,11.83,8.86,0.57,-2.55
1975,-3.82,-2.15,1.79,6.86,10.24,13.00,13.57,13.80,12.68,8.78,0.71,-2.41
1976,-3.32,-0.75,2.81,6.50,9.88,12.76,13.88,13.59,11.66,6.59,3.23,-2.28
1977,-2.74,-1.86,3.41,7.07,8.46,12.38,14.22,14.47,12.28,7.39,3.05,-1.36
1978,-4.39,-2.45,0.59,6.06,11.22,13.01,13.93,14.25,12.38,7.92,2.75,-2.02
1979,-3.26,-2.75,2.04,7.64,10.03,13.13,14.34,14.49,11.56,8.22,4.46,-0.25
1980,-3.11,-1.07,2.24,7.86,11.22,13.04,14.38,14.31,12.97,7.71,1.47,-1.32
1981,-3.08,-1.40,2.07,6.52,10.16,13.47,14.68,14.63,12.33,6.62,1.15,-3.00
1982,-2.68,-1.90,0.98,6.39,9.03,12.79,15.03,14.16,11.80,7.29,1.99,-1.18
1983,-3.74,-2.93,1.73,5.20,9.34,12.75,14.22,14.14,13.04,7.38,0.30,-2.38
