Variable:,tasmin
Country:,Nauru
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1902,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1903,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1904,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1905,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1906,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1907,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1908,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1909,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1910,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1911,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1912,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1913,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1914,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1915,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1916,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1917,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1918,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1919,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1920,24.70,24.80,24.70,24.60,24.80,24.70,24.50,24.40,23.90,24.60,24.70,24.80
1921,24.20,24.40,24.30,24.40,24.80,24.60,24.10,24.30,23.80,24.50,24.20,24.60
1922,24.00,24.50,25.00,24.70,24.10,24.80,24.00,24.70,23.70,24.50,24.10,25.20
1923,24.80,24.50,24.30,24.40,24.90,24.60,23.80,23.50,23.50,24.10,24.10,24.00
1924,23.30,24.40,23.90,24.30,24.00,24.10,23.70,24.40,24.10,24.40,24.80,25.20
