Variable:,tasmin
Country:,Poland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-8.43,-8.05,-1.78,2.56,8.13,11.75,13.90,12.70,8.39,5.96,-0.61,-2.16
1902,-1.40,-6.05,-1.58,0.57,4.67,9.86,10.73,10.53,7.44,2.99,-3.30,-7.65
1903,-5.31,-1.25,1.42,1.42,7.87,10.52,12.16,11.23,8.97,4.39,1.08,-3.73
1904,-5.64,-2.64,-2.23,2.64,5.98,9.85,12.36,11.53,7.62,4.48,-0.57,-2.20
1905,-7.68,-3.21,-0.36,1.01,7.81,12.39,13.33,12.37,8.98,1.63,0.90,-2.67
1906,-4.37,-3.33,-1.50,3.78,9.57,10.37,13.19,11.35,8.15,4.18,3.00,-5.97
1907,-6.74,-6.15,-2.90,0.83,8.55,10.48,11.39,11.03,7.86,8.18,-1.47,-4.54
1908,-5.61,-2.64,-1.86,1.33,8.57,11.37,12.81,10.87,7.44,3.21,-3.52,-5.24
1909,-6.58,-8.36,-2.44,1.34,5.22,10.17,11.52,11.93,9.84,6.77,-1.32,-2.02
1910,-3.18,-0.99,-0.81,2.86,8.57,12.30,12.01,11.38,7.87,3.71,-0.66,-0.84
1911,-4.20,-5.50,-0.64,2.44,8.56,9.95,12.67,13.33,9.04,4.37,1.75,-1.74
1912,-9.66,-4.30,1.38,1.05,6.39,11.65,13.17,11.23,5.77,1.67,-1.03,-0.50
1913,-5.91,-3.82,1.21,3.16,7.03,10.04,11.27,10.96,8.61,4.26,2.73,-1.05
1914,-7.25,-1.91,0.57,3.85,7.57,10.79,13.94,11.86,7.50,3.90,-0.81,-0.52
1915,-4.12,-3.48,-3.97,2.51,7.14,11.24,12.29,11.03,6.97,3.19,-1.57,-1.76
1916,-1.80,-3.44,0.55,3.14,7.31,9.32,12.36,11.19,7.52,3.88,1.67,-1.20
1917,-7.19,-9.21,-5.29,0.35,7.24,12.86,12.69,13.36,9.44,4.93,1.83,-5.02
1918,-4.34,-3.70,-1.64,5.81,7.22,8.58,12.36,11.68,9.36,5.58,-0.31,-2.25
1919,-3.69,-4.51,-1.36,1.84,4.99,9.89,11.44,10.73,10.06,3.20,-3.33,-4.13
1920,-4.07,-2.50,1.08,6.59,9.09,9.41,13.73,11.84,9.22,0.97,-2.46,-4.06
1921,-1.06,-4.65,1.26,3.20,9.26,9.96,12.94,12.30,7.54,4.62,-3.37,-4.68
1922,-8.90,-7.14,-0.60,1.79,7.68,10.59,12.59,11.33,7.38,1.62,-1.38,-2.12
1923,-2.49,-5.65,-0.09,1.01,8.02,8.09,12.93,10.89,9.09,6.74,1.04,-4.70
1924,-9.25,-7.69,-3.45,1.14,8.94,10.91,11.98,11.71,10.14,4.99,-0.47,-3.10
1925,-1.38,0.50,-1.65,3.19,9.07,9.21,13.33,12.37,7.90,3.85,-0.39,-4.51
1926,-5.45,-1.55,-1.26,3.81,7.61,10.67,13.62,11.02,9.15,3.94,4.51,-3.44
1927,-4.06,-4.57,2.14,2.59,5.53,10.36,14.00,13.23,9.70,4.60,-0.59,-7.97
1928,-3.73,-3.86,-3.27,2.62,6.03,8.57,13.13,11.63,8.32,4.68,3.63,-4.30
1929,-10.01,-12.63,-4.20,-1.22,8.67,9.10,12.36,12.55,8.47,6.53,1.98,-0.56
1930,-2.38,-4.39,-0.14,4.11,7.43,12.00,12.60,11.97,9.12,5.22,2.30,-3.85
1931,-4.70,-5.48,-4.93,0.59,10.51,10.89,13.24,11.96,6.67,3.18,-0.25,-3.26
1932,-3.20,-8.57,-5.52,2.61,9.18,9.71,14.88,13.52,10.99,5.63,0.78,-1.92
1933,-8.65,-4.58,-0.87,0.68,6.61,9.75,13.28,11.79,8.23,4.83,-0.50,-8.24
1934,-4.57,-2.47,1.47,4.79,8.96,10.59,12.83,12.83,10.22,6.28,2.60,-1.25
1935,-7.06,-3.16,-2.43,2.92,5.42,12.33,12.26,12.15,9.40,6.39,0.90,-2.13
1936,-1.13,-5.03,1.10,2.83,9.22,11.66,14.49,11.55,8.08,2.49,1.01,-1.52
1937,-8.12,-3.11,0.41,3.50,10.50,12.10,13.37,13.35,10.30,5.76,0.81,-4.31
1938,-3.73,-2.58,2.68,1.02,6.55,11.29,13.43,13.84,8.82,6.39,3.33,-5.46
1939,-2.33,-0.82,-2.13,4.51,7.00,11.66,13.81,13.61,9.05,2.89,1.30,-5.14
1940,-14.30,-13.27,-4.29,1.71,7.03,11.45,12.86,10.74,8.37,3.26,2.19,-6.71
1941,-11.63,-4.73,-1.45,0.94,4.98,10.01,13.63,11.55,7.11,3.14,-3.09,-3.10
1942,-14.21,-9.72,-7.02,1.17,6.98,9.55,12.09,13.20,10.99,5.97,-0.53,-1.64
1943,-7.97,-1.01,0.06,4.17,6.52,10.55,12.27,13.61,10.04,5.51,0.12,-3.31
1944,-1.49,-3.74,-2.26,2.17,6.69,10.19,13.51,13.94,8.20,5.82,0.70,-3.83
1945,-8.04,-1.69,0.10,3.19,7.48,10.59,13.20,12.83,8.87,4.69,0.59,-3.40
1946,-6.44,-3.34,-0.36,4.11,8.82,11.58,13.81,12.80,9.61,1.55,-0.37,-5.76
1947,-9.97,-12.44,-2.73,3.22,8.22,11.87,13.58,12.05,10.61,2.02,1.30,-1.68
1948,-2.23,-5.02,-0.97,4.55,8.71,10.84,12.01,12.55,9.44,4.56,0.19,-3.83
1949,-2.91,-2.44,-3.28,3.85,8.74,9.88,12.72,11.23,9.56,4.61,1.97,-0.01
1950,-9.91,-2.08,0.04,4.21,8.85,11.00,12.44,12.37,9.29,3.98,1.42,-2.28
1951,-4.20,-2.43,-2.19,3.15,6.79,11.24,12.40,13.89,9.72,2.13,3.16,-0.50
1952,-2.72,-3.49,-6.89,4.18,6.48,10.07,12.39,12.97,7.54,4.21,-0.31,-3.57
1953,-4.29,-4.68,-1.51,3.37,7.42,12.60,13.89,11.62,8.63,5.61,-0.12,-2.75
1954,-10.43,-12.42,-0.01,0.63,7.84,12.68,12.17,12.24,9.57,5.06,-0.24,0.18
1955,-6.33,-6.00,-4.64,0.18,5.82,9.75,13.50,12.82,9.66,4.57,0.46,-1.83
1956,-4.44,-14.78,-3.90,1.32,7.24,11.17,12.30,10.70,7.58,4.46,-2.80,-2.25
1957,-3.69,-0.11,-1.37,2.29,5.56,11.24,13.43,11.23,7.49,4.77,1.75,-3.53
1958,-5.41,-3.00,-4.95,0.64,8.99,9.97,12.90,12.06,8.60,6.16,2.11,-1.30
1959,-3.90,-4.73,0.75,3.27,7.40,10.66,14.55,13.04,6.67,2.98,0.68,-2.01
1960,-5.81,-6.48,-1.79,1.83,7.30,11.54,11.77,11.93,7.60,5.88,2.87,0.59
1961,-5.92,-0.58,2.05,4.40,6.82,12.07,11.21,11.50,9.28,6.47,1.38,-6.07
1962,-2.64,-4.46,-4.85,4.56,6.11,8.99,10.85,11.96,7.69,4.07,1.59,-6.91
1963,-14.21,-10.97,-4.65,2.80,8.76,10.80,13.45,13.07,9.51,5.03,3.79,-7.19
1964,-7.53,-7.15,-5.04,3.19,7.57,12.66,12.72,10.93,8.21,3.93,1.69,-2.45
1965,-3.52,-7.82,-2.75,2.12,5.57,10.82,11.33,10.26,9.36,3.23,-3.36,-1.81
1966,-7.92,-2.78,0.08,3.47,7.93,11.17,12.74,11.50,8.39,7.28,0.33,-2.21
1967,-6.99,-2.53,1.93,2.88,8.59,10.28,13.48,12.15,10.73,7.18,1.20,-3.88
1968,-7.11,-3.07,-0.61,3.26,6.76,11.84,11.48,12.09,9.38,5.31,1.56,-5.76
1969,-8.80,-6.40,-4.67,1.62,8.46,10.91,12.90,11.71,8.62,4.49,2.27,-9.27
1970,-8.32,-7.68,-2.29,2.60,7.14,11.17,12.16,12.04,7.77,4.39,2.04,-1.77
1971,-6.20,-2.29,-3.74,2.89,8.84,10.08,12.00,12.84,7.21,4.38,-0.22,0.77
1972,-8.40,-2.42,-0.24,3.20,8.01,10.84,14.43,12.21,7.34,2.65,1.78,-2.71
1973,-4.40,-0.87,-0.11,2.00,7.26,10.82,13.09,11.60,8.55,2.73,-1.14,-3.59
1974,-2.43,-0.12,0.03,1.73,6.33,9.62,11.54,12.72,9.01,4.01,1.71,0.69
1975,0.16,-3.33,0.51,2.72,8.56,10.75,13.56,13.13,10.47,4.93,-1.15,-1.64
1976,-5.33,-7.11,-3.91,2.21,6.96,9.89,12.61,10.20,8.25,4.19,2.31,-3.55
1977,-4.25,-1.89,1.36,1.65,7.26,11.18,11.64,11.55,6.99,5.50,2.33,-3.24
1978,-3.92,-6.55,0.50,1.59,6.37,9.84,11.19,11.01,8.03,5.35,2.03,-5.86
1979,-8.56,-7.55,-0.21,2.02,8.22,12.82,10.78,11.95,9.01,1.98,0.71,-0.72
1980,-9.00,-4.33,-3.42,1.54,4.64,10.55,12.38,11.84,8.53,5.21,-0.70,-2.82
1981,-6.20,-3.56,0.75,0.87,8.43,11.75,12.75,11.72,9.21,5.26,0.89,-5.67
1982,-7.80,-5.41,0.02,0.99,7.69,10.25,13.22,12.60,10.09,5.52,1.73,-0.81
1983,0.39,-5.27,0.94,4.58,9.24,10.71,13.50,12.27,9.55,5.16,-0.93,-3.57
1984,-2.53,-3.96,-2.32,2.81,8.29,9.70,10.91,12.00,9.21,7.09,0.02,-3.17
1985,-11.71,-11.27,-0.59,2.82,8.88,9.84,12.31,12.48,8.35,4.83,-1.75,-1.02
1986,-4.07,-12.01,-1.44,3.08,8.73,10.56,12.14,12.05,7.15,4.21,2.20,-3.03
1987,-14.40,-4.60,-6.27,2.61,6.37,10.24,12.34,10.65,8.83,4.72,2.15,-1.86
1988,-1.31,-1.39,-1.58,1.83,8.81,11.39,13.46,12.06,9.75,3.47,-2.96,-1.62
1989,-1.39,0.56,2.00,3.93,7.73,10.40,12.46,11.13,9.51,6.57,-1.28,-2.15
1990,-1.28,1.20,2.52,2.79,7.63,10.60,11.80,12.01,7.72,4.74,2.26,-2.24
1991,-3.01,-3.88,1.29,2.23,5.52,9.64,13.72,13.03,9.18,3.98,1.46,-3.60
1992,-3.63,-1.60,0.04,2.94,7.54,12.05,13.41,14.23,8.48,3.14,1.41,-2.91
1993,-3.16,-3.93,-1.69,2.95,9.45,10.05,11.62,11.32,8.19,4.71,-3.88,-0.25
1994,-0.28,-5.49,1.02,3.95,7.11,10.18,14.85,13.08,10.61,3.08,1.06,-1.27
1995,-4.46,0.39,-0.21,3.03,7.12,11.07,13.93,12.30,8.94,6.00,-2.29,-6.94
1996,-8.24,-8.49,-4.86,2.18,8.49,10.68,11.07,12.64,6.77,5.44,2.94,-7.54
1997,-7.51,-1.28,-0.75,0.37,7.77,11.01,12.72,12.99,8.44,3.14,0.65,-2.02
1998,-1.92,0.19,-1.41,4.88,8.29,12.11,12.63,11.80,8.95,5.05,-3.17,-4.88
1999,-2.94,-3.75,0.76,4.49,6.87,11.64,14.34,11.80,10.66,5.21,-0.31,-1.72
2000,-4.24,-0.42,0.53,5.61,8.40,11.13,11.75,12.65,7.67,7.17,3.64,-0.40
2001,-2.83,-3.42,-0.66,3.03,8.34,9.73,14.48,13.55,8.76,7.66,-0.06,-6.43
2002,-3.43,0.58,0.70,3.16,10.21,11.92,14.44,14.20,8.45,4.05,1.51,-7.59
