Variable:,tasmin
Country:,Paraguay
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.50,21.58,20.41,15.90,15.57,14.23,14.18,14.40,18.07,19.77,19.99,21.48
1902,21.50,22.73,20.75,18.41,16.49,15.70,13.79,11.68,17.61,18.28,20.42,21.70
1903,21.66,22.24,20.27,16.73,14.07,14.09,13.04,13.74,17.90,17.39,19.48,20.48
1904,20.89,20.86,20.19,18.01,13.87,13.09,14.09,13.96,17.14,17.59,19.48,20.15
1905,20.86,20.73,20.28,16.57,14.75,14.45,12.45,14.12,16.70,19.63,19.13,20.82
1906,21.96,22.66,21.52,18.27,16.69,12.61,13.43,14.25,16.05,18.94,20.32,20.97
1907,22.03,21.81,20.84,17.41,14.01,12.94,12.74,13.16,16.29,18.29,20.27,21.88
1908,22.37,21.54,20.66,17.23,14.89,13.95,13.70,13.16,16.22,17.96,19.95,21.21
1909,22.71,21.17,20.20,18.08,12.72,12.67,12.88,15.66,16.92,17.88,19.52,20.28
1910,22.13,20.84,19.56,18.08,14.33,14.57,12.97,15.00,16.28,18.23,19.93,20.78
1911,22.13,21.50,19.73,17.06,14.86,12.24,12.30,13.15,15.68,18.05,20.14,21.65
1912,22.21,22.41,20.87,17.85,15.02,13.33,11.30,13.47,15.58,18.28,19.94,21.34
1913,20.50,20.95,19.62,17.89,14.44,12.55,13.96,13.56,15.59,18.33,19.64,20.46
1914,21.66,20.93,20.39,17.16,14.63,14.28,14.01,13.23,15.26,17.44,19.16,20.42
1915,21.92,22.27,18.93,18.70,15.98,10.55,12.68,14.14,15.07,18.02,19.10,20.85
1916,21.76,20.26,19.21,17.70,14.39,11.82,10.93,13.06,17.12,17.59,19.80,20.37
1917,22.04,20.33,19.29,16.41,13.45,12.20,10.92,12.76,15.55,16.98,18.49,21.49
1918,21.42,19.61,19.07,17.03,13.48,12.59,11.89,13.29,16.16,18.10,19.96,20.73
1919,22.21,21.15,20.20,18.13,16.66,13.13,13.74,13.27,15.69,18.83,20.35,21.47
1920,22.11,21.54,20.59,18.49,14.69,12.07,10.86,12.42,16.10,18.29,20.19,21.12
1921,21.75,21.04,19.66,17.14,16.02,11.05,11.06,14.15,15.08,18.17,19.11,21.96
1922,21.41,21.30,19.75,17.45,14.21,11.20,13.36,13.49,15.83,16.60,19.89,20.71
1923,21.70,21.65,20.33,18.16,12.78,12.99,10.97,13.78,16.02,17.86,19.45,21.28
1924,21.18,21.71,20.53,16.78,13.23,13.28,12.04,12.22,15.20,17.19,18.97,21.43
1925,21.49,21.59,20.16,18.21,14.33,11.61,11.45,15.23,16.13,17.30,20.08,21.42
1926,22.63,21.92,22.03,17.88,14.00,15.05,12.36,14.37,17.12,18.95,20.47,20.60
1927,21.81,22.06,20.40,17.45,14.19,11.37,12.24,13.39,15.92,18.55,20.19,20.56
1928,21.87,20.94,20.37,18.77,14.37,11.88,11.72,12.89,15.18,17.61,20.20,20.63
1929,22.31,21.82,19.78,17.92,13.40,11.83,12.23,13.04,15.99,17.90,20.10,21.44
1930,21.85,21.13,20.66,18.45,14.93,16.40,12.45,13.32,15.65,17.30,19.22,21.47
1931,22.09,22.57,20.88,17.38,12.16,11.23,12.75,13.74,14.65,19.02,18.64,21.98
1932,22.77,21.97,20.59,17.96,13.17,13.39,15.48,12.89,16.50,18.95,20.82,21.62
1933,22.75,21.65,20.84,18.31,15.47,12.90,10.41,15.18,16.57,19.41,20.07,21.49
1934,22.49,20.14,21.53,15.58,15.32,15.71,12.98,14.13,16.44,17.56,19.96,21.47
1935,22.56,22.57,22.45,17.23,16.21,14.97,12.63,14.21,15.43,17.33,19.89,21.99
1936,22.69,21.27,21.58,17.94,16.84,14.34,12.78,12.35,17.10,19.46,20.35,21.81
1937,22.33,22.68,20.58,16.61,14.11,15.30,12.94,15.78,15.90,17.40,20.79,21.58
1938,21.74,21.00,20.27,15.98,14.98,14.02,13.62,12.70,16.75,18.12,20.43,21.82
