Variable:,tasmin
Country:,Sudan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.40,15.55,17.84,20.19,23.07,23.18,24.45,23.82,23.39,21.39,16.97,14.09
1902,10.79,15.07,17.32,20.20,23.25,23.85,22.91,23.88,22.41,19.95,15.61,11.50
1903,10.00,11.10,14.47,20.10,21.89,23.57,23.87,23.96,21.87,20.02,16.93,14.46
1904,12.49,14.01,16.31,19.31,22.39,23.73,23.02,24.08,22.22,20.47,15.79,11.91
1905,11.72,11.76,15.31,18.89,21.64,24.04,23.72,23.65,22.97,20.71,17.55,12.91
1906,11.84,14.42,16.15,19.09,23.35,24.63,23.93,23.36,22.13,20.61,16.54,14.11
1907,12.94,14.22,16.38,19.68,21.77,23.53,23.08,22.37,22.35,20.72,15.76,12.51
1908,11.24,13.04,17.13,20.93,22.56,23.72,22.88,23.23,22.85,20.95,15.82,12.77
1909,11.84,14.18,17.90,19.43,22.88,23.60,23.15,22.98,22.09,20.83,17.49,13.61
1910,11.29,13.85,14.27,19.80,22.68,23.72,23.16,23.18,22.12,19.90,15.91,12.13
1911,13.03,12.19,15.82,19.24,21.68,23.25,23.19,22.89,22.16,20.32,16.79,12.43
1912,11.00,12.95,16.11,18.80,22.43,23.33,23.19,22.69,22.50,19.66,16.67,12.40
1913,11.43,12.33,13.63,19.29,21.62,22.42,23.73,23.14,22.85,20.05,14.82,11.59
1914,13.53,13.08,17.30,18.24,22.29,23.97,22.79,22.57,22.28,20.31,17.29,13.57
1915,13.31,14.53,16.71,19.45,22.01,23.75,23.95,23.22,22.65,20.70,17.50,13.21
1916,9.65,13.41,16.57,20.14,21.92,23.43,23.17,22.75,21.82,19.23,17.14,12.94
1917,11.63,13.40,16.02,19.10,20.92,22.57,23.81,22.95,21.38,18.69,16.92,12.33
1918,10.54,12.49,16.26,18.60,21.65,23.31,23.88,22.72,22.84,20.86,17.18,14.00
1919,15.21,15.40,17.93,18.77,22.76,22.71,23.67,23.37,22.71,21.03,16.56,12.76
1920,11.32,11.62,14.73,18.86,21.96,23.00,22.84,21.93,21.51,20.37,15.95,12.37
1921,11.04,11.13,13.87,20.50,21.88,23.33,23.48,22.46,21.69,20.17,16.53,14.62
1922,12.17,13.08,14.85,19.80,21.15,23.42,22.36,21.64,21.44,20.10,17.80,12.51
1923,13.95,12.17,16.51,18.90,21.93,23.47,22.64,22.34,22.28,20.15,16.10,12.96
1924,12.96,14.27,18.57,20.23,21.38,23.66,23.20,22.69,21.87,20.33,16.09,13.95
1925,9.33,11.08,17.29,19.64,22.15,22.99,23.29,22.85,23.21,20.76,17.51,14.26
1926,11.17,13.01,15.20,18.77,23.96,24.12,23.47,23.82,23.01,20.32,16.06,13.38
1927,13.22,12.79,16.02,18.28,22.54,23.91,23.35,23.21,22.30,22.02,17.29,15.61
1928,15.39,14.05,18.06,20.73,23.09,23.76,23.25,22.89,23.13,20.76,16.56,14.26
1929,12.48,14.67,16.65,20.35,23.02,23.18,21.30,22.13,22.22,20.42,17.01,11.20
1930,9.71,14.01,15.33,19.17,22.17,22.43,22.68,22.64,23.01,20.88,15.90,14.38
1931,13.33,14.61,16.34,19.65,22.05,23.70,23.34,22.97,22.55,21.18,17.34,13.36
1932,12.16,13.76,16.69,19.96,21.36,23.45,23.21,22.75,22.35,21.16,17.18,12.57
1933,13.54,15.26,17.70,18.38,22.37,23.72,23.01,22.51,21.68,20.81,18.83,14.76
1934,12.39,12.07,17.17,19.79,22.71,23.05,22.81,22.92,22.20,21.39,17.67,12.89
1935,13.65,13.10,18.33,18.83,22.18,23.51,23.46,21.77,22.21,21.17,16.36,13.95
1936,11.99,14.58,18.29,20.55,23.92,23.18,23.15,22.62,21.94,21.67,18.35,14.38
1937,10.64,15.23,17.03,20.14,22.62,23.59,23.61,23.13,22.91,21.85,16.91,15.40
1938,13.41,15.24,14.86,22.08,23.06,22.19,22.61,22.43,22.27,20.98,17.30,14.77
1939,13.08,14.15,17.65,20.61,23.69,23.84,23.79,23.35,22.68,21.60,17.04,15.18
1940,13.19,14.18,15.11,20.88,23.06,24.65,23.85,23.35,23.27,21.75,16.49,15.09
1941,12.42,14.46,16.43,20.19,22.57,23.28,23.46,23.13,22.41,20.13,16.48,12.29
1942,11.96,15.09,16.27,19.41,22.53,23.39,22.48,22.61,21.81,20.18,16.61,13.73
1943,11.78,11.51,14.88,17.09,22.10,22.27,22.46,22.23,21.90,20.38,17.44,14.61
1944,12.03,12.96,17.26,19.14,21.25,23.37,22.90,22.65,22.17,20.76,15.31,12.51
1945,12.28,11.42,15.37,19.10,21.69,22.49,22.83,22.69,21.63,19.38,16.31,12.59
1946,12.18,13.56,15.55,18.39,21.53,22.78,22.29,22.01,21.95,20.08,16.57,13.07
