Variable:,tasmin
Country:,"St. Helena"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,17.30,18.60,17.80,16.20,16.60,17.60,14.50,13.60,13.10,14.10,14.30,14.70
1902,16.80,18.20,18.30,17.40,17.40,15.00,13.60,12.90,13.30,14.00,13.90,14.90
1903,16.70,16.90,17.40,16.70,16.20,13.10,12.80,12.70,12.60,12.10,15.30,13.90
1904,14.60,16.10,17.60,16.80,15.70,14.30,13.50,12.80,13.00,13.30,13.90,14.40
1905,15.40,16.80,17.30,17.60,17.10,14.70,14.40,13.50,13.90,14.20,14.90,15.10
1906,15.80,16.60,17.00,16.50,15.70,14.50,12.90,12.80,12.80,13.10,13.20,14.20
1907,14.50,16.50,17.50,16.20,15.10,14.00,13.30,13.80,12.80,13.00,13.10,13.50
1908,14.20,15.50,16.30,15.40,14.90,13.40,12.80,12.40,12.90,12.70,15.30,13.50
1909,15.10,15.60,16.40,16.20,15.20,14.10,13.00,12.20,12.50,12.60,13.40,15.40
1910,15.70,15.90,16.90,16.70,16.00,13.80,13.50,12.60,13.10,12.20,13.10,14.20
1911,15.70,16.00,17.10,17.00,15.20,14.30,13.30,12.70,13.20,13.40,16.00,15.60
1912,16.40,17.00,18.10,17.40,16.50,14.90,13.90,13.90,13.30,13.40,14.00,14.80
1913,15.70,17.80,18.90,17.50,17.10,15.70,14.30,14.40,14.10,14.20,15.00,15.90
1914,16.90,17.20,17.40,16.70,15.80,14.70,14.00,13.60,14.00,14.20,14.10,14.90
1915,17.10,17.60,18.60,17.60,16.90,15.00,12.90,13.10,13.70,13.90,14.60,14.80
1916,16.70,17.70,17.20,16.90,16.10,14.00,13.40,13.60,14.10,14.10,14.60,16.30
1917,16.70,17.90,18.00,17.90,17.20,15.10,14.50,13.30,13.10,13.10,13.60,15.10
1918,15.70,16.80,16.80,17.30,15.80,14.10,13.50,14.20,14.20,14.60,14.50,15.50
1919,16.10,17.20,17.70,17.00,16.60,15.50,13.50,13.10,13.20,13.30,13.90,14.90
1920,16.60,17.80,18.50,18.10,16.90,15.50,13.90,14.00,14.30,13.80,16.00,17.40
1921,16.70,18.70,19.40,18.70,17.80,16.30,13.90,13.20,13.60,14.20,14.40,16.50
1922,17.20,18.20,17.00,17.20,14.60,14.60,13.30,13.10,13.50,13.20,13.50,15.50
1923,16.60,17.70,18.50,17.00,16.50,16.80,13.20,13.00,13.70,13.10,13.40,16.90
1924,16.80,17.60,18.10,16.90,16.40,14.90,13.60,14.00,14.40,13.80,15.80,15.90
1925,17.60,18.60,18.80,18.20,17.40,15.80,14.90,14.50,14.70,14.60,14.40,14.60
1926,15.90,17.60,17.10,16.70,15.70,14.10,13.20,12.80,12.50,13.10,12.70,13.90
1927,15.10,16.20,17.00,16.20,15.50,14.80,13.60,13.40,13.20,13.00,14.20,15.40
1928,16.10,17.00,18.60,16.20,15.90,14.60,13.80,13.20,12.80,13.20,13.60,13.90
1929,14.80,16.10,16.00,16.20,15.10,13.70,14.90,12.10,11.60,13.20,14.20,14.80
1930,15.80,16.20,17.30,16.70,16.60,14.50,13.90,12.80,12.60,13.60,14.10,15.40
1931,15.90,16.90,17.40,16.50,16.50,14.80,13.30,13.00,13.10,12.60,13.10,14.90
1932,15.70,16.30,16.80,16.50,15.90,14.20,12.80,13.00,12.10,12.10,12.90,14.80
1933,16.20,17.20,18.00,16.70,16.30,14.20,13.40,13.40,13.10,13.40,12.90,14.60
1934,16.40,16.90,17.20,16.70,16.50,15.20,13.70,13.70,14.10,13.50,14.50,15.40
1935,17.00,17.70,17.80,17.00,15.90,14.20,13.00,13.30,12.90,13.90,13.40,14.60
1936,16.10,16.10,16.60,16.40,15.00,13.60,13.20,13.20,13.50,12.70,13.30,15.40
1937,16.60,17.70,18.20,17.40,17.00,15.00,13.60,13.50,13.10,13.10,14.10,14.60
1938,15.40,16.80,17.40,16.50,16.30,14.80,14.50,14.00,12.70,12.30,13.30,14.10
1939,15.80,16.70,17.40,16.70,16.10,15.60,14.00,13.80,14.50,13.50,14.20,15.30
1940,17.00,18.60,18.10,17.30,15.80,14.80,14.20,14.10,13.50,14.20,14.50,15.40
1941,17.50,17.60,17.60,16.50,16.50,14.60,13.40,13.40,13.70,13.80,13.70,14.60
1942,15.60,16.60,17.30,17.30,16.30,14.70,14.20,13.30,13.90,13.70,14.50,14.70
1943,16.20,16.20,16.80,16.20,15.30,14.20,13.40,12.80,12.90,12.70,13.50,14.60
1944,16.80,18.30,18.60,18.20,17.20,14.60,14.20,13.20,13.20,13.70,14.10,15.40
1945,16.60,17.50,17.70,18.10,16.70,14.60,13.60,13.20,14.50,13.60,14.80,16.00
1946,16.40,16.80,17.00,16.50,15.50,14.60,13.70,13.00,12.90,14.00,14.60,15.40
1947,16.20,17.50,17.70,17.10,16.70,14.10,13.20,13.50,13.10,13.40,14.20,15.40
1948,17.40,18.50,19.00,17.70,16.50,15.60,13.60,14.00,14.10,13.30,14.50,16.00
1949,17.40,19.90,19.60,18.50,17.30,14.70,14.60,14.00,14.10,13.90,13.90,15.60
1950,16.60,17.70,17.60,17.50,16.50,15.40,13.40,13.60,13.30,13.30,13.90,14.90
1951,15.80,16.90,17.40,17.10,16.10,14.60,13.80,14.20,13.90,13.40,14.30,15.00
1952,16.60,17.90,18.50,17.70,16.50,14.90,13.60,13.60,13.70,13.70,14.70,15.10
1953,16.80,17.50,18.70,17.50,16.30,14.90,13.80,13.70,13.90,14.20,14.10,15.10
1954,16.40,16.70,17.80,17.10,15.70,14.40,13.10,13.60,13.30,13.30,13.50,14.80
1955,16.60,16.70,17.40,16.30,16.30,14.20,12.80,12.60,12.60,12.60,13.70,14.30
1956,16.20,16.30,17.20,16.20,16.30,14.50,13.40,13.60,13.50,12.70,13.10,15.40
1957,16.80,18.10,18.40,17.50,17.00,15.00,14.40,13.40,13.30,12.90,13.90,15.40
1958,16.90,17.80,17.90,17.00,15.70,14.60,14.20,13.60,13.70,13.40,14.50,16.40
1959,17.40,18.50,19.00,17.90,16.30,15.10,14.00,13.80,13.70,13.30,13.60,15.20
