Variable:,tasmin
Country:,Svalbard
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-20.66,-22.81,-21.13,-17.28,-8.67,-1.92,1.85,0.86,-3.51,-9.76,-16.03,-20.57
1902,-21.75,-22.57,-21.66,-17.59,-8.78,-2.55,1.39,0.77,-3.98,-10.76,-15.78,-19.56
1903,-21.21,-22.05,-20.64,-17.43,-8.56,-2.20,1.42,0.89,-3.84,-10.94,-15.78,-19.75
1904,-20.82,-22.84,-20.92,-17.02,-8.67,-2.12,1.55,0.85,-3.61,-9.98,-16.37,-20.62
1905,-21.37,-22.35,-20.95,-17.38,-8.42,-2.05,1.80,0.95,-3.74,-10.64,-16.09,-19.71
1906,-20.97,-22.25,-21.54,-17.25,-8.64,-2.12,1.80,0.56,-3.78,-10.26,-15.91,-19.94
1907,-21.63,-21.99,-20.62,-17.10,-8.75,-1.77,1.64,0.76,-3.97,-10.07,-15.29,-20.13
1908,-21.26,-22.39,-20.92,-17.28,-8.70,-2.19,1.66,0.89,-3.80,-9.99,-16.23,-19.74
1909,-20.84,-22.13,-21.35,-17.61,-8.86,-2.32,1.73,1.00,-3.70,-10.21,-16.39,-19.99
1910,-21.22,-21.61,-20.76,-17.37,-8.44,-2.19,1.48,0.67,-3.83,-10.45,-15.99,-19.94
1911,-21.07,-22.40,-20.88,-17.45,-8.43,-2.25,1.64,0.99,-3.58,-10.63,-15.71,-19.30
1912,-29.21,-31.40,-25.65,-23.85,-10.96,-1.71,0.29,-0.93,-6.70,-13.23,-17.64,-18.65
1913,-21.70,-25.62,-22.54,-15.36,-10.13,-3.26,1.23,1.35,-3.64,-13.29,-13.17,-19.28
1914,-26.54,-28.11,-24.10,-16.03,-10.07,-1.63,1.22,0.91,-4.96,-9.45,-17.64,-22.69
1915,-20.70,-25.14,-26.11,-16.45,-13.34,-2.29,0.81,-0.03,-4.92,-9.78,-24.31,-27.85
1916,-28.65,-22.50,-25.32,-21.13,-11.16,-1.28,1.77,-0.17,-4.51,-12.12,-21.31,-24.61
1917,-27.67,-31.71,-30.03,-26.35,-13.80,-3.16,-0.51,-0.56,-6.46,-12.23,-18.27,-25.80
1918,-30.53,-24.82,-22.56,-18.23,-7.77,-0.90,3.34,0.02,-4.53,-11.88,-14.78,-14.31
1919,-14.44,-28.70,-27.31,-22.90,-6.85,-0.04,0.87,0.66,-4.53,-10.17,-20.13,-20.02
1920,-19.89,-23.32,-16.57,-18.52,-7.17,-1.38,2.45,1.25,-3.59,-8.28,-13.36,-16.60
1921,-23.32,-24.05,-21.38,-15.75,-8.79,-0.75,2.01,1.57,-4.80,-12.69,-16.37,-17.61
