Variable:,tasmin
Country:,Sweden
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-11.74,-16.12,-10.35,-3.61,1.54,7.11,11.93,8.89,5.13,2.72,-8.44,-14.15
1902,-12.37,-14.22,-11.88,-6.25,-1.43,3.96,5.60,5.62,2.14,-2.79,-7.04,-12.21
1903,-13.26,-8.34,-5.66,-4.89,0.88,5.19,7.35,6.66,4.08,-3.43,-7.04,-9.30
1904,-9.27,-15.66,-10.50,-3.37,-0.31,4.98,7.37,6.70,4.04,-0.13,-8.85,-13.22
1905,-13.68,-10.98,-8.50,-5.80,1.21,7.58,8.79,6.72,3.53,-4.26,-6.87,-8.57
1906,-10.51,-10.99,-11.03,-2.93,1.50,6.37,8.88,6.67,3.83,-0.14,-4.77,-11.69
1907,-13.46,-10.93,-7.37,-3.79,-0.75,5.75,7.10,5.31,3.10,2.13,-4.64,-12.67
1908,-11.22,-10.93,-10.77,-4.00,-0.22,4.86,8.30,7.96,3.36,0.77,-9.21,-9.75
1909,-9.74,-13.68,-11.83,-6.31,-2.14,5.09,7.66,6.92,3.95,1.64,-10.21,-11.14
1910,-12.15,-7.71,-6.85,-3.02,1.80,6.21,7.98,7.10,4.13,-0.73,-7.76,-10.35
1911,-10.84,-11.54,-8.52,-4.06,2.30,5.07,8.01,8.63,4.59,-2.15,-6.83,-7.71
1912,-16.51,-15.00,-7.17,-5.07,0.56,6.43,9.65,7.79,2.53,-2.47,-7.00,-9.37
1913,-14.53,-10.45,-8.35,-3.08,1.54,5.77,8.78,7.18,4.27,-1.01,-3.72,-12.25
1914,-12.45,-9.06,-9.59,-2.14,0.48,6.68,11.70,7.64,4.27,-1.22,-6.72,-8.83
1915,-14.93,-12.28,-12.78,-4.47,-0.75,4.06,8.74,7.19,2.47,-2.67,-8.94,-18.48
1916,-11.53,-11.60,-11.99,-4.00,0.24,5.02,9.85,6.48,2.33,-3.17,-4.43,-10.92
1917,-17.13,-14.74,-14.33,-6.83,-0.46,7.67,7.77,10.02,4.06,-0.18,-6.54,-12.48
1918,-17.51,-11.19,-9.03,-3.19,1.25,5.21,9.51,6.84,3.06,0.98,-3.49,-10.94
1919,-10.78,-14.60,-10.93,-5.04,2.23,6.39,9.76,6.30,3.81,-2.60,-10.59,-14.94
1920,-12.69,-8.99,-4.50,-1.90,2.82,5.86,9.32,7.00,4.93,-2.08,-5.23,-10.53
1921,-12.34,-11.82,-5.99,-1.42,2.84,5.29,7.50,7.18,3.07,-1.68,-9.75,-10.88
1922,-16.05,-14.11,-10.14,-5.51,1.44,5.86,8.71,6.96,3.42,-2.61,-7.46,-10.97
