Variable:,tasmin
Country:,Eswatini
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.05,18.56,16.02,15.20,10.38,7.50,7.09,9.71,11.74,13.28,15.48,17.11
1902,17.33,18.31,16.70,14.52,11.24,7.34,8.16,9.32,11.97,13.26,15.22,17.66
1903,18.65,18.28,16.76,14.40,11.63,7.40,7.56,9.87,11.53,13.82,15.24,17.13
1904,17.67,17.28,16.05,14.55,10.91,8.40,7.62,9.37,11.29,13.79,16.21,16.60
1905,18.21,17.53,15.67,14.61,10.73,7.65,7.74,9.00,12.28,14.70,15.59,17.56
1906,19.08,17.33,16.26,13.50,11.02,8.26,7.37,8.58,11.70,12.85,14.81,16.56
1907,17.51,17.63,16.87,13.35,10.30,7.45,6.82,9.05,11.76,12.91,14.78,16.12
1908,17.42,17.91,16.36,12.97,10.45,8.03,7.56,9.68,12.60,13.83,15.43,17.26
1909,17.78,17.10,15.75,13.80,10.58,6.73,7.96,9.84,11.61,13.60,15.24,16.97
1910,17.55,16.42,15.88,12.60,9.22,6.25,6.62,8.32,10.77,12.72,13.06,16.17
1911,17.06,17.98,15.13,13.07,9.97,5.88,6.20,8.05,10.44,14.71,15.10,17.52
1912,17.52,17.88,14.88,14.60,11.53,7.53,6.91,8.92,10.08,13.02,15.38,16.80
1913,18.15,18.36,15.40,14.35,10.68,7.26,7.52,9.76,11.87,13.09,15.56,16.58
1914,18.61,17.47,16.49,14.35,11.97,7.20,6.83,8.52,12.57,14.59,15.19,17.53
1915,19.35,17.52,16.76,14.50,10.29,7.07,7.67,8.71,11.71,12.37,14.56,16.23
1916,16.58,17.52,15.69,13.61,8.75,7.37,7.32,7.80,11.51,13.96,15.36,16.99
1917,17.24,17.38,16.18,13.22,10.16,7.55,6.86,7.98,11.67,13.22,15.46,15.93
1918,16.64,17.65,16.33,12.45,8.94,6.47,7.41,8.35,12.69,14.36,15.23,16.71
1919,17.44,17.55,15.89,15.21,9.92,8.08,8.05,8.82,10.90,13.46,14.78,16.35
1920,18.68,17.30,15.62,12.88,10.59,5.89,7.92,9.32,12.08,13.69,16.09,15.97
1921,16.92,18.13,15.78,13.05,10.07,7.31,6.21,8.15,10.32,13.75,15.20,16.42
1922,18.18,17.81,16.71,13.84,10.08,7.95,7.91,10.04,12.88,14.26,15.54,17.36
1923,18.05,17.83,16.96,13.05,9.66,7.17,7.37,9.54,11.73,14.61,16.89,16.89
1924,17.48,16.91,16.56,12.92,10.19,6.91,6.86,8.38,11.70,13.15,15.41,16.39
1925,17.33,18.47,17.28,14.15,10.50,6.02,7.17,9.01,11.59,13.12,15.51,17.19
1926,19.09,19.41,16.14,13.21,10.41,8.26,6.51,8.20,11.90,13.45,14.25,16.82
1927,18.03,17.39,15.89,14.07,9.35,7.11,8.02,8.66,12.06,13.74,15.60,16.79
1928,17.78,16.58,16.71,14.07,10.44,8.01,7.14,8.26,11.57,14.64,15.61,17.63
1929,17.67,17.53,15.40,13.21,10.99,8.59,7.27,9.04,13.53,14.62,16.20,16.79
1930,17.42,17.01,16.74,14.04,9.87,7.21,7.29,8.57,10.98,13.71,15.34,17.60
1931,17.86,18.62,17.10,13.88,11.98,7.69,8.20,9.81,11.91,14.07,15.60,17.23
1932,17.32,17.95,16.58,15.41,11.19,8.06,6.57,9.38,13.60,13.98,16.23,16.95
1933,17.24,17.46,16.59,13.90,10.88,7.63,7.95,9.24,11.82,13.64,15.29,16.13
1934,17.41,17.01,16.62,14.91,12.01,9.69,8.33,10.99,11.26,13.62,15.30,16.79
