Variable:,tasmin
Country:,Syria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.45,3.84,7.28,9.46,11.89,17.19,19.94,19.65,15.75,10.64,5.40,3.27
1902,0.71,4.27,4.11,7.99,13.07,16.98,19.19,19.27,16.67,12.09,4.53,1.38
1903,-0.31,0.78,2.87,9.50,13.70,16.48,18.97,19.34,15.11,11.05,4.86,2.44
1904,0.10,3.15,4.74,7.65,12.13,16.40,19.26,19.72,16.13,12.91,5.85,0.69
1905,-0.91,-0.41,3.38,8.89,13.14,16.85,20.25,20.08,17.14,13.43,7.58,1.06
1906,-0.18,2.14,5.02,8.69,12.76,17.57,19.56,19.59,15.66,11.91,5.98,3.63
1907,0.47,1.56,3.27,8.02,13.12,17.10,20.16,19.81,15.23,11.38,4.05,1.86
1908,0.29,0.77,3.74,7.76,13.45,17.55,19.27,19.84,16.28,11.08,4.70,0.30
1909,-0.23,1.80,6.09,7.38,15.39,16.88,20.90,20.03,17.10,12.41,7.28,3.61
1910,1.14,3.05,3.07,8.69,12.97,16.96,20.12,20.10,15.64,11.07,5.96,0.29
1911,-2.04,-0.98,2.56,7.81,12.96,16.48,19.84,19.74,14.94,10.89,5.94,2.24
1912,0.77,3.59,5.08,7.90,11.74,17.47,18.78,19.57,16.84,11.95,5.98,1.09
1913,0.28,-0.28,2.96,7.67,12.50,16.58,19.90,20.37,16.84,11.95,5.75,1.70
1914,1.66,2.82,6.64,7.64,13.29,17.20,20.16,20.16,16.55,11.57,5.12,2.14
1915,3.11,3.27,5.94,8.52,12.80,17.49,20.17,20.09,16.73,12.49,6.44,3.79
1916,1.35,2.85,6.12,9.42,14.81,18.78,21.11,20.01,15.75,11.10,6.94,3.58
1917,2.34,2.12,6.27,10.64,12.60,16.94,20.20,20.00,16.89,11.72,7.70,2.15
1918,0.93,2.18,4.86,8.55,12.94,16.90,20.03,20.03,17.94,14.56,7.34,2.34
1919,2.92,3.83,6.07,9.19,12.05,16.13,19.84,19.48,17.65,14.03,7.77,2.30
1920,1.99,-0.86,5.01,9.60,13.87,17.87,20.41,20.80,16.83,11.42,4.12,0.53
1921,0.43,0.83,3.89,8.52,13.51,16.98,20.23,20.57,15.81,10.85,5.78,1.60
1922,1.59,2.52,5.56,9.21,14.09,17.16,20.88,20.71,16.81,13.23,7.35,1.90
1923,1.91,2.33,4.75,7.94,14.18,19.10,20.43,19.08,17.53,12.23,7.53,4.35
1924,2.60,3.05,5.75,9.26,13.41,18.35,20.62,20.27,17.55,11.59,6.43,1.53
1925,-2.15,1.64,7.99,7.79,14.16,17.09,20.25,20.86,17.75,12.43,7.28,4.47
1926,1.56,2.57,4.50,9.68,14.80,18.47,19.77,19.42,15.28,12.42,6.92,3.49
1927,1.54,-0.96,5.78,8.59,14.88,18.35,20.85,20.39,17.73,14.54,7.20,2.03
1928,0.75,0.40,2.32,11.50,15.01,17.80,20.76,20.24,17.13,11.09,7.27,2.72
1929,-0.36,-0.03,1.97,8.53,15.67,17.36,19.85,21.37,16.63,12.13,7.77,2.60
1930,1.89,3.04,6.45,10.23,13.69,17.58,20.58,21.41,17.08,12.04,7.28,4.78
1931,2.22,2.97,5.87,9.07,13.48,17.31,20.77,21.08,17.86,11.77,4.48,0.23
1932,-0.79,1.68,4.92,9.10,13.17,18.42,20.18,20.73,16.75,14.22,5.92,-0.09
1933,-2.01,1.95,3.48,6.54,12.83,16.41,19.51,19.79,15.85,10.96,7.60,1.38
1934,-0.78,0.52,5.35,9.64,14.28,17.40,19.96,19.81,16.18,12.78,7.16,2.29
1935,1.13,2.83,4.61,9.21,15.00,18.64,20.25,21.17,18.02,13.20,5.94,4.39
1936,2.60,3.86,6.05,10.45,13.42,16.47,20.82,20.94,15.42,13.65,7.48,0.19
1937,-2.16,2.46,6.88,10.40,13.70,16.89,20.95,20.58,18.52,13.70,8.18,3.59
1938,1.94,1.37,1.88,9.49,13.18,17.93,21.50,21.03,17.43,12.13,6.05,4.67
