Variable:,tasmin
Country:,Togo
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.33,21.77,22.93,23.37,22.43,21.74,21.30,21.07,21.11,21.25,20.47,19.26
1902,20.77,21.71,23.15,23.72,22.85,21.38,21.31,21.51,21.10,20.87,20.47,19.64
1903,19.81,21.87,23.40,23.45,22.79,21.97,21.25,21.02,20.86,20.90,20.47,20.13
1904,19.59,21.87,23.24,23.62,22.89,22.25,21.34,21.57,21.51,21.25,20.93,19.92
1905,18.69,19.89,21.94,23.53,22.71,21.14,21.39,20.53,20.82,21.16,21.30,20.49
1906,17.68,22.00,23.56,25.30,22.46,21.90,20.60,20.50,21.78,21.64,20.83,20.91
1907,19.89,19.96,21.71,22.89,23.50,21.41,21.62,20.88,21.23,22.68,20.05,18.37
1908,19.83,21.31,22.40,24.24,23.61,22.01,21.38,20.59,21.19,21.00,19.21,17.97
1909,18.79,22.33,24.52,22.91,22.10,20.07,19.84,19.44,21.14,20.13,20.05,18.87
1910,17.06,22.11,22.44,22.84,22.79,22.91,21.92,21.42,21.52,20.56,20.48,19.73
1911,19.16,21.27,22.83,23.46,22.51,21.54,21.42,21.15,21.18,21.13,20.22,18.52
1912,20.80,22.28,23.34,24.27,23.01,21.97,21.83,21.34,21.60,21.10,19.81,19.58
1913,21.14,22.51,21.18,22.63,23.20,22.89,22.63,22.69,22.93,21.06,19.85,19.28
1914,21.55,21.16,21.67,23.06,24.04,23.47,22.11,21.28,21.74,21.58,21.73,19.24
1915,19.16,21.43,23.27,23.11,22.69,21.43,21.33,20.98,21.31,21.39,20.60,19.86
1916,18.59,20.65,23.06,23.43,22.52,21.48,21.37,20.70,20.67,20.77,19.84,19.12
1917,19.92,21.94,22.76,23.16,21.93,20.99,21.21,21.02,20.41,20.46,19.37,19.03
1918,18.49,21.85,22.55,23.21,22.75,21.73,21.31,20.29,20.41,21.05,20.26,19.72
1919,19.79,21.98,23.00,23.63,22.83,21.36,20.84,21.04,20.97,20.90,21.07,19.66
1920,19.50,21.83,22.82,23.49,23.25,21.68,21.01,21.10,21.03,21.24,20.35,19.70
1921,19.78,21.87,23.07,23.16,23.39,21.38,21.08,20.95,20.86,21.15,20.38,18.97
1922,19.51,22.02,23.67,23.53,23.03,21.79,21.44,20.49,20.61,20.41,19.66,18.99
1923,20.05,20.99,22.74,21.81,22.32,21.55,21.16,20.10,20.81,21.08,20.37,19.62
1924,20.03,23.17,23.47,22.51,23.15,21.04,20.69,20.22,20.59,21.19,19.65,18.82
1925,16.35,20.73,23.01,23.50,22.70,20.44,20.55,20.69,20.98,20.11,20.96,19.07
1926,19.44,21.72,22.83,23.22,22.11,20.46,20.35,21.37,21.75,21.25,20.28,20.17
1927,16.57,21.00,21.55,23.09,21.86,20.72,20.97,19.83,21.02,20.26,19.42,18.60
1928,18.17,20.76,21.57,21.43,22.35,21.20,20.86,19.30,20.81,20.52,19.70,18.84
1929,17.49,19.46,21.44,22.72,22.53,20.47,21.36,19.87,20.78,19.88,18.69,17.73
1930,19.13,22.00,22.31,22.92,22.49,20.89,20.91,20.57,21.28,20.04,21.25,20.73
1931,21.12,21.86,23.22,23.67,22.60,21.55,21.47,21.35,20.29,20.70,20.35,20.53
1932,17.61,20.82,22.86,24.42,22.51,21.46,20.84,20.99,21.59,22.14,21.28,20.33
1933,20.32,22.02,23.37,22.96,22.08,20.71,20.79,20.55,21.38,20.79,19.79,19.46
1934,17.77,20.99,23.13,23.68,23.43,21.57,21.38,21.43,21.73,21.54,21.63,19.75
1935,18.41,21.61,24.86,24.70,22.76,20.95,20.86,20.65,20.81,21.46,20.45,20.08
1936,19.09,22.68,24.62,22.63,22.11,20.91,20.49,19.73,20.08,20.60,20.62,18.69
1937,18.33,21.60,24.23,24.93,24.28,22.99,21.83,21.18,21.32,22.04,22.17,20.62
1938,20.98,23.28,23.34,24.84,24.58,23.50,22.21,21.31,22.03,22.64,22.52,20.55
1939,20.10,21.75,24.62,23.12,23.11,22.57,21.75,20.91,21.48,22.11,21.79,21.26
1940,20.50,21.94,22.71,23.18,22.88,21.57,21.23,21.02,21.11,21.25,20.57,19.19
1941,20.65,21.02,23.81,23.64,23.64,21.98,21.56,21.45,21.73,22.28,21.75,20.69
1942,19.13,22.38,23.46,23.88,22.57,22.37,21.71,20.65,22.01,21.91,21.67,19.09
1943,18.94,21.15,23.42,23.12,22.64,21.56,21.44,20.88,21.21,21.41,20.96,20.39
1944,19.26,21.16,23.13,23.24,23.34,22.14,21.90,21.38,21.51,21.84,20.51,20.20
1945,20.34,20.63,22.45,23.17,22.94,21.82,21.90,20.75,21.62,21.15,20.36,18.50
1946,19.97,20.88,23.79,23.40,22.97,21.51,21.18,20.53,20.74,21.15,20.73,18.61
1947,18.67,23.66,22.68,23.59,23.73,22.03,21.84,21.48,21.38,21.32,19.94,19.82
1948,17.64,21.54,22.32,23.13,22.67,21.22,21.52,21.18,21.68,21.47,20.14,19.57
1949,19.51,20.79,24.11,24.13,23.16,22.07,22.01,21.18,21.74,21.83,21.31,19.69
1950,19.73,20.04,21.88,22.95,22.82,22.34,21.20,20.44,20.83,20.91,20.00,19.35
1951,20.08,21.77,23.53,23.23,22.54,22.10,21.19,21.00,21.96,21.94,20.33,19.39
