Variable:,tasmin
Country:,Tonga
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.60,23.90,23.30,22.70,21.50,20.60,19.70,19.40,19.80,20.60,21.80,22.70
1902,23.50,24.00,23.40,22.60,21.50,20.60,19.60,19.40,19.70,20.70,21.90,22.80
1903,23.30,23.90,23.50,22.50,21.40,20.80,19.50,19.60,19.70,20.60,21.70,22.50
1904,23.20,23.70,23.10,22.40,21.30,20.60,19.40,19.40,19.70,20.70,21.90,22.70
1905,23.50,24.10,23.40,22.50,21.20,20.50,19.40,19.30,19.60,20.60,21.70,22.50
1906,23.70,24.10,23.50,22.70,21.40,20.60,19.50,19.50,19.80,20.70,21.70,22.60
1907,23.40,23.90,23.20,22.40,21.20,20.80,19.50,19.30,19.70,20.70,21.70,22.50
1908,23.40,23.80,23.20,22.50,21.30,20.80,19.30,19.60,19.60,20.60,21.70,22.60
1909,23.20,23.80,23.20,22.30,21.20,20.60,19.40,19.60,19.70,20.60,21.70,22.40
1910,23.20,23.70,23.00,22.40,21.20,20.30,19.50,19.40,19.70,20.30,21.70,22.40
1911,23.20,24.00,23.20,22.50,21.20,20.40,19.30,19.60,19.80,20.50,21.90,22.90
1912,23.90,24.10,23.40,22.70,21.50,20.50,19.60,19.40,19.90,20.80,21.80,22.60
1913,23.30,23.90,23.40,22.60,21.30,20.70,19.60,19.50,20.00,20.50,21.90,22.60
1914,23.60,24.10,23.50,22.90,21.70,20.80,19.60,19.70,19.90,20.70,21.80,22.70
1915,23.40,24.00,23.50,22.70,21.40,20.60,19.30,19.40,19.90,20.80,21.70,22.50
1916,23.40,23.90,23.00,22.40,21.20,20.60,19.60,19.70,19.80,20.60,21.60,22.50
1917,23.20,23.70,23.50,22.20,21.10,20.50,19.50,19.20,19.60,20.70,21.50,22.80
1918,23.10,23.70,23.00,22.30,21.30,20.70,19.40,19.50,19.60,20.80,21.90,22.70
1919,23.40,24.10,23.50,22.70,21.40,20.70,19.60,19.50,20.00,20.80,22.10,22.90
1920,23.70,24.00,23.30,22.70,21.60,20.50,19.70,19.40,20.10,20.60,21.70,22.40
1921,23.50,24.80,24.40,22.60,20.70,20.60,19.50,20.40,20.20,21.60,22.40,22.90
1922,23.60,24.00,23.90,23.00,21.80,21.00,19.90,20.50,20.90,21.30,22.20,23.40
1923,23.60,24.60,23.20,22.30,21.10,20.30,19.80,19.70,19.20,20.50,21.00,22.30
1924,23.40,23.80,23.70,22.40,22.20,21.00,20.30,20.10,20.10,21.00,22.30,22.80
1925,23.30,24.60,23.50,22.90,21.30,20.50,19.40,19.60,19.90,20.80,21.40,22.60
1926,23.70,24.00,23.50,22.50,21.40,20.40,19.60,19.60,20.40,20.80,21.80,22.30
1927,23.30,23.20,23.00,22.60,21.70,20.80,20.10,20.40,20.10,21.10,22.20,23.20
1928,23.50,23.90,23.70,22.80,21.60,19.90,19.20,19.70,20.10,20.60,21.80,22.70
1929,23.40,23.50,22.80,22.70,21.10,20.30,19.40,19.30,19.70,20.70,22.00,22.20
1930,23.80,24.00,23.50,22.70,21.60,19.50,19.30,19.00,19.00,20.50,21.80,22.10
1931,23.60,23.90,23.40,22.80,21.30,20.30,19.80,20.00,20.00,20.30,21.30,22.20
1932,23.50,23.90,23.20,22.40,21.80,19.90,20.30,19.90,19.80,20.80,22.00,23.50
1933,23.40,24.00,23.40,23.00,21.70,20.80,18.90,19.70,19.80,21.00,22.20,22.70
1934,23.30,24.20,23.20,22.50,21.30,21.00,20.00,19.40,20.10,20.90,22.10,22.30
1935,23.40,24.30,23.50,22.50,21.30,20.80,20.50,19.80,20.90,21.70,22.60,22.40
1936,23.50,24.10,23.90,22.80,21.70,19.60,20.00,19.50,19.90,20.90,22.00,22.60
1937,23.40,24.40,23.20,22.50,20.90,20.50,19.80,19.80,19.70,20.90,21.80,22.80
1938,23.50,23.90,22.80,22.60,21.50,21.10,20.80,20.50,20.90,21.20,22.10,23.20
1939,23.10,24.00,23.10,22.80,21.50,20.30,20.30,20.10,19.50,20.30,21.50,22.00
1940,23.70,24.60,23.50,22.10,21.50,20.30,18.70,19.20,19.80,20.60,21.80,22.40
1941,23.50,24.20,23.40,23.20,21.50,21.00,19.50,19.60,19.70,19.90,22.00,22.60
1942,23.30,24.30,23.60,22.70,21.90,21.00,20.00,20.00,19.90,20.50,21.30,22.50
1943,23.50,24.00,23.90,22.90,21.30,19.80,19.50,19.70,19.80,21.10,22.40,22.50
1944,23.10,23.40,23.40,22.70,21.10,20.70,18.90,18.80,19.70,20.50,20.70,22.30
1945,23.60,24.60,24.30,22.50,20.50,19.80,19.60,19.20,19.90,20.30,21.20,22.90
1946,23.60,23.70,23.00,22.70,21.20,20.60,18.70,19.60,19.50,20.70,21.90,22.60
1947,24.10,24.00,23.00,23.40,21.40,20.40,20.20,19.00,20.00,20.40,21.10,22.70
1948,23.70,23.30,23.00,22.80,21.50,20.50,19.30,19.40,19.90,21.00,21.90,22.20
1949,23.70,23.80,23.40,22.70,21.20,20.40,19.90,19.60,19.80,20.40,21.90,22.60
1950,23.20,24.30,23.00,23.00,21.50,21.60,19.80,19.90,20.00,21.00,22.70,23.20
1951,23.50,23.90,23.20,22.50,20.70,20.50,18.60,19.00,19.40,20.20,21.70,23.10
1952,24.20,24.40,23.60,22.40,21.90,21.50,20.50,19.40,19.40,20.40,21.80,23.30
1953,23.70,23.90,23.50,23.80,21.70,20.20,20.20,18.50,19.00,20.70,22.10,22.50
1954,23.80,23.50,23.20,23.10,22.40,21.10,20.30,19.80,20.50,20.80,21.40,23.10
1955,23.50,24.10,23.00,23.00,22.20,20.80,20.00,20.40,20.90,20.90,22.30,22.80
1956,23.10,23.90,22.90,22.80,21.90,20.30,19.50,19.30,20.20,21.30,22.10,22.60
