Variable:,tasmin
Country:,Turkey
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.41,-2.43,1.32,4.07,7.53,12.16,15.03,14.82,9.71,5.51,0.42,-0.33
1902,-3.87,-1.75,-0.96,2.60,6.96,11.88,12.91,13.97,9.68,6.25,-1.44,-4.08
1903,-5.20,-3.38,-0.86,4.97,8.42,11.61,14.32,14.24,9.85,6.73,1.55,-1.83
1904,-7.02,-1.34,-0.86,2.67,7.08,10.86,14.40,14.40,10.60,7.46,1.19,-2.88
1905,-6.69,-5.10,-0.81,3.56,7.86,11.61,15.09,15.23,11.54,8.28,3.90,-2.87
1906,-4.89,-2.80,1.12,4.25,8.85,12.09,14.30,13.46,9.53,5.84,1.86,-0.82
1907,-6.03,-5.23,-2.10,2.60,8.88,11.87,14.66,14.25,9.55,7.18,-0.32,-2.50
1908,-5.48,-3.91,-1.23,2.59,8.20,11.82,14.04,14.54,10.39,5.31,-0.05,-4.04
1909,-6.99,-4.83,0.54,3.12,8.90,10.97,15.30,14.78,12.67,7.99,3.39,-0.54
1910,-3.79,-2.13,-0.89,3.69,7.91,11.70,14.77,14.21,9.78,5.89,2.80,-2.57
1911,-7.63,-8.00,-2.29,2.97,8.26,10.42,14.14,14.37,9.26,5.22,2.38,-2.49
1912,-5.52,-2.38,0.48,1.83,6.21,11.40,12.46,13.10,10.68,5.29,1.61,-2.37
1913,-5.41,-6.55,-1.25,3.43,6.71,10.24,13.77,14.37,10.81,5.58,1.84,-1.88
1914,-4.20,-2.01,2.17,3.42,7.59,11.15,14.67,13.79,9.50,5.81,-0.73,-2.23
1915,-0.36,-2.40,0.30,3.98,6.58,11.22,14.67,13.51,9.82,6.80,2.12,0.12
1916,-3.95,-2.52,1.55,4.46,8.60,12.06,14.85,13.87,9.65,6.62,2.93,-0.41
1917,-2.87,-5.29,0.04,5.36,6.67,10.87,14.33,14.65,10.98,7.26,3.79,-3.09
1918,-3.63,-3.56,-0.74,3.50,7.25,10.45,13.87,13.77,12.36,9.97,2.20,-1.31
1919,-2.11,-2.39,0.55,5.27,5.88,9.95,13.85,13.07,11.74,9.10,2.88,-1.76
1920,-3.57,-7.14,0.23,5.26,8.53,11.80,14.84,15.32,10.58,3.90,-1.16,-4.88
1921,-3.55,-6.48,-1.49,3.87,9.20,10.96,14.66,14.97,9.11,4.80,0.83,-3.53
1922,-4.44,-3.50,1.11,4.30,8.37,11.47,15.49,14.34,10.44,6.96,1.90,-2.03
1923,-3.26,-3.31,0.28,3.08,9.15,12.25,14.83,13.13,11.87,7.66,4.55,-0.20
1924,-5.13,-4.07,-0.15,3.87,8.75,13.45,14.37,14.49,12.83,6.02,0.96,-4.34
1925,-6.29,-2.11,1.78,3.61,8.32,10.24,14.20,14.40,11.40,6.47,3.17,-0.75
