Variable:,tasmin
Country:,Tuvalu
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1902,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1903,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1904,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1905,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1906,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1907,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1908,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1909,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1910,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1911,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1912,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1913,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1914,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1915,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1916,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1917,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1918,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1919,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1920,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1921,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
1922,24.83,24.90,24.83,24.80,25.13,25.23,24.93,24.73,24.93,24.85,24.70,24.83
