Variable:,tasmin
Country:,Zambia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.15,17.97,17.85,15.64,12.21,8.74,8.27,10.81,13.80,16.87,17.80,17.82
1902,17.70,17.76,17.30,16.29,12.09,9.54,9.23,11.37,14.93,16.40,18.04,18.40
1903,18.02,18.19,17.67,16.42,12.95,9.37,8.47,11.32,14.72,17.34,17.68,17.60
1904,17.25,17.12,16.48,15.70,11.62,9.71,8.07,10.84,13.43,16.99,18.20,17.22
1905,17.97,17.85,16.70,15.07,11.91,10.05,8.03,11.32,15.02,18.24,18.14,18.36
1906,18.58,17.28,16.98,14.97,12.15,8.99,8.32,10.32,13.99,16.59,17.25,17.90
1907,17.66,17.31,17.09,15.17,11.89,8.69,7.40,9.61,13.74,16.96,17.55,17.77
1908,17.61,17.46,17.25,15.64,11.25,9.46,8.39,11.34,14.72,17.90,18.03,18.05
1909,17.64,17.78,17.13,14.99,11.90,8.59,8.60,11.15,14.02,17.13,17.66,18.34
1910,17.68,17.66,17.03,15.02,11.34,8.91,8.18,10.83,13.84,16.47,17.09,17.86
1911,17.23,17.21,16.60,14.77,11.70,8.20,7.60,10.35,13.31,17.48,18.09,19.22
1912,18.27,18.36,16.89,16.25,13.23,8.75,7.88,10.21,14.18,16.73,19.31,17.87
1913,18.10,18.05,17.06,15.66,12.12,8.56,8.84,11.05,14.52,17.72,18.35,19.14
1914,18.54,17.63,18.02,16.83,12.52,9.64,8.22,10.81,15.29,18.13,18.67,18.34
1915,17.96,17.62,17.07,16.06,11.74,9.37,9.42,10.89,14.54,17.85,18.51,18.53
1916,17.96,18.95,18.02,15.74,11.78,9.36,8.72,10.48,14.63,18.24,17.84,18.03
1917,17.89,18.45,17.58,15.65,12.78,9.76,8.80,10.78,14.06,17.75,18.31,17.20
1918,16.57,17.22,16.65,13.95,10.88,8.66,8.65,9.12,14.20,17.96,17.68,17.75
1919,17.60,17.38,16.97,16.03,10.57,8.71,8.75,10.11,14.12,16.37,17.66,17.96
1920,18.81,18.17,17.04,14.76,12.31,9.17,8.52,10.42,15.10,17.32,18.37,18.84
1921,18.44,18.24,17.73,15.54,11.81,9.59,8.13,10.18,13.98,17.41,17.60,17.84
1922,19.18,18.29,18.69,16.00,12.68,10.47,8.85,12.19,14.48,16.08,18.39,19.03
1923,17.64,17.63,17.08,15.40,12.03,9.90,8.54,11.53,13.43,17.41,18.56,18.42
1924,18.60,17.82,17.83,14.06,12.31,10.06,8.50,10.58,14.56,17.25,18.04,17.68
1925,17.09,17.46,17.43,16.04,11.25,9.25,7.78,9.69,12.30,16.26,18.08,18.80
1926,18.03,18.15,17.24,15.56,12.01,8.81,8.17,9.76,14.45,17.29,17.81,18.17
