,Country,Crop,Model_Type,R2
0,Afghanistan,Apples,lasso_0.02,0.35447979270817065
1,Afghanistan,Barley,mir_0.4_classic_linear_regression,0.7751034454405049
2,Afghanistan,Cereals (Rice Milled Eqv),mir_0.5_classic_linear_regression,0.6097705144598072
3,Afghanistan,Grapes,mir_0.4_lasso_0.02,0.4694231494521217
4,Afghanistan,Maize,mir_0.3_lasso_20,0.6108917721401474
5,Afghanistan,Oranges,mir_0.3_lasso_400,0.37984109731878823
6,Afghanistan,Potatoes,lasso_0.5,0.48630928085449887
7,Afghanistan,"Rice, paddy",mir_0.4_classic_linear_regression,0.6140708023644332
8,Afghanistan,Sesame seed,mir_0.3_lasso_200,0.4442837250211725
9,Afghanistan,Sugar beet,mir_0.5_classic_linear_regression,0.5044993600850609
10,Afghanistan,Sugar cane,mir_0.2_lasso_0.5,0.32172006350143834
11,Afghanistan,Sunflower seed,mir_0.4_lasso_400,0.5274360682382488
12,Afghanistan,Wheat,mir_0.4_classic_linear_regression,0.689818215973762
13,Albania,Apples,mir_0.4_classic_linear_regression,0.11020878745998275
14,Albania,Barley,mir_0.5_classic_linear_regression,0.16565232447483635
15,Albania,"Beans, dry",mir_0.2_lasso_400,0.45015819012986436
16,Albania,Cereals (Rice Milled Eqv),mir_0.4_classic_linear_regression,0.7343006976601438
17,Albania,Grapes,mir_0.3_lasso_400,0.6576044006271958
18,Albania,Maize,mir_0.4_classic_linear_regression,0.559525257814192
19,Albania,Oranges,mir_0.4_classic_linear_regression,0.7415619266264853
20,Albania,Potatoes,mir_0.4_classic_linear_regression,0.42364537844070316
21,Albania,Rye,mir_0.3_lasso_2,0.5858129752869348
22,Albania,Sugar beet,mir_0.4_lasso_400,0.5779552997609486
23,Albania,Sunflower seed,mir_0.4_classic_linear_regression,0.7425591923201289
24,Albania,"Tobacco, unmanufactured",mir_0.2_lasso_400,0.4607028189432155
25,Albania,Tomatoes,lasso_2,0.580288185478901
26,Albania,Wheat,lasso_0.8,0.5445928846211159
27,Algeria,Apples,mir_0.3_lasso_400,0.6097195927893595
28,Algeria,Barley,lasso_0.8,0.5765866501221306
29,Algeria,"Beans, dry",mir_0.4_classic_linear_regression,0.7720197800383566
30,Algeria,Cereals (Rice Milled Eqv),mir_0.4_classic_linear_regression,0.36996474562268244
31,Algeria,Grapes,lasso_0.5,0.19436187528882498
32,Algeria,Maize,mir_0.2_lasso_400,0.3807128836873974
33,Algeria,Oranges,lasso_2,0.6797428583849918
34,Algeria,"Peas, dry",mir_0.3_lasso_400,0.4641553962477257
35,Algeria,Potatoes,mir_0.3_lasso_400,0.5425845033552152
36,Algeria,"Rice, paddy",lasso_0.8,0.5378548394646034
37,Algeria,Sunflower seed,mir_0.3_classic_linear_regression,0.5971300080347103
38,Algeria,"Tobacco, unmanufactured",mir_0.4_lasso_400,0.3418250096615527
39,Algeria,Tomatoes,mir_0.4_classic_linear_regression,0.6957342399525238
40,Algeria,Wheat,mir_0.5_classic_linear_regression,0.2984050002829183
41,American Samoa,Bananas,mir_0.5_classic_linear_regression,0.7557625695822853
42,American Samoa,Cassava,mir_0.4_classic_linear_regression,0.42370480948861855
43,American Samoa,"Cocoa, beans",mir_0.4_classic_linear_regression,0.6062962189412225
44,American Samoa,Sugar cane,mir_0.4_classic_linear_regression,0.5725580026296966
45,American Samoa,Yams,mir_0.4_lasso_400,0.8335620688130878
46,Angola,Bananas,mir_0.3_lasso_200,0.6394474552275088
47,Angola,"Beans, dry",mir_0.4_lasso_400,0.3905613584369384
48,Angola,"Cashew nuts, with shell",mir_0.4_classic_linear_regression,0.6130509649067846
49,Angola,Cassava,mir_0.5_classic_linear_regression,0.19216298682966815
50,Angola,Cereals (Rice Milled Eqv),mir_0.2_lasso_400,0.5770431767315296
51,Angola,"Cocoa, beans",mir_0.4_classic_linear_regression,0.36782492743178885
52,Angola,"Coffee, green",lasso_0.5,0.20744135049785006
53,Angola,Maize,mir_0.4_lasso_400,0.6342113815954966
54,Angola,"Oil, palm",mir_0.4_classic_linear_regression,0.5632332824710685
55,Angola,Potatoes,mir_0.5_classic_linear_regression,0.7216198962986005
56,Angola,"Rice, paddy",lasso_400,0.44011141754475214
57,Angola,Sesame seed,mir_0.3_lasso_400,0.47253867089817747
58,Angola,Sugar cane,mir_0.3_classic_linear_regression,0.6930940419203293
59,Angola,Sunflower seed,lasso_0.5,0.5642746731606323
60,Angola,Sweet potatoes,mir_0.4_classic_linear_regression,0.555948694538682
61,Angola,"Tobacco, unmanufactured",mir_0.4_classic_linear_regression,0.5031887923909135
62,Angola,Tomatoes,mir_0.5_classic_linear_regression,0.49455412069930416
63,Angola,Wheat,mir_0.5_classic_linear_regression,0.23127539986641577
64,Antigua and Barbuda,Cassava,lasso_0.5,0.549639063752987
65,Antigua and Barbuda,Sweet potatoes,mir_0.3_lasso_400,0.5573226953038357
66,Antigua and Barbuda,Tomatoes,lasso_0.8,0.5342938114313392
67,Antigua and Barbuda,Yams,mir_0.3_lasso_400,0.7170618772666955
68,Argentina,Apples,lasso_0.8,0.6104629614360766
69,Argentina,Avocados,mir_0.3_lasso_0.02,0.4785075154477936
70,Argentina,Bananas,mir_0.4_lasso_0.02,0.5856294792023196
71,Argentina,Barley,mir_0.4_classic_linear_regression,0.7618251077222836
72,Argentina,"Beans, dry",mir_0.5_classic_linear_regression,0.1717244206847054
73,Argentina,Cassava,mir_0.4_classic_linear_regression,0.6832117737787544
74,Argentina,Cereals (Rice Milled Eqv),mir_0.4_classic_linear_regression,0.3921782348910936
75,Argentina,Grapes,mir_0.4_classic_linear_regression,0.7420422664486449
76,Argentina,Maize,mir_0.4_classic_linear_regression,0.7966937754188039
77,Argentina,Oranges,mir_0.4_classic_linear_regression,0.6927488127906396
78,Argentina,"Peas, dry",mir_0.3_lasso_400,0.5254938342918085
79,Argentina,Potatoes,mir_0.3_lasso_400,0.7188733393013595
80,Argentina,Rapeseed,mir_0.3_lasso_400,0.4737653757115349
81,Argentina,"Rice, paddy",mir_0.3_classic_linear_regression,0.5692846913844262
82,Argentina,Rye,mir_0.4_lasso_400,0.49913890493696766
83,Argentina,Soybeans,mir_0.4_lasso_0.02,0.5467535516475357
84,Argentina,Sugar cane,lasso_0.8,0.577480265917439
85,Argentina,Sunflower seed,mir_0.3_lasso_0.02,0.5078400247194708
86,Argentina,Sweet potatoes,mir_0.3_lasso_50,0.6436941494328494
87,Argentina,Tea,lasso_0.02,0.6967750163852833
88,Argentina,"Tobacco, unmanufactured",mir_0.2_lasso_400,0.25972986726173586
89,Argentina,Tomatoes,mir_0.4_classic_linear_regression,0.8610193757908113
90,Argentina,Wheat,mir_0.5_classic_linear_regression,0.5781840835889613
91,Australia,Apples,mir_0.3_lasso_400,0.6314246259726117
92,Australia,Avocados,mir_0.5_classic_linear_regression,0.5040744696315639
93,Australia,Bananas,mir_0.4_classic_linear_regression,0.6538855706128128
94,Australia,Barley,mir_0.3_lasso_200,0.5506397585053848
95,Australia,"Beans, dry",mir_0.4_classic_linear_regression,0.6584174529799806
96,Australia,Cereals (Rice Milled Eqv),mir_0.3_lasso_20,0.4628306238307235
97,Australia,Grapes,mir_0.4_classic_linear_regression,0.49545257889044514
98,Australia,Maize,classic_linear_regression,0.5997890710581172
99,Australia,Oranges,mir_0.4_classic_linear_regression,0.670843344078792
100,Australia,"Peas, dry",mir_0.5_classic_linear_regression,0.44054779511513975
101,Australia,Potatoes,mir_0.3_lasso_400,0.7655026617715509
102,Australia,"Rice, paddy",mir_0.5_classic_linear_regression,0.22458432217972912
103,Australia,Rye,mir_0.5_classic_linear_regression,0.4849054668599272
104,Australia,Soybeans,mir_0.3_lasso_0.02,0.6218422077671623
105,Australia,Sugar cane,mir_0.4_classic_linear_regression,0.5214135181852553
106,Australia,Sunflower seed,mir_0.4_classic_linear_regression,0.6156842913078209
107,Australia,Sweet potatoes,mir_0.3_lasso_400,0.3247616398509078
108,Australia,"Tobacco, unmanufactured",lasso_400,0.40075245568567
109,Australia,Tomatoes,mir_0.5_classic_linear_regression,0.5676593655109603
110,Australia,Wheat,mir_0.4_lasso_400,0.5421433404900496
111,Austria,Apples,mir_0.4_lasso_2,0.3662986779137445
112,Austria,Barley,lasso_0.8,0.4124927995190846
113,Austria,Cereals (Rice Milled Eqv),mir_0.4_classic_linear_regression,0.694636017092696
114,Austria,Grapes,mir_0.4_classic_linear_regression,0.6508720516562321
115,Austria,Maize,lasso_0.8,0.5426582882721527
116,Austria,"Peas, dry",mir_0.4_classic_linear_regression,0.6201724102078031
117,Austria,Potatoes,mir_0.4_lasso_0.5,0.32090681615979644
118,Austria,Rapeseed,mir_0.3_lasso_8,0.6042046120094909
119,Austria,Rye,mir_0.4_classic_linear_regression,0.7034263165758493
120,Austria,Sugar beet,mir_0.4_lasso_400,0.23027750143402836
121,Austria,Sunflower seed,mir_0.2_lasso_200,0.4948109539350902
122,Austria,"Tobacco, unmanufactured",mir_0.4_lasso_0.02,0.5533031911914751
123,Austria,Tomatoes,mir_0.4_classic_linear_regression,0.7908914057034513
124,Austria,Wheat,mir_0.5_classic_linear_regression,0.3330678234079152
125,Bahrain,Bananas,mir_0.5_classic_linear_regression,0.3824877907569023
126,Bahrain,Grapes,mir_0.4_classic_linear_regression,0.655075664856245
127,Bahrain,Tomatoes,mir_0.4_classic_linear_regression,0.6989950724072078
128,Bangladesh,Bananas,lasso_20,0.540404430641747
129,Bangladesh,Barley,mir_0.3_lasso_400,0.4768302048426968
130,Bangladesh,"Beans, dry",mir_0.2_lasso_0.02,0.5077131649617623
131,Bangladesh,Cereals (Rice Milled Eqv),mir_0.2_lasso_400,0.36054901208539536
132,Bangladesh,Maize,mir_0.4_lasso_0.02,0.7110268485577595
133,Bangladesh,Oranges,mir_0.3_lasso_100,0.3613477212668451
134,Bangladesh,"Peas, dry",mir_0.4_classic_linear_regression,0.4548328985872321
135,Bangladesh,Potatoes,mir_0.3_lasso_400,0.4876415184083801
136,Bangladesh,Rapeseed,mir_0.3_classic_linear_regression,0.6233442036008656
137,Bangladesh,"Rice, paddy",mir_0.3_lasso_0.02,0.6371203802784947
138,Bangladesh,Sesame seed,mir_0.5_classic_linear_regression,0.49506619830969945
139,Bangladesh,Sugar cane,lasso_400,0.49088628763733555
140,Bangladesh,Sweet potatoes,mir_0.4_classic_linear_regression,0.7309560074285375
141,Bangladesh,Tea,mir_0.3_lasso_2,0.5042633003251225
142,Bangladesh,"Tobacco, unmanufactured",lasso_0.8,0.5120349568598244
143,Bangladesh,Tomatoes,mir_0.3_lasso_8,0.7667686294182817
144,Bangladesh,Wheat,mir_0.5_classic_linear_regression,0.38691978059179066
145,Barbados,Avocados,mir_0.3_lasso_200,0.5332196215456892
146,Barbados,Bananas,mir_0.4_classic_linear_regression,0.3678346996482388
147,Barbados,Cassava,mir_0.3_lasso_400,0.4612510657679951
148,Barbados,Cereals (Rice Milled Eqv),mir_0.4_classic_linear_regression,0.626642401464174
149,Barbados,Maize,mir_0.2_lasso_200,0.5749858092101976
150,Barbados,Sugar cane,mir_0.4_classic_linear_regression,0.6641816353422462
151,Barbados,Sweet potatoes,mir_0.5_classic_linear_regression,0.5354308728825077
152,Barbados,Tomatoes,mir_0.3_lasso_30,0.35971240667150783
153,Barbados,Yams,mir_0.3_lasso_400,0.482487222755142
154,Belize,Bananas,mir_0.5_classic_linear_regression,0.11813409196885438
155,Belize,"Beans, dry",mir_0.2_lasso_0.5,0.4445223139382749
156,Belize,Cereals (Rice Milled Eqv),mir_0.3_lasso_200,0.4907322220186453
157,Belize,"Cocoa, beans",mir_0.4_classic_linear_regression,0.541332817322081
158,Belize,Maize,mir_0.4_lasso_400,0.4968889133978366
159,Belize,Oranges,mir_0.5_classic_linear_regression,0.17202197416643106
160,Belize,"Rice, paddy",mir_0.5_classic_linear_regression,0.04294505619303701
161,Belize,Sugar cane,mir_0.4_classic_linear_regression,0.40587546660289753
162,Benin,Bananas,mir_0.4_lasso_400,0.3388567724837348
163,Benin,"Beans, dry",mir_0.3_lasso_400,0.42362562271058934
164,Benin,"Cashew nuts, with shell",mir_0.2_lasso_400,0.34898310603470173
165,Benin,Cassava,mir_0.5_classic_linear_regression,0.6816720718474922
166,Benin,Cereals (Rice Milled Eqv),mir_0.3_lasso_400,-0.14373342453128957
167,Benin,"Coffee, green",mir_0.4_classic_linear_regression,0.6855537570931854
168,Benin,Maize,mir_0.3_lasso_400,0.5298017185902463
169,Benin,"Oil, palm",mir_0.3_classic_linear_regression,0.6207256071902292
170,Benin,Oranges,mir_0.3_lasso_400,0.6502075520307604
171,Benin,"Rice, paddy",mir_0.3_lasso_400,0.6081936266675795
172,Benin,Sesame seed,mir_0.4_classic_linear_regression,0.6379165882965065
173,Benin,Sweet potatoes,mir_0.3_lasso_400,0.4393325354632557
174,Benin,"Tobacco, unmanufactured",mir_0.4_classic_linear_regression,0.6922144260415646
175,Benin,Tomatoes,lasso_2,0.5838074571243643
176,Benin,Yams,mir_0.5_classic_linear_regression,0.6631031919768897
177,Bermuda,Bananas,mir_0.4_classic_linear_regression,0.7439448903354282
178,Bermuda,Potatoes,mir_0.3_lasso_400,0.5454712220182145
179,Bermuda,Sweet potatoes,mir_0.3_lasso_400,0.6162348617156519
180,Bermuda,Tomatoes,mir_0.3_lasso_50,0.5560410613813905
181,Bhutan,Apples,mir_0.3_lasso_400,0.501072465480536
182,Bhutan,Barley,mir_0.2_lasso_400,0.39839687609784136
183,Bhutan,Cereals (Rice Milled Eqv),mir_0.4_classic_linear_regression,0.7281618308097388
184,Bhutan,Maize,mir_0.5_classic_linear_regression,0.2309305137299117
185,Bhutan,Oranges,lasso_0.02,0.5359414775568915
186,Bhutan,Potatoes,mir_0.3_lasso_400,0.6421889569468877
187,Bhutan,"Rice, paddy",mir_0.4_classic_linear_regression,0.6956880356388377
188,Bhutan,Wheat,mir_0.5_lasso_400,0.5903735210071641
189,Bolivia,Apples,mir_0.4_classic_linear_regression,0.38979592660341356
190,Bolivia,Avocados,mir_0.3_lasso_20,0.6348417913917712
191,Bolivia,Bananas,mir_0.4_classic_linear_regression,0.675863732502404
192,Bolivia,Barley,mir_0.4_classic_linear_regression,0.21552455811315574
193,Bolivia,"Beans, dry",mir_0.4_classic_linear_regression,0.5798817684091775
194,Bolivia,Cassava,mir_0.2_lasso_400,0.5067702253888406
195,Bolivia,Cereals (Rice Milled Eqv),mir_0.5_classic_linear_regression,0.527896726893959
196,Bolivia,"Cocoa, beans",mir_0.4_classic_linear_regression,0.8219187295769487
197,Bolivia,"Coffee, green",mir_0.4_classic_linear_regression,0.21074553051767897
198,Bolivia,Grapes,mir_0.5_classic_linear_regression,0.2604494940939418
199,Bolivia,Maize,mir_0.3_lasso_200,0.66907309187999
200,Bolivia,Oranges,mir_0.4_lasso_100,0.36517203793313413
201,Bolivia,"Peas, dry",mir_0.3_lasso_30,0.5239601480887301
202,Bolivia,Potatoes,lasso_400,0.5594600742590832
203,Bolivia,"Rice, paddy",mir_0.2_lasso_400,0.49184384628180433
204,Bolivia,Rye,mir_0.3_lasso_400,0.5213860775328187
205,Bolivia,Sugar cane,mir_0.4_lasso_0.02,0.5500346252112698
206,Bolivia,Sweet potatoes,mir_0.3_lasso_8,0.534447922448735
207,Bolivia,Tea,lasso_0.5,0.4555704573674866
208,Bolivia,"Tobacco, unmanufactured",mir_0.4_lasso_400,0.526960389532656
209,Bolivia,Tomatoes,mir_0.3_lasso_400,0.6304144008617761
210,Bolivia,Wheat,mir_0.4_classic_linear_regression,0.6461005389159894
211,Botswana,Cereals (Rice Milled Eqv),mir_0.5_classic_linear_regression,0.7452204877117491
212,Botswana,Maize,mir_0.3_lasso_400,0.774766003337199
213,Botswana,Oranges,mir_0.3_lasso_8,0.4561711580114325
214,Brazil,Apples,mir_0.5_lasso_400,0.30699237393864964
