Variable:,pr
Country:,Aruba
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1902,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1903,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1904,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1905,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1906,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1907,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1908,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1909,39.00,28.00,26.00,51.00,96.00,69.00,59.00,87.00,100.00,136.00,112.00,80.00
1910,13.00,9.30,8.60,66.10,96.50,152.50,125.30,58.00,94.60,233.20,209.30,101.40
1911,13.00,9.30,8.60,16.90,134.00,87.70,100.30,145.20,63.60,271.60,90.50,120.00
1912,13.00,9.30,8.60,16.90,121.80,87.70,87.10,114.10,121.80,190.10,113.00,45.30
1913,13.00,9.30,8.60,59.50,110.60,70.30,122.30,70.00,101.50,216.70,74.10,35.90
1914,13.00,9.30,8.60,49.70,52.50,186.50,94.50,155.30,57.90,164.30,65.90,50.00
1915,15.30,10.30,9.90,22.30,80.70,46.10,128.20,121.10,81.00,138.00,157.00,95.50
1916,14.70,10.20,31.20,34.60,124.40,47.20,155.90,103.80,96.10,81.60,116.60,137.60
1917,23.90,9.90,16.80,22.40,85.90,76.90,145.40,36.80,72.50,91.00,244.50,27.60
1918,13.00,9.30,16.30,43.80,66.60,29.60,79.80,73.00,94.60,75.00,50.50,31.30
1919,13.00,33.70,20.20,16.90,118.10,92.70,91.50,55.00,96.50,127.40,53.60,35.90
1920,2.10,15.10,30.00,11.40,71.40,14.80,53.30,68.80,78.70,255.70,42.10,105.10
1921,16.60,79.80,79.10,9.60,43.30,69.60,50.10,85.60,162.10,187.10,110.40,119.20
