Variable:,pr
Country:,"Antigua and Barbuda"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,132.80,86.60,117.70,142.00,331.90,258.00,233.30,220.90,240.00,227.50,339.60,213.10
1902,114.60,103.00,85.90,279.60,177.00,256.10,202.30,295.20,261.10,234.70,232.60,225.60
1903,183.70,108.80,141.90,134.60,212.30,138.00,207.30,214.60,318.60,264.40,200.40,188.10
1904,138.40,93.80,135.50,152.80,176.00,185.30,173.10,213.50,286.90,312.70,300.50,159.10
1905,130.30,95.70,107.60,166.00,199.40,216.20,208.50,234.40,323.10,259.00,281.70,170.70
1906,129.20,94.00,114.60,154.00,214.30,160.90,196.40,204.80,228.20,285.30,237.50,217.60
1907,126.00,72.00,87.00,160.10,149.20,194.70,216.00,192.80,255.70,229.90,207.10,284.60
1908,150.50,113.00,116.10,165.70,212.30,188.90,205.60,237.90,257.50,275.90,287.00,207.30
1909,160.50,136.50,134.30,104.00,367.00,203.80,209.90,242.40,235.00,197.50,220.10,169.60
1910,151.30,112.90,115.50,165.90,213.10,187.30,206.50,235.80,258.00,275.40,283.90,210.50
1911,150.40,111.90,115.80,166.40,212.20,187.50,205.20,235.10,257.40,276.50,285.80,207.60
1912,151.20,112.50,116.30,166.10,212.40,187.60,205.50,235.10,257.90,277.60,284.80,207.50
1913,150.60,112.90,116.20,165.60,214.30,187.70,205.30,235.70,257.50,275.20,284.90,208.70
1914,151.20,112.50,116.00,166.70,212.50,188.00,206.10,235.30,258.10,275.60,286.20,207.80
1915,151.10,112.20,115.40,165.90,212.60,188.10,206.00,237.30,260.10,276.30,285.60,207.50
1916,150.60,111.90,115.60,165.70,213.50,188.10,206.70,235.60,258.20,274.80,285.90,207.80
1917,151.00,112.00,115.70,165.50,212.20,187.80,205.80,234.90,258.10,275.30,285.10,208.10
1918,150.70,111.80,115.90,166.90,212.10,188.30,207.50,235.00,260.10,275.50,285.10,208.00
1919,151.80,112.50,116.40,165.20,212.00,187.40,205.90,235.90,257.90,275.80,284.50,207.70
1920,151.90,112.40,116.30,166.00,212.30,187.40,207.90,235.60,258.80,275.80,284.20,207.50
1921,151.70,112.50,116.40,165.60,212.10,187.20,206.10,235.80,257.70,275.70,284.00,208.50
1922,150.70,111.80,115.70,166.10,212.00,188.30,205.60,235.50,257.50,276.40,285.10,207.10
1923,150.80,112.00,115.80,165.90,212.40,187.90,205.60,236.00,257.10,275.10,286.10,207.80
1924,150.50,111.90,115.80,166.00,212.10,187.90,206.10,235.40,257.80,275.50,286.60,207.00
1925,151.20,111.90,116.00,165.30,212.20,187.20,206.50,235.80,257.30,276.50,284.00,207.40
1926,151.30,112.50,116.50,166.20,212.40,187.90,206.00,235.40,257.90,278.20,285.50,207.50
1927,150.90,111.80,115.60,165.30,213.60,187.20,206.10,236.40,260.60,275.70,285.70,208.20
1928,150.90,111.70,115.90,165.50,213.40,188.20,205.30,237.20,258.80,275.90,284.20,207.20
1929,152.60,111.70,115.90,165.50,212.70,188.10,205.10,235.20,258.20,275.50,285.50,208.00
1930,150.60,113.20,115.90,166.70,213.20,189.70,206.40,236.60,260.30,276.70,286.80,207.50
1931,140.10,92.50,111.50,144.30,223.30,207.50,207.20,202.00,265.80,277.00,394.20,181.50
1932,178.90,93.90,102.20,125.80,248.40,203.20,220.40,233.40,373.30,270.20,310.60,183.20
1933,114.10,77.20,106.50,135.90,209.70,135.40,182.10,220.20,209.40,212.50,256.00,243.10
1934,134.60,90.30,137.20,158.20,232.20,142.10,237.10,278.10,243.50,251.00,224.60,171.50
1935,120.00,101.50,80.10,119.20,353.90,230.30,202.80,257.70,262.10,335.30,277.50,187.10
1936,177.50,90.90,79.70,168.20,142.50,148.90,176.20,183.80,258.60,239.00,292.20,159.60
1937,137.60,88.40,100.70,139.20,232.70,196.10,190.40,272.80,268.80,232.60,388.20,217.50
1938,140.20,103.50,138.70,128.40,158.00,195.20,158.90,190.60,218.70,265.20,318.30,139.90
1939,107.40,97.00,114.60,126.80,152.60,198.40,185.60,187.70,198.80,224.90,325.90,175.70
1940,140.60,69.70,99.50,189.40,203.70,204.50,202.70,189.50,296.90,211.60,301.40,170.20
1941,124.80,118.20,92.50,204.40,204.90,172.60,195.60,192.10,350.30,270.40,424.20,173.80
1942,157.30,99.50,120.60,152.60,217.10,173.80,179.50,236.60,220.40,265.80,243.20,191.80
1943,129.90,108.30,87.80,129.20,254.40,208.20,232.80,214.60,280.00,293.20,252.90,190.80
1944,114.00,105.20,92.60,208.40,209.10,162.20,214.50,235.50,226.60,289.70,229.00,192.50
1945,136.90,97.60,86.10,146.20,263.00,153.30,175.80,208.70,233.50,233.50,251.90,186.10
1946,174.00,80.20,95.10,134.90,218.50,149.70,186.60,187.50,222.80,256.60,231.40,163.10
1947,121.90,107.30,115.10,154.30,205.90,199.40,217.50,279.90,230.30,306.30,326.60,181.60
1948,141.70,115.40,114.80,138.00,183.30,206.80,191.10,212.30,355.70,313.80,232.30,180.20
1949,192.70,104.60,120.10,192.90,224.80,213.20,170.60,237.10,240.60,306.00,250.20,213.40
1950,152.80,86.30,73.20,149.40,239.80,196.20,226.70,288.70,303.30,213.00,192.50,246.60
1951,190.50,90.60,119.30,267.50,203.40,156.90,352.30,400.70,389.40,230.70,312.20,128.20
1952,172.40,72.30,120.70,174.70,172.40,221.60,197.30,171.60,305.90,153.90,405.40,282.20
1953,224.50,170.80,132.60,234.00,134.80,152.20,185.00,327.50,422.80,490.20,170.70,234.90
1954,149.70,111.00,112.80,241.60,227.40,151.10,181.40,419.20,341.70,408.10,341.80,148.40
1955,147.50,191.60,115.00,262.20,106.60,217.20,175.20,305.90,173.60,291.60,302.40,393.20
1956,170.20,77.90,60.00,102.80,90.40,272.80,224.20,253.10,145.30,252.30,336.10,271.30
1957,67.60,67.90,39.30,249.40,517.00,285.80,335.90,228.10,309.80,425.20,320.40,191.50
1958,187.70,114.70,130.00,163.80,314.30,125.30,306.10,165.40,227.90,179.70,195.00,195.00
1959,98.10,134.50,165.20,194.70,211.00,156.70,286.70,222.90,321.60,251.30,329.70,336.80
1960,163.40,102.40,93.60,87.20,138.60,145.90,228.00,275.00,168.20,301.70,331.00,224.60
1961,214.30,119.50,103.80,264.90,151.10,271.00,190.10,259.00,238.80,280.10,165.80,145.90
1962,259.40,109.00,84.00,157.50,215.00,176.30,300.80,197.10,267.10,217.90,227.20,86.50
1963,119.30,112.80,122.20,217.60,166.70,174.80,290.20,231.80,196.10,223.80,127.30,134.30
1964,183.20,55.90,60.50,181.60,253.70,192.50,225.20,168.50,250.00,210.00,244.80,329.10
1965,99.20,162.00,183.40,174.00,308.80,198.60,302.40,182.20,258.30,205.10,298.80,212.90
1966,191.10,115.40,163.00,119.20,168.40,117.60,179.50,170.70,402.10,255.30,253.60,130.10
1967,94.40,45.00,89.90,181.50,207.00,235.50,156.00,232.60,205.40,185.40,181.40,301.00
1968,149.40,95.20,72.00,158.60,460.80,235.00,325.60,219.20,294.70,241.70,302.10,157.10
1969,57.30,70.60,71.60,125.70,244.20,303.60,304.00,339.40,216.60,304.30,280.20,388.70
1970,177.00,174.20,94.40,219.80,284.50,75.00,153.90,244.80,183.50,276.90,118.60,319.30
1971,216.20,166.00,146.80,142.50,130.70,187.30,171.50,179.60,228.10,347.50,204.80,207.70
1972,104.10,84.80,92.30,165.40,88.50,210.10,158.20,181.50,300.20,172.60,120.40,133.20
1973,221.50,131.30,200.40,126.10,141.70,116.50,112.40,173.50,315.80,250.10,327.10,97.60
1974,205.70,112.50,72.70,142.00,118.30,95.70,104.60,180.60,343.20,432.70,312.70,336.80
1975,135.40,176.40,122.10,100.00,116.30,155.30,109.50,209.40,181.30,311.70,290.60,239.70
1976,64.10,55.50,69.50,209.60,107.80,104.80,142.00,275.50,248.00,420.40,417.00,151.10
1977,127.20,62.10,147.40,142.30,244.00,172.90,212.70,253.20,180.20,245.00,269.40,140.40
1978,90.70,101.10,187.10,87.30,334.30,375.00,259.90,350.80,410.90,251.70,401.50,225.10
1979,98.90,92.50,72.60,247.70,129.90,121.60,213.10,276.70,261.60,280.70,219.40,276.60
1980,142.00,141.60,95.40,281.80,337.00,201.00,224.60,236.60,196.40,245.00,239.50,235.00
1981,162.30,142.20,112.10,174.20,209.90,151.40,192.80,233.70,269.50,274.20,324.20,222.00
1982,141.40,81.80,103.50,171.70,261.20,160.90,232.10,238.20,290.30,228.00,263.60,179.00
1983,150.00,97.90,131.60,161.40,191.80,181.50,234.00,202.90,248.30,283.30,482.80,169.00
1984,126.00,105.90,149.50,153.20,161.30,155.60,167.80,209.60,262.80,362.20,286.70,187.50
1985,202.80,35.60,136.00,198.60,377.60,148.10,144.20,223.80,133.10,262.30,604.50,201.30
1986,102.90,52.60,153.20,133.90,502.30,337.50,166.70,191.60,271.80,234.00,627.90,204.50
1987,173.40,174.80,87.30,196.90,134.90,237.50,249.80,396.90,276.90,304.50,310.00,224.50
1988,222.90,283.40,130.70,190.20,96.80,265.80,169.40,407.90,524.70,207.00,191.20,141.70
1989,155.80,127.20,196.50,157.80,145.50,213.60,192.60,196.70,212.30,547.40,200.60,215.80
1990,164.30,95.40,172.00,179.30,177.20,120.40,146.90,156.20,247.70,272.80,381.40,177.70
1991,106.80,93.60,111.60,154.00,392.70,216.30,154.20,250.80,338.00,226.20,517.30,437.90
1992,239.60,80.60,159.80,170.30,201.90,167.20,185.20,119.70,261.70,166.40,239.10,241.30
1993,167.60,101.20,62.40,147.10,125.50,128.00,192.80,158.30,275.70,223.90,190.30,192.10
1994,85.10,149.30,128.40,121.50,62.20,91.50,200.30,275.00,312.80,305.00,188.60,376.60
1995,182.10,84.80,190.50,169.60,79.80,214.80,386.80,185.10,246.10,329.40,341.10,226.80
1996,167.50,210.90,88.70,69.40,256.50,93.40,333.00,173.00,279.00,353.90,169.10,85.50
1997,199.40,49.20,109.10,192.70,274.60,175.10,198.20,235.10,221.70,394.30,468.10,421.20
1998,175.70,79.30,54.50,175.90,67.70,404.90,222.40,278.20,194.70,237.40,345.00,309.10
1999,189.80,165.40,70.10,107.90,183.00,98.80,142.70,171.20,188.50,166.10,369.50,166.80
2000,67.30,149.30,124.80,167.50,155.50,136.00,191.50,332.60,165.10,379.40,194.10,391.20
2001,153.50,108.50,213.10,327.00,152.40,193.20,185.60,176.30,270.70,306.30,257.20,164.30
2002,142.20,129.50,57.90,148.40,130.50,149.50,192.30,282.30,171.70,391.50,292.10,409.00
2003,143.20,139.00,256.10,115.40,427.70,175.20,268.70,125.90,259.10,315.60,628.20,205.50
2004,233.60,108.60,50.70,246.50,272.30,402.00,210.70,401.50,134.30,526.20,361.50,190.40
2005,291.10,96.80,89.70,169.10,423.00,368.30,306.10,355.60,181.80,272.30,280.30,203.50
2006,179.70,119.70,112.30,110.40,153.00,195.60,262.30,268.90,284.30,286.40,137.90,273.60
2007,186.30,199.80,124.20,139.30,101.90,205.30,227.70,409.20,414.80,608.60,237.80,204.10
2008,175.60,57.80,70.50,151.90,291.80,187.20,182.50,169.40,162.60,223.10,224.70,174.90
2009,146.80,55.40,91.80,177.70,234.10,253.30,406.30,369.70,236.60,329.80,398.40,181.10
2010,107.00,113.90,237.80,166.00,262.20,183.50,250.30,318.20,300.00,209.20,317.50,231.60
2011,127.50,111.90,108.60,260.50,379.70,41.90,293.70,220.50,125.70,278.40,148.70,227.50
2012,134.90,98.70,68.20,87.90,359.00,158.40,256.70,210.60,226.70,259.60,247.90,256.70
2013,162.20,129.20,101.10,162.80,292.70,94.40,120.40,222.00,235.20,451.20,338.40,164.80
2014,115.90,85.50,89.80,133.50,73.90,78.80,72.80,140.40,113.50,200.70,303.70,161.60
2015,105.40,98.00,192.60,119.70,168.80,222.20,247.90,213.00,314.00,141.70,363.10,365.10
2016,115.70,89.40,135.90,271.20,314.40,223.50,185.90,238.30,297.80,270.40,312.40,248.20
2017,181.00,191.10,77.10,197.10,227.60,95.50,141.50,212.90,174.50,373.90,319.20,167.60
2018,137.00,82.90,50.70,161.50,134.10,114.60,381.50,290.10,247.40,315.20,154.90,292.80
2019,265.20,144.40,95.40,104.80,57.60,102.20,315.90,229.80,189.20,368.90,281.60,170.40
2020,,,,,,,,,,,,
