Variable:,pr
Country:,Bangladesh
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.01,2.62,62.79,219.12,304.95,517.16,430.16,426.44,281.43,91.08,12.70,6.95
1902,2.92,17.67,37.62,92.37,223.21,577.77,415.22,405.42,286.02,185.31,47.20,2.29
1903,1.22,38.13,33.88,159.38,320.20,519.52,635.55,372.87,195.91,86.57,30.29,3.37
1904,6.67,22.74,73.97,190.37,317.63,264.72,547.23,576.51,547.93,138.79,11.97,6.96
1905,12.10,54.18,53.50,46.92,239.59,373.81,490.74,390.64,226.82,186.28,45.49,2.29
1906,9.98,27.50,109.23,122.48,244.12,531.80,381.18,261.17,270.98,69.60,16.55,11.95
1907,7.35,13.73,13.88,59.71,288.30,730.37,464.61,620.09,246.80,84.65,11.63,2.35
1908,3.52,7.18,6.73,269.21,223.52,683.99,379.95,405.74,208.87,163.39,19.16,10.52
1909,7.72,23.41,42.57,126.92,272.10,522.09,701.39,322.51,267.24,174.54,27.01,2.31
1910,12.92,7.25,49.85,117.98,322.84,581.37,498.37,652.46,363.83,157.85,20.43,2.29
1911,2.61,28.50,72.96,166.79,286.51,436.21,485.98,353.47,200.55,208.91,100.55,5.99
1912,2.04,48.35,60.39,110.89,321.15,714.95,580.00,542.97,214.47,232.36,22.91,17.16
1913,1.23,32.74,18.23,214.20,351.14,507.70,605.41,364.04,210.20,73.14,14.86,13.72
1914,5.24,31.18,77.41,139.88,425.44,609.96,577.65,416.93,248.63,143.37,42.70,2.45
1915,1.63,9.20,15.92,288.36,210.61,572.71,337.68,427.77,329.91,312.64,71.66,2.81
1916,1.29,34.83,28.46,144.12,313.24,544.06,497.99,335.98,315.96,279.61,62.54,2.31
1917,1.68,6.76,27.29,174.67,299.85,560.00,516.49,462.76,239.46,96.89,10.58,5.73
1918,8.97,12.10,13.34,135.84,340.46,436.85,353.57,699.68,477.93,92.09,48.64,2.75
1919,2.80,24.20,95.70,94.38,281.60,436.03,469.91,480.27,303.81,127.90,11.83,2.84
1920,21.32,8.63,37.67,254.48,191.77,537.83,559.52,440.54,242.82,111.67,16.77,3.85
1921,6.09,4.70,36.02,89.08,291.39,586.11,606.75,412.89,579.93,101.81,11.56,5.06
