Variable:,pr
Country:,Botswana
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,98.10,60.56,50.71,30.37,2.65,1.25,0.43,0.31,7.10,19.53,45.75,60.82
1902,87.49,63.22,46.89,20.77,5.07,1.24,0.25,0.60,3.43,16.45,48.32,62.86
1903,123.12,62.87,67.86,19.82,3.95,0.72,0.13,0.27,4.72,24.72,37.42,54.53
1904,72.83,79.29,46.89,18.43,3.01,0.57,0.14,0.64,4.41,12.89,36.22,57.25
1905,108.38,88.80,52.86,18.32,4.08,0.76,0.13,0.23,7.51,25.98,55.28,62.33
1906,94.88,101.45,47.29,46.46,4.76,1.96,0.22,0.32,8.67,18.44,44.68,74.54
1907,79.32,95.49,39.22,14.18,2.39,0.49,0.75,0.51,5.64,15.90,47.84,66.30
1908,127.44,82.83,84.76,31.99,9.07,0.58,0.19,0.50,2.18,11.36,34.86,79.08
1909,79.56,86.35,87.27,17.51,2.09,1.73,0.28,0.28,4.43,39.75,47.07,50.59
1910,122.14,76.54,65.29,16.35,13.15,1.24,1.20,1.71,1.48,13.28,36.56,44.36
1911,99.27,82.63,39.41,29.73,6.05,0.52,0.76,0.14,2.29,11.52,18.85,51.04
1912,54.34,91.20,39.51,34.93,4.42,1.27,0.30,0.77,5.02,23.41,38.75,36.46
1913,64.50,99.02,44.88,19.48,3.50,0.87,0.13,2.48,1.48,12.42,47.57,100.90
1914,160.90,67.96,40.88,15.07,5.74,1.48,0.51,0.66,4.78,20.43,35.04,58.83
1915,50.13,39.65,51.36,21.72,4.59,0.38,0.17,0.15,1.78,16.28,45.97,99.05
1916,73.46,94.07,39.54,19.20,9.01,0.75,0.39,2.52,2.90,6.09,46.49,97.99
1917,140.97,77.43,104.38,6.08,2.41,0.24,0.68,1.81,6.13,31.06,45.22,67.46
1918,131.44,80.13,45.27,22.27,3.62,0.31,0.13,0.41,6.23,18.67,54.29,46.46
1919,96.05,135.86,46.97,11.99,4.73,0.24,0.10,1.06,3.97,22.87,26.89,60.60
1920,79.50,91.38,117.24,19.75,12.20,0.26,0.13,0.12,1.11,18.25,76.60,78.12
1921,47.85,47.42,39.61,3.30,10.71,0.92,0.06,1.72,0.41,24.66,38.23,50.58
1922,153.31,119.16,87.87,19.04,7.31,0.67,1.03,0.31,2.26,11.81,35.06,35.93
