Variable:,pr
Country:,Cameroon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,17.85,34.02,108.54,143.33,172.39,188.33,168.86,277.21,265.12,230.25,73.88,24.34
1902,17.60,34.48,89.39,135.28,162.71,184.03,191.87,275.12,252.23,198.72,77.77,32.23
1903,23.17,17.29,105.35,130.82,188.93,176.01,189.91,250.25,255.09,202.92,72.01,14.20
1904,11.58,35.68,88.67,135.53,173.69,170.39,168.62,253.18,281.91,263.12,93.04,27.71
1905,14.66,42.39,102.77,137.50,222.72,187.10,160.96,218.96,274.21,241.31,62.35,30.27
1906,33.47,51.07,60.88,171.49,176.70,139.51,120.80,137.84,229.14,240.15,82.83,12.87
1907,20.47,12.28,88.37,142.85,176.81,163.53,186.22,210.30,284.83,261.64,89.08,22.88
1908,28.80,44.42,105.72,166.93,151.33,219.01,178.83,222.82,274.09,203.44,110.42,41.37
1909,22.21,21.01,57.35,141.86,192.20,147.89,188.03,222.60,245.23,260.80,68.78,11.40
1910,33.29,20.84,111.41,132.72,193.66,159.46,166.78,195.76,231.02,230.35,63.59,33.67
1911,20.08,24.80,88.24,109.17,166.57,198.61,220.50,238.64,264.74,158.28,68.74,12.09
1912,7.43,39.51,57.77,138.76,181.06,147.88,202.29,219.23,247.19,245.94,72.60,21.53
1913,18.85,28.90,140.11,126.95,165.80,183.82,150.31,179.31,254.91,233.70,71.06,17.57
1914,13.89,27.53,100.55,141.04,197.84,146.72,228.11,203.72,248.13,226.11,80.95,20.07
1915,15.70,32.88,120.87,146.00,193.96,172.16,206.93,204.24,278.99,253.36,76.02,20.35
1916,16.29,32.00,87.94,104.45,141.74,156.27,182.14,262.25,278.45,202.51,100.98,21.89
1917,16.61,27.39,141.34,127.83,168.22,169.48,204.58,239.59,259.66,240.93,87.58,16.09
1918,14.80,36.82,97.05,116.07,222.90,149.02,200.04,185.74,284.20,212.77,77.05,16.62
1919,16.78,23.59,72.06,141.54,181.60,185.83,185.30,222.88,290.08,226.71,87.47,17.50
1920,20.00,25.68,94.83,135.43,177.12,182.98,169.89,229.47,272.74,196.99,70.28,23.96
1921,17.54,41.00,85.75,172.04,180.27,170.03,147.17,201.70,277.59,266.44,88.43,25.66
1922,21.47,25.59,85.16,150.53,201.15,185.80,172.07,201.97,328.24,258.43,77.88,18.02
1923,39.60,43.89,110.27,159.89,153.74,155.86,185.65,189.94,229.02,237.61,97.58,31.67
1924,8.63,24.50,110.48,125.24,206.17,195.42,143.02,261.95,243.38,254.48,87.71,25.05
1925,15.91,30.67,79.54,143.31,206.43,149.35,169.65,230.17,262.75,208.34,85.01,22.51
1926,22.41,30.55,62.95,107.96,184.64,189.79,226.62,236.09,247.27,258.22,70.87,43.02
1927,38.67,20.39,109.64,175.69,172.51,213.41,204.15,249.60,284.43,185.09,72.08,19.63
1928,4.23,29.90,128.73,141.12,168.62,193.58,140.50,259.89,258.85,263.31,66.77,30.40
1929,16.44,25.17,100.08,169.71,161.18,200.14,102.65,215.42,284.01,242.45,51.99,42.51
1930,15.55,41.44,49.26,144.33,188.28,181.08,186.04,165.21,268.33,244.01,94.65,27.55
1931,15.39,27.45,109.91,110.00,175.32,171.22,105.40,182.52,298.57,238.49,72.00,12.91
1932,32.24,42.10,104.69,138.95,178.35,193.54,191.49,213.17,254.41,203.67,133.79,45.35
1933,13.61,12.79,80.14,156.05,184.20,219.90,197.90,202.48,248.93,204.36,71.66,23.99
1934,28.18,32.39,100.11,120.70,148.21,236.63,198.95,266.80,249.01,217.32,54.68,38.07
1935,6.66,41.67,130.49,145.08,169.98,205.01,173.90,208.60,275.73,214.83,57.90,37.34
1936,8.56,24.27,81.43,123.77,173.82,160.59,183.49,189.59,232.05,232.47,47.89,19.76
1937,17.05,41.66,77.58,145.16,151.34,183.32,151.52,195.95,277.34,232.82,74.91,35.42
1938,16.72,56.88,82.27,129.54,180.74,157.85,149.36,218.91,292.81,242.75,88.08,15.36
1939,33.86,24.81,69.97,127.12,191.94,167.12,159.63,240.33,287.45,178.34,76.55,13.27
1940,4.11,28.36,103.90,120.86,232.57,166.69,163.43,201.58,236.06,193.78,87.30,9.78
1941,24.91,57.71,62.13,142.06,225.21,160.28,174.22,225.11,257.76,199.72,58.68,43.49
1942,30.33,30.69,100.58,113.49,198.89,142.30,133.46,216.19,258.28,244.86,100.85,30.38
1943,6.15,45.75,150.49,132.51,172.53,168.53,164.57,240.97,272.56,220.30,43.58,25.69
1944,32.41,15.80,48.61,106.15,173.06,199.18,184.06,183.58,266.79,233.95,59.90,24.54
1945,25.56,31.27,68.74,116.74,138.75,184.23,179.84,156.62,248.47,259.47,74.65,26.35
1946,12.14,50.77,56.34,136.48,186.17,181.60,156.05,233.01,251.16,176.93,86.85,30.96
1947,20.13,33.02,71.80,165.04,161.16,209.57,162.27,258.67,258.54,210.40,73.08,29.49
1948,17.25,30.50,81.38,121.31,197.90,155.68,228.12,254.11,276.30,220.44,90.74,8.19
1949,35.85,28.69,96.85,159.83,185.70,157.21,134.97,233.18,289.55,231.16,69.20,14.28
1950,14.86,30.74,125.75,90.59,193.45,188.64,177.12,219.70,284.57,287.67,82.50,5.63
1951,26.06,49.95,80.66,161.95,193.76,194.03,205.02,211.28,259.65,235.41,90.15,25.72
1952,11.82,60.92,111.89,97.27,190.54,189.40,200.40,181.87,244.15,219.53,93.24,12.59
1953,11.37,72.00,123.27,158.63,199.84,184.85,172.54,200.39,290.91,261.22,110.98,11.32
1954,18.46,24.89,141.60,115.99,195.28,219.62,216.67,209.78,275.06,279.33,62.65,9.87
1955,16.47,60.88,164.67,150.41,146.76,201.82,165.21,182.21,263.52,236.21,110.14,40.75
1956,16.78,17.04,81.20,146.11,192.01,220.16,206.83,234.80,291.55,251.34,104.52,30.51
1957,17.79,10.56,100.47,164.30,178.94,156.89,100.97,204.32,258.61,202.49,119.18,29.33
1958,21.57,13.70,89.77,154.85,159.26,168.86,211.25,225.46,284.63,217.07,102.35,10.23
1959,20.18,26.57,91.91,154.95,183.53,181.38,250.69,235.04,296.82,241.65,62.31,48.42
1960,26.69,19.16,52.00,135.09,131.62,167.88,223.88,167.71,281.73,232.87,60.22,4.92
1961,3.81,23.00,168.24,148.49,190.04,178.03,162.56,227.66,306.61,250.87,136.50,20.00
