Variable:,pr
Country:,"Cayman Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1902,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1903,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1904,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1905,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1906,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1907,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1908,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1909,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1910,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1911,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1912,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1913,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1914,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1915,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1916,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1917,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1918,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1919,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1920,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1921,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1922,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1923,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1924,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1925,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1926,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1927,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1928,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1929,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1930,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1931,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1932,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1933,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1934,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1935,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1936,53.00,37.00,31.00,16.00,146.00,159.00,140.00,148.00,177.00,166.00,116.00,68.00
1937,47.40,31.70,25.40,13.20,139.20,143.40,200.70,156.10,208.20,185.60,113.40,60.80
1938,54.00,31.70,33.60,23.30,153.70,156.80,170.50,144.30,163.10,143.80,154.20,64.40
1939,74.00,37.40,34.80,14.50,146.00,148.90,123.20,148.30,223.70,166.60,127.00,68.50
1940,75.40,39.50,36.50,15.80,135.10,139.20,135.40,133.40,170.80,144.40,144.00,58.00
1941,57.90,35.50,31.00,19.70,162.10,158.30,174.20,153.60,173.30,164.70,107.90,86.20
1942,48.60,37.50,41.30,16.00,144.10,141.70,133.60,157.50,182.90,191.30,113.80,56.60
1943,47.00,30.30,27.90,15.20,144.80,184.30,155.10,145.80,182.40,154.60,106.70,58.00
1944,47.40,31.90,28.10,16.40,158.60,135.80,126.40,148.00,163.10,162.30,127.80,67.10
1945,47.50,33.20,31.70,15.10,178.10,157.60,140.50,134.40,169.50,166.30,103.20,61.20
1946,45.70,43.30,31.60,13.60,146.00,159.00,157.90,146.30,204.20,172.50,103.70,68.50
1947,52.50,31.30,26.80,17.60,170.90,188.50,146.10,155.00,213.90,160.20,105.90,60.90
1948,47.40,31.50,29.80,15.10,167.90,153.00,152.10,148.90,174.40,152.50,129.20,62.20
1949,47.30,35.70,26.40,15.00,129.50,149.40,131.20,163.60,216.30,200.80,117.50,74.70
1950,51.20,28.50,21.80,22.40,131.50,134.60,186.10,150.00,170.10,227.40,144.80,57.80
1951,51.00,35.70,30.80,14.70,152.50,162.30,133.00,145.10,186.30,220.40,107.60,61.40
1952,67.70,30.20,23.70,19.40,155.90,170.10,141.50,137.60,181.10,178.10,96.60,59.80
1953,46.80,48.80,38.70,17.20,149.20,158.80,161.70,151.80,179.40,170.70,100.20,63.70
1954,49.90,33.20,25.40,12.60,131.70,180.30,165.60,155.50,183.10,150.80,87.00,73.60
1955,44.70,27.90,41.70,19.00,137.10,152.50,160.40,136.40,169.30,145.50,92.00,74.90
1956,47.50,41.40,23.80,22.60,170.70,137.90,125.60,139.30,175.50,150.10,78.50,71.90
1957,80.90,33.90,33.70,15.30,181.90,187.40,142.30,145.70,197.30,197.50,129.10,78.60
1958,52.40,24.40,33.10,15.40,141.90,129.70,182.10,143.60,168.00,177.70,177.90,65.80
1959,57.00,32.50,40.90,25.20,147.00,210.00,134.90,148.30,171.30,151.20,105.90,61.20
1960,52.10,29.80,42.40,12.30,143.30,158.10,122.70,145.40,174.70,166.90,92.50,76.30
1961,54.60,24.00,30.60,19.50,124.50,171.50,135.40,158.80,171.80,146.20,99.20,62.90
1962,45.40,36.60,28.40,13.30,142.70,168.80,124.60,147.50,177.50,166.10,129.30,113.80
1963,53.70,35.50,30.70,17.50,147.80,160.10,150.90,150.90,175.00,186.70,92.40,62.60
1964,44.80,25.50,21.20,14.10,135.50,152.80,135.60,146.60,166.60,164.80,117.50,68.00
1965,61.20,43.10,28.90,15.50,178.10,200.80,140.50,140.10,163.50,148.70,121.10,64.30
1966,46.70,31.80,37.00,12.70,130.30,179.70,114.80,137.70,168.80,145.70,93.30,57.60
1967,47.80,30.40,28.70,11.70,151.40,180.70,138.00,148.90,184.10,231.60,119.30,58.50
1968,53.90,25.50,25.00,21.10,186.00,209.80,159.30,153.00,175.70,164.40,100.30,64.80
1969,67.80,44.90,39.00,11.10,144.10,140.80,179.30,147.80,186.20,131.80,156.60,57.80
1970,48.90,55.20,22.40,14.70,134.40,139.30,141.50,159.20,169.90,198.60,173.60,65.50
1971,48.80,52.50,46.00,16.30,157.30,149.80,157.10,146.80,178.50,140.70,113.80,76.80
1972,58.60,30.90,27.30,11.70,128.10,150.70,150.80,170.60,175.90,204.10,80.10,79.90
1973,45.60,35.20,23.10,15.80,143.90,136.90,132.50,149.30,175.60,165.40,97.10,61.50
1974,47.50,26.20,24.70,14.30,139.20,135.60,167.70,134.30,188.10,137.80,121.50,59.30
1975,59.70,36.20,24.70,16.50,144.40,157.90,103.50,145.40,161.60,177.20,96.60,64.60
1976,47.30,36.50,20.50,23.30,192.10,124.00,122.00,154.60,173.50,155.00,112.60,75.60
1977,68.20,50.10,41.40,17.60,142.20,171.70,148.10,136.60,171.30,224.30,97.90,64.40
1978,51.10,49.10,26.40,22.20,138.10,200.30,144.40,152.50,179.90,170.60,131.00,62.20
1979,57.80,39.30,22.60,19.40,132.50,158.20,127.10,150.30,189.10,177.00,182.30,69.30
1980,50.40,28.40,40.70,12.10,140.80,141.90,160.20,159.00,169.60,157.30,117.30,63.00
1981,53.80,27.20,23.10,13.20,150.40,142.80,145.30,133.00,189.80,140.70,100.20,59.20
1982,63.60,64.30,36.10,16.30,121.70,137.10,111.90,147.70,172.50,176.30,128.50,60.00
1983,51.60,42.80,35.20,19.20,155.40,171.10,130.40,141.30,188.20,140.40,107.50,59.40
1984,48.80,38.00,30.70,17.80,146.40,146.50,132.90,162.00,187.10,153.00,119.10,65.80
1985,55.40,31.60,33.90,14.60,135.00,165.60,133.00,142.30,168.10,149.50,101.60,70.60
1986,60.60,35.20,33.00,18.00,131.90,152.10,141.30,140.30,183.70,203.60,130.90,72.00
1987,50.80,31.30,30.80,13.40,169.70,182.30,167.40,150.50,184.70,155.00,116.50,63.80
1988,45.60,38.90,39.20,18.30,131.60,136.50,138.90,148.20,187.70,145.60,116.00,82.90
1989,46.50,38.10,33.70,15.20,157.00,147.10,137.40,141.50,173.20,160.00,116.60,77.60
1990,47.40,31.10,27.80,17.20,165.60,143.50,136.40,139.80,175.20,168.40,125.00,62.70
1991,46.70,43.00,31.50,15.50,144.50,150.40,138.20,137.30,178.20,145.20,113.70,66.20
1992,56.70,37.90,40.10,17.80,174.30,136.60,133.50,130.90,182.60,164.10,109.30,79.40
1993,56.20,31.00,34.90,16.30,162.40,141.10,128.30,137.30,166.00,153.60,129.30,69.30
1994,49.70,34.50,30.00,16.60,137.30,163.90,150.40,159.40,169.80,172.10,123.80,76.00
1995,55.20,34.20,37.00,16.50,161.10,163.80,147.90,143.10,161.30,178.20,138.10,59.60
1996,49.80,30.90,31.80,14.60,130.10,156.00,129.00,144.90,176.10,156.30,108.00,83.80
1997,55.00,35.40,39.90,13.60,134.60,136.50,151.80,141.60,169.50,151.30,117.20,69.00
1998,50.30,34.50,34.50,15.60,155.70,157.10,137.00,162.60,184.60,172.30,120.80,60.50
1999,49.40,31.50,26.40,14.20,134.70,142.60,151.00,141.70,186.00,155.70,99.80,91.00
2000,52.60,31.00,35.70,14.00,179.80,133.70,160.70,139.50,168.60,164.20,120.90,77.30
2001,57.60,32.30,27.40,14.60,171.80,165.70,130.40,140.50,197.60,153.70,110.50,62.30
2002,75.30,31.00,32.40,18.00,145.80,157.70,141.30,168.80,177.00,148.90,110.40,60.50
2003,45.30,31.10,30.80,18.80,134.50,135.00,146.10,140.50,203.30,142.50,98.30,69.30
2004,50.70,30.70,28.10,22.20,139.40,146.50,139.70,141.80,161.20,224.20,135.90,68.70
2005,55.60,42.60,25.40,13.50,128.30,169.80,158.70,153.70,178.70,149.00,127.80,59.50
2006,47.60,37.80,44.30,14.00,148.90,154.40,132.00,132.80,194.30,198.10,132.60,62.60
2007,47.50,33.90,32.00,14.80,134.40,159.30,127.10,180.80,195.20,159.40,116.40,65.70
2008,47.00,35.40,26.40,17.00,178.20,164.60,143.00,130.60,163.70,152.80,108.90,65.30
2009,48.20,38.50,37.80,14.40,181.80,169.00,205.70,160.40,177.60,172.20,105.70,59.40
2010,45.10,33.80,31.30,13.40,156.30,179.60,184.30,165.90,179.50,181.00,104.10,66.30
2011,45.60,31.20,28.70,22.50,132.50,159.80,128.70,141.00,161.80,172.30,112.60,58.60
