Variable:,pr
Country:,Cyprus
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,85.99,32.88,60.15,29.27,0.12,0.00,9.82,0.00,0.96,21.44,123.56,119.43
1902,41.53,78.22,34.01,3.64,13.67,9.02,0.00,0.13,0.00,21.08,74.94,111.28
1903,69.64,43.46,39.20,46.22,43.43,17.66,0.00,0.00,3.25,49.09,120.03,122.74
1904,95.19,114.81,44.63,42.32,16.58,2.47,0.00,0.00,2.65,22.91,58.81,88.29
1905,69.71,117.48,46.63,42.42,63.62,18.00,0.00,0.00,0.00,3.61,125.71,126.46
1906,125.04,87.13,67.81,19.92,5.28,0.17,0.00,0.00,18.10,36.60,104.12,70.93
1907,108.26,90.37,103.89,20.40,9.48,21.35,0.00,0.00,1.74,5.18,117.79,91.85
1908,77.38,97.38,36.61,27.53,2.26,4.46,0.00,0.17,17.77,97.70,62.13,83.40
1909,118.12,49.37,104.57,20.18,17.43,12.24,0.00,0.00,5.75,54.57,30.94,94.37
1910,131.74,103.18,74.81,41.87,51.06,0.00,0.00,0.00,4.55,21.97,40.87,248.67
1911,115.86,62.25,44.23,11.57,17.12,0.00,0.00,0.00,0.46,41.23,53.47,132.17
1912,111.76,120.01,32.27,14.60,10.07,1.12,0.69,1.39,5.26,54.01,45.74,163.49
1913,85.70,20.03,47.71,49.26,20.92,6.77,1.55,0.00,3.61,25.92,115.80,129.70
1914,37.71,60.57,44.83,28.20,3.06,0.62,0.00,0.00,4.54,13.00,70.85,24.44
1915,122.35,88.90,40.38,75.92,0.99,0.00,0.00,0.00,8.94,1.57,10.47,143.85
1916,120.37,100.72,43.71,2.24,19.92,0.00,0.00,0.00,8.03,20.82,37.45,114.56
1917,76.23,94.12,58.01,8.48,32.50,0.81,0.00,0.00,41.48,76.94,50.23,178.31
1918,89.47,120.89,14.60,9.31,43.94,0.70,0.00,0.00,0.00,17.09,34.79,153.67
1919,87.22,104.76,92.29,21.48,46.62,7.13,0.00,15.47,6.02,35.66,34.46,89.11
1920,71.03,98.81,58.56,40.25,32.55,38.30,8.98,6.01,1.67,2.09,80.09,128.39
1921,113.37,110.63,15.00,7.75,4.89,0.37,8.34,0.07,0.00,4.62,98.85,99.51
1922,102.76,87.91,44.64,37.64,49.15,2.56,0.00,3.81,15.46,8.73,28.19,116.41
1923,173.39,90.13,23.62,1.02,26.19,9.61,0.43,0.00,5.52,63.47,96.22,94.53
1924,99.92,20.03,12.75,26.49,2.01,14.34,0.00,0.00,4.32,32.62,35.85,72.74
1925,188.33,97.79,93.44,46.29,38.21,0.81,0.00,0.00,0.39,2.68,16.07,154.89
1926,65.64,113.47,22.89,52.98,3.87,0.32,2.85,1.18,0.00,40.07,16.60,57.17
1927,84.67,163.79,21.40,9.43,5.19,0.00,3.69,0.00,1.41,20.26,84.40,103.84
1928,106.24,127.91,23.93,16.22,29.58,17.87,0.03,0.81,9.68,22.94,36.48,140.57
1929,102.93,77.93,30.49,33.79,12.58,3.27,1.58,5.27,16.55,18.50,42.95,131.87
1930,102.72,120.19,66.91,27.86,24.71,14.79,0.11,2.48,4.02,8.88,10.53,52.93
1931,80.50,37.69,32.68,14.56,16.52,0.28,0.00,0.29,0.70,6.78,64.49,22.44
1932,57.62,37.69,34.71,25.57,16.37,2.06,0.04,0.00,11.80,8.06,14.95,61.42
1933,89.71,112.39,41.34,17.33,26.06,6.13,0.47,1.44,0.77,20.56,21.33,154.93
1934,116.28,113.26,58.98,36.69,14.09,0.00,0.01,3.05,7.75,39.14,94.88,72.12
1935,63.67,94.43,41.95,27.80,48.42,3.31,0.39,0.00,3.00,10.56,39.93,158.30
1936,118.47,36.84,11.63,16.53,29.98,4.66,0.07,0.00,0.10,35.40,97.58,38.17
1937,128.91,90.34,48.87,36.47,35.00,0.13,1.15,3.75,11.47,35.36,51.68,124.74
1938,96.31,92.58,71.30,18.05,11.51,10.24,0.17,3.28,0.19,2.08,51.17,84.80
1939,103.57,99.68,46.27,24.47,26.51,5.99,0.48,0.57,3.34,36.07,79.64,109.91
1940,99.93,45.29,40.83,24.71,3.82,1.06,0.42,2.31,2.29,10.67,12.48,134.51
1941,136.54,91.89,69.32,11.95,8.12,3.53,0.24,5.42,6.48,45.65,72.57,41.01
1942,140.21,42.31,84.17,49.27,15.43,1.06,0.11,0.23,1.69,34.52,17.45,60.95
1943,109.74,85.53,37.52,18.96,19.99,5.63,1.02,1.94,3.16,30.82,102.61,140.92
1944,105.16,74.13,31.16,13.29,12.79,4.79,1.08,1.14,1.73,7.78,68.61,97.90
1945,40.38,124.00,53.76,7.09,33.13,3.21,0.66,0.94,7.15,27.84,6.16,126.64
