Variable:,pr
Country:,"Czech Republic"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,35.90,29.92,49.22,28.19,68.69,94.68,85.23,76.11,50.26,58.11,3.79,71.21
1902,37.79,26.20,26.19,74.91,38.85,75.49,149.21,91.67,59.27,62.63,88.04,44.85
1903,16.19,46.00,38.15,62.24,63.25,48.69,28.61,46.67,91.14,77.52,50.74,49.07
1904,33.99,31.16,48.58,54.87,61.52,62.49,63.65,91.84,44.37,55.88,73.97,36.70
1905,39.63,31.89,60.91,31.90,82.65,98.54,120.49,58.24,131.85,33.06,37.05,52.23
1906,49.38,21.46,41.16,73.36,50.74,65.73,132.21,75.21,32.07,36.24,28.26,77.48
1907,28.16,44.26,33.42,53.46,74.88,64.00,88.59,88.29,41.29,2.78,28.65,19.71
1908,31.00,71.74,44.50,39.48,78.43,95.09,125.95,76.07,70.52,30.56,39.63,70.52
1909,47.34,36.88,26.36,46.55,125.54,122.40,103.64,105.04,92.68,30.04,99.07,36.66
1910,34.49,41.42,34.10,37.48,115.78,42.01,35.20,58.47,59.65,38.01,31.62,71.25
1911,43.48,38.46,47.12,36.45,104.53,103.43,107.54,104.33,85.61,44.40,42.66,31.46
1912,32.92,10.44,27.25,33.61,73.28,86.45,107.46,93.62,68.90,23.32,63.05,67.79
1913,22.49,13.02,59.02,28.09,85.02,65.34,152.98,56.79,73.04,38.09,25.30,55.47
1914,75.50,27.74,57.24,58.43,28.49,93.23,107.74,103.43,70.28,101.07,47.44,59.99
1915,59.89,50.85,45.26,66.58,56.91,115.23,111.35,93.85,70.39,34.82,37.65,62.53
1916,67.44,15.12,48.45,79.42,29.68,25.16,61.58,65.96,24.46,66.24,37.47,47.71
1917,35.85,35.15,13.63,46.24,24.22,93.34,123.20,111.15,52.43,70.84,27.13,95.77
1918,37.89,27.63,63.36,62.80,69.80,95.02,100.19,49.84,52.28,81.85,84.16,75.27
1919,89.47,25.63,23.47,63.67,100.24,69.97,132.28,101.64,48.92,4.06,3.09,69.15
1920,68.79,39.98,7.76,74.30,46.05,67.52,47.72,61.13,33.76,45.51,27.41,34.41
1921,59.50,37.04,54.60,42.89,33.61,66.26,82.25,98.27,114.05,95.08,43.16,50.08
1922,62.86,40.16,37.40,65.13,48.23,77.75,52.56,57.37,43.04,82.64,45.99,79.76
1923,25.78,39.80,26.52,65.94,87.79,89.68,60.64,65.17,62.49,33.97,29.99,20.47
1924,24.73,28.52,36.01,57.65,75.88,83.27,123.65,138.92,43.57,49.27,66.80,48.53
1925,42.83,45.92,42.63,28.31,101.94,167.45,137.46,63.05,41.77,68.65,31.02,45.22
1926,57.35,12.32,54.52,77.49,45.45,81.83,115.58,66.40,65.44,25.71,47.44,26.02
1927,35.27,49.53,34.57,59.35,90.87,74.41,32.38,87.73,61.24,28.13,63.10,62.73
1928,57.25,29.34,11.52,35.65,81.53,63.82,91.21,67.98,30.88,48.40,46.10,57.59
1929,25.73,26.29,38.03,78.74,63.99,53.15,81.03,99.52,63.83,100.32,63.03,61.04
1930,39.72,45.94,22.11,44.42,43.81,63.50,115.85,110.95,88.87,43.81,23.99,42.62
1931,29.44,14.45,20.19,26.44,102.26,52.05,101.54,70.60,35.09,49.41,43.39,10.87
1932,34.11,50.19,13.51,31.92,68.70,92.11,89.13,69.59,38.99,54.68,43.59,36.62
1933,34.56,31.75,21.10,42.30,39.09,93.41,43.72,122.97,38.76,43.25,39.11,53.45
1934,36.01,59.66,34.56,69.47,76.52,48.99,51.56,45.83,49.73,113.17,36.15,34.02
1935,44.78,42.13,27.06,41.75,106.78,69.26,123.54,68.87,46.34,83.41,37.10,23.96
1936,38.49,53.82,58.93,64.41,33.76,89.70,95.07,112.78,117.60,32.72,40.54,61.91
1937,60.05,18.43,30.25,39.63,72.11,42.30,94.82,170.98,54.58,45.35,41.64,51.99
1938,45.68,21.17,63.53,17.99,144.06,100.09,95.57,90.88,75.70,97.86,62.20,60.53
1939,29.19,30.04,52.91,30.60,116.10,90.80,108.56,84.16,69.71,53.20,42.47,39.47
1940,69.28,55.56,71.13,92.58,87.04,86.08,107.50,106.69,34.36,94.79,46.62,40.41
1941,39.93,34.43,24.21,56.93,82.55,87.37,79.40,56.01,24.61,58.02,41.62,16.70
1942,28.56,17.31,25.63,45.99,44.92,98.90,93.35,56.78,58.70,6.18,42.03,35.92
1943,51.02,47.08,69.94,35.61,71.53,134.35,117.26,52.08,40.52,91.57,80.87,47.74
1944,46.54,50.27,36.66,50.53,74.76,79.73,61.41,98.72,60.37,49.75,65.33,42.08
1945,33.66,67.80,23.01,10.24,58.59,90.45,119.67,102.73,34.67,65.42,46.19,66.19
1946,34.92,66.57,43.11,32.63,31.45,69.82,81.47,43.37,13.82,12.00,77.05,94.22
1947,85.39,78.63,26.73,28.52,56.09,91.08,102.39,108.20,21.94,44.62,16.60,19.61
1948,32.70,15.97,29.80,41.21,113.03,83.40,64.27,113.56,32.02,13.04,77.29,53.82
1949,52.87,35.21,16.90,53.04,56.42,31.84,107.10,67.62,100.11,72.20,84.44,50.95
1950,38.78,24.33,53.45,33.51,103.88,101.09,81.14,75.40,32.63,2.28,64.66,34.22
1951,52.18,56.99,62.42,35.05,62.27,90.60,30.75,68.08,86.06,59.85,70.29,36.47
1952,52.68,26.94,16.94,36.42,52.94,105.66,121.66,40.92,32.75,22.51,13.53,17.49
1953,44.47,13.36,18.08,67.98,81.22,68.26,160.75,61.81,60.96,50.71,25.42,78.07
1954,42.53,38.58,27.93,57.69,64.52,81.24,139.89,104.08,63.60,35.37,24.08,55.60
1955,26.32,34.25,43.55,67.23,38.17,111.99,77.56,79.44,26.23,104.73,52.51,40.18
1956,31.37,56.15,52.79,37.26,36.37,49.91,167.15,76.81,78.46,9.62,31.82,37.59
1957,51.52,54.67,48.36,41.30,61.01,123.91,96.95,85.47,54.62,75.12,29.60,61.26
1958,26.89,11.59,28.97,50.84,62.09,97.01,124.66,71.22,4.02,16.00,31.64,74.27
1959,46.21,30.44,58.31,34.67,62.89,85.10,97.21,111.71,52.97,85.71,30.83,44.92
1960,23.54,42.50,33.50,53.02,91.40,78.88,74.71,56.56,27.06,49.58,51.48,60.46
1961,42.14,47.10,55.57,43.85,111.16,39.19,78.09,43.38,53.96,36.28,63.00,41.40
1962,29.92,25.64,40.56,30.91,83.19,99.44,42.97,89.36,72.50,32.03,50.33,11.50
1963,14.53,27.33,47.79,45.35,58.66,76.86,57.17,113.16,26.86,106.85,47.92,40.57
1964,51.24,38.21,45.52,86.15,136.77,102.84,85.14,66.81,57.04,6.51,44.80,64.94
1965,31.12,53.85,44.23,59.62,68.04,105.40,139.58,125.79,35.99,55.47,44.38,74.82
1966,37.88,35.91,45.28,39.39,99.30,74.78,63.71,62.03,98.85,27.92,30.66,58.34
1967,56.95,27.67,27.13,40.34,69.95,90.61,83.94,110.38,64.35,41.19,56.74,23.33
1968,40.64,38.13,44.41,31.63,57.99,120.14,42.16,82.03,26.52,16.38,53.33,36.10
1969,21.33,78.83,46.07,58.07,53.05,84.16,83.06,135.60,30.08,63.80,73.53,45.74
1970,16.50,31.29,39.37,35.33,81.48,115.26,41.17,69.77,48.50,24.70,58.47,37.77
1971,31.83,24.34,22.66,79.93,91.76,81.46,124.21,64.23,52.57,19.96,41.39,6.22
1972,27.27,42.48,27.05,60.34,47.75,81.88,84.26,31.67,45.55,36.74,41.67,32.89
1973,49.23,33.06,19.50,20.08,92.24,106.47,96.45,68.60,41.51,95.63,46.81,95.80
1974,36.93,17.46,49.29,34.13,63.95,135.97,93.52,75.21,27.01,59.23,37.88,26.02
1975,93.97,15.66,19.23,24.19,75.08,37.99,83.46,55.02,63.34,54.12,68.08,36.35
1976,62.29,70.57,46.87,52.10,48.18,78.02,95.10,134.02,51.62,25.13,55.64,36.79
1977,28.49,20.79,31.98,39.23,88.84,56.38,65.17,84.44,62.66,37.93,27.08,52.92
1978,44.14,35.94,69.59,62.65,29.82,110.14,63.53,70.30,83.43,20.61,77.43,60.44
1979,32.91,36.56,34.04,82.11,39.57,83.28,120.50,51.87,46.95,72.94,43.64,34.84
1980,45.71,25.32,52.87,26.98,59.14,57.09,146.20,60.27,80.91,91.86,52.05,69.20
1981,50.31,8.38,32.98,24.26,71.57,82.16,73.57,63.99,18.34,30.89,25.58,56.43
1982,57.44,42.44,32.22,56.44,89.79,70.60,38.42,79.86,39.31,25.86,27.76,30.54
1983,40.52,45.05,26.95,49.38,90.02,55.71,72.30,73.99,92.81,29.88,37.44,23.86
1984,39.58,30.48,45.89,35.62,71.49,91.75,76.38,146.17,28.22,16.45,67.48,51.79
1985,53.46,24.15,34.05,28.51,102.15,70.52,70.52,107.79,37.04,46.15,23.54,69.14
1986,65.33,43.68,38.76,34.17,101.09,97.05,95.99,70.91,67.00,29.35,43.54,57.62
1987,39.36,54.30,72.03,20.14,39.37,86.18,88.48,80.55,64.03,26.39,45.47,70.76
1988,17.13,24.72,30.59,77.53,49.20,87.77,81.38,63.21,53.31,31.07,37.85,30.52
1989,12.93,54.44,26.82,70.20,47.15,83.86,37.96,44.96,68.21,40.75,62.34,39.98
1990,14.94,17.11,26.25,31.48,78.04,94.09,79.03,68.04,32.23,17.29,68.12,61.69
1991,29.71,33.50,73.86,35.73,21.21,77.79,68.64,55.67,45.66,64.45,49.23,46.30
1992,38.97,29.26,29.56,17.93,42.32,85.83,102.16,63.10,55.96,56.10,39.36,75.92
1993,36.80,18.46,60.00,74.59,73.25,37.71,44.22,82.81,56.92,40.11,40.06,52.05
1994,46.19,37.84,51.37,52.09,78.87,104.23,62.16,95.20,94.83,10.90,51.34,51.31
1995,22.73,26.95,28.25,50.79,105.63,76.73,85.84,88.62,71.54,59.14,39.23,28.85
1996,15.27,35.72,45.43,44.33,58.54,69.61,173.17,49.02,34.47,43.39,55.21,57.76
1997,32.76,16.30,44.94,37.62,43.29,110.87,95.23,48.40,101.83,93.51,41.13,23.50
1998,31.37,55.48,36.87,45.73,61.87,101.10,96.97,48.09,45.05,31.49,47.17,47.28
1999,46.13,41.69,85.15,19.56,62.73,48.95,118.39,62.00,46.02,48.71,42.94,36.66
2000,41.16,29.38,70.22,61.54,53.31,73.14,121.41,78.77,103.95,23.14,47.34,52.85
2001,20.69,55.07,50.11,32.32,52.91,85.00,92.52,134.33,57.77,83.20,76.55,60.01
2002,49.80,8.71,16.64,26.88,74.88,48.21,86.27,36.23,37.32,59.15,22.16,46.77
2003,60.40,44.56,53.98,31.99,61.87,93.73,73.05,55.41,42.53,49.27,61.69,22.54
2004,56.60,54.42,21.49,49.94,85.31,63.10,125.68,105.59,48.73,12.11,29.93,63.98
2005,36.83,36.50,66.27,66.80,79.10,78.70,44.38,144.42,24.60,32.10,40.16,27.23
2006,70.98,43.98,58.08,5.39,82.07,91.68,88.03,70.61,109.93,38.66,57.49,33.69
2007,40.04,22.29,51.11,66.95,53.49,65.21,91.57,78.04,51.93,46.99,34.82,41.98
2008,31.54,54.63,74.08,20.14,83.75,128.35,106.35,52.73,27.71,58.62,50.26,64.96
2009,54.88,24.17,32.48,50.41,124.54,82.03,126.56,137.67,87.61,16.22,69.03,62.99
2010,38.93,10.59,39.58,31.72,61.86,75.34,140.14,62.21,44.36,40.34,0.82,48.82
2011,69.18,28.07,16.57,41.10,48.53,88.49,105.45,68.42,49.27,54.24,45.45,53.66
2012,64.93,49.72,39.88,27.54,120.27,141.06,31.74,84.91,79.01,38.32,41.82,16.34
2013,33.00,15.91,23.24,41.76,118.47,40.18,125.81,102.68,97.82,58.44,28.13,41.26
2014,56.11,12.94,44.61,32.60,62.38,60.85,58.14,63.66,38.47,64.54,52.10,21.12
2015,47.72,71.56,35.69,42.60,70.52,90.89,115.47,62.03,50.95,77.81,47.18,25.55
2016,29.65,27.64,46.00,66.49,49.17,77.68,101.60,81.09,70.67,69.98,50.33,40.83
2017,52.44,17.00,43.56,25.77,55.81,76.73,67.15,48.83,64.92,31.34,21.72,73.50
2018,50.56,22.99,40.91,25.54,101.67,51.68,58.94,76.41,65.69,42.56,49.32,43.62
2019,19.17,69.06,39.59,15.02,71.88,108.88,64.21,115.77,79.71,93.23,20.02,32.86
2020,,,,,,,,,,,,
