Variable:,pr
Country:,Denmark
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,60.73,10.91,49.88,25.84,70.54,35.88,58.15,100.33,38.24,64.55,14.72,42.48
1902,46.05,47.87,41.17,52.48,37.42,37.38,81.25,96.52,60.37,166.83,52.58,33.23
1903,49.30,59.65,34.79,59.26,46.11,37.59,15.63,57.13,28.43,64.59,79.41,66.61
1904,31.81,27.53,60.23,56.09,26.61,51.76,58.11,127.36,80.83,92.00,49.25,18.38
1905,81.47,41.64,40.82,34.80,56.27,37.67,34.38,80.91,38.70,71.61,100.82,42.38
1906,42.34,34.14,31.03,23.50,52.67,89.70,56.77,87.42,20.04,71.32,51.08,82.44
1907,35.50,55.14,47.12,47.63,64.23,43.18,62.68,77.79,69.07,14.66,54.87,36.94
1908,43.56,18.14,44.72,48.54,42.39,55.62,77.05,68.03,75.15,87.69,66.48,88.94
1909,56.48,74.46,19.81,49.07,39.80,55.59,85.69,117.40,48.05,27.57,89.97,60.97
1910,32.80,68.44,47.04,32.49,30.28,70.17,38.65,36.26,36.62,106.96,132.10,77.68
1911,26.11,47.02,53.08,39.87,43.85,78.58,62.68,121.04,53.92,106.36,86.76,110.80
1912,34.83,26.10,66.17,28.21,23.11,43.45,35.66,51.37,43.73,60.65,89.50,74.32
1913,34.57,51.20,85.33,46.16,35.28,25.76,90.90,38.74,65.15,51.63,76.32,89.44
1914,72.60,40.36,41.65,28.24,36.44,14.34,117.42,52.46,47.75,21.09,74.17,113.79
1915,88.43,43.99,24.70,41.05,63.15,84.19,56.32,99.00,55.12,108.85,88.97,91.60
1916,47.14,11.24,49.71,38.84,9.26,54.34,54.72,105.26,72.61,128.47,98.18,32.07
1917,45.68,45.77,9.25,46.54,16.71,40.20,68.90,65.37,127.99,53.95,34.25,89.27
1918,60.62,39.09,48.24,49.29,20.27,54.46,69.68,54.80,53.85,44.24,44.94,84.47
1919,77.15,49.36,32.81,98.20,82.35,28.95,94.68,78.48,64.02,14.79,26.19,63.96
1920,105.36,24.40,38.32,24.54,32.16,27.94,32.09,88.82,39.04,67.35,64.54,99.28
1921,36.90,31.78,47.82,47.64,30.56,49.09,91.08,86.55,92.02,16.68,51.85,80.71
1922,54.77,31.96,19.71,43.97,73.10,35.23,67.67,106.11,76.27,121.75,131.64,36.99
1923,30.68,25.18,45.22,63.23,68.15,36.21,77.02,94.03,74.72,62.67,43.92,61.69
1924,61.86,53.67,27.88,30.90,60.63,35.14,50.39,69.12,82.31,78.12,73.77,79.01
