Variable:,pr
Country:,Ethiopia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.81,21.36,33.57,91.54,89.26,77.16,114.42,103.57,86.21,67.80,37.30,21.96
1902,16.31,15.53,44.88,85.87,161.64,86.04,132.32,123.56,139.06,71.61,32.15,14.37
1903,6.28,14.27,57.65,72.46,89.25,71.48,129.19,134.57,120.50,63.98,35.87,8.10
1904,7.34,14.81,40.74,93.76,93.30,72.41,136.69,139.73,136.13,57.38,69.50,6.27
1905,11.97,44.96,77.05,88.79,88.19,84.57,138.54,151.91,87.82,64.53,49.53,5.57
1906,5.12,20.13,28.53,109.77,91.51,61.16,122.16,135.75,97.57,67.41,75.88,11.27
1907,18.09,13.44,31.70,91.15,70.96,62.18,139.20,160.25,107.05,77.98,38.01,6.28
1908,15.66,10.28,38.40,105.36,125.23,94.39,122.18,181.20,112.09,58.91,40.49,9.33
1909,4.72,10.74,27.50,78.87,115.99,67.67,133.50,176.54,105.67,72.19,25.33,14.22
1910,9.43,10.19,58.19,78.02,97.96,69.39,132.70,152.35,126.41,76.67,33.56,7.24
1911,19.11,28.29,27.86,72.99,72.95,113.74,158.79,142.44,70.02,57.98,22.41,13.53
1912,6.95,29.22,43.83,98.05,100.40,56.34,113.79,130.27,71.55,56.90,19.01,4.47
1913,7.33,19.02,43.87,84.00,81.35,72.59,147.40,188.04,136.47,117.76,31.40,17.56
1914,6.24,10.95,35.77,86.88,95.22,96.73,131.11,127.59,103.65,81.24,57.34,13.54
1915,26.04,23.98,46.13,92.75,110.72,94.84,162.75,182.97,140.52,56.26,29.77,18.01
1916,17.39,16.84,19.12,99.24,131.58,120.73,124.78,160.36,119.73,83.85,18.85,16.30
1917,6.55,27.49,46.70,98.85,91.16,72.14,114.70,129.52,70.21,45.17,22.24,9.64
1918,6.92,13.93,53.19,65.09,85.83,66.20,159.47,129.02,89.90,58.18,25.43,3.75
1919,8.31,16.13,40.52,97.16,103.05,80.86,138.45,147.04,91.91,73.79,29.50,6.37
1920,7.53,8.44,20.30,70.87,102.58,74.65,155.24,122.75,103.83,60.57,26.47,5.95
1921,4.32,16.12,32.97,50.28,124.26,71.35,133.66,158.86,99.08,61.63,19.78,4.52
1922,2.53,28.99,55.44,98.68,121.73,75.58,118.03,150.82,151.04,63.67,48.07,11.72
1923,8.75,18.24,56.76,95.03,80.54,83.56,131.95,158.13,100.25,57.47,16.59,9.40
1924,7.44,18.04,27.38,57.18,106.20,85.93,140.35,131.65,99.07,90.73,87.36,11.77
1925,13.46,31.32,48.98,120.74,162.54,88.78,124.97,149.05,109.36,60.03,36.10,3.85
1926,3.27,15.15,30.22,83.82,86.68,70.90,140.73,135.11,121.23,34.67,30.20,6.72
1927,7.56,10.41,37.27,92.56,126.45,76.62,130.67,164.14,57.25,60.49,66.09,5.25
1928,4.23,17.46,22.97,87.84,105.53,95.57,143.35,156.63,125.83,78.42,21.50,20.06
1929,25.48,20.66,66.08,125.86,81.75,84.45,145.24,118.96,78.92,76.02,17.55,26.11
1930,8.42,21.84,46.81,63.13,114.21,67.56,124.80,152.03,110.53,68.08,17.85,3.41
1931,3.43,6.33,61.10,63.58,105.68,70.94,139.82,170.96,123.55,40.61,15.45,28.85
1932,9.88,16.74,25.70,77.67,83.37,70.93,127.21,154.87,97.55,60.90,34.08,6.71
1933,2.99,7.58,32.75,77.13,117.00,106.28,154.34,131.21,83.85,51.50,19.56,11.80
1934,2.91,12.99,30.02,96.06,207.23,86.58,102.61,154.75,138.34,44.26,32.18,10.39
1935,26.32,52.61,55.74,108.22,77.97,87.85,152.01,158.64,103.14,61.83,22.51,12.25
1936,12.15,28.16,64.92,79.47,110.73,89.46,121.89,140.96,85.70,64.12,58.13,5.14
