Variable:,pr
Country:,Gabon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,129.63,104.06,239.80,219.33,185.18,30.92,8.06,25.23,82.27,256.23,251.82,191.41
1902,137.34,134.43,288.94,229.90,188.05,30.68,12.63,20.27,145.23,289.38,219.24,148.48
1903,141.85,135.08,233.94,232.67,163.51,62.86,8.04,14.58,66.19,236.80,294.90,103.75
1904,145.62,180.17,198.41,167.48,196.87,21.70,7.18,12.54,90.52,261.79,292.90,172.73
1905,137.84,184.89,221.33,207.48,92.19,22.87,6.74,13.15,84.70,193.68,260.62,112.95
1906,121.12,239.59,238.98,242.30,168.26,18.92,4.85,10.13,64.76,190.36,276.48,119.43
1907,104.59,142.31,238.08,236.16,202.73,23.34,4.88,32.28,87.36,309.15,293.72,137.38
1908,147.67,189.97,236.34,230.16,177.80,31.90,6.34,18.95,145.32,327.41,290.01,186.22
1909,192.21,94.64,154.53,185.02,240.79,62.23,8.01,14.08,130.52,188.34,230.26,132.64
1910,121.53,129.75,240.17,212.29,133.23,19.77,6.61,10.79,77.25,212.93,286.98,211.95
1911,248.92,173.46,243.89,237.67,168.59,38.81,11.58,26.44,83.58,262.92,265.51,105.95
1912,78.73,213.30,229.09,215.11,214.10,92.33,6.24,11.26,49.47,153.13,150.38,75.93
1913,127.44,176.93,182.27,195.44,93.86,35.10,6.99,15.44,102.19,245.56,293.76,162.71
1914,140.11,140.07,216.26,206.45,176.87,41.16,9.65,18.95,107.54,271.63,302.75,162.43
1915,140.91,166.35,221.72,205.20,176.91,41.37,9.77,18.67,108.37,313.97,291.80,169.38
1916,153.17,151.40,225.21,198.78,190.66,40.50,9.42,19.08,109.82,276.43,266.30,144.02
1917,133.46,144.36,206.55,212.90,174.80,42.01,10.22,18.67,107.35,270.92,284.32,161.28
1918,149.96,143.01,204.03,193.23,168.10,41.58,9.56,19.68,105.92,272.90,308.28,155.93
1919,149.90,153.64,209.25,209.16,188.78,42.13,9.63,18.79,107.60,277.15,290.56,163.02
1920,148.69,155.10,224.11,209.77,179.32,42.13,9.74,19.18,110.84,284.98,286.20,151.12
1921,146.35,157.22,224.54,208.51,178.66,43.23,9.36,19.52,111.73,283.82,288.85,158.36
1922,148.04,156.56,221.47,218.59,176.46,43.08,9.32,19.34,112.29,283.06,290.30,159.09
1923,153.88,151.10,217.92,190.32,161.87,40.76,9.26,18.81,111.50,284.55,294.08,157.99
1924,145.73,154.50,219.62,207.73,179.04,42.25,9.11,18.74,116.37,285.30,291.23,155.65
1925,148.56,154.87,229.24,212.63,188.36,35.50,9.81,16.54,118.60,287.87,316.85,164.60
1926,149.25,153.58,200.13,211.37,189.17,45.93,11.54,18.38,101.60,277.33,302.95,200.54
1927,184.92,145.61,214.60,223.26,185.47,44.58,8.38,19.02,119.33,270.54,294.90,169.27
1928,139.16,166.07,241.03,209.95,168.75,40.02,8.14,20.57,112.21,283.18,295.40,168.69
1929,148.01,157.22,230.60,197.58,159.60,42.87,5.43,14.82,110.12,296.85,258.33,158.03
1930,137.49,170.67,184.22,219.58,174.99,47.55,8.81,12.84,98.31,271.82,289.70,173.19
1931,152.96,125.16,202.30,197.67,168.03,40.40,4.99,16.98,110.13,275.37,299.35,173.70
1932,154.24,197.25,291.26,216.69,173.10,33.28,9.74,14.26,87.13,315.83,291.62,165.54
1933,118.41,119.65,219.57,218.13,227.97,83.84,11.59,14.66,128.15,341.99,311.53,174.03
1934,137.00,180.58,252.17,254.15,166.20,39.61,9.61,18.55,134.11,342.20,219.81,178.49
1935,125.06,123.22,191.33,227.74,148.96,48.93,5.09,18.48,126.30,247.66,201.63,166.32
1936,117.94,157.91,216.77,271.50,196.60,75.90,13.41,17.50,65.51,269.52,240.70,142.75
1937,117.94,146.74,176.77,243.40,164.21,30.18,5.74,20.26,77.41,277.35,281.63,176.13
1938,153.13,223.84,240.16,217.57,258.58,76.39,3.22,15.98,70.91,212.31,292.80,187.63
1939,191.39,135.96,182.99,262.27,100.24,30.51,3.69,12.41,80.69,226.67,283.36,175.38
1940,62.04,141.49,185.41,229.56,243.03,31.06,5.72,7.73,86.22,210.85,183.99,146.95
1941,127.60,163.68,180.19,214.04,145.51,27.50,5.90,13.46,84.32,213.93,200.77,175.72
1942,146.93,142.28,206.08,217.36,138.14,17.99,4.82,17.14,88.63,232.09,305.25,148.40
1943,119.44,145.02,268.78,271.46,208.76,43.34,6.31,19.49,170.90,374.48,294.83,182.99
1944,189.10,120.04,228.39,168.31,182.14,29.08,9.50,28.51,118.82,438.62,218.64,157.98
1945,157.77,148.48,194.07,193.31,101.02,20.56,6.58,11.85,163.91,292.11,318.63,187.73
1946,165.37,193.96,210.59,279.46,259.97,89.52,3.27,25.03,150.47,313.53,289.73,174.38
1947,194.10,191.83,204.27,219.83,112.07,56.74,7.94,29.04,97.02,298.76,285.37,181.62
1948,161.04,154.65,244.46,209.15,162.29,49.15,16.75,16.91,174.51,349.48,264.86,128.50
1949,149.64,177.75,247.36,208.08,187.50,32.57,1.79,19.10,95.30,350.73,342.95,175.05
1950,110.01,180.27,271.57,183.74,217.37,24.83,12.29,13.39,116.43,321.76,344.76,171.70
1951,150.65,208.13,264.66,279.94,223.54,52.70,8.22,17.38,110.72,302.24,322.38,170.54
1952,172.98,196.18,259.41,187.53,220.56,49.39,11.80,24.81,59.36,221.97,252.49,94.66
1953,91.89,221.18,229.14,205.89,160.18,18.80,1.22,11.94,125.33,391.44,286.21,170.32
1954,192.61,113.57,287.47,193.97,273.60,36.17,7.48,13.22,145.50,330.55,272.61,193.59
1955,135.51,124.48,285.53,230.73,136.65,29.54,2.92,5.86,75.90,305.25,253.91,191.50
1956,188.74,130.53,240.19,243.32,221.84,35.09,11.20,19.57,82.02,234.16,295.21,218.09
1957,129.29,84.64,198.96,195.67,97.69,12.88,1.40,5.06,89.04,199.62,244.38,204.84
1958,211.15,173.53,204.69,216.23,155.53,18.19,10.37,19.15,162.77,381.90,310.71,182.81
1959,150.97,224.06,226.64,226.68,190.31,51.00,10.39,18.09,163.83,304.56,300.11,223.32
1960,190.04,200.92,254.29,261.12,148.10,17.26,7.31,6.13,151.20,367.36,329.45,145.16
1961,165.97,173.08,315.51,240.34,210.06,33.08,5.82,15.63,110.74,291.00,262.48,200.64
1962,163.27,159.56,234.94,238.96,242.83,65.07,28.99,29.99,96.11,261.60,282.34,175.75
1963,127.66,142.55,171.96,222.01,164.21,24.87,3.76,22.60,56.51,293.76,309.32,205.92
1964,162.56,143.13,283.91,216.34,195.00,30.30,6.95,30.82,95.63,226.43,216.90,101.55
1965,171.27,190.42,213.37,300.62,172.31,83.58,5.48,13.54,72.05,258.22,310.61,136.48
