Variable:,pr
Country:,Guam
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,310.77,272.08,258.38,335.38,496.00,561.69,865.38,1213.23,1158.23,1013.62,724.31,482.69
1902,310.77,272.08,258.38,335.38,496.00,561.69,865.38,1213.23,1158.23,1013.62,724.31,482.69
1903,310.77,272.08,258.38,335.38,496.00,561.69,865.38,1213.23,1158.23,1013.62,724.31,482.69
1904,310.77,272.08,258.38,335.38,496.00,561.69,625.17,1584.40,905.68,1055.45,724.31,1048.02
1905,83.09,5.80,55.95,191.06,39.03,360.05,962.12,554.98,695.87,1078.88,765.24,318.72
1906,95.73,95.99,226.08,232.87,313.80,441.95,1649.10,1293.69,911.55,723.23,417.28,339.88
1907,202.60,86.19,258.38,335.38,496.00,422.55,1185.14,1056.98,598.12,1104.98,397.38,324.12
1908,145.62,177.28,242.32,114.92,186.50,456.85,1307.28,890.65,1703.15,1119.68,698.48,911.98
1909,166.95,174.92,258.38,257.34,754.60,417.78,830.08,533.82,1094.40,1041.12,611.48,441.82
1910,208.37,830.74,578.82,75.78,220.60,748.30,1160.04,1762.59,1523.53,1470.79,345.22,182.01
1911,133.48,94.86,55.28,98.95,51.13,210.68,507.53,1820.35,1464.54,1237.84,555.75,875.02
1912,39.55,106.13,87.32,60.21,120.20,232.68,576.20,1369.72,1421.61,1122.25,1340.45,673.34
1913,112.37,295.48,132.89,108.12,240.10,397.48,865.38,1313.42,1739.82,1248.27,406.28,486.99
1914,348.12,44.25,82.88,81.58,153.40,219.48,1178.07,1535.34,1050.84,1357.10,672.91,592.23
1915,153.52,484.87,95.98,267.91,1483.14,905.91,634.77,1118.64,2013.42,956.15,1667.88,201.01
1916,201.23,135.94,144.96,112.22,222.43,529.89,1118.10,1656.19,2350.53,1069.45,455.22,432.92
1917,361.28,569.63,264.38,296.45,314.43,601.56,865.38,762.80,1158.23,1013.62,415.12,212.48
1918,105.50,40.48,87.32,10.20,78.40,623.96,639.04,2353.37,1686.28,534.94,716.31,418.15
1919,110.27,143.11,490.13,289.98,324.00,472.82,865.38,2209.29,973.62,1427.76,326.72,508.26
1920,206.50,71.15,208.18,750.52,205.10,686.13,668.94,1190.20,1465.24,910.18,561.05,256.98
1921,78.09,207.29,406.62,64.61,418.20,557.79,1176.77,1398.68,1818.51,285.45,689.98,250.18
1922,137.68,326.99,1029.64,224.70,208.50,468.45,1280.51,1226.46,1133.90,1043.72,538.02,150.41
