Variable:,pr
Country:,Kazakhstan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.93,9.01,22.79,19.89,28.89,22.02,26.19,14.75,14.42,24.85,33.13,31.25
1902,23.45,22.89,14.45,11.56,33.69,30.64,25.28,23.35,23.59,26.90,16.89,15.58
1903,16.89,18.43,10.20,19.84,28.70,23.69,13.57,21.41,9.77,17.64,22.90,32.01
1904,20.85,12.49,10.80,17.93,31.46,30.42,34.18,36.51,12.67,12.16,23.50,24.31
1905,19.55,8.07,20.46,21.91,27.61,28.67,24.05,27.08,18.04,17.36,25.60,19.92
1906,27.54,10.41,15.59,24.26,29.32,24.89,20.24,20.74,25.72,31.75,24.38,22.19
1907,23.23,14.42,19.32,17.61,33.85,26.41,26.68,21.36,12.58,26.38,27.36,20.42
1908,17.85,13.16,11.15,20.70,20.09,29.53,20.97,13.96,9.88,13.99,15.33,16.07
1909,20.05,11.89,19.21,14.09,22.68,28.05,27.34,13.58,12.19,21.61,15.58,15.70
1910,15.47,15.88,14.71,16.27,23.22,14.77,25.82,29.30,26.16,26.72,22.50,16.56
1911,14.28,20.91,15.39,15.51,33.77,35.08,17.86,16.71,11.32,18.44,16.96,22.49
1912,23.34,16.31,21.53,13.77,25.98,30.85,24.82,11.47,12.21,31.81,23.61,20.68
1913,26.25,17.15,23.97,32.79,37.99,32.25,15.56,21.73,16.28,16.25,24.20,22.08
1914,17.73,10.09,22.23,24.15,26.94,25.88,46.13,20.96,12.21,29.00,15.11,29.79
1915,20.33,10.75,19.90,22.76,11.80,23.05,36.29,10.05,13.89,12.07,16.07,18.83
1916,12.82,18.64,15.00,9.24,11.45,28.56,29.65,21.07,13.34,14.85,17.11,12.34
1917,19.01,12.60,19.45,17.42,28.65,18.17,28.02,11.30,10.65,13.65,20.25,13.50
1918,18.94,17.70,22.63,20.23,26.10,33.72,29.40,19.07,19.64,15.83,19.29,16.92
1919,16.70,13.20,15.78,18.26,21.95,17.87,30.17,21.28,15.53,29.49,26.53,16.23
1920,17.45,16.20,18.13,23.60,18.86,21.25,28.02,25.75,13.95,29.58,17.12,21.71
1921,12.22,13.93,18.74,20.43,28.48,25.40,31.40,25.33,16.53,26.59,14.26,21.11
1922,9.99,12.43,25.08,26.41,21.87,21.39,24.15,9.38,16.14,32.31,23.59,17.19
1923,13.59,12.46,16.83,23.79,26.93,25.65,22.72,19.38,14.04,14.20,20.98,17.03
1924,17.51,9.81,19.02,29.88,25.39,27.92,19.61,14.61,11.47,18.73,27.59,23.42
1925,19.23,15.51,16.09,29.50,27.67,28.83,33.04,21.13,14.36,18.07,24.18,19.93
1926,14.51,10.78,19.51,11.56,15.56,20.44,19.80,21.90,14.76,35.56,25.87,25.14
1927,16.54,18.34,17.10,31.90,39.92,26.22,36.66,33.39,24.43,12.26,19.38,12.95
1928,15.34,15.44,21.58,17.42,16.86,25.29,11.97,10.63,23.96,14.45,12.81,12.93
1929,11.89,21.22,14.55,18.83,26.74,17.23,20.17,24.07,16.11,20.62,19.62,22.90
1930,11.89,4.75,22.11,17.12,30.30,23.88,15.77,26.90,12.18,21.35,20.69,22.48
1931,14.30,13.58,14.73,22.20,25.77,12.66,32.43,15.23,19.26,16.81,21.17,14.20
1932,10.64,10.78,17.08,20.57,19.70,25.32,27.15,18.88,7.08,10.86,25.48,28.54
1933,6.35,17.71,16.99,23.89,26.76,37.05,37.94,21.59,24.81,12.63,11.37,19.13
1934,12.65,13.94,23.21,13.11,15.52,30.24,27.48,13.97,11.35,20.59,13.85,9.94
1935,13.36,11.55,14.49,19.07,24.03,13.75,24.43,27.58,15.96,18.48,17.42,13.18
1936,13.59,9.69,13.62,25.99,29.06,30.07,20.83,9.91,9.64,13.55,16.55,16.32
1937,13.71,17.92,16.89,21.17,22.42,26.80,35.77,14.76,10.05,15.90,23.82,15.52
1938,15.41,12.56,11.80,19.79,27.09,16.05,27.53,11.24,12.26,26.36,17.99,21.96
1939,15.21,18.20,16.65,12.72,29.81,15.06,18.30,11.47,14.82,39.79,18.77,27.54
1940,18.59,19.86,20.77,24.14,27.16,16.04,31.55,29.12,18.64,19.05,27.19,28.24
1941,16.66,3.83,27.17,26.24,31.18,25.73,21.60,20.21,13.36,23.31,24.34,14.60
1942,12.58,12.10,11.39,22.41,18.72,27.05,15.38,23.48,10.40,17.32,15.81,22.31
1943,14.14,13.29,10.22,16.60,16.55,22.45,19.77,10.09,12.12,21.73,16.46,8.40
1944,14.02,8.81,17.27,21.58,29.11,25.12,28.73,12.61,18.22,21.39,19.90,22.21
1945,15.74,15.13,19.32,24.45,26.63,33.05,41.22,27.48,25.78,26.53,20.88,10.93
1946,18.53,7.66,16.87,28.20,34.40,34.39,31.32,23.98,24.17,20.41,21.99,16.48
1947,17.26,12.32,24.08,22.32,21.20,23.05,16.56,7.64,25.80,18.87,14.21,20.44
1948,11.42,13.55,14.15,36.21,33.22,26.81,27.74,19.99,16.27,19.31,13.92,13.34
1949,20.18,8.16,15.95,14.04,29.98,26.98,23.36,23.43,18.39,16.09,14.93,11.54
1950,14.38,9.01,7.75,7.76,20.85,20.49,17.28,9.29,10.72,34.43,20.31,21.46
1951,13.86,13.59,22.16,30.52,17.79,29.88,31.36,13.84,17.32,17.92,9.26,18.17
1952,18.44,20.60,24.60,15.68,27.08,31.72,28.47,22.89,12.28,31.78,24.66,22.23
1953,16.97,13.57,19.21,27.67,26.11,41.56,22.79,29.47,16.51,15.35,16.25,9.74
1954,10.13,20.67,18.02,20.35,12.23,11.28,19.66,18.40,12.27,7.06,21.59,26.53
1955,11.68,15.15,15.03,28.65,34.53,36.44,18.85,12.56,17.50,20.80,19.77,19.14
1956,18.37,8.42,21.74,12.95,9.77,20.80,37.92,30.71,4.70,27.50,23.83,25.22
1957,17.98,18.15,29.20,42.52,41.91,29.75,38.41,28.52,18.07,17.17,16.87,24.35
1958,9.28,15.94,23.41,32.93,11.82,32.55,33.80,29.36,10.67,26.15,17.99,14.10
1959,21.86,18.10,19.59,15.45,39.28,31.41,49.54,24.09,15.09,20.98,18.79,17.49
1960,13.76,12.99,19.34,22.00,14.56,26.25,35.43,20.80,18.89,22.43,26.10,18.34
1961,16.26,12.54,17.35,14.43,35.66,29.85,17.44,14.30,13.33,24.04,15.89,20.58
1962,12.84,13.51,20.18,16.88,22.92,29.87,30.78,23.16,14.92,23.99,35.69,25.64
1963,24.64,9.74,26.96,31.91,22.84,34.03,33.85,27.29,11.34,16.63,19.57,15.27
1964,16.22,12.90,13.28,23.60,14.37,22.99,14.77,23.67,22.83,30.61,35.99,8.73
1965,21.85,24.25,25.89,20.14,29.68,32.78,26.14,21.91,8.95,19.78,18.50,18.45
1966,9.53,14.57,14.95,14.22,27.39,25.60,40.46,22.67,17.53,20.81,13.84,16.65
1967,17.31,9.18,28.61,23.03,14.98,19.29,33.02,13.24,14.54,21.93,20.97,21.06
1968,12.72,10.44,30.62,25.14,33.74,15.09,46.11,22.65,18.93,51.81,18.14,16.41
1969,13.41,13.94,15.12,22.22,21.92,15.11,22.26,34.45,18.25,19.88,26.43,20.39
1970,19.22,16.54,17.14,28.53,28.53,18.50,21.16,17.29,4.42,21.52,18.25,31.58
