Variable:,pr
Country:,"St. Kitts and Nevis"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,140.90,73.80,98.70,141.40,240.90,249.60,189.20,198.00,233.60,206.00,261.40,181.60
1902,111.70,84.70,90.00,166.90,176.00,178.10,206.80,249.60,231.20,234.40,225.60,197.00
1903,137.70,110.90,111.10,137.50,179.70,146.90,183.00,211.30,277.20,248.20,233.80,157.70
1904,146.50,90.00,108.00,128.50,187.00,159.70,175.80,218.70,260.40,275.80,252.70,156.50
1905,113.90,87.20,98.20,140.80,170.20,195.70,206.50,196.70,296.60,215.10,230.50,185.60
1906,124.70,94.90,93.10,123.20,185.40,164.60,182.10,194.70,227.80,237.40,223.70,205.90
1907,138.10,91.50,96.30,129.60,163.90,166.30,179.60,193.50,264.50,211.90,231.10,201.80
1908,136.20,120.80,99.80,129.80,163.00,216.10,173.60,288.90,223.30,237.50,321.00,153.30
1909,150.80,104.20,110.70,123.40,230.30,166.00,177.20,220.70,281.40,201.30,207.50,194.90
1910,147.80,119.90,82.30,149.40,221.10,147.70,200.30,196.40,238.50,221.00,221.40,270.30
1911,129.00,84.80,94.00,169.70,160.40,152.30,153.20,182.90,227.50,272.20,271.80,160.80
1912,152.70,104.90,127.00,147.40,181.30,162.10,159.00,193.60,250.50,270.30,222.50,155.40
1913,126.30,129.10,106.10,133.40,245.60,164.40,166.10,201.40,217.50,205.90,258.20,188.70
1914,142.20,120.90,92.00,182.50,169.50,203.40,189.00,183.60,239.30,211.10,277.70,186.90
1915,133.10,93.40,74.80,135.10,181.20,173.20,206.70,256.30,291.70,271.80,299.20,144.50
1916,116.30,89.40,80.00,138.40,203.10,173.80,196.80,204.70,240.50,203.30,262.70,161.90
1917,120.00,115.40,88.60,131.60,161.80,164.30,184.90,174.80,252.20,236.10,242.10,196.20
1918,133.80,83.80,87.20,181.90,166.40,204.00,237.60,169.30,285.20,219.80,232.50,192.40
1919,165.10,112.30,111.10,109.60,173.80,158.40,172.60,206.60,247.20,226.90,226.20,178.10
1920,166.90,102.80,111.20,131.30,179.10,157.40,232.50,199.80,258.90,231.70,217.10,157.10
1921,156.10,118.30,123.00,126.50,162.20,156.80,175.90,219.60,234.90,221.80,207.30,216.90
1922,118.00,98.80,84.50,162.50,149.80,173.20,168.40,194.60,232.50,242.30,238.50,149.10
1923,129.50,112.40,81.90,140.00,179.60,173.40,182.30,215.30,229.10,212.50,318.70,184.20
1924,126.40,105.90,92.80,161.50,164.90,163.30,183.30,192.00,237.00,214.90,258.20,137.70
1925,145.30,92.00,98.70,130.20,179.50,142.50,211.70,226.80,220.60,259.70,212.50,153.80
1926,143.30,97.10,105.40,148.10,176.80,184.40,215.30,201.20,230.80,306.90,268.50,150.30
1927,129.60,92.10,90.60,118.60,233.10,144.80,190.40,242.90,356.40,224.80,273.70,194.60
1928,145.30,84.00,102.90,118.40,209.00,174.20,157.10,245.90,258.50,219.50,215.30,155.30
1929,191.40,91.80,93.30,121.90,174.80,159.90,152.50,184.90,242.80,217.20,246.00,168.30
1930,112.60,130.90,91.40,169.30,236.10,240.70,217.90,225.40,319.60,257.50,303.40,170.50
1931,141.20,78.80,91.20,152.90,224.90,203.90,199.40,214.30,264.70,238.70,272.80,166.00
1932,135.30,79.00,97.40,139.60,246.30,187.00,183.20,214.90,307.70,229.60,257.80,171.90
1933,135.20,77.70,97.70,122.00,170.80,152.20,192.50,220.70,238.00,208.70,224.10,206.40
1934,124.50,109.30,91.10,138.90,195.70,153.30,190.00,227.30,249.90,237.30,206.30,172.40
1935,119.20,88.30,79.10,122.30,266.70,189.90,218.70,246.30,264.80,252.40,232.70,196.00
1936,144.50,80.30,81.40,141.10,161.00,148.20,165.90,207.30,231.50,215.90,258.60,149.50
1937,117.80,88.30,92.90,121.50,177.80,222.90,175.00,218.70,241.50,227.40,314.60,194.60
1938,127.70,90.00,94.00,131.80,177.90,154.40,156.20,192.60,241.00,247.70,255.10,153.80
1939,117.70,108.80,92.40,149.80,203.60,180.50,168.20,186.70,219.50,235.50,254.40,174.60
1940,138.90,72.30,88.20,149.70,215.20,187.90,197.30,199.90,257.10,212.20,226.30,129.10
1941,136.00,97.50,90.30,187.40,189.30,197.50,188.70,203.40,261.30,250.00,295.90,126.80
1942,177.20,81.30,106.80,131.70,236.90,177.00,154.10,223.60,178.90,274.20,156.00,154.90
1943,107.20,82.80,47.70,85.00,236.30,249.80,255.40,263.10,307.80,243.50,169.80,142.10
1944,72.30,81.60,58.00,186.60,205.10,116.40,203.90,233.10,201.80,241.70,144.80,153.20
1945,101.60,103.50,80.60,133.40,219.60,161.00,166.70,199.00,227.00,241.80,219.60,163.80
1946,151.70,90.90,88.10,134.90,190.60,155.70,129.00,147.50,252.90,225.50,153.50,114.50
1947,113.10,91.90,82.50,110.30,201.20,179.40,219.40,260.80,253.50,266.10,270.10,159.50
1948,128.90,86.20,105.00,97.60,160.80,209.90,176.90,197.40,411.00,293.70,156.30,169.70
1949,188.00,117.50,84.60,183.30,204.30,172.50,166.40,242.70,211.80,284.90,241.40,149.90
1950,132.80,55.70,40.70,126.70,210.50,190.60,245.50,239.90,293.20,183.10,180.70,219.70
1951,195.40,83.40,82.30,260.90,212.90,147.40,347.60,347.80,386.90,208.90,237.50,84.70
1952,126.30,51.20,94.30,114.90,143.40,217.80,180.80,166.10,324.20,143.00,342.90,220.60
1953,181.70,151.90,94.20,173.60,99.90,139.30,150.80,285.60,415.80,443.00,126.40,171.20
1954,104.70,83.20,96.00,177.90,181.10,170.20,146.60,368.10,337.20,299.90,234.10,121.30
1955,116.30,171.90,84.80,231.60,107.10,254.30,149.90,273.80,162.80,274.90,227.40,287.10
1956,136.60,60.80,47.10,84.90,73.30,234.00,182.70,222.60,139.30,201.70,269.70,249.00
1957,104.40,60.90,37.80,219.80,426.00,270.80,339.60,205.30,267.40,324.40,273.60,125.90
1958,169.90,93.10,74.20,152.40,290.50,99.00,256.00,168.30,187.50,145.50,162.50,175.10
1959,75.30,121.90,134.40,217.40,198.70,189.90,269.40,226.20,376.10,169.20,263.30,310.70
1960,134.70,79.10,82.70,85.00,114.20,122.30,198.90,264.20,154.60,274.50,293.80,193.60
1961,191.10,110.30,88.40,220.10,129.10,268.40,162.20,231.10,238.10,251.10,122.30,126.50
1962,265.30,90.00,66.90,172.10,201.40,153.70,270.90,211.30,228.80,158.30,182.80,66.90
1963,120.20,89.30,94.30,186.80,117.40,132.20,290.30,203.20,187.70,166.30,90.50,108.90
1964,143.10,44.70,43.80,195.70,236.30,195.20,190.70,167.20,225.00,180.40,211.30,308.20
1965,100.70,115.00,156.00,160.20,240.30,157.10,249.80,155.80,247.30,163.30,228.00,186.40
1966,136.00,102.00,112.80,86.60,130.20,112.00,164.50,134.80,312.40,211.50,203.80,103.10
1967,80.90,39.40,65.90,151.00,158.50,213.00,156.00,225.00,176.00,140.70,157.80,267.80
1968,145.60,89.00,78.90,118.10,534.00,202.50,274.70,206.80,277.40,207.70,282.10,127.40
1969,48.00,62.00,48.60,94.10,225.40,307.00,275.30,290.50,215.90,341.80,262.70,358.20
1970,152.50,145.10,80.90,202.30,268.70,76.70,119.50,237.70,166.60,271.30,92.30,248.40
1971,193.70,123.30,136.70,111.20,98.90,178.00,139.60,166.30,202.80,287.10,154.10,178.50
1972,101.40,72.80,87.20,135.90,67.70,175.00,132.90,183.60,282.00,156.80,91.00,96.70
1973,186.50,99.90,155.30,94.30,93.40,85.20,98.40,182.40,315.40,257.00,382.00,83.90
1974,166.90,80.10,66.90,114.60,94.90,73.30,88.40,145.30,358.60,338.40,251.50,326.90
1975,109.90,153.40,96.70,101.50,85.60,141.50,78.20,196.00,169.80,270.70,207.90,185.90
1976,69.70,46.90,62.00,152.20,81.50,82.70,141.60,244.80,236.50,410.10,408.10,119.00
1977,99.40,51.80,126.00,125.30,202.10,137.00,167.90,251.40,185.40,248.20,223.70,113.60
1978,80.80,103.90,143.50,78.40,368.30,356.60,244.40,362.10,444.60,200.20,365.70,181.40
1979,73.80,74.20,54.40,212.00,118.40,103.10,198.60,209.60,216.50,220.90,155.20,219.40
1980,131.50,129.60,83.50,215.70,389.90,191.90,203.20,202.70,140.20,220.40,178.30,280.70
1981,132.10,155.10,78.40,120.20,230.80,129.30,181.80,176.20,248.20,199.50,282.10,189.90
1982,101.60,48.20,89.20,232.30,261.10,125.80,241.90,216.50,244.30,161.60,230.70,143.10
1983,128.90,102.00,101.50,117.50,170.60,173.40,210.30,167.50,263.90,246.70,484.10,129.90
1984,83.80,92.20,148.70,109.20,142.70,85.80,127.10,170.70,265.70,414.20,234.70,134.20
1985,158.20,28.30,102.50,204.90,355.30,118.10,111.20,189.30,101.20,211.80,475.70,150.70
1986,95.10,62.90,127.20,118.90,432.50,363.50,130.60,140.50,220.50,184.40,550.40,213.90
1987,153.20,161.00,81.90,139.40,130.50,214.00,232.00,362.60,245.20,254.30,247.60,177.20
1988,180.60,235.20,110.50,141.20,89.20,199.40,165.10,400.60,525.00,134.10,140.00,85.30
1989,141.30,107.50,142.50,112.00,98.90,174.70,177.00,165.60,197.80,516.50,150.30,186.40
1990,140.50,116.80,122.90,125.50,133.20,99.20,152.70,132.90,227.70,198.10,303.00,141.50
1991,158.90,73.70,80.00,127.40,367.50,187.80,134.20,220.20,285.70,162.30,425.20,346.00
1992,205.70,55.50,121.60,153.80,172.90,175.30,172.40,100.70,230.10,127.20,193.00,193.20
1993,143.10,92.00,52.10,114.30,107.40,111.50,171.00,123.60,253.60,189.60,164.20,156.20
1994,68.70,139.00,91.60,91.60,68.50,85.90,178.50,235.00,296.80,245.30,142.70,315.10
1995,171.30,74.60,158.10,149.20,52.90,185.60,380.80,139.10,219.80,285.90,259.60,180.50
1996,142.40,198.40,68.80,45.60,231.00,71.10,308.40,160.30,260.40,322.00,133.00,54.00
1997,193.00,48.20,99.50,173.30,239.70,142.10,182.30,217.20,218.20,347.90,425.00,362.70
1998,153.60,70.30,38.80,131.50,55.40,398.20,201.40,268.10,187.90,237.10,269.70,286.10
1999,164.10,103.10,45.00,82.70,165.20,81.30,122.10,165.60,159.70,135.30,304.20,138.70
2000,59.30,136.80,106.60,140.30,171.90,120.00,174.10,325.10,146.00,328.00,165.40,344.10
2001,134.00,90.10,183.80,272.50,110.40,172.50,173.30,154.50,273.00,270.10,215.50,147.60
2002,139.40,114.70,45.10,159.10,111.30,124.80,169.70,258.90,150.90,341.40,267.00,384.80
2003,126.00,123.20,211.20,82.50,381.50,159.50,208.80,106.60,262.20,275.40,538.30,174.40
2004,215.70,80.90,33.50,241.30,242.40,370.90,199.30,394.20,123.50,492.70,287.20,155.30
2005,281.50,80.50,70.60,171.50,407.30,346.80,296.10,336.60,149.00,262.20,246.30,175.90
2006,158.40,101.80,94.90,106.50,132.50,179.80,245.20,228.50,272.70,241.00,114.60,256.10
2007,185.20,174.50,97.40,120.00,86.10,195.80,200.40,395.80,416.80,537.60,194.80,175.60
2008,136.90,50.00,64.70,108.90,224.20,184.70,177.10,171.30,156.50,194.00,252.20,158.00
2009,129.00,47.80,70.70,143.10,223.50,209.30,386.30,355.40,228.70,264.50,351.20,165.50
2010,83.60,98.90,193.80,137.20,243.00,207.30,220.30,255.50,270.60,179.40,248.40,196.00
2011,119.10,94.60,92.70,174.10,240.10,20.00,285.60,191.70,95.40,237.70,117.30,184.50
2012,122.70,92.60,52.70,81.30,349.40,161.20,242.10,193.50,242.60,217.70,246.40,200.60
2013,140.80,105.80,85.20,132.80,294.80,69.00,108.20,227.90,240.30,410.80,280.30,141.80
2014,114.30,73.50,59.20,97.50,57.90,63.30,44.50,132.10,90.10,165.20,255.30,133.20
2015,83.30,88.50,151.40,121.10,145.80,174.10,196.60,207.80,257.00,116.10,340.30,314.80
2016,96.30,77.50,120.20,241.50,282.60,203.50,177.80,222.70,253.60,243.20,298.70,182.20
2017,165.10,173.50,62.50,152.20,189.50,71.80,127.60,191.90,155.90,338.50,277.20,135.50
2018,124.70,87.70,35.80,139.00,106.30,99.70,367.70,271.80,257.00,240.50,113.20,263.70
2019,261.70,131.60,101.30,96.10,37.40,87.40,309.90,202.80,175.30,270.00,231.90,148.30
2020,,,,,,,,,,,,
