Variable:,pr
Country:,"Macao SAR, China"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,7.10,0.70,19.70,55.30,505.70,358.30,370.30,469.00,28.30,40.50,173.80,139.30
1902,44.90,34.40,120.70,136.40,338.00,553.80,220.00,406.00,330.20,118.70,37.20,5.20
1903,3.00,5.80,157.60,108.90,159.30,381.40,313.60,519.90,274.20,43.80,21.70,33.30
1904,53.00,35.00,156.80,99.60,127.80,428.10,206.50,245.70,146.80,51.50,21.50,85.70
1905,60.60,63.60,115.40,291.20,292.10,143.90,329.70,71.50,567.30,24.50,5.70,19.80
1906,103.30,12.70,25.30,272.50,334.80,253.00,228.20,310.60,310.20,355.10,88.30,69.80
1907,109.70,80.10,25.40,164.00,62.70,356.80,461.20,319.70,248.60,179.70,22.20,155.00
1908,83.60,72.90,92.40,116.20,229.00,309.30,250.50,223.90,157.80,502.80,27.10,0.10
1909,32.90,26.10,33.60,113.60,67.70,371.80,274.70,300.20,251.70,7.20,96.50,42.70
1910,25.40,3.20,134.70,150.50,476.60,144.80,217.00,440.50,92.60,175.90,101.90,20.20
1911,98.40,85.20,158.90,98.80,140.40,458.00,151.50,377.50,73.30,0.40,8.00,160.60
1912,34.40,58.90,197.60,74.00,203.40,461.50,246.60,352.40,440.30,77.10,38.90,88.10
1913,2.00,89.80,47.30,159.70,335.60,272.50,619.80,229.10,294.00,151.40,183.40,58.50
1914,14.00,19.60,111.60,80.80,309.00,272.40,342.20,267.70,81.00,296.40,103.10,45.60
1915,85.20,39.00,39.10,118.80,247.00,557.00,187.60,217.20,212.60,43.00,1.90,6.30
1916,14.80,18.80,118.20,168.50,185.10,351.00,547.50,327.50,111.20,79.70,3.70,62.10
1917,0.90,10.10,58.50,94.40,293.60,542.50,380.30,818.20,270.70,1.80,170.50,17.90
1918,25.70,70.20,63.20,220.00,202.30,386.10,353.30,502.30,85.90,105.70,114.10,40.40
1919,3.00,111.60,74.50,194.10,308.80,382.00,407.50,527.90,302.90,148.70,169.90,67.40
1920,10.50,31.90,114.70,68.20,517.20,360.00,215.50,329.30,347.20,6.00,18.30,16.20
1921,93.60,127.80,150.20,58.10,270.90,272.20,289.00,456.00,231.30,121.90,10.20,29.20
1922,3.80,28.40,46.80,171.60,116.40,391.00,437.80,587.40,141.30,323.70,24.10,18.30
1923,47.30,135.30,6.40,135.10,248.20,558.40,320.10,379.80,155.90,178.10,0.00,12.80
1924,98.60,33.00,230.60,218.30,199.90,339.30,241.90,241.60,143.40,58.10,35.40,22.00
1925,17.00,96.00,134.80,283.30,243.80,266.80,410.10,306.30,243.70,222.60,105.30,27.40
1926,12.70,97.80,197.90,184.90,444.20,341.80,474.60,356.00,156.00,134.00,84.00,46.40
1927,68.10,58.70,135.90,127.40,345.20,348.80,149.80,418.40,73.80,8.20,62.90,2.40
1928,25.80,39.40,23.50,111.40,236.60,275.40,473.10,381.60,182.90,2.70,55.10,42.10
1929,70.30,47.80,215.30,110.40,178.90,248.20,478.10,223.10,344.60,123.10,20.30,61.70
1930,13.70,18.00,140.40,282.60,210.50,396.00,280.80,403.30,347.00,41.20,34.50,138.40
1931,0.10,83.70,87.90,131.50,123.30,493.20,545.40,470.30,204.70,41.40,16.10,102.20
1932,24.10,16.90,36.40,81.20,163.50,438.00,269.10,124.40,282.10,48.20,157.10,83.70
1933,12.30,42.70,72.30,82.00,198.60,523.70,389.20,512.40,190.70,126.80,36.00,59.60
