Variable:,pr
Country:,Moldova
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.43,23.67,34.78,31.09,66.27,47.25,50.22,38.78,30.26,42.90,2.17,53.68
1902,18.87,7.69,14.72,67.07,62.17,81.52,39.20,25.57,3.20,24.23,21.38,31.70
1903,10.13,20.01,34.27,15.90,45.60,45.52,22.87,42.30,95.84,27.67,50.12,13.76
1904,22.49,31.13,6.57,46.83,32.91,57.57,35.65,15.48,36.31,69.53,62.98,23.11
1905,44.17,25.58,27.46,42.16,72.90,70.57,100.06,40.77,21.96,18.55,26.93,53.05
1906,23.48,25.21,45.26,30.88,21.92,102.62,66.99,16.36,40.30,5.13,46.18,31.17
1907,25.97,41.50,19.28,27.30,19.76,57.21,77.76,48.71,64.62,34.57,36.39,29.18
1908,39.78,47.95,50.59,23.56,27.25,105.87,26.13,16.78,59.22,25.49,36.50,27.76
1909,53.61,43.91,8.84,50.68,39.73,70.65,103.58,54.42,10.89,51.90,52.77,17.15
1910,43.10,23.48,23.53,43.51,45.31,95.38,59.17,63.19,45.79,20.02,25.37,43.26
1911,46.56,29.63,31.49,50.54,80.51,62.96,92.69,74.55,120.89,58.60,51.00,24.70
1912,28.08,9.04,17.17,25.04,54.65,64.57,77.27,63.52,50.98,3.72,44.75,26.30
1913,46.44,5.10,53.61,31.63,73.38,88.30,98.72,66.63,84.67,52.57,35.33,19.90
1914,63.53,25.02,65.70,38.48,64.72,52.23,75.77,66.71,23.21,38.42,41.06,15.67
1915,35.57,50.66,34.16,33.95,79.88,47.37,68.00,19.29,12.73,62.82,30.49,32.78
1916,61.51,23.36,41.06,50.86,25.09,83.57,37.38,47.85,20.18,40.51,33.26,18.79
1917,11.20,15.45,11.24,13.07,26.22,64.12,85.26,64.58,31.04,55.06,63.25,50.02
1918,18.79,27.99,37.13,35.60,95.36,96.63,90.57,51.98,14.38,61.30,55.45,45.28
1919,51.67,26.35,37.02,24.63,44.64,88.91,32.27,38.03,26.17,13.33,23.02,17.23
1920,26.82,37.32,3.85,34.15,42.20,60.68,54.01,26.94,24.37,8.33,74.19,19.20
1921,54.43,23.87,32.23,62.96,72.81,83.36,22.39,41.79,75.94,66.17,60.02,26.42
1922,54.92,43.23,53.81,33.55,46.90,63.81,42.57,20.17,36.98,14.01,18.53,69.37
1923,16.93,32.77,24.62,74.74,18.05,46.28,45.83,52.24,24.00,16.40,42.67,7.62
1924,15.68,21.64,22.34,36.80,41.74,73.51,52.26,54.45,50.30,15.86,50.19,42.46
1925,24.58,23.85,22.82,25.35,84.39,100.98,95.97,49.48,21.30,25.69,1.76,41.37
1926,34.58,10.93,21.88,28.45,52.33,39.52,56.30,82.37,36.70,24.51,28.40,36.62
1927,12.16,29.18,8.68,32.41,45.70,66.31,20.05,63.11,32.54,31.03,54.91,69.84
1928,48.42,23.87,11.41,49.12,43.40,46.65,50.03,19.80,38.02,30.87,39.09,15.09
1929,8.63,17.42,25.12,60.83,86.86,58.53,41.97,58.95,24.34,28.94,32.32,60.49
1930,38.22,15.37,43.03,51.94,36.52,60.60,40.75,75.35,51.82,23.96,44.21,21.43
1931,29.29,49.48,39.86,30.36,79.72,123.35,56.19,43.44,18.80,55.07,17.75,20.56
1932,45.11,35.39,40.82,59.66,74.17,72.27,102.01,68.99,43.01,39.72,44.73,25.61
1933,30.46,16.06,8.03,10.81,33.10,47.20,68.72,70.35,47.52,22.84,32.36,8.03
1934,41.63,27.96,11.33,50.15,30.65,48.55,46.14,36.81,25.84,13.10,26.22,40.97
1935,22.95,42.10,21.43,42.24,15.38,88.66,36.64,62.56,42.36,40.88,42.56,25.25
1936,49.89,37.51,18.83,74.07,25.54,36.37,46.99,109.36,20.90,42.38,44.82,54.32
1937,23.91,26.62,13.07,37.20,53.50,44.61,37.89,54.45,47.48,62.64,21.17,36.49
1938,23.15,17.90,42.17,17.75,41.33,36.59,32.77,43.32,42.23,88.30,17.92,46.62
1939,44.36,47.78,22.81,55.12,80.11,96.42,58.92,63.92,33.32,60.86,26.05,47.72
1940,61.43,64.10,35.91,52.24,57.08,91.12,111.66,43.66,78.52,51.98,38.91,20.46
1941,54.48,21.43,11.85,52.23,38.25,72.33,55.05,8.62,16.56,18.85,62.61,12.50
1942,38.21,22.72,9.55,20.07,86.58,51.98,106.73,13.35,53.21,23.75,57.39,57.86
1943,25.10,56.14,49.82,40.68,50.42,42.37,54.77,38.12,22.11,32.33,61.19,20.22
1944,52.41,17.44,15.23,62.31,43.36,21.47,33.16,58.91,13.33,28.85,13.40,34.56
1945,11.89,21.72,15.44,13.45,47.44,52.73,35.43,24.33,30.32,74.10,41.50,42.72
1946,41.36,27.27,27.39,11.80,16.22,88.68,70.15,93.48,22.18,30.61,66.47,58.74
1947,53.61,17.59,31.89,2.51,70.55,143.47,77.50,31.73,21.33,14.24,14.40,6.44
1948,12.04,12.86,28.84,19.52,31.84,127.67,106.64,82.15,30.17,2.78,42.58,49.09
1949,16.89,8.74,35.23,53.82,33.89,33.76,50.74,60.34,21.39,63.00,27.57,29.20
1950,18.43,28.39,36.55,46.38,46.93,39.45,34.89,46.13,39.55,18.59,26.18,13.47
1951,30.01,58.20,41.51,9.85,47.20,108.21,30.78,25.02,20.41,55.31,81.50,43.92
1952,48.43,75.77,7.09,39.45,71.56,53.77,22.79,30.40,20.42,6.09,17.73,15.19
1953,33.04,29.72,8.34,27.03,61.04,64.17,60.07,58.03,32.73,23.16,59.26,31.97
1954,27.44,38.44,25.21,56.14,52.69,90.84,107.94,78.32,87.59,26.82,33.93,28.67
1955,34.68,60.65,29.04,33.96,30.29,69.86,31.79,50.27,64.22,18.61,22.76,60.00
1956,31.73,19.19,9.33,44.50,49.01,44.69,50.83,36.99,59.99,18.52,56.31,24.31
1957,37.39,39.99,33.70,69.28,13.89,96.06,44.55,85.01,39.56,47.52,34.83,16.00
1958,48.40,8.29,9.48,18.00,42.10,46.52,30.72,60.34,38.46,7.71,89.91,46.23
1959,54.36,25.66,8.80,19.94,89.30,54.94,40.91,42.58,36.57,45.29,73.40,58.45
1960,46.58,20.93,15.02,53.49,94.06,44.13,58.36,47.03,4.06,18.05,41.04,32.31
1961,22.45,46.94,71.44,39.75,45.57,57.10,49.97,26.30,42.96,4.80,88.22,31.28
1962,70.84,55.24,40.44,34.00,30.37,59.21,45.22,47.64,14.85,9.55,9.65,67.28
1963,7.69,33.84,36.47,28.23,39.26,42.88,70.70,39.96,92.41,45.02,30.81,29.04
1964,49.70,42.71,20.24,56.91,46.34,82.85,81.45,28.73,27.04,7.78,45.04,40.38
1965,114.11,29.35,59.34,29.68,47.33,69.79,53.77,73.53,31.23,32.83,77.35,46.47
1966,42.93,56.99,32.00,27.06,49.68,69.55,32.65,50.82,25.59,18.26,16.87,43.20
1967,69.02,46.19,26.87,8.98,32.38,34.53,97.35,46.11,97.00,38.34,29.94,37.47
1968,33.34,84.93,40.20,40.97,28.29,101.59,102.72,40.61,30.14,6.30,19.65,91.99
1969,43.40,62.87,33.31,53.87,109.67,65.50,72.79,76.35,17.72,31.28,36.11,44.12
1970,31.62,41.26,52.39,16.61,73.59,82.31,97.76,29.28,99.78,11.22,27.91,55.79
1971,24.52,11.70,11.49,45.85,56.24,94.70,65.93,102.42,82.64,71.45,42.36,4.84
1972,19.53,63.68,50.98,28.88,71.00,30.89,62.91,24.93,15.03,13.26,18.82,34.95
1973,13.78,15.23,12.39,32.18,70.36,87.62,123.59,42.15,79.95,41.54,49.38,33.37
1974,20.92,15.74,10.71,58.41,72.11,76.85,89.49,24.70,10.84,44.15,44.21,7.84
1975,53.56,13.99,24.78,41.30,31.74,46.83,55.75,80.08,103.90,28.95,41.11,49.94
1976,27.70,37.96,15.27,74.06,43.63,69.81,71.47,76.17,30.75,9.35,32.42,24.51
1977,12.31,65.94,39.66,65.80,80.26,78.44,83.38,38.53,71.39,10.08,20.01,37.70
1978,61.09,21.69,37.97,65.74,44.48,77.10,53.45,63.98,17.41,32.79,57.36,25.13
1979,37.55,12.39,63.26,58.69,57.28,103.08,93.72,42.78,29.54,39.87,66.13,67.60
1980,48.58,26.99,40.62,33.10,74.75,50.59,62.73,31.15,69.45,46.00,82.96,44.46
1981,18.10,29.68,25.06,48.84,16.01,77.53,86.42,39.19,10.05,23.20,15.02,33.57
1982,17.53,15.36,14.79,31.28,65.35,94.42,71.90,69.74,16.04,11.72,23.65,17.42
1983,46.04,69.55,52.40,74.00,70.57,81.96,65.13,26.52,36.71,15.83,38.08,35.05
