Variable:,pr
Country:,Macedonia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,38.54,77.58,54.24,42.48,92.04,38.42,28.59,52.51,53.64,60.57,52.67,63.82
1902,31.42,21.82,46.17,84.43,67.66,66.16,41.63,22.66,24.33,72.60,53.96,66.08
1903,42.58,48.29,38.67,46.64,66.22,81.85,27.29,27.99,60.56,81.30,49.24,46.76
1904,47.41,32.24,46.82,42.70,76.92,64.51,51.33,50.56,34.50,113.81,53.73,29.56
1905,52.16,48.84,42.05,28.85,90.22,143.78,31.66,31.84,45.29,58.34,54.53,82.82
1906,57.61,50.60,37.75,54.91,39.65,77.14,22.26,36.15,18.54,44.93,62.80,53.78
1907,40.07,43.68,38.16,55.62,42.22,26.95,37.55,22.07,39.07,45.58,66.61,69.79
1908,50.07,42.31,58.56,29.73,121.69,36.38,70.20,50.31,68.49,40.48,108.05,64.70
1909,63.85,44.22,41.33,66.72,82.63,52.32,42.23,29.01,63.88,42.20,70.85,55.70
1910,39.30,25.14,43.80,58.94,88.44,51.96,58.38,48.19,86.25,38.94,45.69,48.62
1911,48.19,29.36,50.59,59.52,72.32,54.94,59.69,25.94,77.80,50.25,110.26,47.95
1912,52.78,31.34,27.77,40.81,93.83,76.34,74.26,65.34,42.24,29.49,46.92,57.47
1913,70.34,22.94,54.99,31.59,84.56,72.73,68.52,55.68,35.94,58.52,82.64,62.83
1914,83.76,44.59,54.59,54.12,105.77,125.94,106.52,42.05,51.01,117.08,58.77,45.55
1915,25.85,41.45,50.68,55.94,79.62,35.88,43.42,64.57,64.88,61.22,63.29,64.93
1916,64.10,35.31,62.99,49.16,62.79,42.23,26.08,22.57,18.26,57.82,80.34,57.65
1917,37.99,32.68,49.72,41.72,60.43,54.55,61.91,36.96,23.58,105.51,87.18,59.78
1918,67.32,55.37,67.64,70.52,119.94,43.30,59.54,27.55,40.31,97.88,69.84,53.76
1919,48.53,28.38,47.56,76.83,72.43,69.98,44.49,35.01,26.34,79.67,59.68,48.71
1920,35.23,33.01,29.97,52.65,60.95,80.62,25.40,23.50,25.92,33.30,83.97,74.20
1921,57.89,33.35,41.94,54.31,79.09,42.56,21.44,25.95,35.50,88.71,78.40,42.96
1922,54.87,59.91,56.21,58.28,66.00,72.32,47.08,38.20,33.58,40.83,80.21,79.63
1923,42.90,48.32,43.26,45.96,55.37,68.56,36.85,77.40,41.16,73.96,75.20,36.81
1924,23.62,37.37,59.55,49.34,107.19,67.99,48.52,24.53,49.05,45.49,80.85,65.13
1925,55.56,21.80,44.24,41.10,73.63,93.08,58.17,31.95,25.34,38.41,41.78,84.13
1926,72.17,34.92,52.63,59.60,58.65,40.67,34.37,39.96,47.24,82.01,54.13,86.44
1927,44.38,30.75,65.43,68.91,68.15,33.41,16.66,23.04,44.74,58.68,110.94,65.90
1928,74.76,39.60,43.26,73.86,54.91,69.99,17.00,68.71,46.60,63.41,68.65,82.80
1929,35.66,45.69,35.12,61.87,95.84,71.32,46.38,39.76,57.53,57.61,38.29,84.14
1930,67.72,62.27,49.87,85.26,79.34,47.71,31.61,10.51,56.55,71.37,60.26,64.68
1931,21.05,35.71,64.66,59.03,48.89,47.11,26.79,20.61,42.98,39.44,48.58,33.78
1932,47.98,50.24,25.05,47.74,89.38,67.78,27.96,40.75,25.26,68.02,72.53,82.27
1933,61.22,22.70,31.04,26.59,63.76,81.82,49.88,33.34,43.67,76.44,73.84,45.39
1934,92.54,39.80,44.97,31.98,38.20,53.03,20.50,18.06,21.67,54.62,68.62,114.32
1935,45.54,52.17,63.25,59.65,126.68,122.48,56.22,32.20,33.48,79.46,56.43,34.53
1936,54.71,45.84,45.05,93.11,82.68,69.72,50.87,58.55,54.24,84.49,145.37,86.41
1937,33.21,38.56,21.69,89.31,73.47,17.89,28.13,44.04,40.15,69.69,50.13,110.57
1938,63.28,27.37,82.82,53.28,68.52,85.83,22.46,50.13,65.01,78.46,71.11,84.05
1939,51.35,35.98,43.39,78.84,120.40,93.92,64.00,34.35,30.01,76.30,86.73,105.31
1940,60.00,64.08,16.96,64.76,57.36,43.02,56.14,21.24,48.46,80.39,75.23,44.94
1941,95.00,63.35,47.70,46.94,48.51,74.64,38.57,31.68,17.54,38.91,86.46,33.04
1942,67.04,26.99,16.84,40.36,76.37,66.46,20.61,14.10,50.45,44.39,91.63,63.78
1943,33.52,83.57,68.08,85.81,49.04,49.05,68.04,46.85,55.77,106.67,52.50,53.61
1944,67.30,9.74,21.96,37.89,21.73,41.67,18.42,39.67,83.85,49.75,58.49,94.78
1945,68.21,26.74,45.40,30.54,69.24,27.90,17.54,14.02,22.30,75.55,70.78,101.29
1946,54.83,41.21,21.78,17.85,37.49,70.26,24.26,55.44,31.78,47.90,50.63,98.36
1947,48.08,28.88,15.39,57.45,84.76,83.63,24.11,21.81,35.75,27.72,56.36,22.80
1948,58.80,9.77,80.66,31.50,64.38,43.59,48.78,80.32,52.93,38.04,113.58,38.66
