Variable:,pr
Country:,Oman
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.63,10.26,7.77,13.99,7.73,7.74,10.77,10.11,3.75,3.59,3.61,6.25
1902,4.91,7.94,7.77,15.94,7.73,30.79,10.77,10.11,3.75,2.51,4.24,3.25
1903,2.63,8.94,9.46,10.68,7.73,7.74,10.77,10.11,3.75,2.51,15.12,2.65
1904,9.65,23.28,39.49,10.68,7.73,7.74,10.77,10.11,3.75,2.51,6.79,2.95
1905,6.03,18.97,28.72,10.68,7.73,11.06,10.77,18.07,3.75,2.51,3.61,14.32
1906,3.98,34.30,7.77,21.14,7.73,7.74,10.77,10.11,3.75,2.51,6.79,3.55
1907,3.98,7.94,13.46,12.10,7.73,7.74,10.77,10.11,3.75,2.51,3.61,3.84
1908,28.63,7.94,7.77,10.68,7.73,7.74,10.77,10.11,3.75,2.51,3.61,18.52
1909,8.06,7.94,14.03,10.68,7.73,7.74,10.77,10.11,3.75,2.51,3.61,13.72
1910,17.77,8.94,11.71,10.68,7.73,7.74,10.77,10.11,3.75,2.51,15.12,4.14
1911,16.19,11.96,7.77,56.84,7.73,7.74,10.77,13.32,3.75,2.51,6.79,9.82
1912,2.63,40.98,20.22,10.68,7.73,7.74,10.77,10.11,3.75,2.51,3.61,6.55
1913,3.31,21.95,8.89,10.68,7.73,11.06,22.00,18.07,3.75,3.59,5.46,8.93
1914,4.21,8.27,9.46,25.92,7.73,7.74,10.77,10.11,3.75,2.51,3.61,4.44
1915,24.79,17.97,10.58,57.32,7.73,7.74,10.77,13.32,3.75,3.59,3.61,2.36
1916,16.19,14.28,7.77,11.62,7.73,7.74,10.77,10.11,3.75,2.51,3.61,9.53
1917,3.53,7.94,13.46,14.46,7.73,7.74,10.77,10.11,3.75,2.51,3.61,14.02
1918,7.60,15.28,19.09,10.68,9.85,7.74,10.77,10.11,3.75,2.51,3.61,2.36
1919,3.98,12.62,8.34,10.68,7.73,7.74,10.77,10.11,3.75,2.51,6.15,2.36
1920,3.53,7.94,7.77,10.68,7.73,7.74,10.77,10.11,3.75,2.51,19.57,6.85
1921,3.98,9.93,7.77,10.68,7.73,7.74,10.77,10.11,3.75,2.51,3.61,2.36
1922,4.21,10.60,7.77,27.82,7.73,7.74,10.77,10.11,3.75,2.51,16.39,14.02
1923,3.31,9.93,7.77,10.68,7.73,7.74,10.77,10.11,3.75,2.51,3.61,8.04
1924,4.21,8.60,10.58,10.68,7.73,7.74,10.77,10.11,3.75,3.59,4.24,2.36
1925,8.28,7.94,12.84,13.52,7.73,7.74,10.77,10.11,3.75,2.51,3.61,11.94
1926,2.63,13.62,7.77,15.46,7.73,7.74,25.74,10.11,3.75,2.51,10.04,5.03
1927,13.25,26.63,7.77,10.68,7.73,7.74,10.77,10.11,3.75,2.51,5.46,8.04
1928,4.43,8.94,7.77,10.68,7.73,7.74,10.77,10.11,3.75,2.51,25.36,5.49
1929,7.08,8.27,8.34,13.52,7.73,7.74,10.77,10.11,3.75,2.51,3.61,2.36
1930,7.08,15.87,14.27,16.38,11.27,11.06,13.77,13.32,3.75,3.59,5.46,5.49
1931,7.08,15.87,14.27,16.38,11.27,11.06,13.77,13.32,3.75,3.59,5.46,5.49
1932,7.08,15.87,14.27,16.38,11.27,11.06,13.77,13.32,3.75,3.59,5.46,5.49
1933,7.08,15.87,14.27,16.38,11.27,11.06,13.77,13.32,3.75,3.59,5.46,5.49
1934,7.08,15.87,14.27,16.38,11.27,11.06,13.77,13.32,3.75,3.59,5.46,5.49
1935,7.08,9.93,23.60,10.68,7.73,7.74,10.77,10.11,3.75,2.51,11.30,2.36
1936,9.18,22.95,7.77,10.68,7.73,7.74,10.77,10.11,3.75,2.51,3.61,10.42
1937,2.63,7.94,7.77,10.68,7.73,7.74,10.77,10.11,3.75,3.59,3.61,8.34
1938,2.63,32.98,7.77,10.68,7.73,7.74,10.77,10.11,3.75,2.51,3.61,9.23
1939,7.38,7.94,13.46,10.68,7.73,7.74,10.77,10.11,3.75,2.51,3.61,18.81
1940,2.63,9.60,15.40,20.20,7.73,7.74,10.77,10.11,3.75,2.51,3.61,2.36
1941,3.53,17.60,7.77,10.68,7.73,7.74,10.77,10.11,3.75,0.92,1.44,4.01
1942,19.47,7.30,6.14,5.74,3.72,5.45,11.24,7.77,6.01,2.00,1.84,17.97
1943,3.10,7.30,6.14,5.74,8.13,5.83,11.66,8.19,1.14,2.00,1.51,5.49
1944,1.22,3.47,3.06,3.36,2.25,2.76,13.97,12.12,4.10,2.00,46.88,6.38
1945,1.24,7.30,40.91,3.36,2.25,2.56,7.54,11.85,1.24,0.92,1.00,3.93
1946,4.07,4.17,8.78,3.36,2.65,4.96,9.95,16.10,2.91,1.99,13.52,6.70
1947,10.77,16.82,13.24,4.21,2.25,2.37,8.40,10.60,2.10,3.59,1.84,2.43
1948,5.66,7.30,6.14,5.74,4.23,4.47,10.70,11.56,2.05,2.00,1.84,2.43
1949,6.71,5.87,3.69,3.87,3.18,2.88,16.93,4.69,1.53,2.00,1.84,2.43
1950,1.06,3.47,70.59,3.36,2.25,2.88,8.96,5.29,4.06,2.00,1.00,3.03
1951,12.50,3.47,5.27,3.55,2.25,4.96,10.49,12.56,1.14,1.46,1.00,5.95
1952,7.49,10.24,3.06,3.36,4.02,37.06,6.31,13.48,2.15,0.92,1.00,8.31
1953,3.68,21.76,6.44,8.49,2.25,2.50,8.29,8.16,2.39,0.92,1.17,10.42
1954,31.01,5.25,44.49,14.55,5.79,21.83,13.98,16.20,11.71,0.92,1.00,15.59
1955,3.25,6.62,3.06,3.82,2.25,10.65,12.57,8.04,1.82,4.72,1.00,4.78
1956,18.69,3.47,3.05,49.74,5.89,3.73,11.49,12.85,1.32,0.92,5.24,17.64
1957,13.61,3.57,3.42,3.32,3.04,5.02,26.42,6.04,4.90,0.91,1.42,11.13
1958,3.73,4.05,11.74,4.15,7.71,2.43,11.59,12.90,4.09,0.91,2.68,3.25
1959,3.13,3.39,26.60,40.28,19.33,8.91,10.20,5.62,3.43,0.91,21.88,20.86
1960,1.51,3.93,3.97,38.81,15.30,3.92,8.76,6.85,2.33,0.91,2.05,1.15
1961,4.02,3.39,3.01,5.50,27.91,3.02,6.79,8.59,1.09,0.91,1.54,9.91
1962,1.00,25.65,4.89,29.92,57.53,4.89,18.64,18.34,1.85,0.91,11.20,4.11
1963,5.06,4.56,7.72,15.42,2.23,2.89,11.50,9.64,2.23,0.91,1.32,2.09
1964,7.07,3.39,3.00,31.25,2.23,2.50,11.96,6.17,1.09,1.24,1.79,0.93
1965,1.17,24.45,5.41,5.31,3.79,3.31,9.25,9.61,4.48,4.90,3.77,2.05
1966,2.72,7.02,13.58,5.50,3.48,3.37,35.41,11.11,4.76,0.95,7.91,1.87
1967,4.09,30.10,3.86,3.46,2.23,2.43,5.70,6.95,1.09,0.91,2.12,6.85
1968,18.56,4.92,7.20,3.83,2.23,3.27,6.25,7.59,1.09,7.74,1.06,1.15
1969,24.61,13.69,22.62,3.47,2.22,39.83,20.00,61.91,3.14,3.02,0.98,0.86
1970,5.77,3.68,3.11,3.45,2.22,7.10,5.73,7.98,1.80,10.82,5.69,13.55
1971,21.53,32.44,29.99,31.94,2.22,10.67,28.48,4.22,1.18,3.97,4.80,3.69
1972,14.53,3.36,2.98,3.32,2.22,6.92,24.72,10.19,3.24,0.91,0.98,0.92
1973,1.88,5.06,3.44,3.82,2.23,5.48,5.05,4.86,1.09,0.91,0.98,4.15
1974,4.68,15.29,3.03,3.89,2.33,3.08,6.61,19.99,6.33,0.91,0.99,9.32
1975,4.47,20.45,43.54,36.96,2.22,2.50,18.73,5.91,2.82,0.91,1.00,2.56
