Variable:,pr
Country:,Panama
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,59.16,48.49,55.86,179.48,327.49,242.68,221.64,233.31,257.41,364.64,311.05,136.15
1902,58.82,28.62,31.10,102.19,342.56,270.93,231.36,282.74,256.08,392.26,297.74,235.62
1903,124.16,48.49,89.32,138.41,304.42,273.31,215.04,244.95,248.43,368.19,300.25,163.94
1904,56.11,28.26,60.54,98.82,314.63,256.59,288.85,248.92,259.76,399.57,302.76,174.49
1905,62.32,33.65,28.86,157.63,279.59,296.43,237.51,251.47,250.03,385.39,293.82,148.46
1906,53.29,30.02,29.99,85.47,267.18,260.65,229.12,235.82,247.46,379.15,313.88,153.54
1907,53.29,28.26,34.55,116.09,327.26,282.42,236.11,245.77,253.98,428.20,305.54,162.62
1908,73.16,34.23,27.98,150.42,293.95,251.03,262.28,288.80,272.29,387.06,320.72,193.86
1909,85.90,28.26,43.14,104.55,273.15,240.59,245.06,247.05,272.34,387.85,312.83,156.20
1910,53.29,28.26,27.98,149.20,356.12,269.07,214.56,246.31,238.33,377.58,311.01,158.48
1911,53.29,28.26,27.98,97.28,296.69,253.61,210.81,258.12,282.79,388.27,337.89,149.97
1912,68.53,28.49,39.35,126.33,291.39,252.03,235.59,280.82,259.47,390.93,339.30,165.23
1913,61.19,30.02,28.42,123.77,277.16,231.80,198.23,232.33,255.06,395.97,347.05,145.49
1914,53.86,33.65,89.21,101.99,310.50,262.82,232.33,263.72,276.33,408.90,368.10,180.27
1915,81.61,29.09,37.12,137.99,323.70,253.80,255.16,301.97,245.85,371.40,426.38,168.65
1916,70.89,28.39,28.76,122.08,335.89,266.52,252.23,266.34,267.09,426.12,307.55,172.44
1917,55.78,28.62,41.80,161.34,285.15,258.51,215.41,241.66,283.17,369.28,286.81,135.47
1918,53.29,28.26,27.98,157.77,299.45,246.53,225.61,237.15,321.18,396.41,318.48,137.51
1919,53.86,28.39,55.63,112.31,289.25,245.60,214.07,261.91,265.67,423.09,294.24,153.85
1920,53.29,50.14,28.08,127.68,271.47,246.49,210.59,254.84,269.35,411.01,299.61,154.53
1921,80.03,28.62,27.98,89.11,309.04,256.92,197.21,241.34,258.85,449.59,268.04,153.24
1922,53.29,28.26,27.98,110.83,294.41,271.17,221.66,231.53,232.20,398.59,274.37,149.82
1923,53.29,56.69,38.24,115.95,274.63,285.24,252.19,299.42,268.16,408.11,334.51,145.04
1924,57.92,28.26,28.08,168.49,267.10,252.79,221.32,243.13,298.50,374.92,313.38,151.19
1925,55.19,27.04,24.94,82.27,264.45,218.66,214.85,235.64,260.99,419.28,361.61,199.79
1926,72.24,32.05,29.70,114.19,310.33,253.70,226.63,224.34,296.39,422.03,288.87,133.94
1927,54.94,39.56,43.70,90.20,276.37,262.83,238.82,254.30,227.01,335.40,345.71,158.34
1928,61.59,37.40,34.06,87.08,272.14,257.11,214.15,231.21,232.71,340.46,285.12,138.46
1929,52.84,32.26,45.31,136.39,258.90,248.23,206.09,238.75,228.83,331.60,255.21,136.09
1930,56.67,34.51,38.10,89.33,309.14,253.40,233.44,225.04,265.35,342.15,301.47,154.31
1931,60.39,33.31,37.24,111.28,292.66,254.10,240.16,261.01,239.19,353.73,332.07,154.56
1932,65.19,33.17,32.29,91.32,298.20,253.60,262.21,318.35,306.17,361.37,297.56,161.28
1933,70.50,40.91,51.08,112.87,316.33,255.19,223.40,298.60,249.37,416.87,290.48,144.40
1934,62.81,44.59,35.85,118.39,294.81,252.55,238.36,308.39,257.20,401.64,312.10,182.27
1935,54.66,36.68,37.81,122.62,310.22,292.25,235.32,247.44,244.46,387.56,317.70,139.01
1936,84.13,28.58,55.17,114.53,291.08,260.62,209.48,260.57,311.11,414.18,353.12,209.81
1937,90.90,25.83,61.10,111.10,330.34,260.47,232.23,316.33,261.46,404.20,352.29,162.01
1938,49.65,27.08,46.54,92.07,273.90,264.43,238.39,249.80,268.65,393.54,339.27,185.60
1939,55.73,33.10,35.43,100.78,287.76,245.73,185.24,238.30,267.91,379.80,331.21,119.81
1940,48.74,41.45,32.50,112.45,249.59,237.32,226.52,250.87,250.21,335.96,282.50,166.36
1941,43.92,44.74,68.57,107.52,357.65,229.88,207.50,217.60,395.22,408.17,297.49,196.04
1942,74.15,47.26,32.55,112.14,308.82,276.76,232.51,238.09,236.28,378.35,363.11,154.78
1943,69.38,28.81,45.17,112.25,289.09,273.13,219.99,278.87,250.77,404.17,293.71,153.54
1944,63.12,29.01,32.01,100.12,336.80,232.58,219.16,247.83,246.83,364.43,309.47,168.39
1945,73.42,24.70,26.13,92.70,272.01,265.88,221.61,256.81,243.08,360.07,312.54,174.50
1946,52.93,32.25,33.88,120.07,256.40,258.28,242.70,223.23,316.19,417.08,266.77,176.18
1947,60.00,42.36,43.35,101.64,337.15,216.10,209.97,244.96,244.50,331.10,307.97,124.92
1948,68.07,29.92,32.25,101.37,343.89,276.72,228.27,265.69,238.29,389.77,389.85,227.35
