Variable:,pr
Country:,"Korea, Democratic People's Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.86,23.15,55.73,44.86,89.07,118.09,225.16,217.51,128.86,48.60,31.15,17.91
1902,29.72,24.34,37.45,58.57,167.73,96.74,273.86,297.33,127.62,42.30,25.37,14.97
1903,5.36,19.53,25.54,77.56,75.19,115.45,265.59,190.08,70.23,43.21,20.19,14.24
1904,8.60,8.67,31.21,42.53,132.07,104.47,282.95,230.52,184.74,43.88,26.92,22.48
1905,9.70,17.56,17.62,33.27,95.87,106.06,172.55,164.52,90.90,53.11,11.94,21.72
1906,8.42,7.80,13.64,66.37,169.73,77.10,122.33,210.12,57.63,67.68,51.93,12.97
1907,11.21,11.08,29.28,17.48,83.61,105.02,272.09,190.89,161.16,38.25,14.94,5.23
1908,6.42,13.75,23.75,75.37,64.41,121.53,230.17,306.84,90.74,65.27,29.39,21.02
1909,13.48,2.31,26.26,37.21,32.71,202.96,254.19,227.71,71.93,39.62,47.68,8.51
1910,29.59,7.67,70.29,58.06,47.25,107.80,286.50,162.33,210.27,47.08,76.15,13.66
1911,3.17,34.34,15.89,55.83,149.50,118.89,194.27,239.39,48.22,77.83,27.23,12.90
1912,9.42,8.54,10.27,66.73,68.10,177.46,207.96,102.86,49.64,41.20,29.82,7.28
1913,31.99,8.38,69.33,27.05,43.74,148.65,328.63,225.18,184.59,65.55,73.42,9.66
1914,34.60,34.52,38.08,38.43,133.51,135.17,259.74,207.83,150.42,62.62,35.80,6.24
1915,22.31,24.37,15.55,70.46,123.82,163.55,170.90,229.89,159.42,45.58,38.35,13.88
1916,8.63,10.33,22.73,28.57,61.61,49.91,232.15,134.55,207.79,49.46,17.80,21.83
1917,6.23,13.05,50.31,25.15,132.23,122.68,254.04,255.62,150.63,38.23,39.83,10.29
1918,22.16,3.87,23.70,39.66,127.78,145.67,99.33,217.48,155.32,93.16,24.10,10.63
1919,14.60,19.86,13.74,39.96,57.72,102.54,240.03,261.40,138.57,18.90,55.60,16.81
1920,7.70,14.94,29.23,52.78,100.12,101.38,198.37,155.78,118.14,55.71,27.55,15.57
1921,14.65,27.81,27.59,43.71,93.03,131.09,325.94,315.53,229.06,45.38,40.43,4.74
1922,14.40,6.78,72.13,97.75,71.95,111.72,249.71,284.59,73.52,73.70,40.74,16.46
1923,9.64,35.81,20.58,55.45,81.83,109.45,259.33,78.99,55.43,49.08,33.60,10.28
1924,7.19,15.88,50.39,39.88,150.41,86.96,243.66,384.63,135.18,36.37,24.46,24.60
1925,14.20,8.66,15.43,26.25,84.75,55.58,296.04,351.69,135.35,94.62,21.61,16.30
1926,21.40,4.88,57.26,57.34,148.55,104.87,321.67,224.62,73.58,87.08,28.08,25.65
1927,37.64,13.25,26.13,19.24,93.43,111.22,234.01,267.97,165.79,53.15,58.32,13.27
1928,14.90,11.72,11.37,42.95,74.91,150.19,270.81,207.08,78.29,52.66,21.71,35.15
1929,5.39,22.40,61.65,53.21,62.72,105.17,361.44,211.16,53.56,87.36,49.57,5.66
1930,19.25,13.37,24.54,71.59,131.05,166.49,148.84,381.76,124.36,32.42,26.09,19.86
1931,8.22,27.85,27.02,42.68,94.00,92.04,219.59,268.24,56.79,67.97,28.44,14.71
1932,11.24,17.48,21.19,38.62,142.77,175.10,242.38,275.61,112.35,56.72,28.92,18.67
1933,3.69,11.58,38.43,48.39,106.16,218.54,340.69,243.88,161.99,31.76,40.79,15.45
1934,9.55,6.46,20.47,42.13,88.14,236.67,306.56,119.36,85.45,88.71,42.50,11.43
1935,6.99,12.29,42.90,64.79,89.59,111.29,246.57,266.34,225.62,55.11,46.65,27.60
1936,10.06,20.59,44.36,88.45,57.54,69.70,206.13,303.38,108.37,40.81,13.88,13.68
1937,15.82,14.46,62.17,31.56,128.19,130.01,229.66,270.67,123.15,88.43,21.56,19.81
1938,14.96,5.40,29.44,48.97,95.97,192.48,124.30,207.00,192.15,50.40,36.87,9.84
1939,10.19,10.52,12.14,34.60,99.63,134.76,243.39,223.50,99.59,31.92,49.99,24.24
1940,13.55,7.34,53.49,44.15,119.48,137.51,174.18,287.99,78.06,82.74,26.53,19.23
1941,9.94,6.47,48.12,57.96,53.81,45.93,277.65,353.54,143.78,42.66,28.39,12.85
1942,8.04,7.23,31.52,54.83,79.44,111.43,144.94,272.82,165.81,55.24,28.03,14.88
1943,4.36,11.15,26.00,52.13,72.08,177.63,186.17,181.70,122.98,25.26,45.60,10.40
1944,5.91,11.85,55.41,41.40,107.05,205.54,322.48,211.99,113.55,69.02,22.05,11.80
1945,11.16,13.82,38.01,45.27,72.11,190.92,195.49,246.09,114.41,53.93,19.80,12.38
1946,15.63,8.88,43.21,49.97,77.14,161.23,330.07,273.88,117.13,30.49,28.72,30.02
1947,28.89,12.05,33.13,50.93,82.57,178.19,284.84,231.86,119.82,48.33,23.77,31.36
1948,13.75,16.47,24.25,54.17,82.55,133.61,263.19,164.20,124.91,51.30,32.00,13.16
1949,30.94,15.55,21.10,41.36,96.53,144.16,304.91,167.38,96.82,45.36,21.12,8.96
1950,6.58,36.60,32.21,50.39,71.46,155.73,263.67,367.58,151.36,56.59,40.52,19.59
1951,12.09,15.15,36.14,68.57,35.19,122.65,224.44,157.12,139.21,72.56,33.19,9.63
1952,11.03,5.00,55.22,44.32,109.70,178.60,385.97,302.37,46.58,58.86,27.08,24.80
1953,9.52,55.62,37.95,53.35,79.62,155.27,285.14,355.65,167.30,69.15,28.36,19.70
1954,10.10,17.97,39.65,34.08,95.23,132.61,270.45,95.71,156.27,51.93,44.41,7.71
1955,17.12,25.31,68.86,50.25,97.75,241.45,292.45,171.22,228.21,59.36,34.82,14.78
1956,23.73,12.43,36.70,63.48,78.38,90.40,285.88,328.57,77.10,62.46,31.84,26.13
1957,33.80,15.47,29.13,52.03,50.40,94.23,210.01,231.58,136.94,85.62,17.63,25.20
1958,13.38,18.29,47.96,72.01,64.25,153.97,273.34,225.44,162.05,77.73,56.75,19.89
1959,8.59,11.93,47.48,24.93,93.69,243.51,244.69,400.17,136.09,33.36,48.79,13.06
1960,9.07,8.06,23.34,33.12,100.96,69.56,277.21,324.51,183.05,64.86,54.67,18.45
1961,5.86,31.47,24.12,69.10,34.17,98.56,294.92,420.85,218.28,21.99,46.61,17.86
