Variable:,pr
Country:,Qatar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.95,0.98,2.06,7.73,0.15,0.21,0.02,0.21,0.00,3.93,5.01,1.32
1902,2.35,30.96,9.01,10.63,0.15,0.21,0.02,0.21,0.00,0.00,0.13,5.05
1903,5.71,4.38,22.79,3.43,13.38,0.21,0.02,0.21,0.00,0.00,0.18,2.13
1904,2.53,11.12,12.11,0.50,1.00,0.21,0.02,0.21,0.00,0.00,0.18,20.19
1905,8.14,28.22,32.73,1.66,2.99,0.21,0.02,0.21,0.00,0.00,2.12,0.44
1906,0.68,44.36,1.07,8.16,2.57,0.21,0.02,0.21,0.00,0.00,0.30,1.46
1907,16.29,2.81,3.72,4.44,0.44,0.21,0.02,0.21,0.00,0.00,0.30,2.04
1908,16.33,1.04,1.47,12.27,0.15,0.21,0.02,0.21,0.00,0.00,9.91,11.20
1909,23.35,3.29,15.17,1.45,3.25,0.21,0.02,0.21,0.00,0.00,0.21,8.97
1910,10.33,3.02,68.56,2.90,0.15,0.21,0.02,0.21,0.00,0.00,3.74,8.99
1911,13.95,12.26,7.43,28.00,0.15,0.21,0.02,0.21,0.00,0.00,0.13,47.68
1912,10.22,52.01,0.90,0.59,0.91,0.21,0.02,0.21,0.00,0.00,0.60,15.70
1913,11.80,16.54,15.02,11.60,2.41,0.21,0.21,0.21,0.00,0.43,3.60,8.53
1914,11.41,14.82,20.28,12.71,2.41,0.21,0.21,0.21,0.00,0.43,2.74,8.16
1915,13.13,15.11,15.33,10.36,2.41,0.21,0.21,0.21,0.00,0.43,2.74,8.68
1916,13.47,15.50,14.13,9.49,2.41,0.21,0.21,0.21,0.00,0.43,2.74,9.00
1917,11.90,15.18,16.52,10.48,2.57,0.21,0.21,0.21,0.00,0.43,2.82,9.10
1918,12.47,15.93,14.04,12.11,2.91,0.21,0.21,0.21,0.00,0.43,2.74,8.68
1919,13.52,18.76,14.04,9.49,2.41,0.21,0.21,0.21,0.00,0.43,2.82,9.78
1920,12.12,14.68,14.04,9.80,2.57,0.21,0.21,0.21,0.00,0.43,3.02,9.22
1921,11.30,14.82,14.04,9.49,2.41,0.21,0.21,0.21,0.00,0.43,2.74,8.37
1922,13.96,14.43,16.24,11.40,2.41,0.21,0.21,0.21,0.00,0.48,3.70,9.35
1923,15.18,15.57,14.13,9.49,2.41,0.21,0.21,0.21,0.00,0.62,2.74,8.97
1924,12.25,14.82,14.04,9.49,3.08,0.21,0.21,0.21,0.00,0.48,3.59,8.06
1925,12.60,15.90,16.03,9.49,2.41,0.21,0.21,0.21,0.00,0.43,3.02,8.89
1926,11.27,15.33,14.13,9.49,2.41,0.21,0.21,0.21,0.00,0.43,2.92,9.94
1927,5.25,0.79,4.48,0.50,0.15,0.21,0.02,0.21,0.00,0.00,3.43,20.86
1928,1.86,18.11,5.38,0.50,0.15,0.21,0.02,0.21,0.00,0.00,0.30,36.51
1929,16.23,2.84,4.35,5.62,0.15,0.21,0.02,0.21,0.00,0.00,0.18,22.32
1930,25.66,61.42,0.75,13.85,0.15,0.21,0.02,0.21,0.00,0.00,0.18,1.72
1931,0.73,0.68,28.16,0.50,14.81,0.21,0.02,0.21,0.00,0.00,0.13,53.62
1932,8.61,13.91,2.97,18.15,2.22,0.21,0.02,0.21,0.00,0.00,0.20,0.40
1933,1.28,2.13,45.44,7.87,0.15,0.21,0.02,0.21,0.00,0.00,13.10,21.12
1934,0.86,31.14,11.96,7.19,0.88,0.21,0.02,0.21,0.00,0.00,4.19,23.87
1935,14.11,11.18,19.59,1.38,1.78,0.21,0.02,0.21,0.00,0.00,3.32,8.64
1936,8.63,8.63,17.50,4.68,0.15,0.21,0.02,0.21,0.00,0.00,17.30,0.38
1937,12.56,24.84,1.49,0.95,0.15,0.21,0.02,0.21,0.00,0.00,0.13,18.24
1938,5.60,8.43,22.75,66.39,0.15,0.21,0.02,0.21,0.00,0.00,0.13,13.40
1939,9.98,8.10,2.19,1.75,2.22,0.21,0.02,0.21,0.00,0.00,3.90,0.79
1940,0.52,8.92,20.74,11.79,0.17,0.21,0.02,0.21,0.00,0.00,0.13,2.04
1941,0.94,52.21,0.77,2.67,0.18,0.21,0.02,0.21,0.00,0.00,0.13,5.50
1942,11.06,8.22,12.22,1.37,0.15,0.21,0.02,0.21,0.00,0.00,0.13,22.73
1943,0.52,0.70,2.10,0.54,0.15,0.21,0.02,0.21,0.00,0.00,16.41,55.94
1944,32.93,2.33,6.77,0.54,0.15,0.21,0.02,0.21,0.00,0.00,0.18,6.93
1945,1.76,0.90,1.05,0.64,0.38,0.21,0.02,0.21,0.00,0.00,0.28,0.52
1946,13.41,10.46,11.90,0.62,22.21,0.21,0.02,0.21,0.00,0.00,3.01,41.39
1947,1.68,22.54,34.82,17.97,0.38,0.21,0.02,0.21,0.00,0.00,0.13,20.81
1948,5.27,9.08,11.56,0.74,2.11,0.21,0.02,0.21,0.00,0.00,11.13,58.69
1949,1.68,0.85,21.20,0.64,1.03,0.21,0.02,0.21,0.00,0.00,0.29,0.56
1950,4.24,13.89,24.52,1.11,0.26,0.21,0.02,0.21,0.00,0.00,0.13,24.89
1951,6.61,0.79,1.38,8.97,10.09,0.21,0.02,0.21,0.00,0.00,0.50,9.33
1952,2.41,8.61,6.03,0.68,3.03,0.21,0.02,0.21,0.00,0.00,0.22,10.00
1953,1.50,74.88,8.01,0.61,0.23,0.21,0.02,0.21,0.00,0.00,16.11,5.28
1954,39.63,1.17,47.40,0.93,7.79,0.21,0.02,0.21,0.00,0.00,0.13,55.71
1955,16.22,0.80,9.35,1.35,0.15,0.21,0.02,0.21,0.00,0.00,0.13,6.73
1956,23.82,26.86,4.90,11.50,2.64,0.21,0.02,0.21,0.00,0.00,6.34,22.95
1957,43.17,14.94,3.99,0.73,0.15,0.21,2.75,0.21,0.00,0.07,1.52,10.67
1958,14.60,0.98,16.19,0.94,3.18,0.21,0.02,0.21,0.00,0.00,9.85,0.69
1959,2.67,0.91,6.34,2.87,0.25,0.21,0.02,0.21,0.00,0.00,0.26,1.63
1960,9.01,17.98,15.89,17.35,0.23,0.21,0.02,0.21,0.00,0.00,14.10,4.89
1961,0.11,0.87,0.18,11.23,0.08,0.21,0.02,0.21,0.00,0.00,0.89,0.06
1962,0.06,0.24,0.58,4.35,16.05,0.21,0.02,0.21,0.00,0.48,14.16,3.72
1963,51.15,39.25,5.11,1.43,0.00,0.21,0.02,0.21,0.00,0.00,0.06,45.76
1964,8.68,0.92,0.09,34.79,0.00,0.21,0.02,0.21,0.00,0.00,7.95,0.13
1965,0.11,29.19,0.23,8.51,0.00,0.21,0.02,0.21,0.00,0.07,0.00,0.26
1966,0.96,5.03,4.21,12.90,5.83,0.21,0.02,0.21,0.00,0.00,2.61,0.17
1967,0.11,52.72,1.68,17.41,0.11,0.21,0.02,0.21,0.00,0.00,5.07,4.44
1968,74.86,7.80,0.57,41.79,0.19,0.21,0.02,0.21,0.00,0.07,5.47,0.13
1969,8.23,0.29,1.13,0.12,0.08,0.21,0.02,0.21,0.00,0.00,0.00,0.17
1970,1.91,5.42,1.51,22.43,0.08,0.21,0.02,0.21,0.00,0.05,1.59,1.66
1971,11.00,10.22,49.09,9.13,0.08,0.21,0.02,0.21,0.00,0.00,2.66,8.23
1972,11.06,0.09,0.10,0.55,0.08,0.21,0.02,0.21,0.00,0.00,0.00,4.60
1973,4.69,17.08,25.34,2.11,3.00,0.21,0.02,0.21,0.00,0.09,0.00,9.04
1974,23.07,23.42,1.76,2.01,0.73,0.21,0.02,0.21,0.00,0.00,0.07,8.60
1975,18.45,67.52,56.24,48.80,0.68,0.21,2.75,0.21,0.00,0.05,5.32,7.15
1976,41.43,8.22,2.29,7.38,10.06,0.21,0.02,0.21,0.00,3.16,5.23,4.76
1977,2.18,9.87,3.18,2.71,0.08,0.21,2.75,0.21,0.00,0.00,5.87,0.19
1978,15.22,0.82,32.68,0.07,0.09,0.21,0.02,0.21,0.00,0.12,0.03,21.57
1979,18.82,41.04,5.51,0.12,7.00,0.21,0.02,0.21,0.00,0.00,0.10,1.76
1980,11.69,2.47,19.39,0.19,3.73,0.21,0.02,0.21,0.00,0.00,0.16,0.27
1981,2.98,33.93,85.83,2.46,1.32,0.21,0.02,0.21,0.00,0.14,26.69,23.70
1982,9.54,4.11,58.00,8.50,7.08,0.21,0.02,0.21,0.00,0.00,0.00,0.51
1983,0.12,6.75,27.42,0.17,1.75,0.21,0.02,0.21,0.00,0.00,0.64,17.13
1984,6.07,0.10,0.64,0.53,7.13,0.21,0.02,0.23,0.00,0.00,2.66,28.75
1985,7.11,5.23,10.66,20.54,2.50,0.21,0.02,0.21,0.00,0.00,0.32,32.80
1986,0.83,2.08,40.03,0.14,0.47,0.21,0.02,0.21,0.00,0.12,0.22,0.37
1987,10.93,81.81,2.74,8.77,0.00,0.21,0.02,0.21,0.00,0.00,1.35,1.73
1988,0.23,1.64,22.50,3.32,0.00,0.21,0.02,0.21,0.00,0.00,5.30,48.53
1989,24.06,9.10,1.23,26.35,0.00,0.21,0.02,0.21,0.00,0.00,0.07,0.09
1990,24.13,9.89,25.54,1.37,0.00,0.21,0.02,0.21,0.00,0.00,0.18,16.80
1991,13.52,14.49,13.28,1.95,4.07,0.21,0.21,0.21,0.00,0.00,0.55,11.56
1992,18.51,62.11,2.56,10.88,4.03,0.21,0.02,0.21,0.00,0.02,0.06,1.77
1993,0.21,0.53,25.40,3.66,8.73,0.21,0.02,0.21,0.00,0.02,1.89,0.67
1994,0.70,25.69,14.87,11.28,0.00,0.21,0.21,0.21,0.00,0.00,0.13,40.88
1995,32.27,21.49,42.28,1.63,1.09,0.21,0.21,0.21,0.00,0.00,0.09,0.27
1996,18.41,0.09,66.87,1.36,2.14,0.21,0.02,0.21,0.00,2.66,3.87,4.17
1997,51.50,7.06,10.60,1.15,0.05,0.21,0.02,0.21,0.00,0.00,0.00,0.39
1998,14.02,48.46,12.93,0.14,0.00,0.21,0.02,0.21,0.00,0.00,0.21,0.53
1999,11.58,0.08,0.06,0.03,0.01,0.21,0.02,0.21,0.00,0.71,10.93,38.69
2000,7.79,1.30,0.98,0.03,2.69,0.21,0.02,0.21,0.00,0.00,0.21,0.59
2001,23.44,1.02,3.96,4.83,0.00,0.21,0.02,0.21,0.00,0.00,11.04,12.02
2002,6.62,15.90,11.40,11.14,0.00,0.21,0.02,0.21,0.00,0.00,1.39,16.08
2003,17.05,0.34,2.65,6.84,0.03,0.21,0.02,0.21,0.00,0.07,5.61,31.79
2004,25.64,17.66,9.20,3.61,0.00,0.21,0.02,0.21,0.00,0.00,4.34,0.31
2005,0.31,17.87,7.05,12.70,0.00,0.21,0.02,0.21,0.00,0.00,14.13,10.70
2006,5.53,23.93,3.70,5.24,1.27,0.21,0.02,0.21,0.00,0.00,0.00,0.23
2007,25.82,0.05,0.03,1.29,0.00,0.21,0.02,0.21,0.00,0.02,0.20,2.65
2008,3.38,0.94,9.26,15.99,0.01,0.21,0.02,0.21,0.00,0.02,0.65,59.42
2009,0.71,2.99,4.48,8.90,7.75,0.21,0.02,0.21,0.00,0.00,7.42,0.01
2010,42.55,4.28,0.13,5.81,0.01,0.21,0.02,0.21,0.00,0.00,3.28,0.01
2011,0.28,1.19,4.52,2.78,0.00,0.21,0.02,0.21,0.00,0.09,6.46,24.80
2012,3.56,1.81,9.27,5.72,2.39,0.21,0.02,0.21,0.00,0.00,3.05,8.92
2013,32.55,3.61,7.06,6.10,0.15,0.21,0.02,0.21,0.00,0.00,24.67,0.38
2014,4.65,0.75,10.15,0.02,0.15,0.21,0.02,0.21,0.00,0.00,3.02,24.73
2015,1.39,3.38,10.08,2.59,0.15,0.21,0.02,0.21,0.00,0.00,3.01,0.39
2016,0.52,85.60,43.31,10.32,0.15,0.21,0.02,0.21,0.00,0.00,1.70,0.39
2017,0.53,9.72,0.76,44.34,0.15,0.21,0.02,0.21,0.00,0.48,3.04,0.40
2018,2.17,7.05,90.96,32.84,0.17,0.21,0.02,0.21,0.00,0.00,20.07,8.97
2019,19.55,1.60,15.28,10.44,2.33,0.21,0.02,0.21,0.00,0.00,1.69,4.85
2020,,,,,,,,,,,,
