Variable:,pr
Country:,Reunion
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1902,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1903,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1904,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1905,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1906,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1907,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1908,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1909,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1910,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1911,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1912,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1913,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1914,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1915,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1916,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1917,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1918,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1919,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1920,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1921,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1922,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1923,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1924,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1925,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1926,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
1927,300.26,298.80,261.46,218.65,140.29,116.76,122.62,108.48,72.92,79.07,113.24,213.67
