Variable:,pr
Country:,Romania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.38,32.23,40.69,46.02,86.89,102.74,68.04,81.00,38.03,60.25,6.01,62.10
1902,25.75,20.16,14.63,74.54,75.40,100.87,80.52,40.69,14.09,50.08,30.85,22.90
1903,17.19,47.17,26.05,20.13,43.31,68.25,35.78,58.12,96.55,50.17,52.13,21.08
1904,25.67,29.83,14.95,65.23,63.41,101.88,53.61,37.90,50.77,111.83,42.39,27.41
1905,32.22,22.92,42.87,45.34,108.66,108.07,82.60,72.20,58.76,30.33,44.40,60.51
1906,29.90,31.33,46.02,43.70,40.87,99.02,67.26,23.86,29.77,8.60,42.29,38.03
1907,29.12,51.27,22.02,53.40,35.74,73.62,110.34,59.64,53.09,33.75,55.75,28.13
1908,37.33,39.91,46.40,31.50,64.73,100.05,59.73,49.95,91.67,27.61,45.63,45.61
1909,46.36,32.56,11.84,61.27,61.37,87.28,98.09,61.88,34.89,57.67,69.80,25.27
1910,31.96,28.06,22.09,54.33,62.34,101.64,63.81,75.98,56.19,27.81,22.48,44.13
1911,53.43,40.95,49.44,62.11,96.57,66.32,89.91,81.75,128.91,61.49,68.23,30.34
1912,30.86,9.93,21.29,41.49,84.36,105.15,103.28,96.23,68.43,12.22,48.04,28.51
1913,42.89,8.89,74.56,39.16,103.43,127.40,107.04,59.76,74.10,65.86,20.39,25.40
1914,56.40,24.83,74.48,55.62,95.33,82.72,122.88,78.82,41.54,80.75,49.66,31.00
1915,35.11,44.42,38.84,53.56,98.10,62.91,89.47,46.35,33.13,69.13,36.65,37.89
1916,60.89,24.48,47.92,52.94,37.31,69.37,57.06,48.28,21.98,46.64,37.17,23.78
1917,23.32,23.67,18.31,20.57,52.23,81.22,99.80,77.67,26.71,90.17,71.85,50.66
1918,30.98,29.90,48.15,66.87,100.62,84.03,105.35,60.39,33.89,82.80,51.18,45.50
1919,51.41,34.09,44.88,38.94,76.11,119.21,74.01,59.37,49.05,26.07,34.98,26.15
1920,34.11,42.12,9.64,40.62,76.37,86.15,54.23,51.44,30.08,19.54,64.54,40.94
1921,60.28,33.53,38.99,72.52,88.53,115.79,33.29,44.67,78.12,103.74,58.25,23.77
1922,57.23,46.92,47.95,46.04,50.15,95.59,63.90,27.81,34.57,29.27,38.72,65.77
1923,22.62,42.20,34.54,80.74,43.30,105.26,65.05,76.13,52.80,33.84,50.24,10.28
1924,14.02,29.64,32.63,46.99,68.29,99.08,96.82,76.97,79.03,24.43,62.41,69.03
1925,42.34,24.66,32.53,33.38,100.29,108.94,106.40,70.78,25.65,39.36,5.55,50.06
1926,43.49,19.45,29.99,43.64,81.63,55.83,60.83,99.64,54.49,45.50,42.31,46.33
1927,21.88,29.73,18.03,46.57,93.28,89.10,19.95,65.66,56.25,42.38,51.75,44.24
1928,49.56,21.14,16.51,64.66,65.57,84.48,61.62,72.54,29.74,45.17,36.67,30.47
1929,13.35,21.68,27.39,73.50,107.77,66.69,58.96,85.18,40.92,49.37,33.34,55.96
1930,44.43,19.66,57.07,48.68,52.92,90.37,67.36,60.89,86.95,57.11,44.76,26.46
1931,36.53,37.69,52.69,43.95,96.32,107.54,68.23,55.02,26.56,69.29,20.91,22.81
1932,42.85,46.81,49.00,71.48,105.16,101.03,104.38,85.56,42.76,56.33,47.51,34.92
1933,27.11,17.61,14.91,13.77,43.61,88.01,102.93,91.55,69.44,45.25,27.15,21.21
1934,51.65,42.45,24.21,77.57,65.65,76.37,54.72,45.59,32.21,28.45,30.01,45.56
1935,22.61,54.67,23.55,57.36,52.27,97.27,58.83,90.43,58.05,62.93,32.27,17.36
1936,43.89,45.79,29.15,83.65,49.85,65.81,64.74,129.16,34.93,46.48,65.30,56.61
1937,34.19,25.61,20.98,53.22,86.90,52.41,70.51,80.70,47.02,60.46,26.38,58.18
1938,26.15,17.92,63.44,18.33,107.18,80.79,68.07,71.60,40.53,116.00,34.63,44.15
1939,36.18,44.97,39.82,56.67,112.43,155.50,69.92,79.68,35.88,57.02,35.92,53.31
1940,54.14,55.04,40.53,78.16,81.22,121.28,108.16,72.04,88.25,76.89,44.54,30.87
1941,56.61,28.97,25.49,78.33,70.40,97.27,66.67,26.68,18.77,34.64,68.95,11.60
1942,45.26,21.58,11.95,24.43,98.58,74.36,77.53,17.70,53.27,23.71,55.84,67.70
1943,32.19,60.80,52.67,56.33,60.05,64.30,83.12,50.40,67.57,91.88,58.41,25.67
1944,39.48,15.98,18.42,61.12,53.48,49.82,43.17,69.33,28.46,44.34,28.29,47.95
1945,18.47,36.40,21.47,21.91,73.21,68.64,46.66,26.66,29.35,72.73,64.50,40.93
1946,52.48,37.92,32.30,19.89,33.05,104.90,79.37,83.11,15.27,36.97,66.06,68.33
1947,48.18,25.06,21.97,24.42,83.10,164.27,71.92,43.83,25.76,23.60,26.81,7.73
1948,19.15,12.95,39.31,24.40,68.52,119.54,104.01,90.99,28.41,9.46,61.10,45.18
1949,28.96,18.88,28.31,53.84,57.66,43.50,59.42,48.35,34.52,62.47,62.80,49.63
1950,23.48,30.96,44.43,69.61,69.16,72.10,78.75,73.10,44.85,21.17,25.00,21.51
1951,35.89,55.75,33.12,24.55,78.41,86.01,29.51,26.66,42.16,74.68,81.89,69.10
1952,48.01,52.78,10.12,41.92,79.97,98.34,54.69,75.67,17.20,28.12,18.53,18.89
1953,37.28,47.37,22.85,48.88,97.04,108.73,86.19,66.16,37.40,50.14,54.04,47.87
1954,55.19,55.14,43.63,73.54,60.55,94.00,135.01,93.98,71.82,42.36,45.34,37.66
