Variable:,pr
Country:,"El Salvador"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1902,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1903,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1904,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1905,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1906,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1907,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1908,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1909,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1910,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1911,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1912,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1913,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1914,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1915,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1916,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1917,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1918,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1919,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1920,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1921,6.91,5.31,12.19,44.91,179.85,308.99,266.76,282.98,345.95,205.98,46.55,11.65
1922,6.91,5.31,12.19,44.91,179.85,308.99,262.30,277.34,333.15,203.51,44.45,11.65
1923,6.91,5.31,12.19,44.91,179.85,308.99,268.24,283.93,351.30,214.80,44.96,11.75
1924,8.33,5.33,13.03,43.92,179.12,301.77,262.91,272.73,342.05,199.46,49.28,11.98
1925,6.57,4.88,11.22,44.24,181.35,304.15,275.09,289.87,341.21,212.77,44.33,11.22
1926,6.59,5.57,11.82,47.65,178.38,316.17,261.73,281.04,346.91,208.80,48.77,11.38
1927,7.59,5.86,12.38,42.75,179.83,315.78,267.81,278.00,343.64,200.34,49.25,13.17
1928,6.67,4.95,12.22,42.59,189.62,308.57,261.82,282.70,358.17,202.93,48.67,12.54
1929,6.90,5.60,11.50,43.09,179.41,312.36,256.08,282.75,354.26,207.33,45.15,13.30
1930,2.16,5.39,11.22,22.19,220.42,512.23,401.52,265.82,312.13,206.72,16.63,42.97
1931,6.03,4.94,11.68,49.97,205.15,349.66,308.99,524.04,243.86,214.75,14.31,15.07
1932,3.02,4.51,10.91,39.87,247.78,395.72,544.76,430.99,458.95,199.48,11.85,13.45
1933,6.98,5.11,12.39,23.57,184.08,278.79,203.39,205.46,359.36,206.72,25.02,6.67
1934,6.64,4.31,10.64,16.37,292.55,310.76,263.48,323.91,248.87,227.89,30.67,3.74
1935,2.01,5.49,11.60,48.72,188.10,461.05,463.67,338.32,339.00,206.39,49.36,7.41
1936,12.24,5.93,13.55,110.02,332.81,318.66,239.78,324.62,282.37,213.27,14.22,4.47
1937,8.49,6.10,10.94,36.36,144.68,292.18,229.94,251.75,411.30,200.79,42.89,3.26
1938,3.51,5.08,11.31,22.57,151.49,247.87,251.05,277.73,519.00,205.35,12.74,4.30
1939,7.02,4.03,12.05,15.64,186.68,406.38,214.41,183.13,467.23,214.59,91.82,7.35
1940,4.39,4.30,10.79,96.97,266.99,291.24,232.84,226.82,359.01,205.38,54.56,4.99
1941,2.32,5.60,11.79,46.74,136.57,253.95,345.62,334.81,316.07,190.33,42.18,29.56
1942,6.95,5.90,15.73,45.77,205.78,217.84,248.19,389.43,364.39,228.42,45.81,3.43
1943,5.72,4.25,13.55,25.79,114.46,300.96,302.45,432.86,405.94,261.42,29.67,7.91
