Variable:,pr
Country:,"San Marino"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,46.42,161.02,53.71,65.03,81.56,77.30,22.49,24.01,36.69,130.62,81.23,15.00
1902,34.58,10.90,58.43,90.58,38.32,103.22,64.12,7.32,48.54,92.06,89.22,150.30
1903,49.91,75.60,102.23,52.79,23.11,47.97,13.69,88.09,123.38,95.71,57.88,70.79
1904,49.06,73.79,72.35,55.86,136.11,103.57,87.34,53.39,69.91,156.75,241.87,20.12
1905,30.85,83.76,48.54,60.42,79.98,45.68,79.27,10.92,73.32,86.07,111.45,83.59
1906,36.50,49.71,8.00,118.84,37.30,31.87,50.56,22.71,74.03,137.18,80.44,107.57
1907,43.57,33.57,72.98,72.39,25.52,37.78,120.87,67.81,15.96,36.55,100.71,67.57
1908,33.37,53.23,140.07,24.84,43.54,82.31,37.58,55.65,111.20,71.76,96.00,79.04
1909,90.60,79.29,35.24,103.04,78.04,85.76,42.45,49.87,168.55,125.24,161.77,132.64
1910,34.40,9.40,69.06,71.05,141.94,70.41,41.38,41.57,148.85,94.13,77.93,72.60
1911,72.69,64.27,74.81,60.22,96.92,72.09,46.28,28.10,69.05,120.26,72.20,45.51
1912,45.60,19.61,36.34,85.98,40.29,109.92,89.58,46.19,107.52,74.46,115.97,62.24
1913,61.89,57.39,83.58,28.42,114.66,84.10,67.77,27.81,48.20,94.13,101.35,108.84
1914,137.47,113.57,63.10,63.97,73.51,119.58,49.16,67.77,106.46,108.18,123.01,63.53
1915,8.31,37.86,99.47,77.59,49.25,9.30,46.01,54.58,156.70,102.12,175.79,140.60
1916,161.84,32.44,108.47,92.25,44.65,29.56,38.94,25.40,49.30,175.57,101.67,62.44
1917,33.00,5.49,47.64,121.43,69.49,67.40,25.89,56.67,52.84,187.53,42.75,40.11
1918,128.00,41.43,56.91,65.39,41.08,36.14,58.58,46.45,55.88,115.36,147.90,29.35
1919,92.45,35.13,63.27,78.10,33.62,86.55,32.81,79.83,55.75,103.53,79.72,100.27
1920,31.41,55.80,44.99,104.54,70.52,82.36,35.91,42.97,11.57,25.52,57.95,55.54
1921,51.56,40.09,75.47,87.23,11.56,56.14,23.63,15.50,132.87,135.52,40.45,29.80
1922,30.66,101.60,38.25,105.39,22.12,65.29,11.33,36.09,76.49,21.92,135.93,90.29
1923,68.84,67.16,104.16,82.72,44.72,77.37,57.74,52.87,47.96,84.25,11.68,61.71
1924,18.86,93.65,55.17,78.75,66.54,54.57,37.37,38.24,64.90,45.24,145.28,32.62
1925,80.67,53.45,42.39,62.25,51.26,53.31,68.55,52.06,97.25,80.89,196.19,93.36
1926,86.76,48.97,83.83,24.07,72.04,22.49,11.22,17.80,76.57,62.43,74.39,122.40
1927,31.32,14.38,146.33,73.89,96.59,25.29,7.27,16.50,186.86,138.80,130.09,72.29
1928,94.16,61.54,8.08,63.22,34.02,33.62,12.42,77.28,16.47,88.59,138.71,72.87
1929,60.37,66.32,63.20,80.49,116.21,44.03,77.95,63.42,93.82,90.64,45.40,84.90
1930,42.81,107.21,84.05,66.24,74.52,13.71,25.61,28.90,55.36,61.90,127.25,25.90
1931,17.98,14.95,106.22,98.29,88.54,80.88,160.05,25.30,51.35,105.74,104.89,81.45
1932,67.80,67.83,28.36,55.28,77.14,89.81,27.67,9.00,121.63,79.85,141.05,107.72
1933,31.11,44.93,109.34,69.32,60.79,107.57,31.81,76.15,84.57,48.59,129.60,81.83
1934,52.81,46.26,32.61,49.42,56.05,13.19,21.24,59.39,49.45,185.67,147.24,84.31
1935,69.16,86.46,61.91,93.13,66.31,80.14,46.61,16.93,96.67,123.79,26.37,40.13
1936,77.02,41.45,131.83,93.14,45.19,95.79,69.16,126.54,198.70,121.01,126.73,145.12
1937,36.36,29.91,6.59,67.98,96.93,42.04,24.50,99.96,81.36,97.40,52.35,75.39
1938,73.66,9.30,67.48,36.75,155.82,82.42,12.12,58.55,142.62,121.28,51.01,102.65
1939,53.14,74.23,15.71,36.61,103.19,127.84,40.51,73.21,47.60,226.52,105.58,19.44
1940,88.61,130.50,38.59,94.04,110.14,68.70,28.67,30.60,53.48,110.08,120.45,39.19
1941,30.47,81.23,45.64,85.86,45.77,72.42,80.52,19.03,103.73,54.77,76.28,67.47
1942,67.45,59.08,46.73,17.80,60.69,48.88,26.44,24.96,94.78,103.61,104.98,86.33
1943,20.89,44.38,30.53,27.30,40.67,73.19,62.93,36.25,106.54,181.98,104.44,52.11
1944,57.87,16.47,21.05,46.08,33.01,13.12,17.04,53.46,39.40,42.52,69.92,69.09
1945,48.11,2.20,76.33,27.68,79.14,48.79,74.14,29.56,10.58,145.85,205.15,61.16
1946,52.43,108.61,79.47,29.83,61.77,49.71,28.19,83.36,107.78,98.23,66.38,71.08
1947,93.07,35.67,7.10,59.74,73.24,55.39,70.10,40.04,77.94,158.26,30.82,25.53
1948,45.03,2.81,37.14,26.14,77.42,80.93,13.05,25.71,49.89,143.32,209.75,44.79
1949,53.22,37.54,21.88,106.37,28.02,44.16,16.39,37.08,93.92,80.73,80.95,92.35
1950,103.43,124.92,97.46,54.27,73.30,46.70,91.64,19.04,150.35,98.67,106.83,46.46
1951,66.20,51.00,11.88,31.46,51.65,19.59,82.71,29.90,92.26,78.88,84.25,124.76
1952,67.72,37.44,3.72,86.28,84.72,96.60,58.95,51.70,73.37,133.51,23.96,49.57
1953,35.92,47.47,64.37,62.38,116.64,91.08,84.45,69.43,37.82,39.14,84.86,34.02
1954,30.51,118.90,67.41,12.08,25.56,38.43,64.07,68.81,114.70,88.72,77.76,78.45
1955,70.31,50.25,54.74,125.47,59.27,79.59,43.48,14.63,35.49,49.59,134.83,25.64
1956,52.35,72.49,27.17,91.48,113.21,41.77,48.76,45.05,41.62,69.27,40.69,45.30
1957,37.75,26.53,105.14,139.43,31.79,49.41,14.36,16.97,28.88,94.68,165.92,84.19
1958,46.85,33.36,94.38,70.36,79.77,71.98,40.21,108.68,101.97,55.49,113.60,165.68
1959,67.35,94.98,117.83,105.61,25.36,75.72,119.76,22.26,132.26,143.40,95.95,125.83
1960,82.70,15.75,8.92,120.69,53.28,66.81,68.19,26.02,46.46,159.15,106.91,86.53
1961,44.57,39.34,82.76,67.56,46.44,54.38,25.80,1.78,58.81,96.99,184.32,57.26
1962,101.27,68.16,40.13,50.53,92.88,96.49,57.84,72.08,124.28,72.73,84.35,94.21
1963,7.53,41.53,130.24,56.64,46.19,83.23,98.58,82.48,53.00,240.34,70.45,116.28
1964,67.72,12.35,56.08,91.14,82.64,70.24,12.06,82.96,149.24,5.88,172.60,61.13
1965,55.29,46.84,21.52,62.99,58.35,34.75,101.46,91.16,91.53,152.30,174.71,56.57
1966,32.25,19.49,27.15,50.15,55.82,93.14,17.06,63.05,98.40,15.65,120.46,79.32
1967,44.87,103.69,18.67,61.43,104.02,123.88,61.46,97.82,41.36,35.86,114.11,92.67
1968,67.35,122.64,70.77,74.52,60.01,69.31,56.11,79.77,79.24,19.14,116.49,83.41
1969,77.76,55.20,78.96,42.05,60.85,42.77,43.83,60.65,25.91,24.40,61.10,94.22
1970,80.93,42.24,61.98,44.26,78.35,39.52,12.35,18.61,73.62,16.14,122.59,23.96
1971,96.28,107.20,48.39,125.70,66.19,30.32,63.28,97.66,110.63,62.10,54.14,53.30
1972,107.64,57.82,28.05,90.03,18.24,70.44,45.30,80.90,196.22,74.47,47.00,35.61
1973,31.98,51.88,55.13,93.47,70.45,43.17,41.44,56.54,74.53,94.17,64.45,9.04
1974,17.61,48.85,89.60,45.14,87.18,66.98,38.08,137.26,45.05,124.93,110.47,69.63
1975,16.08,96.95,76.61,63.45,54.79,45.75,132.55,146.55,107.99,144.38,112.12,93.71
1976,73.72,68.65,62.33,36.03,66.96,40.60,59.34,120.00,84.51,42.93,97.06,54.30
1977,108.88,75.75,76.95,132.15,102.10,85.38,59.12,44.00,47.14,113.79,57.29,81.03
1978,92.77,102.62,73.02,102.85,6.94,67.83,57.45,88.65,97.53,77.68,133.66,104.42
1979,78.09,23.79,92.86,54.49,115.91,59.38,43.07,61.04,21.86,119.71,227.16,76.62
1980,39.39,31.43,73.57,47.57,78.53,96.91,60.81,53.22,197.01,80.53,12.05,123.59
1981,28.30,28.41,79.31,33.47,71.31,41.14,75.43,83.79,92.09,137.23,139.88,123.69
1982,17.41,92.66,89.15,49.36,41.44,66.91,18.76,112.68,68.26,48.50,13.47,84.71
1983,57.53,82.97,77.61,96.03,137.88,63.01,12.68,132.92,167.06,97.85,81.69,53.96
1984,75.63,39.10,114.86,29.47,62.68,37.10,44.59,58.07,2.00,50.36,106.66,54.83
1985,85.23,99.04,85.68,101.71,33.89,116.15,125.41,27.11,67.88,32.66,74.55,28.04
1986,103.73,76.94,37.48,52.35,67.14,54.17,66.97,34.61,47.05,167.19,155.90,68.86
1987,46.46,55.51,46.08,72.98,118.84,113.05,7.96,34.33,38.92,107.49,44.78,25.04
1988,4.17,33.91,41.29,111.46,44.66,67.55,157.30,110.13,126.58,16.22,66.38,29.99
1989,29.10,22.02,61.57,132.37,47.77,31.73,35.08,53.72,64.66,133.69,94.27,82.72
1990,21.89,65.00,30.91,99.04,128.63,71.23,49.03,51.13,117.61,122.15,195.32,12.95
1991,25.19,31.07,59.26,79.07,53.63,88.86,83.76,43.72,62.91,198.47,47.24,101.88
1992,4.99,2.31,59.91,77.94,24.46,44.57,31.66,48.04,111.24,162.41,113.55,65.11
1993,77.04,33.44,4.22,119.33,40.30,102.15,33.46,16.25,174.04,74.05,62.47,35.11
1994,34.92,87.52,65.02,44.12,80.62,94.60,26.23,93.97,119.83,21.28,39.23,103.44
1995,56.98,81.84,36.53,95.50,86.13,53.01,41.54,98.49,186.37,129.58,121.41,105.62
1996,74.55,37.26,31.07,83.70,35.93,106.74,63.43,42.00,23.20,40.86,137.83,103.15
1997,45.39,45.92,42.75,96.42,88.93,75.66,30.79,22.26,147.78,112.19,61.01,69.45
1998,44.46,63.25,56.83,70.89,45.26,73.34,32.95,56.10,90.19,111.73,169.29,75.71
1999,19.61,12.31,56.97,60.99,32.29,62.99,56.01,39.92,50.53,98.01,145.04,81.82
2000,88.70,43.13,87.59,86.15,56.33,35.70,50.66,24.20,134.01,53.66,99.50,37.18
2001,16.18,67.65,5.19,86.50,89.20,63.93,125.24,133.73,139.78,82.31,90.78,121.67
2002,73.72,16.72,40.20,81.43,22.97,59.51,13.65,36.77,59.89,109.90,124.62,52.25
2003,66.27,112.65,77.66,93.34,62.13,51.44,25.38,21.30,58.50,121.95,72.68,121.74
2004,34.31,47.04,39.20,80.12,57.03,33.04,58.97,115.83,94.75,137.20,158.28,103.10
2005,44.01,40.44,57.20,49.27,55.44,9.52,47.65,106.30,106.82,32.76,48.10,61.06
2006,43.31,76.10,65.49,8.70,130.29,44.34,16.01,69.77,89.17,59.02,24.16,46.92
2007,61.27,27.64,74.26,76.66,84.05,99.66,23.70,38.55,59.80,82.71,142.06,120.45
2008,71.83,70.90,82.52,69.67,27.00,92.45,19.15,25.95,55.66,75.05,78.87,103.11
2009,78.55,72.85,51.39,57.21,103.11,92.24,71.78,70.82,96.63,85.32,153.10,97.69
2010,36.99,40.10,62.44,32.22,41.69,70.14,83.95,26.97,55.48,66.65,78.21,56.64
2011,21.20,29.26,13.72,67.76,63.20,19.60,27.21,37.40,104.34,77.54,159.05,60.70
