Variable:,pr
Country:,Seychelles
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,304.92,328.36,204.57,34.76,82.38,21.28,20.75,91.05,55.42,186.49,216.42,279.64
1902,359.48,330.36,300.85,407.37,350.36,66.92,85.31,16.99,86.12,40.97,251.33,165.12
1903,594.56,314.20,11.60,94.45,1.70,3.03,6.76,110.95,163.06,61.15,499.50,357.57
1904,293.96,179.01,71.92,92.58,205.49,22.54,14.42,153.69,280.62,10.39,111.91,498.31
1905,401.77,196.07,253.86,335.52,107.48,114.07,61.19,21.42,21.22,100.19,160.65,261.45
1906,389.14,379.98,41.19,116.42,103.55,12.38,81.25,32.78,132.12,90.70,59.27,280.84
1907,66.88,422.96,157.28,250.36,128.51,114.57,58.29,25.72,124.62,122.81,97.72,214.77
1908,297.89,368.92,28.83,212.30,91.52,35.99,34.18,8.23,35.70,122.11,217.42,132.41
1909,274.30,107.93,254.26,260.09,158.27,31.93,37.81,47.58,58.72,0.70,187.10,361.67
1910,218.55,349.66,103.98,67.42,86.92,43.09,31.98,16.99,153.33,151.79,270.46,137.24
1911,501.98,499.24,66.12,120.42,190.86,180.69,87.81,19.69,112.07,93.26,91.69,253.39
1912,129.27,155.39,231.30,118.05,56.32,81.11,108.26,57.04,7.49,56.39,173.34,265.75
1913,292.16,219.36,350.35,299.35,159.70,106.68,25.18,17.69,241.99,235.52,167.91,154.33
1914,209.75,551.86,91.35,220.63,125.01,69.15,20.28,89.52,115.23,206.05,226.18,289.97
1915,181.32,158.82,157.88,199.17,126.31,108.78,128.32,14.36,13.92,24.52,83.55,197.38
1916,252.04,224.46,36.86,230.56,8.80,28.37,59.66,102.62,86.72,9.76,139.02,242.52
1917,471.39,149.35,48.29,52.59,65.45,17.95,31.75,43.18,313.89,198.29,185.43,194.85
1918,350.52,260.82,266.46,155.41,279.08,66.92,107.56,10.73,107.04,109.59,25.55,245.42
1919,612.52,140.92,169.31,18.53,138.54,95.29,56.96,22.55,115.23,169.54,188.23,302.36
1920,313.42,295.97,145.48,299.35,137.04,35.49,203.73,26.45,7.06,61.15,162.95,310.09
1921,106.11,39.45,242.63,90.45,119.11,103.85,48.40,40.55,103.01,214.94,45.91,82.23
1922,382.04,295.54,272.49,215.90,169.43,113.27,10.79,103.69,150.90,328.16,188.53,180.29
1923,245.44,38.55,295.45,387.24,102.48,86.70,159.16,22.12,176.78,250.55,240.27,291.70
1924,492.05,259.29,471.59,345.55,139.34,29.43,112.09,140.53,118.06,234.02,325.92,169.82
1925,210.02,328.99,155.01,259.89,339.13,66.92,250.20,52.01,3.13,97.36,156.32,404.92
1926,152.83,13.26,34.06,124.45,139.54,195.38,43.87,25.55,111.20,296.01,120.57,205.31
1927,325.95,326.36,471.86,350.78,323.77,69.95,94.07,13.39,55.89,39.74,212.59,560.18
1928,249.94,288.31,305.65,134.75,78.18,16.95,30.55,43.48,31.84,113.65,107.48,212.07
1929,120.54,196.07,130.35,155.91,73.05,106.98,77.02,45.38,191.53,71.85,421.47,262.85
1930,217.65,413.90,33.16,59.99,200.89,109.21,50.00,32.98,3.13,182.36,120.17,225.23
1931,292.66,20.19,257.39,69.72,114.98,47.38,54.66,39.85,55.59,269.56,122.00,197.38
1932,414.83,27.22,169.11,48.09,100.65,124.72,28.22,20.32,241.39,50.16,242.80,202.01
1933,256.97,472.75,138.25,97.58,118.71,63.86,76.62,347.03,115.23,106.35,177.07,327.19
1934,401.00,272.78,284.92,270.59,136.81,158.92,76.62,84.19,61.75,146.42,237.37,264.55
1935,302.39,189.64,50.39,153.48,272.98,120.16,119.55,318.38,54.75,111.92,337.82,273.51
1936,422.03,218.03,60.29,258.69,212.69,51.71,56.26,8.53,206.02,169.64,187.10,188.55
1937,168.29,127.49,70.92,118.22,180.66,40.35,26.78,15.29,81.26,236.02,346.75,254.09
1938,391.84,151.52,94.08,108.52,142.64,13.68,17.12,13.86,24.25,65.79,94.39,336.45
1939,274.83,205.20,145.48,294.35,75.08,30.43,40.34,108.95,177.21,60.95,46.61,186.72
1940,282.03,235.29,14.73,231.03,177.53,174.60,106.66,116.98,47.42,176.60,213.29,290.10
1941,297.46,171.55,134.32,88.55,100.85,49.38,46.77,21.12,18.32,49.86,96.02,268.58
1942,167.89,34.82,163.31,38.79,64.25,9.12,20.45,80.56,51.15,155.09,60.90,173.45
1943,191.45,84.44,219.50,196.37,106.68,42.09,23.18,56.11,52.25,262.40,220.32,55.68
1944,330.25,20.86,255.26,196.37,100.65,162.45,67.95,29.65,17.18,107.99,128.06,231.26
1945,107.84,150.09,146.28,85.15,187.56,101.39,92.04,57.04,192.86,151.15,178.77,219.00
1946,93.58,79.31,251.76,138.28,299.44,179.19,52.43,23.52,15.18,47.73,312.43,298.13
1947,366.28,65.35,291.55,105.68,61.75,41.29,50.13,40.55,100.38,192.12,134.46,178.49
1948,48.75,293.34,107.98,28.56,81.28,98.06,49.10,152.89,43.86,206.48,143.22,263.85
1949,226.35,282.51,131.75,406.67,105.85,38.82,41.21,110.15,127.96,121.01,201.62,213.97
1950,290.86,245.15,197.44,178.04,41.79,23.94,40.74,124.24,147.67,432.04,80.22,321.26
1951,347.65,331.49,403.84,212.70,110.55,94.79,41.64,90.82,48.62,54.69,88.39,179.29
1952,399.07,135.22,227.60,229.53,248.82,129.69,39.01,27.75,196.29,118.68,355.14,234.99
1953,198.79,148.29,192.54,107.72,143.24,50.91,55.83,72.63,50.42,69.22,64.70,351.01
1954,722.92,293.14,234.13,278.22,45.02,23.94,33.68,80.26,200.66,18.78,75.29,293.00
1955,151.23,287.01,304.25,204.27,37.69,37.92,36.31,58.34,90.35,75.18,306.03,176.29
1956,270.97,302.67,81.55,113.38,141.64,186.59,26.62,20.09,20.85,371.46,116.24,348.01
1957,141.23,530.36,84.85,121.82,216.92,66.92,101.90,21.02,25.18,12.82,125.23,286.17
1958,370.71,182.31,136.25,175.21,84.32,20.98,15.92,34.42,101.61,107.59,189.03,231.26
