Variable:,pr
Country:,Thailand
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,11.31,12.98,32.80,90.84,162.51,172.81,167.76,245.02,277.08,160.39,92.18,36.62
1902,12.99,12.33,21.81,57.29,201.08,232.21,185.14,254.17,246.66,156.07,63.30,41.01
1903,17.04,11.54,29.40,114.29,219.48,182.09,176.89,206.35,269.13,165.22,105.76,28.65
1904,13.73,11.13,52.34,76.66,219.80,204.04,221.96,239.67,261.14,153.13,85.83,28.54
1905,15.26,12.01,22.12,58.30,179.62,193.23,223.60,246.30,271.79,140.25,72.60,40.89
1906,25.97,10.35,86.23,59.53,214.66,197.80,178.10,198.63,209.94,182.06,103.25,36.90
1907,14.78,17.19,22.85,95.13,215.54,218.11,232.84,280.90,291.02,175.62,100.84,38.30
1908,27.09,15.31,28.27,71.74,184.68,180.42,218.99,290.80,259.84,156.26,121.33,20.49
1909,22.40,26.51,44.67,99.48,194.10,249.33,197.33,294.15,268.68,165.83,74.15,46.73
1910,27.20,11.98,22.01,94.19,160.04,204.97,140.07,144.42,276.82,156.79,50.87,35.68
1911,15.06,8.00,41.51,64.13,169.54,173.60,277.57,276.60,186.03,136.42,123.64,27.13
1912,26.17,21.93,11.65,51.26,224.06,171.61,209.49,235.44,220.48,133.99,134.62,44.30
1913,20.69,10.14,61.44,61.23,167.50,210.57,238.40,223.61,198.28,155.31,96.86,48.16
1914,6.43,3.11,30.57,92.88,172.80,210.10,177.28,225.96,272.84,273.36,103.31,28.40
1915,13.54,17.31,77.58,53.33,181.69,223.16,220.96,290.05,275.74,184.98,76.37,34.67
1916,12.14,4.96,29.33,26.75,127.96,245.56,196.98,300.08,314.88,238.04,77.73,50.55
1917,7.11,26.64,35.42,91.74,211.35,192.74,104.98,255.44,287.18,103.77,81.40,39.65
1918,10.49,36.30,35.24,80.22,195.27,193.69,251.77,203.19,172.65,96.85,74.97,39.54
1919,29.28,9.22,53.14,70.48,135.96,166.93,215.54,193.21,276.09,152.73,75.24,43.22
1920,33.79,22.12,60.95,69.37,205.26,144.72,242.44,231.08,335.82,99.81,32.60,20.46
1921,30.28,6.16,52.75,63.56,168.04,148.09,193.77,215.11,302.67,108.33,150.49,36.28
1922,23.30,17.30,57.62,123.67,194.41,254.12,171.31,208.75,184.97,203.82,80.52,26.12
1923,19.88,10.12,44.31,114.98,160.84,199.65,217.39,287.00,262.44,166.60,55.06,15.57
1924,16.25,11.26,37.38,125.77,139.66,205.58,184.74,258.48,225.40,131.67,83.48,31.28
1925,14.04,9.98,44.19,40.09,115.77,220.07,212.33,302.10,286.90,211.84,81.83,72.47
1926,21.59,41.77,32.36,143.95,246.26,210.48,242.80,183.64,211.72,177.69,45.34,20.49
1927,12.71,47.21,26.76,152.18,191.17,204.01,174.88,165.04,232.95,130.62,48.76,38.84
1928,9.73,24.83,59.74,106.55,157.63,184.75,200.36,216.07,216.97,135.12,45.92,13.86
1929,15.80,8.52,26.28,55.17,182.07,202.48,212.67,205.92,293.55,90.33,79.22,34.88
1930,8.27,22.88,20.41,69.71,117.09,200.35,203.40,247.38,275.37,154.28,37.89,42.83
1931,16.16,10.41,18.55,105.42,159.98,158.04,265.70,176.25,279.12,220.22,76.53,23.46
1932,12.96,21.32,13.98,78.84,158.04,171.44,305.31,221.53,281.36,140.25,81.09,28.60
1933,13.43,14.14,47.30,94.14,137.98,217.67,244.67,297.79,290.89,136.00,99.90,21.27
1934,36.49,34.07,34.92,94.96,213.84,191.58,234.15,205.19,310.38,223.12,82.66,57.23
1935,12.49,20.81,27.07,49.40,207.18,226.12,255.50,165.56,205.25,110.22,73.60,31.30
1936,10.28,31.97,30.48,104.79,206.48,142.58,237.64,235.93,267.57,119.74,86.93,33.79
