Variable:,pr
Country:,Tonga
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1902,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1903,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1904,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1905,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1906,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1907,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1908,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1909,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1910,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1911,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1912,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1913,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1914,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1915,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1916,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1917,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1918,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1919,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1920,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1921,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1922,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1923,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1924,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1925,174.00,190.00,263.00,157.00,103.00,88.00,269.20,20.00,67.90,55.20,98.90,179.20
1926,366.80,103.40,156.90,104.90,103.00,55.10,63.00,86.50,69.00,86.30,139.10,155.90
1927,69.30,165.60,247.20,91.00,105.20,50.10,213.30,271.00,25.30,3.10,130.70,89.70
1928,137.20,143.10,216.90,120.40,139.40,26.10,50.80,118.80,145.70,162.80,137.80,250.60
1929,180.80,62.00,199.10,26.50,48.30,34.90,129.90,78.30,72.70,2.00,120.40,53.70
1930,36.70,9.90,613.00,29.70,73.20,72.00,76.70,219.10,151.80,42.80,203.20,97.50
1931,231.90,132.60,226.90,48.40,37.40,74.90,166.50,124.20,93.10,8.40,104.20,250.00
1932,234.30,438.40,183.20,140.20,136.30,139.00,53.00,73.20,41.80,79.80,162.00,102.10
1933,159.60,216.40,227.80,38.60,127.80,54.20,83.30,78.60,160.30,130.10,109.00,56.00
1934,134.40,110.50,179.60,101.90,116.90,63.30,117.70,69.80,157.30,140.50,228.60,80.00
1935,122.00,169.70,256.40,215.50,262.20,12.40,79.30,221.10,41.40,151.50,84.20,109.60
1936,252.10,300.10,233.00,46.30,143.60,68.70,78.20,97.10,32.80,94.00,113.00,25.00
1937,93.80,141.30,180.40,115.00,57.50,116.30,108.70,66.30,112.40,187.30,91.70,163.50
1938,295.90,180.40,373.40,165.10,69.30,49.10,75.30,144.20,47.10,97.90,84.00,60.30
1939,45.80,43.90,160.90,175.50,153.90,85.10,20.10,116.70,117.20,90.60,54.60,82.00
1940,57.50,186.90,90.90,325.80,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1941,174.00,190.00,263.00,157.00,103.00,72.00,86.00,108.00,115.00,94.00,113.00,127.00
1942,170.80,191.90,250.80,160.10,127.60,65.00,72.90,90.40,105.30,103.00,112.90,125.10
1943,185.70,175.50,244.40,148.60,91.60,72.00,80.10,96.20,107.20,77.60,93.40,111.30
1944,111.70,137.30,162.60,144.50,153.80,87.50,114.40,121.70,78.80,20.50,36.70,50.50
1945,32.60,88.10,215.10,57.50,128.70,26.80,56.00,92.30,9.80,198.10,38.40,30.50
1946,148.80,195.10,240.80,71.60,105.10,104.10,108.10,83.40,178.60,83.90,57.60,222.30
1947,301.10,169.20,195.50,193.70,48.80,145.90,37.80,27.60,87.60,70.40,297.90,223.00
1948,198.70,195.90,274.30,166.90,22.60,26.80,145.90,193.10,136.70,126.30,18.30,211.50
1949,211.70,191.10,429.90,226.70,66.80,55.30,201.10,91.50,134.20,117.80,216.20,202.80
1950,206.70,368.10,340.10,118.10,112.20,47.20,69.10,25.40,215.50,44.80,20.80,11.30
1951,295.70,255.60,283.10,90.10,32.70,128.50,104.10,125.50,67.00,59.60,106.20,100.80
1952,149.50,205.40,280.80,273.80,85.40,127.20,57.90,28.10,14.60,25.00,46.80,89.00
1953,107.40,150.80,239.00,315.50,50.80,170.00,41.70,132.10,137.10,122.10,47.00,411.40
1954,163.20,122.90,404.00,141.60,122.90,98.90,107.70,175.90,78.10,99.50,216.10,233.10
1955,218.20,231.20,400.50,286.20,81.40,51.90,154.50,87.40,98.60,178.30,194.00,26.10
1956,386.20,339.50,255.10,70.60,100.10,186.40,118.10,168.30,54.90,29.30,87.00,116.50
1957,60.00,259.40,210.50,184.90,52.00,8.00,101.50,93.20,49.70,182.40,187.70,47.50
1958,308.50,51.00,366.20,154.10,87.40,72.20,50.00,210.30,154.80,139.70,40.60,107.90
1959,116.40,196.00,430.50,181.50,63.30,103.10,115.00,95.90,69.60,63.60,128.50,176.70
1960,294.40,191.70,362.70,107.50,109.70,56.80,121.60,141.00,90.10,62.90,208.60,93.90
1961,318.10,155.20,199.70,148.50,87.30,101.20,64.90,38.70,63.30,57.70,149.70,208.80
1962,159.70,175.10,345.30,148.30,151.10,65.20,63.80,179.60,62.50,80.30,27.30,49.50
1963,59.50,248.90,488.80,107.30,60.50,29.00,218.70,93.00,210.10,103.30,210.60,126.40
1964,279.00,264.00,232.10,80.90,145.00,28.10,63.00,118.00,118.10,101.90,137.60,26.90
1965,92.40,82.60,107.60,307.80,62.10,46.80,69.10,66.60,110.60,139.10,59.80,138.30
1966,221.30,136.80,281.90,201.70,132.40,24.30,64.10,25.20,84.10,202.00,29.00,36.90
1967,370.80,132.80,316.90,78.10,82.10,69.10,30.30,155.30,66.40,84.00,61.40,72.70
1968,194.00,177.40,387.00,95.50,15.30,25.80,125.10,14.20,98.30,73.20,101.90,34.70
1969,145.20,186.70,219.30,159.10,94.50,88.60,70.50,94.50,91.70,80.60,138.80,177.00
1970,204.80,159.00,273.60,179.40,165.90,47.80,49.40,143.00,141.80,93.70,384.40,520.40
1971,181.70,148.00,375.10,194.80,148.00,102.40,121.40,209.50,241.10,238.40,38.70,97.60
1972,56.70,242.00,231.60,289.90,26.60,92.40,163.40,54.40,186.10,82.40,269.50,165.70
1973,183.50,387.10,243.00,279.20,126.00,112.70,87.80,118.40,138.00,228.10,149.50,98.20
1974,231.70,169.50,223.70,104.50,126.10,98.20,137.20,154.80,111.00,110.20,346.20,147.80
1975,220.80,298.70,266.60,279.30,75.50,33.20,54.70,107.80,178.30,48.60,142.70,46.60
1976,289.70,294.20,270.70,74.40,51.30,25.50,75.10,101.70,43.30,28.00,8.00,46.20
1977,107.80,120.50,285.90,173.00,159.40,34.10,55.50,247.40,110.60,131.10,138.80,78.50
1978,98.80,85.80,298.20,133.40,136.60,188.10,59.40,172.30,201.20,67.50,110.40,101.80
1979,126.20,102.90,344.80,201.80,23.40,88.10,112.80,167.70,130.10,154.30,99.30,107.40
1980,95.40,208.20,173.80,75.10,106.40,60.00,20.60,70.00,71.10,42.60,78.40,73.60
1981,311.70,199.70,348.70,242.70,182.90,56.50,88.30,178.50,103.70,19.90,36.70,54.20
1982,55.60,83.70,218.80,21.40,34.20,36.30,87.60,45.60,56.80,91.90,57.20,139.90
1983,186.40,201.80,83.10,163.30,34.70,83.50,74.60,69.40,165.90,48.90,86.50,107.70
1984,73.60,177.30,254.30,83.10,71.20,109.10,121.40,47.50,29.80,29.70,7.20,220.80
1985,45.20,65.50,173.60,253.80,98.10,220.10,94.20,107.40,53.60,57.00,15.60,129.80
1986,36.70,158.20,252.50,13.40,74.70,45.50,53.90,64.30,13.40,31.60,29.40,222.10
1987,219.80,197.00,162.10,142.00,116.00,35.40,83.80,35.60,237.10,101.10,49.80,177.90
1988,141.30,519.50,270.50,224.20,254.20,56.80,43.90,47.00,94.90,94.30,115.10,199.10
1989,227.60,102.70,204.70,154.30,174.30,141.00,87.30,113.20,129.00,114.10,107.80,79.90
1990,366.40,176.30,266.50,170.90,44.70,91.40,37.80,105.50,42.80,42.00,58.50,17.40
1991,26.20,53.60,127.50,149.80,66.20,77.60,145.60,108.30,80.80,140.40,129.00,133.60
1992,67.20,131.30,242.60,108.50,77.40,39.20,52.00,289.80,128.50,58.70,39.90,68.40
1993,155.40,117.40,75.90,178.70,131.20,117.40,171.10,37.50,65.90,53.40,185.20,137.10
1994,63.10,181.30,231.20,112.10,65.80,106.70,76.30,43.70,39.40,38.10,226.80,85.00
1995,377.30,82.70,344.60,79.30,148.70,111.90,33.40,70.80,48.10,123.20,75.00,193.20
1996,191.40,293.50,195.00,192.00,115.60,17.70,81.00,141.40,91.40,89.70,57.40,86.80
1997,84.70,68.80,321.10,42.70,43.60,83.80,48.60,32.80,37.50,19.20,162.20,279.50
1998,116.70,308.70,150.70,228.20,48.30,131.80,80.50,159.40,165.70,240.10,250.30,145.90
1999,276.50,226.10,384.20,358.90,162.00,60.50,203.90,80.90,119.50,97.70,98.90,153.20
2000,296.70,162.40,203.50,162.90,90.20,170.90,110.50,105.30,54.30,32.40,62.60,190.10
2001,81.30,324.40,270.40,174.00,78.90,41.80,160.50,167.40,134.30,46.40,122.70,63.90
