Variable:,pr
Country:,Uganda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,34.52,56.46,52.42,155.58,141.02,83.52,108.42,165.60,141.12,134.14,120.34,63.19
1902,68.04,32.36,103.00,147.06,149.45,193.82,104.09,67.63,152.57,162.31,72.90,54.55
1903,26.87,56.23,113.42,111.57,115.20,70.41,65.49,160.32,106.48,103.05,112.88,88.01
1904,43.12,27.22,120.94,89.89,97.91,55.31,99.28,107.21,126.42,137.73,157.15,96.21
1905,16.32,98.35,158.38,165.40,113.88,106.11,67.78,161.80,128.06,146.53,54.65,33.25
1906,30.32,50.82,31.38,173.14,164.08,85.58,92.76,89.17,71.31,99.13,106.85,44.98
1907,20.38,62.61,48.64,153.62,162.78,96.31,98.97,121.29,94.18,112.61,91.71,52.47
1908,44.33,25.58,90.92,209.89,84.36,55.28,82.57,164.49,176.25,70.57,70.54,126.08
1909,45.35,22.45,87.01,143.23,154.94,92.47,127.86,92.58,72.99,105.46,103.37,55.28
1910,37.90,17.90,146.63,137.57,153.93,68.42,46.05,144.70,64.30,106.16,163.74,20.32
1911,30.78,85.27,90.81,162.14,118.32,102.92,99.95,150.35,98.57,105.25,121.26,52.19
1912,7.66,81.82,95.12,157.28,147.49,82.24,77.80,65.31,59.03,111.53,66.37,38.01
1913,49.68,55.73,111.91,107.86,139.20,106.75,105.92,125.90,145.17,109.74,160.90,33.58
1914,32.19,66.54,127.13,141.02,135.29,111.32,45.28,86.41,160.50,156.08,100.06,99.35
1915,21.91,82.00,84.06,179.37,175.37,103.86,58.58,118.91,176.90,94.64,77.38,74.00
1916,62.81,104.56,41.04,197.01,162.09,111.05,57.96,140.73,167.72,164.42,30.99,32.18
1917,23.33,18.56,47.11,119.11,104.20,81.44,71.88,82.17,88.91,79.21,101.91,42.43
1918,15.85,85.86,117.52,114.49,138.89,77.01,137.23,106.98,143.60,108.01,145.35,38.87
1919,20.92,18.56,135.01,171.76,168.92,101.49,76.48,94.19,94.98,115.65,118.97,53.39
1920,20.56,54.45,45.99,101.42,127.82,80.99,104.71,117.29,79.04,109.23,68.17,35.18
1921,19.72,57.96,129.41,133.08,182.97,60.45,65.81,168.35,99.84,108.45,47.92,47.62
