Variable:,pr
Country:,Uruguay
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,66.45,68.74,85.79,60.11,140.45,67.37,86.53,31.50,84.59,101.46,123.66,113.34
1902,105.80,103.51,154.33,116.90,43.94,135.89,108.89,106.98,110.65,45.17,69.23,92.13
1903,58.90,118.99,155.59,125.50,24.59,69.97,139.95,119.59,92.22,120.49,73.84,49.58
1904,71.49,83.79,98.16,108.61,55.41,58.81,100.99,72.01,121.03,168.08,62.42,80.87
1905,42.36,37.31,34.41,89.95,69.67,119.29,120.12,83.67,91.49,79.02,43.22,70.49
1906,40.88,51.27,158.04,78.75,46.23,50.48,88.27,63.62,100.16,73.29,72.31,114.00
1907,97.29,83.41,56.52,146.96,75.20,78.96,103.12,40.10,116.44,71.77,88.35,62.56
1908,94.60,80.76,31.27,45.80,23.05,84.56,102.29,134.19,124.85,52.95,123.67,100.82
1909,154.59,73.51,90.68,78.76,43.84,37.51,64.68,60.64,86.21,63.49,58.12,43.70
1910,64.96,120.60,34.07,145.48,130.43,44.92,159.98,93.72,45.40,117.23,81.10,163.38
1911,119.87,86.12,122.51,196.37,206.95,113.42,93.07,116.23,58.08,89.90,162.45,89.66
1912,33.92,78.29,128.48,135.34,161.73,35.30,68.22,130.78,108.79,106.98,150.14,58.27
1913,92.29,83.55,144.15,136.26,217.93,125.84,217.90,173.86,140.73,101.89,148.67,111.23
1914,119.60,194.20,75.31,200.43,85.18,44.53,50.16,77.69,86.52,59.81,88.98,70.72
1915,92.70,55.60,53.87,63.50,84.72,30.81,27.00,51.64,77.44,30.81,65.63,82.13
1916,74.72,112.22,88.14,130.67,26.95,124.32,77.05,51.69,85.98,35.74,28.30,70.11
1917,122.28,120.02,66.56,78.83,124.95,104.92,36.66,59.52,185.33,42.64,127.63,80.53
1918,93.04,82.51,120.01,173.15,112.51,169.07,108.40,47.38,164.92,79.91,104.42,104.26
1919,85.53,71.22,120.62,106.91,71.73,46.80,69.04,44.59,36.27,150.08,130.70,143.73
1920,126.83,119.73,98.48,98.19,69.22,75.59,48.31,52.67,97.24,92.52,59.46,92.54
1921,82.59,61.49,92.76,119.66,99.88,119.55,124.16,220.89,84.89,56.57,69.55,43.89
