Variable:,pr
Country:,"British Virgin Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,313.20,39.10,81.20,198.90,363.80,444.00,152.30,151.30,193.60,116.90,240.30,283.60
1902,102.50,40.30,97.20,125.10,240.80,163.30,260.50,255.40,201.70,240.50,198.80,345.00
1903,164.60,216.70,166.90,172.90,150.80,121.50,192.00,232.30,294.00,238.20,294.00,149.10
1904,244.40,96.30,139.00,109.30,245.90,124.20,169.50,238.20,269.30,307.20,270.00,110.20
1905,71.70,63.20,104.30,152.80,106.30,312.50,289.20,158.30,367.60,121.30,123.10,266.60
1906,130.30,138.20,49.80,29.00,201.40,167.80,194.40,203.20,218.90,237.90,183.60,343.70
1907,207.50,183.60,148.50,117.00,163.50,161.20,147.00,184.60,326.80,128.10,262.80,202.70
1908,166.80,142.60,69.80,125.10,109.30,312.90,153.90,357.40,207.80,207.70,388.60,100.10
1909,270.80,78.40,123.40,114.40,169.40,203.10,161.10,227.50,357.30,128.80,120.90,449.50
1910,217.10,153.50,39.30,177.70,284.20,129.50,222.00,160.10,245.40,195.20,231.40,458.70
1911,103.10,64.90,102.70,205.30,137.30,135.00,119.10,150.00,221.80,371.80,269.00,112.80
1912,198.50,96.30,174.80,152.80,192.50,187.50,137.70,175.10,249.00,240.90,155.40,157.90
1913,124.70,192.30,143.20,128.20,365.40,179.30,167.60,173.50,207.50,185.80,218.10,228.60
1914,163.00,142.20,59.00,242.20,141.10,252.60,214.80,153.30,231.40,123.00,287.70,222.80
1915,168.80,107.30,27.50,116.60,201.00,194.70,262.40,306.10,310.80,312.30,342.90,50.30
1916,116.10,98.40,49.20,127.40,242.30,187.50,191.00,189.10,224.40,162.10,265.70,142.00
1917,118.10,176.20,85.20,139.60,153.60,169.20,183.70,122.80,269.50,206.20,216.20,212.80
1918,167.70,43.20,57.40,246.70,122.90,259.70,286.70,98.90,303.00,167.90,172.10,248.70
1919,239.70,182.10,117.40,45.60,155.20,156.80,161.80,178.50,293.40,175.40,209.00,193.60
1920,305.00,108.70,128.70,87.20,204.80,143.30,271.60,196.80,310.00,182.90,121.90,129.50
1921,204.50,182.70,140.80,100.00,149.10,169.00,141.10,228.00,260.50,190.40,103.50,364.90
1922,130.30,113.40,49.80,253.70,88.00,162.40,160.50,156.50,192.50,227.70,205.10,138.00
1923,146.60,182.80,36.00,156.90,187.90,179.70,180.20,203.70,223.40,162.60,387.50,189.40
1924,132.50,138.30,81.10,210.70,106.10,200.10,200.50,140.50,261.00,164.80,262.90,35.00
1925,200.20,82.50,76.90,135.90,199.90,147.40,306.60,234.90,209.60,256.40,131.30,92.40
1926,189.50,72.80,118.10,161.10,161.90,234.20,307.10,205.90,211.10,336.50,253.70,81.50
1927,139.90,81.90,79.20,72.30,401.10,105.40,184.10,307.60,610.90,217.20,324.00,299.90
1928,204.70,80.50,122.50,75.90,280.60,169.20,104.30,303.90,263.30,145.30,114.70,150.80
1929,319.90,73.60,85.00,87.70,147.40,146.10,110.80,122.30,236.40,212.10,175.20,179.50
1930,71.70,209.90,69.30,212.20,408.10,346.40,267.30,209.70,448.40,260.90,336.80,148.10
1931,237.70,24.10,65.30,188.70,428.20,308.50,258.40,262.30,404.50,220.60,243.50,164.50
1932,140.60,30.90,132.80,159.80,428.20,271.40,178.20,218.30,390.80,186.50,207.20,195.50
1933,228.00,121.30,131.60,91.80,134.40,189.00,257.80,237.50,297.30,194.30,147.50,357.10
1934,173.50,261.60,48.90,115.50,231.50,187.70,180.90,201.20,295.40,238.00,137.90,191.10
1935,108.70,65.20,38.40,92.50,416.90,260.20,302.70,331.90,332.00,213.10,173.50,275.20
1936,210.20,32.90,48.90,134.30,159.40,134.30,158.10,278.20,200.70,173.10,261.10,106.40
1937,97.40,101.80,106.20,68.90,139.60,409.80,194.50,181.00,249.10,190.30,404.80,274.10
1938,135.70,77.10,104.40,158.50,227.30,110.20,160.80,203.50,280.00,262.40,257.60,170.10
1939,201.80,154.10,65.20,213.80,405.10,220.30,149.60,162.90,195.70,245.20,206.70,182.30
1940,222.80,17.90,76.60,192.50,281.50,246.00,244.50,230.20,271.40,179.90,191.90,221.50
1941,259.20,84.20,74.00,261.60,225.30,307.50,221.80,213.60,244.60,319.10,298.00,121.60
1942,243.70,108.20,110.90,191.00,317.30,235.20,163.30,230.80,191.80,331.40,100.10,152.50
1943,130.20,74.30,32.70,91.40,236.80,332.00,297.60,340.90,364.50,193.80,113.90,129.70
1944,110.90,91.20,46.40,206.80,319.90,100.20,217.80,264.10,237.80,190.20,130.60,148.50
