Variable:,pr
Country:,Samoa
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,459.77,490.31,173.78,290.97,84.40,233.97,28.27,11.76,27.50,95.27,244.89,106.57
1902,319.75,681.02,143.66,415.60,144.49,284.55,88.98,115.23,201.90,363.75,249.19,274.71
1903,598.86,610.72,244.64,559.09,205.65,131.80,128.25,126.06,229.32,168.79,179.54,267.95
1904,313.69,132.93,242.01,178.58,12.88,161.49,68.78,154.94,106.48,61.78,179.54,162.62
1905,123.31,132.03,423.55,153.01,203.35,171.32,90.18,139.29,108.68,100.77,331.64,264.09
1906,350.19,423.88,232.25,567.99,131.72,191.15,54.51,9.36,163.50,220.04,555.55,419.68
1907,884.89,522.10,518.24,395.53,289.93,262.52,52.11,150.11,377.42,150.99,353.10,422.58
1908,347.56,342.96,263.24,237.58,143.29,40.59,6.86,22.59,8.84,85.24,175.28,122.99
1909,81.58,192.70,466.90,378.87,235.64,117.50,37.80,102.01,142.67,212.24,349.83,603.35
1910,328.44,599.16,233.12,140.81,108.69,61.52,98.51,53.90,64.79,36.21,196.64,153.90
1911,153.76,209.99,220.76,435.60,218.38,144.99,22.33,68.29,101.02,278.00,109.93,100.77
1912,384.96,714.77,370.35,433.40,329.20,149.56,173.53,47.84,132.78,162.12,193.47,244.77
1913,145.89,313.04,185.34,305.41,206.85,292.22,163.99,136.82,213.99,351.51,256.66,252.53
1914,472.79,88.62,377.44,147.41,25.54,87.84,93.78,23.79,132.78,57.38,232.03,589.82
1915,362.35,354.48,408.46,289.84,423.85,346.07,133.05,153.68,213.99,127.59,271.65,651.61
1916,560.59,448.93,327.87,289.84,98.26,126.33,160.39,102.01,89.99,266.87,251.29,503.75
1917,266.76,738.82,165.82,118.55,45.17,123.00,36.60,71.96,121.81,96.37,134.55,524.10
1918,544.10,154.15,237.55,233.11,160.62,80.18,47.27,133.26,58.16,70.74,241.66,243.80
1919,297.20,277.42,251.67,259.84,204.55,202.14,181.90,403.90,62.62,439.53,524.45,296.93
1920,485.15,294.88,167.18,482.99,421.31,113.03,128.25,71.46,159.00,132.99,352.20,327.68
1921,507.96,212.59,264.14,155.58,403.22,135.40,49.67,160.77,274.18,307.72,396.22,589.22
1922,415.51,310.57,265.40,262.94,205.75,185.78,121.38,186.09,122.81,90.14,216.30,304.76
1923,393.39,345.92,228.29,236.21,172.09,281.69,291.38,164.40,107.68,230.27,280.48,392.76
