Variable:,tas
Country:,Aruba
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.80,27.00,27.50,28.20,28.40,27.90,28.30,28.70,28.20,27.50,26.70,26.00
1902,25.60,26.20,26.40,27.00,27.60,27.80,27.90,28.60,27.90,27.30,27.20,26.50
1903,25.90,26.60,26.50,27.00,27.90,28.00,28.30,28.40,28.40,27.40,26.70,26.10
1904,25.50,26.30,25.80,26.90,27.00,27.90,27.90,28.10,28.10,27.10,27.20,26.20
1905,25.50,25.50,25.80,27.30,26.90,27.60,28.30,28.50,28.40,27.60,27.20,26.00
1906,25.40,25.70,26.10,26.90,27.30,27.50,28.00,28.40,27.80,27.90,27.10,25.40
1907,25.60,25.90,26.30,26.90,26.60,27.30,28.10,28.20,28.20,27.20,26.70,26.20
1908,25.70,25.60,25.70,26.10,26.70,27.40,28.30,28.50,28.40,27.10,26.60,26.00
1909,25.50,26.10,26.70,26.90,27.20,27.00,28.00,28.10,27.90,27.20,26.60,25.50
1910,24.90,25.80,25.40,26.20,27.30,27.50,27.90,28.00,28.20,28.10,27.20,26.20
1911,25.70,25.40,26.30,26.40,26.50,28.10,27.80,28.30,28.30,27.50,27.00,26.30
1912,25.80,26.00,25.80,26.60,27.50,27.90,28.20,28.30,28.20,27.10,26.70,26.20
1913,25.40,26.00,26.40,26.60,27.60,27.40,27.70,27.90,28.20,27.50,26.60,25.50
1914,25.30,25.60,26.20,26.50,26.70,27.60,27.80,28.00,28.30,27.20,27.00,27.00
1915,26.00,26.20,27.00,27.00,28.20,28.50,28.60,29.40,28.60,28.50,27.70,27.00
1916,25.90,26.50,26.50,27.40,28.10,28.20,28.60,28.50,28.70,28.00,27.20,26.20
1917,25.50,25.50,26.20,27.00,27.80,27.80,28.40,28.20,28.40,27.90,27.30,26.40
1918,25.70,26.00,26.10,26.70,26.90,27.60,28.20,28.80,28.60,28.30,27.10,26.30
1919,25.10,25.90,26.60,26.60,27.50,28.10,28.00,28.30,28.20,27.10,26.40,26.20
1920,25.20,25.80,26.80,26.70,27.00,27.60,27.80,28.00,28.10,27.60,26.40,25.60
1921,25.90,26.40,26.20,26.40,27.10,27.60,27.80,27.90,28.30,27.30,27.20,26.30
1922,25.70,25.90,25.90,26.50,27.20,27.30,27.70,28.00,28.20,27.70,26.80,25.90
1923,25.50,25.80,26.20,26.90,27.90,27.90,28.00,28.40,28.70,28.00,27.70,26.70
1924,26.00,26.80,27.60,27.60,27.90,27.70,27.90,28.90,28.40,27.90,26.80,26.10
1925,25.50,25.50,25.80,27.10,27.60,27.80,27.70,28.30,28.40,28.00,27.30,27.20
1926,26.50,26.90,27.30,27.90,28.40,28.60,28.50,28.40,28.20,27.90,27.50,26.60
1927,25.90,25.70,26.70,26.70,27.40,27.70,27.60,28.40,28.40,27.80,27.70,26.60
1928,26.00,26.50,26.70,27.60,27.80,27.90,28.10,28.20,28.20,27.70,27.30,26.60
1929,26.00,26.80,26.30,26.70,26.80,27.70,28.10,28.20,28.30,27.90,27.30,26.30
1930,25.60,26.30,26.20,27.30,27.90,28.10,28.10,28.40,28.40,28.20,27.20,26.60
1931,26.50,26.30,27.70,27.80,28.30,28.30,28.10,28.70,28.10,28.00,27.60,26.80
1932,26.10,26.50,27.30,28.40,28.10,28.60,28.40,28.70,29.20,28.30,28.00,27.10
1933,26.60,26.10,27.20,27.70,28.30,28.40,28.80,28.70,28.70,28.10,27.60,26.70
1934,26.10,26.10,26.40,28.20,28.60,29.00,28.60,28.90,29.20,28.40,27.70,27.20
1935,26.20,26.40,26.70,27.40,27.60,28.30,28.50,28.50,28.70,28.20,27.40,26.90
1936,26.40,26.40,27.30,27.80,28.30,28.40,28.50,29.10,28.90,28.20,27.70,26.50
1937,26.00,26.40,27.50,27.70,28.10,28.30,28.20,28.60,28.50,28.30,27.90,27.10
1938,26.30,26.50,26.40,26.70,27.50,28.20,28.40,28.60,28.90,28.40,27.50,27.00
1939,26.00,25.80,26.30,27.10,28.00,28.30,28.50,29.20,29.40,28.50,27.90,27.60
1940,26.50,27.40,27.60,28.20,29.10,28.90,29.20,29.30,29.40,28.80,28.10,27.20
1941,26.80,27.30,28.00,28.40,28.90,28.70,28.70,29.20,29.40,29.20,28.70,28.20
1942,27.10,27.00,28.00,28.00,28.20,28.70,28.70,29.20,29.20,28.70,27.80,27.50
1943,26.80,26.60,26.70,27.60,27.40,28.00,28.30,28.90,29.40,28.70,27.90,27.00
1944,26.70,26.40,26.80,27.70,28.20,28.30,28.90,29.10,28.90,28.60,27.40,26.90
1945,25.80,25.90,26.70,26.70,27.10,27.90,28.30,28.80,28.90,28.20,27.60,26.90
1946,26.30,26.20,26.90,26.90,27.60,28.10,28.30,28.50,28.80,28.30,27.60,27.20
1947,26.60,27.40,27.60,27.70,28.40,28.60,28.30,28.90,29.10,28.50,28.20,27.30
1948,26.60,26.50,27.00,27.10,28.40,28.40,28.20,28.50,28.70,28.30,27.80,26.80
1949,25.50,26.10,26.80,27.60,28.10,27.90,27.90,28.30,28.50,28.00,27.30,26.30
1950,25.20,25.70,26.00,26.60,27.30,27.40,27.70,27.90,28.40,27.60,27.10,26.40
1951,26.00,25.90,26.50,27.80,28.20,28.40,28.50,29.10,29.30,29.00,28.20,27.40
1952,26.40,26.90,27.60,27.90,28.70,28.70,28.60,29.00,29.20,29.00,27.80,27.30
1953,26.60,26.30,26.90,28.20,28.00,28.90,28.80,29.10,29.00,28.50,28.30,27.20
1954,26.40,26.70,27.60,27.30,28.10,28.30,28.20,28.70,28.90,27.50,27.20,26.30
1955,26.20,26.30,26.00,26.70,27.70,28.00,28.20,28.60,28.30,27.80,27.40,26.50
1956,25.70,26.20,26.80,27.60,27.80,28.10,28.10,28.40,28.40,28.00,27.50,26.30
1957,25.60,26.10,27.00,27.20,27.70,28.50,28.60,29.10,29.20,28.60,28.00,27.50
1958,27.50,27.60,29.00,28.80,29.10,29.10,28.90,29.30,29.70,29.10,28.10,27.50
1959,26.70,26.60,27.40,28.20,28.00,28.20,28.70,28.70,29.00,28.50,27.70,28.00
1960,26.90,27.40,27.60,28.00,28.40,28.70,28.80,28.50,28.90,28.50,27.90,26.60
1961,26.70,26.60,27.10,27.90,28.50,28.40,28.30,28.90,28.70,28.50,27.30,27.10
1962,26.60,26.50,27.30,27.60,28.10,28.20,28.90,28.70,29.10,28.70,27.90,27.40
1963,26.50,26.90,27.00,27.40,27.50,28.50,28.60,29.20,29.20,29.20,27.90,27.70
1964,26.60,27.20,27.30,27.60,28.40,28.00,28.30,28.80,28.80,28.20,27.70,26.10
1965,26.10,26.20,27.00,27.10,27.90,27.90,28.60,28.60,29.10,28.70,28.00,27.70
1966,27.50,27.00,27.50,27.90,28.30,28.30,28.80,28.90,28.80,28.30,27.30,26.60
1967,26.20,26.50,26.40,27.00,27.70,28.30,28.10,28.50,28.70,28.50,27.60,27.00
1968,26.10,26.60,26.90,27.20,27.90,28.20,28.60,28.80,28.80,28.60,28.00,27.30
1969,26.60,27.10,28.40,28.40,29.10,29.40,29.00,28.80,29.40,28.20,27.80,27.80
1970,26.90,26.90,27.40,28.00,28.50,28.70,28.50,28.80,28.60,28.30,27.20,27.00
1971,26.20,26.50,26.90,27.40,27.50,28.10,28.20,28.30,28.20,27.60,27.30,26.50
1972,26.10,26.40,27.20,27.00,27.80,28.90,28.70,29.00,29.20,28.50,28.10,27.70
1973,27.60,27.40,28.10,28.10,28.40,28.80,29.10,28.70,28.40,28.20,27.00,26.00
1974,25.50,26.20,26.50,26.90,27.30,28.40,28.40,28.40,28.20,28.00,27.40,26.60
1975,26.20,26.20,27.30,27.00,27.80,28.40,28.10,28.60,28.30,27.50,27.00,25.40
1976,25.10,25.50,25.90,27.00,27.80,27.90,27.80,28.40,28.80,28.00,27.70,27.00
1977,26.70,27.00,27.30,27.70,28.30,28.20,28.70,29.00,29.40,28.70,28.00,27.10
1978,26.50,27.60,27.90,27.80,28.50,28.30,28.50,28.50,28.90,28.40,28.20,26.90
1979,26.30,27.10,27.90,28.00,28.70,28.60,29.00,29.00,28.80,28.60,28.00,27.40
1980,26.90,26.90,27.50,28.50,29.00,29.00,29.10,29.00,29.10,28.60,27.80,27.40
1981,27.20,27.70,27.90,27.20,27.90,28.10,28.50,28.60,28.40,28.40,28.20,27.80
1982,26.60,27.10,27.00,27.30,27.80,28.50,28.60,29.00,28.90,28.20,27.90,27.50
1983,27.50,27.70,28.90,28.50,28.50,29.10,29.20,29.30,29.30,28.50,28.40,27.50
1984,27.00,27.50,27.50,27.90,28.20,28.90,28.40,28.60,28.50,28.20,27.40,26.60
1985,26.00,26.60,26.90,27.40,28.00,28.30,28.50,28.40,28.50,28.00,27.00,26.20
1986,26.30,26.30,27.10,27.90,28.10,28.40,28.60,28.80,28.20,27.60,27.10,26.90
1987,26.60,27.60,28.30,29.10,28.50,29.20,29.20,29.00,29.40,28.60,28.40,28.10
1988,26.60,26.90,27.20,28.20,29.00,28.70,28.90,28.10,28.40,27.80,27.30,26.30
