Variable:,tas
Country:,Anguilla
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.20,24.60,24.50,25.20,25.50,25.60,25.70,26.40,26.30,25.90,25.00,24.00
1902,23.20,24.00,23.90,24.00,24.80,25.50,25.80,26.30,25.90,25.30,25.00,24.40
1903,23.80,23.90,23.70,24.40,25.50,25.90,25.80,25.90,25.90,25.60,24.90,24.20
1904,23.40,23.20,23.00,23.30,24.30,25.00,25.20,25.30,25.40,25.20,25.40,24.40
1905,23.40,23.10,23.30,24.70,24.30,25.50,25.80,26.20,26.00,25.70,25.60,24.20
1906,23.20,23.40,23.50,24.10,24.70,24.90,25.40,26.00,25.80,25.70,25.40,23.30
1907,22.50,22.40,22.70,23.40,23.80,25.00,25.60,25.60,25.50,25.40,25.00,24.30
1908,23.40,23.10,23.00,23.30,23.90,24.90,25.80,26.10,25.90,25.40,24.80,24.00
1909,23.00,22.90,24.00,23.40,24.50,24.50,25.30,25.40,25.90,25.50,24.50,23.30
1910,22.60,22.40,22.80,23.20,23.80,24.80,25.30,25.70,25.60,25.90,25.50,24.30
1911,22.70,22.70,22.60,23.50,23.70,25.30,24.90,25.80,25.80,25.60,25.30,24.40
1912,23.90,23.70,23.30,24.10,24.60,25.00,25.80,25.80,25.70,25.30,25.10,24.50
1913,23.20,22.60,22.80,22.80,24.50,24.10,24.70,25.10,25.50,24.90,24.70,23.40
1914,23.00,23.10,23.50,23.50,24.00,24.50,25.00,25.30,25.80,25.40,25.20,24.90
1915,23.60,23.40,24.30,24.20,24.70,25.60,25.90,26.30,26.20,26.10,25.50,24.60
1916,23.10,23.20,23.20,23.80,24.90,25.30,25.70,26.00,25.70,25.50,24.70,23.20
1917,22.50,22.40,22.50,23.30,24.20,24.80,25.50,25.40,25.50,25.80,24.80,23.20
1918,22.40,22.90,22.80,23.20,23.60,24.80,25.40,26.00,25.90,25.80,24.70,23.70
1919,23.00,23.50,23.30,23.70,25.00,25.40,25.20,25.80,25.50,25.20,24.50,24.10
1920,23.10,23.40,23.60,24.00,24.50,24.50,24.90,25.20,25.30,25.10,24.70,23.70
1921,23.20,23.40,23.00,22.70,23.70,24.80,24.70,25.10,25.60,25.20,25.00,24.10
1922,23.00,23.20,22.80,22.70,23.90,24.50,25.00,25.30,25.50,25.30,24.60,23.70
1923,22.80,22.90,23.20,23.20,25.10,24.80,25.20,26.10,26.10,26.00,25.60,24.00
1924,23.50,23.60,24.60,24.70,25.20,25.30,25.90,26.50,26.60,26.00,24.70,24.00
1925,23.00,22.30,22.50,23.70,24.20,24.80,25.00,26.00,26.20,25.80,25.30,25.10
1926,23.90,23.90,24.40,24.40,25.10,25.50,26.10,26.10,26.10,25.50,25.40,24.60
1927,23.00,22.80,23.60,23.70,24.60,25.00,25.50,25.90,26.30,25.90,25.70,24.70
1928,23.70,23.80,23.80,23.90,24.70,25.20,25.50,25.60,25.50,25.30,25.40,24.60
1929,23.80,24.00,23.00,23.20,23.30,24.70,25.50,25.50,25.40,25.50,24.80,23.90
1930,22.90,22.90,23.50,23.80,24.80,25.20,25.20,25.80,25.70,26.00,25.50,24.60
1931,24.10,23.60,25.00,25.00,26.00,26.10,26.30,26.40,26.10,26.10,25.50,24.50
1932,23.50,23.40,24.40,25.00,25.00,26.00,26.00,26.40,26.80,26.40,26.00,25.10
1933,24.10,22.90,23.90,24.40,25.00,25.50,26.10,26.30,26.00,26.00,25.50,24.30
1934,23.30,23.40,23.30,24.30,24.80,25.50,25.50,25.90,25.80,26.00,25.10,24.50
