Variable:,tas
Country:,Albania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.49,0.67,7.18,10.07,13.81,18.05,21.16,20.08,17.04,12.82,5.88,5.82
1902,3.40,5.27,5.42,10.02,11.75,16.97,20.51,21.15,17.65,12.85,4.86,0.63
1903,1.73,3.84,7.03,8.06,14.25,16.56,19.95,20.46,17.43,12.70,7.63,5.15
1904,1.25,5.42,5.95,10.34,14.65,18.49,21.91,20.90,15.88,12.37,4.92,2.99
1905,-1.78,0.75,6.02,9.23,14.51,17.70,21.91,22.02,18.83,9.75,9.51,3.75
1906,1.38,2.57,6.43,10.05,13.85,17.24,20.88,20.16,15.94,11.83,8.89,2.26
1907,-0.19,0.24,2.21,7.86,16.34,18.09,20.11,20.92,17.04,15.40,6.94,4.98
1908,0.68,2.60,5.22,8.70,17.06,19.22,20.51,20.31,15.98,11.26,3.85,1.95
1909,-0.36,-1.00,6.19,10.36,14.21,17.58,20.12,21.03,17.66,13.09,6.39,6.21
1910,3.03,5.09,5.52,9.66,13.70,17.80,19.56,20.42,15.78,12.36,6.97,6.01
1911,1.43,0.40,5.81,9.13,14.02,17.84,21.07,21.56,17.50,12.86,9.36,4.78
1912,0.65,5.44,8.00,8.12,13.78,18.40,20.74,19.56,14.39,11.04,5.66,4.17
1913,1.84,1.55,7.53,10.00,13.67,17.72,18.54,19.13,17.78,12.93,8.34,3.57
1914,-0.93,1.76,6.94,10.79,14.02,16.91,19.96,20.35,15.95,11.02,6.09,4.81
1915,3.73,3.48,5.47,9.43,14.73,18.88,20.60,19.72,15.25,11.57,6.42,6.50
1916,3.24,3.16,8.32,9.97,14.77,19.03,21.26,19.84,15.80,12.23,8.71,6.29
1917,2.91,0.10,5.28,8.95,14.45,19.06,20.97,22.14,18.32,12.97,7.39,1.43
1918,2.46,1.34,5.17,10.16,14.51,16.87,20.45,20.29,18.66,12.57,6.64,3.72
1919,3.70,3.06,6.81,9.79,11.82,17.57,19.56,20.29,17.98,11.64,7.28,3.18
1920,3.73,2.36,6.99,11.78,16.11,17.61,21.56,20.53,17.39,10.40,4.47,4.03
1921,4.49,2.34,6.36,9.22,15.59,16.64,21.49,21.69,16.64,12.24,5.74,2.54
