Variable:,tas
Country:,Austria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.77,-7.16,0.23,5.43,9.89,13.63,15.27,14.22,11.39,7.51,-0.46,-1.04
1902,-0.75,-2.22,0.72,6.03,5.75,11.66,14.32,14.06,11.13,6.04,-0.82,-4.15
1903,-4.89,0.03,2.87,2.01,9.84,12.25,13.98,14.33,11.26,7.63,2.03,-2.99
1904,-4.37,-1.30,1.52,6.34,10.06,13.64,16.64,15.13,9.70,6.61,0.36,-1.75
1905,-6.24,-2.46,1.88,3.85,9.21,13.81,16.94,15.16,12.37,3.14,1.30,-1.82
1906,-3.42,-3.10,0.22,5.16,9.91,11.79,14.77,14.48,9.85,7.62,3.43,-4.80
1907,-4.47,-4.60,-1.24,2.76,11.06,13.12,13.14,14.82,11.67,10.07,0.87,-1.43
1908,-5.14,-2.14,-0.44,3.15,12.10,14.86,14.63,12.92,9.74,6.51,-1.55,-3.51
1909,-6.12,-5.84,-0.93,5.96,8.50,12.07,13.13,14.46,11.14,8.38,-0.27,-0.87
1910,-2.63,-0.91,1.47,4.56,8.87,13.38,13.08,13.79,9.48,7.41,-0.10,0.33
1911,-5.16,-2.82,1.31,4.56,9.62,12.39,16.55,16.32,12.50,6.89,3.13,-0.42
1912,-4.04,0.22,3.39,3.58,9.81,13.36,14.56,12.23,7.84,4.87,-1.68,-1.00
1913,-4.00,-3.18,3.30,5.15,9.26,12.41,11.73,12.77,10.71,7.95,3.40,-1.61
1914,-7.14,-2.05,1.98,6.76,8.68,11.69,13.58,14.69,10.20,6.17,0.62,-0.50
1915,-2.92,-2.24,-0.10,4.67,11.26,14.67,14.04,12.65,9.38,4.46,-1.30,1.10
1916,0.14,-1.76,3.27,5.14,10.54,11.14,14.21,13.90,9.52,6.38,2.69,0.01
1917,-4.62,-6.01,-1.25,1.94,11.93,15.39,15.18,15.03,13.11,5.99,1.27,-4.99
1918,-2.62,-1.92,1.70,6.90,10.70,10.55,13.99,13.77,12.15,6.03,0.40,-0.07
1919,-1.26,-3.31,1.37,2.96,7.10,12.57,12.11,14.89,12.82,4.59,-0.65,-2.07
1920,-0.40,-0.29,3.60,7.25,12.25,11.91,15.23,12.94,11.74,5.65,-1.12,-1.62
1921,0.64,-2.09,2.64,4.05,11.50,11.93,16.47,15.36,11.76,8.61,-1.37,-2.65
1922,-5.00,-3.88,2.29,3.85,10.74,13.58,14.25,14.60,9.51,4.64,-0.61,-1.80
1923,-2.57,-1.57,1.80,4.47,10.69,9.56,16.10,14.99,11.11,9.07,1.85,-3.40
1924,-5.24,-4.94,-0.14,4.60,11.36,12.60,14.56,12.04,12.02,6.96,0.72,-2.25
1925,-1.89,0.27,-1.04,5.49,10.60,12.36,14.53,14.14,9.35,6.90,0.52,-3.90
1926,-3.72,1.82,1.41,6.67,8.72,10.90,13.90,13.77,12.84,7.37,5.41,-2.53
1927,-1.88,-2.99,2.82,5.18,9.65,13.82,15.41,14.67,11.90,6.50,1.77,-4.15
1928,-2.09,-1.13,0.53,5.81,7.33,12.73,17.55,15.70,11.21,7.22,3.47,-3.63
1929,-7.86,-7.78,-0.19,2.65,10.74,13.13,15.80,15.37,12.95,7.87,2.70,-0.09
1930,-1.75,-3.62,2.68,6.09,9.23,15.79,14.45,14.00,11.71,6.48,3.45,-2.36
1931,-3.34,-3.51,-2.12,3.39,12.55,15.02,15.25,13.61,7.93,5.54,1.91,-3.83
1932,-2.06,-6.67,-2.14,4.55,10.10,12.06,15.74,16.81,14.85,6.92,2.01,-1.57
1933,-5.92,-2.94,1.76,4.31,8.14,10.72,15.16,14.96,11.39,6.87,0.77,-6.43
1934,-3.34,-2.63,2.60,8.02,11.43,12.90,15.96,14.47,13.08,6.87,2.13,2.09
1935,-5.78,-2.18,-0.55,4.50,8.13,15.21,15.49,14.34,11.76,7.86,2.38,-2.77
1936,-0.20,-2.02,3.41,5.56,10.14,12.85,15.21,13.67,11.37,3.58,1.12,-2.02
1937,-4.03,-0.87,1.65,4.73,11.89,14.46,14.95,14.18,11.23,7.71,0.99,-3.52
1938,-3.20,-2.63,3.83,1.65,8.38,14.74,14.88,14.64,11.20,7.85,3.65,-4.11
1939,-1.72,-0.96,-1.69,7.78,8.01,13.53,14.96,15.10,10.96,5.59,2.69,-4.65
1940,-9.43,-5.54,-0.09,5.57,8.75,13.00,13.89,12.39,11.42,6.85,2.96,-7.28
1941,-6.25,-2.34,1.53,3.84,6.97,13.42,15.08,13.50,9.96,5.83,-0.61,-2.61
1942,-10.38,-6.21,0.77,4.37,10.12,12.95,14.23,15.17,14.63,9.62,0.37,-0.91
1943,-5.15,-0.00,3.19,6.58,9.64,11.75,14.91,16.70,12.96,8.93,0.18,-1.45
1944,-0.82,-4.34,-2.27,6.09,8.96,11.81,14.61,17.29,11.25,6.99,0.84,-3.77
