Variable:,tas
Country:,"Burkina Faso"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.85,27.53,29.29,31.36,29.94,29.27,27.13,26.40,27.02,28.73,27.50,23.61
1902,23.58,27.25,30.16,32.97,31.79,27.82,27.28,26.67,26.77,27.23,27.62,25.29
1903,25.02,27.88,30.56,32.04,31.42,29.24,27.03,26.31,26.90,28.83,27.43,25.30
1904,24.91,27.56,30.60,31.99,31.52,29.36,27.12,26.40,27.09,28.83,27.55,25.42
1905,24.08,25.05,29.33,32.43,31.21,28.64,27.20,25.59,26.73,28.78,28.09,25.71
1906,24.45,26.31,30.77,33.67,31.42,29.23,26.52,25.25,27.46,28.76,27.46,25.43
1907,24.46,25.41,28.92,30.92,31.56,28.79,28.07,25.90,27.26,30.15,27.67,24.40
1908,24.74,26.67,29.83,32.34,32.14,29.96,27.80,25.68,27.22,28.42,26.87,24.72
1909,24.85,28.75,32.60,32.04,31.07,27.77,26.07,24.78,27.01,27.64,27.79,25.32
1910,23.20,27.35,30.32,31.16,31.24,30.29,27.66,26.44,27.21,28.32,27.53,25.41
1911,24.48,26.87,29.59,31.78,30.56,27.96,27.21,25.93,26.71,28.11,26.87,23.78
1912,24.58,27.87,30.29,32.67,31.22,29.12,27.88,26.57,27.43,28.23,26.00,25.14
1913,25.23,27.35,28.38,31.58,31.58,30.40,28.99,27.97,28.41,28.19,25.06,23.88
1914,27.12,27.21,29.78,31.72,32.52,30.49,28.05,25.81,26.89,28.64,28.17,24.51
1915,22.69,26.01,31.39,30.70,31.22,27.77,27.29,26.26,26.33,27.45,26.44,23.98
1916,22.48,24.96,30.03,30.29,30.03,27.99,27.35,24.97,25.11,26.68,24.68,25.33
1917,25.05,27.87,28.27,30.45,29.49,27.83,27.14,26.40,25.33,26.91,23.92,24.65
1918,23.75,24.03,27.06,30.67,29.93,29.25,27.11,24.35,25.12,27.81,26.20,25.31
1919,25.04,27.90,30.60,32.00,31.42,29.25,27.11,26.39,26.98,28.71,27.49,25.34
1920,25.11,27.90,30.60,32.02,31.80,29.26,27.12,26.39,26.99,28.71,27.47,25.34
1921,24.46,27.89,30.61,32.01,31.96,29.23,27.12,26.40,27.00,28.73,27.47,25.33
1922,25.05,27.90,30.63,32.01,31.54,29.27,27.12,24.50,24.73,27.28,26.27,24.34
1923,24.57,26.82,30.01,29.98,30.71,28.91,26.65,25.52,26.24,28.34,27.45,25.97
1924,25.35,29.37,31.32,31.56,31.50,28.62,26.38,25.60,26.52,28.66,27.32,24.66
1925,22.17,27.05,30.97,32.58,31.63,28.51,27.18,26.37,26.83,27.18,27.06,24.88
1926,24.69,27.09,29.88,31.02,30.57,28.02,26.55,26.53,27.13,28.88,26.95,25.46
1927,22.61,26.56,28.94,31.47,30.40,27.87,26.65,24.80,26.18,27.77,26.44,24.42
1928,23.21,26.07,28.93,30.61,30.85,28.97,27.04,25.01,26.66,27.81,26.57,24.37
1929,23.75,26.09,29.27,31.63,30.70,27.71,26.98,25.26,26.78,27.64,26.06,23.27
1930,24.11,28.04,29.44,31.37,30.52,28.35,26.53,25.45,26.84,27.71,27.57,26.31
1931,25.70,27.37,30.50,32.48,31.33,28.98,27.52,27.15,26.14,28.42,27.33,26.60
1932,24.26,27.08,29.52,32.76,30.84,29.45,26.69,26.27,26.94,29.38,27.79,25.55
1933,25.79,28.33,30.39,31.39,31.29,28.42,27.01,25.98,26.83,28.27,26.93,25.41
1934,24.30,27.32,29.81,31.94,32.56,29.34,27.35,26.23,27.68,28.72,28.26,25.60
1935,25.49,28.83,32.78,33.31,32.11,29.08,27.29,26.17,27.27,29.25,28.00,26.51
1936,24.85,28.83,32.19,31.75,30.94,28.69,26.62,25.44,26.37,28.71,28.28,25.20
1937,25.16,28.36,32.23,33.70,33.07,30.66,28.19,26.74,27.62,29.97,29.59,27.53
1938,26.45,30.18,30.79,33.70,33.53,31.48,28.03,26.67,27.96,30.27,29.53,26.46
1939,25.92,27.89,31.78,32.06,32.05,30.26,28.15,26.64,27.19,29.41,28.91,27.10
1940,25.40,27.85,30.60,32.04,31.76,29.28,27.13,26.41,27.01,28.71,27.47,25.31
1941,25.98,27.28,31.40,32.21,31.75,29.25,27.38,26.83,27.65,29.83,28.64,26.38
1942,24.44,28.28,31.12,32.58,31.27,29.87,27.67,25.86,28.17,29.26,28.97,25.35
1943,24.35,27.31,30.76,31.36,30.96,29.05,27.12,25.85,26.73,28.81,27.45,26.58
1944,24.32,27.41,29.88,31.98,32.24,30.00,28.01,26.60,27.29,29.30,28.44,26.24
1945,25.73,27.38,29.85,31.80,31.48,29.64,27.50,25.73,27.04,28.48,27.79,24.98
1946,25.71,26.59,31.46,31.95,31.74,28.96,26.99,25.45,26.47,28.19,27.97,24.41
1947,24.69,29.58,30.37,31.75,32.48,29.74,27.96,26.58,27.13,29.06,27.34,25.77
1948,23.71,27.71,29.71,31.64,31.54,28.48,27.21,26.30,27.32,29.01,26.91,25.20
1949,24.92,26.79,31.64,32.60,31.67,29.81,27.66,26.18,27.35,29.34,28.39,26.02
1950,24.42,26.10,29.40,31.53,31.54,29.74,26.73,25.16,26.21,28.06,27.06,25.13
1951,25.50,28.20,31.10,31.83,31.08,29.76,27.07,26.54,26.93,28.32,27.31,25.00
1952,25.04,26.87,30.17,32.17,31.37,29.55,26.93,25.81,26.03,28.05,27.50,25.28
1953,26.48,28.25,30.11,31.61,30.27,27.90,26.20,25.96,26.83,28.62,28.08,24.60
1954,25.06,27.74,30.52,31.52,30.69,28.26,26.26,25.30,26.69,27.98,27.96,25.80
1955,25.73,27.74,30.40,31.08,30.84,28.33,26.38,25.80,26.24,28.26,27.08,24.96
1956,24.80,28.66,30.17,31.83,31.28,28.60,26.41,25.62,26.39,27.89,27.76,25.43
1957,24.01,26.77,29.92,31.46,30.33,28.60,26.98,25.99,26.66,28.45,28.40,26.50
1958,26.68,27.18,31.22,32.67,31.60,28.40,26.56,25.78,26.79,28.72,28.68,25.93
1959,25.52,28.11,31.09,32.57,31.29,29.48,27.28,25.48,26.58,28.96,28.14,24.80
1960,25.16,27.68,29.78,31.44,30.95,28.98,26.39,26.63,26.62,29.14,27.31,25.59
1961,24.45,26.11,29.11,31.59,31.56,28.86,26.52,25.78,26.67,28.86,27.10,24.52
1962,24.28,27.29,29.91,31.04,31.09,28.47,27.05,25.58,26.50,28.50,28.52,25.05
1963,26.20,29.99,29.70,31.34,30.36,29.50,27.24,26.36,27.35,27.75,26.96,25.24
1964,25.40,27.38,31.24,31.37,30.89,28.16,26.39,25.57,26.11,28.16,27.00,26.31
1965,25.34,27.93,29.83,30.66,31.25,28.73,27.00,25.83,26.74,28.84,26.66,23.97
1966,24.96,26.71,30.39,31.81,31.40,28.82,27.97,26.51,26.52,28.22,27.67,25.86
1967,24.02,27.81,29.84,32.03,31.63,29.02,26.88,25.78,25.92,28.23,27.25,25.09
1968,24.16,28.44,30.26,30.81,30.44,28.20,26.82,27.13,27.03,28.88,27.68,26.79
1969,25.91,29.42,32.28,32.05,32.16,29.67,27.07,26.21,27.05,28.35,27.41,26.14
1970,26.42,28.19,30.70,32.40,31.45,30.38,27.10,26.21,26.78,29.16,27.22,25.03
1971,24.05,28.35,31.10,31.83,31.44,29.51,26.74,25.44,26.46,28.33,27.46,25.48
1972,25.22,28.14,30.73,31.27,30.45,28.46,27.81,26.82,27.63,28.80,26.84,25.70
1973,25.33,28.54,30.81,32.58,32.08,30.21,27.89,26.52,27.27,29.15,27.32,25.05
1974,24.02,26.95,30.74,31.82,31.58,29.88,26.34,25.93,26.42,28.26,26.54,24.35
1975,23.34,26.66,30.17,32.08,30.56,29.23,26.17,26.13,26.12,28.35,26.75,25.67
1976,24.37,27.39,29.44,31.10,30.35,28.11,26.85,26.09,26.78,27.32,27.16,25.37
1977,26.38,27.10,29.65,32.18,31.18,29.43,27.23,26.33,26.90,28.72,26.78,24.76
1978,25.80,28.92,30.82,31.07,30.74,28.56,26.40,26.63,26.61,28.39,27.15,26.05
1979,26.94,26.73,31.14,32.06,30.69,27.99,27.34,26.76,26.87,28.94,27.72,24.82
1980,27.35,28.43,31.03,32.86,31.75,29.21,26.65,26.01,27.57,28.96,28.05,24.46
1981,24.03,28.43,31.29,32.44,30.93,29.84,27.01,26.66,27.34,29.55,27.09,25.57
1982,23.97,27.51,30.21,32.15,31.12,29.22,27.92,26.40,28.02,28.80,26.84,24.91
1983,23.14,28.96,30.56,33.45,32.53,29.28,27.71,27.13,27.80,29.14,28.00,25.92
1984,24.90,26.77,31.30,32.55,31.52,29.74,28.37,28.01,27.50,29.16,28.50,24.93
1985,26.24,27.40,31.79,32.03,32.41,29.87,26.69,26.56,27.06,29.20,28.28,24.39
1986,24.07,29.07,30.86,33.12,31.84,29.80,26.84,26.57,26.59,28.98,27.37,24.12
1987,26.15,28.71,31.03,32.66,33.06,29.56,28.65,27.29,28.00,29.08,28.38,26.00
1988,24.74,28.26,32.10,32.51,32.73,29.41,26.68,25.93,26.73,28.92,27.54,24.23
1989,23.80,26.37,30.15,32.52,32.22,29.84,27.12,25.63,27.22,28.21,28.13,25.81
