Variable:,tas
Country:,Bolivia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.46,22.97,22.42,20.81,20.25,18.83,18.89,20.40,22.74,22.96,22.65,22.44
1902,22.49,22.30,22.32,21.59,20.57,19.14,18.78,18.82,22.33,22.47,22.79,22.94
1903,22.85,23.57,21.95,20.62,19.13,18.33,18.52,19.44,22.33,21.74,21.95,21.76
1904,21.83,22.03,21.62,21.01,19.02,18.11,18.59,19.71,21.79,21.84,22.49,22.11
1905,22.15,22.58,21.96,20.69,19.81,18.99,18.36,19.74,21.66,23.04,22.61,22.45
1906,22.27,23.03,22.55,21.61,20.30,17.21,18.33,19.84,21.68,22.20,22.82,22.28
1907,22.30,22.29,22.59,20.68,19.02,17.83,17.89,19.08,21.73,22.09,22.90,22.88
1908,22.84,22.52,22.49,20.89,19.63,18.56,18.52,18.76,21.55,21.35,22.39,22.41
1909,22.76,22.27,22.02,21.03,18.58,17.41,17.79,19.74,21.93,22.00,22.48,22.17
1910,22.20,22.17,21.37,21.25,18.98,18.62,18.40,19.97,21.71,22.01,22.69,22.15
1911,22.30,22.47,21.36,20.55,18.93,17.00,17.42,18.95,21.52,22.25,22.94,23.33
1912,23.11,23.35,22.64,21.44,19.59,17.74,16.26,19.07,21.05,21.91,22.39,22.40
1913,21.97,22.17,21.96,21.05,18.65,17.45,17.82,19.05,20.77,22.36,22.51,22.47
1914,22.37,22.40,22.50,20.64,19.16,18.40,18.63,18.72,20.78,21.45,22.41,22.61
1915,23.18,22.88,21.97,22.11,20.15,16.68,18.30,19.46,21.07,22.41,22.62,22.70
1916,22.89,22.17,22.02,21.11,18.78,16.42,17.14,18.96,21.96,21.48,21.89,22.02
1917,21.85,21.17,21.46,20.46,18.11,17.04,16.67,19.04,20.28,21.49,21.79,22.25
1918,21.89,21.39,21.62,20.81,18.97,17.92,17.46,19.23,21.81,22.28,23.22,23.18
1919,23.31,23.73,22.44,22.08,20.72,17.89,18.40,18.71,21.78,22.89,23.30,22.93
1920,22.85,22.98,22.22,21.74,19.05,16.92,17.24,18.59,21.87,22.69,23.41,23.27
1921,22.94,22.27,22.30,21.25,19.95,16.46,16.85,19.68,21.15,22.41,22.55,23.33
1922,22.71,23.06,22.29,21.28,18.94,16.97,18.01,19.05,21.51,21.50,22.64,22.62
1923,22.66,23.00,22.36,21.22,18.44,17.49,17.17,19.20,21.77,22.27,22.67,22.80
1924,23.01,23.39,22.34,21.39,18.83,18.01,17.68,18.70,21.48,21.60,22.91,22.64
1925,22.39,22.26,21.89,21.64,19.55,17.06,17.33,19.99,21.87,22.33,23.29,23.25
1926,23.67,23.21,22.74,22.05,19.18,19.10,17.61,19.56,22.15,23.26,23.97,22.95
1927,23.01,22.83,22.38,21.09,18.78,16.95,17.20,19.07,21.73,23.43,23.91,23.68
1928,23.26,23.51,22.36,22.09,19.75,17.60,17.34,19.21,21.69,22.15,23.76,23.06
1929,23.58,23.08,22.18,21.71,18.55,17.54,17.66,18.98,21.73,22.36,23.22,23.39
1930,22.88,22.57,22.23,21.64,19.18,19.02,17.99,19.33,21.06,22.32,22.85,23.97
1931,23.23,23.13,22.29,21.55,18.46,17.16,17.63,19.45,21.03,23.18,23.23,23.18
1932,22.87,23.11,22.20,21.50,18.54,17.78,19.11,19.37,21.98,22.80,23.27,22.94
1933,22.76,22.76,22.54,21.31,19.40,17.30,16.63,19.54,21.88,22.40,22.74,23.30
1934,22.41,21.68,22.51,20.40,19.55,18.99,18.11,19.38,21.04,22.36,22.95,23.28
1935,22.77,23.21,23.06,20.77,19.52,18.28,17.95,19.22,21.52,22.45,23.23,23.78
1936,23.23,22.92,22.51,22.09,20.28,17.99,17.96,18.97,22.33,23.59,23.00,23.23
1937,22.78,23.40,22.41,20.74,19.22,18.37,18.30,20.43,21.78,21.98,23.90,23.21
1938,22.99,23.01,22.54,20.51,19.38,17.90,18.21,19.05,21.81,22.21,23.27,23.06
1939,23.13,22.85,22.13,21.03,19.99,18.72,17.83,19.91,21.81,23.02,23.19,22.82
1940,22.81,22.61,22.19,21.66,20.31,18.73,19.34,19.63,22.34,22.81,23.31,23.61
1941,23.25,22.52,22.39,21.91,19.58,18.20,17.92,20.33,21.27,23.41,23.19,23.80
1942,23.77,22.47,21.89,20.81,19.55,17.11,17.02,19.92,22.30,22.40,22.93,22.88
1943,23.29,22.79,21.92,20.93,19.59,17.72,18.31,19.05,21.10,22.97,23.05,22.91
1944,22.33,22.75,21.73,20.92,19.71,18.49,17.79,20.40,23.20,23.09,22.54,23.12
1945,22.68,22.81,22.22,21.24,18.45,18.30,18.22,21.01,22.20,22.27,23.22,22.80
1946,23.11,23.06,22.15,21.17,19.33,18.04,17.14,19.11,21.65,22.38,23.05,22.49
1947,22.68,22.14,21.58,21.18,19.29,18.18,16.53,18.79,21.18,21.99,22.66,22.44
1948,22.89,22.19,21.18,20.78,19.29,18.32,18.16,19.64,22.33,21.96,22.31,22.28
1949,22.13,22.46,21.91,20.55,18.79,17.94,17.06,19.09,21.35,22.32,22.85,22.25
1950,21.81,22.23,21.01,20.71,19.31,17.88,17.72,19.60,21.47,21.64,22.39,22.71
1951,21.86,21.59,22.06,19.85,19.28,17.58,18.20,18.64,21.67,22.56,22.64,22.68
1952,22.70,22.03,22.74,20.10,19.43,15.93,17.34,19.95,20.76,22.43,22.46,22.70
1953,22.51,22.74,22.15,20.77,19.05,17.78,16.85,21.07,23.11,22.39,23.13,22.96
1954,22.36,22.04,21.40,21.18,18.33,17.65,17.36,19.59,21.75,22.26,23.27,23.37
1955,22.39,22.47,21.46,20.91,18.76,18.39,16.54,19.44,21.89,22.04,23.04,22.25
1956,21.42,22.22,22.83,20.54,17.66,16.08,16.77,18.13,21.51,21.97,21.81,22.73
1957,22.09,22.06,22.69,20.36,20.00,17.53,16.72,19.44,20.79,22.66,22.14,23.48
1958,22.90,23.51,22.39,21.36,18.71,19.00,18.38,18.41,21.59,22.18,22.43,22.69
1959,22.50,22.61,21.65,21.07,18.94,18.11,18.45,18.86,21.69,22.78,22.73,22.92
1960,22.24,22.18,21.94,20.44,17.51,17.72,17.55,18.91,21.45,22.01,22.15,22.89
1961,23.36,22.89,22.41,21.37,19.58,17.22,17.78,20.89,22.53,23.07,23.04,22.84
1962,22.48,22.74,21.93,20.62,19.03,16.94,16.45,19.37,22.44,22.10,23.84,22.35
1963,22.38,22.00,21.93,21.19,19.64,17.96,18.44,21.16,22.14,23.58,23.27,23.36
1964,23.18,23.03,21.59,21.73,19.21,17.47,17.12,20.05,21.27,21.80,22.19,22.74
1965,22.30,22.97,21.62,21.35,19.63,19.00,18.00,20.23,21.52,23.36,22.94,22.56
1966,23.64,23.07,22.58,21.24,19.16,18.48,18.04,18.79,21.78,23.11,23.46,23.15
1967,23.34,22.98,22.04,21.83,21.04,17.06,17.90,20.13,22.27,23.21,23.27,22.72
1968,22.67,22.09,21.80,20.21,18.46,18.25,18.54,20.09,21.46,23.25,23.48,23.53
1969,22.78,23.26,23.44,22.08,20.87,18.24,18.81,19.68,22.81,23.08,23.79,23.17
1970,23.17,22.68,21.97,21.75,19.91,18.63,17.89,19.78,22.56,23.27,23.53,22.91
1971,22.53,21.53,22.58,20.53,18.77,17.01,18.14,19.38,22.25,21.08,22.38,22.63
1972,22.10,22.20,22.23,20.52,20.27,18.88,18.57,19.17,21.81,22.80,23.34,22.88
1973,23.67,23.27,22.97,21.92,19.52,18.22,17.42,18.24,21.37,23.01,22.82,22.52
1974,21.99,21.45,21.65,20.26,19.39,17.88,18.20,18.87,21.16,21.34,23.21,22.34
1975,22.12,22.27,22.11,21.14,18.76,18.12,17.19,19.26,21.05,22.24,22.54,22.61
1976,21.72,22.24,21.52,20.25,18.37,17.33,17.90,18.96,20.47,22.54,22.28,22.93
1977,22.91,22.58,21.99,20.82,18.16,17.74,18.59,18.77,21.03,22.19,22.33,22.39
1978,22.02,22.47,22.06,20.39,18.89,17.66,18.52,18.49,21.11,22.62,22.89,22.02
1979,21.64,22.39,21.38,20.16,18.83,17.11,17.51,20.30,21.10,21.45,23.06,22.50
1980,22.58,22.60,22.05,21.25,19.41,17.54,17.92,19.23,20.41,22.18,22.74,22.87
1981,22.18,21.85,21.90,20.77,19.82,16.65,16.71,19.02,19.70,21.72,22.99,22.76
1982,22.30,22.43,21.44,20.56,18.64,17.49,18.31,19.60,21.11,22.54,22.77,22.96
1983,23.71,23.57,23.08,22.46,19.71,16.43,18.43,19.24,21.10,22.48,22.39,23.34
1984,21.64,21.96,22.11,20.55,20.67,17.52,18.33,18.70,21.72,23.47,22.15,22.45
1985,22.44,22.43,22.75,20.94,20.50,18.55,17.82,19.51,21.05,23.23,22.45,23.08
1986,23.08,22.16,21.87,21.77,19.96,19.10,17.13,20.00,20.82,22.25,23.38,23.01
1987,22.99,23.15,22.91,21.85,19.35,18.35,19.33,20.14,22.15,23.16,23.73,23.39
1988,23.51,22.86,22.64,21.28,18.88,17.26,17.46,21.27,22.14,23.32,23.77,23.11
1989,22.68,22.84,22.15,20.70,18.32,18.06,17.23,18.95,20.59,22.19,22.55,22.94
1990,22.56,22.16,22.36,21.39,18.97,17.17,16.33,19.58,20.93,23.02,23.37,23.19
1991,22.93,22.87,22.45,21.29,19.91,18.44,18.01,19.24,21.72,22.08,22.68,23.03
1992,22.38,22.21,22.09,21.25,20.43,18.89,16.81,18.92,20.73,22.37,22.17,22.87
1993,22.66,22.11,22.28,21.42,19.73,18.67,17.59,18.93,21.37,22.78,23.21,23.21
1994,23.04,22.86,22.28,21.57,20.69,19.04,18.11,20.07,22.12,23.03,23.42,23.00
1995,23.20,22.63,22.14,20.95,18.53,18.40,18.49,19.27,21.94,22.98,23.34,22.80
1996,22.41,22.45,21.93,21.38,19.25,16.93,17.85,19.50,20.16,22.82,22.19,22.01
1997,22.42,22.20,21.79,20.71,20.03,18.72,19.59,18.38,22.19,23.03,22.97,23.56
1998,24.08,23.44,22.82,21.88,19.82,17.99,18.91,19.28,20.30,22.39,21.96,23.10
1999,22.49,22.81,21.97,20.34,18.88,17.44,17.63,18.70,22.07,21.65,21.82,22.34
2000,22.79,22.40,21.76,21.77,19.23,17.33,16.39,19.70,21.38,22.10,22.66,22.55
2001,22.45,22.29,21.65,21.03,18.39,17.19,18.20,19.89,21.11,22.15,22.77,22.35
2002,22.74,21.93,22.32,21.21,19.99,17.09,17.55,19.72,21.02,22.70,22.65,22.83
2003,22.55,22.35,21.92,20.19,19.28,18.47,17.75,17.52,20.52,22.06,22.65,22.62
2004,22.70,22.09,22.54,21.77,18.07,17.73,17.67,19.59,21.37,23.14,23.19,22.95
2005,22.64,22.75,22.25,21.12,19.48,18.26,17.84,19.52,19.65,21.25,22.99,21.76
2006,22.93,22.67,22.44,20.83,19.68,18.12,18.76,18.62,20.49,22.45,22.39,22.89
2007,22.85,22.44,21.95,21.43,17.68,18.11,17.11,18.17,21.51,22.20,22.79,21.81
2008,21.78,21.88,21.35,20.14,17.54,16.26,18.88,19.35,20.19,22.72,23.20,22.23
2009,21.92,22.17,21.86,21.32,19.25,16.87,17.63,19.11,20.59,22.46,23.76,22.53
2010,22.62,23.33,22.97,21.42,18.34,18.48,17.28,18.79,21.40,21.81,22.14,22.95
2011,22.63,21.65,21.42,21.42,18.75,18.48,18.22,18.93,21.63,21.95,23.06,22.46
2012,22.21,21.98,21.45,21.27,18.84,17.62,17.53,19.21,21.92,23.06,22.81,22.73
2013,22.66,22.40,21.99,20.54,19.11,17.92,17.85,17.75,20.63,21.63,22.53,22.82
2014,21.87,21.93,21.65,21.51,19.03,18.52,17.84,20.43,22.79,23.19,23.28,22.94
2015,22.75,22.50,22.74,22.17,19.10,18.66,18.48,20.34,22.76,22.32,22.81,23.35
2016,23.56,23.47,22.56,21.85,18.36,16.80,18.54,19.59,20.67,23.28,22.00,22.93
2017,23.01,22.86,22.23,20.95,19.29,18.11,18.74,20.08,21.48,22.44,22.72,22.67
2018,22.17,22.26,21.90,21.95,19.55,16.48,17.71,17.99,21.53,23.07,22.60,22.37
2019,22.87,22.59,22.10,21.61,19.07,18.66,18.24,18.85,21.91,22.03,23.17,22.62
2020,23.29,22.79,23.61,21.92,19.06,18.48,18.28,20.06,21.61,23.63,23.44,22.95
