Variable:,tas
Country:,Botswana
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.56,25.72,24.15,21.87,17.25,14.15,13.67,17.24,20.09,23.65,25.03,25.50
1902,25.40,25.28,23.73,21.76,17.52,13.92,14.78,16.99,21.03,23.18,25.03,26.51
1903,26.36,25.74,24.44,21.92,18.17,13.92,14.19,17.15,20.54,23.71,25.00,25.63
1904,25.06,24.34,23.08,21.43,16.93,14.71,13.85,16.56,19.89,23.86,25.85,24.69
1905,26.15,25.09,23.21,21.44,17.08,14.41,13.86,16.85,21.36,25.21,25.60,26.45
1906,26.75,24.47,23.57,20.66,17.55,14.33,13.67,15.86,20.75,23.01,24.26,25.19
1907,25.37,24.60,23.80,20.59,16.78,13.94,12.96,15.90,20.49,23.35,24.60,24.87
1908,25.40,25.13,23.78,20.32,16.88,14.61,14.01,17.37,21.65,24.49,25.08,25.93
1909,25.58,24.65,23.14,20.51,17.09,14.04,14.25,17.23,20.75,23.76,25.22,25.82
1910,25.61,24.79,23.74,20.91,16.69,13.78,13.75,16.76,20.48,23.09,23.69,25.54
1911,25.39,24.98,22.99,20.42,16.45,12.96,13.12,16.11,20.01,24.75,25.54,27.48
1912,26.44,25.71,23.57,21.88,18.49,13.66,13.58,16.37,20.08,23.91,26.91,26.08
1913,26.58,25.58,23.74,21.46,17.40,14.03,14.34,17.40,20.81,24.16,25.49,27.22
1914,27.10,25.27,24.49,22.25,18.01,14.43,13.70,16.35,22.26,25.07,25.38,25.90
1915,26.45,25.18,23.74,21.37,16.87,14.29,14.10,16.92,20.81,24.18,25.53,26.10
1916,25.91,26.45,24.28,21.33,16.37,14.30,14.53,16.05,21.10,25.10,25.35,25.74
1917,25.79,25.45,23.89,21.02,17.41,14.46,13.76,16.01,20.45,24.60,25.29,24.93
1918,24.55,24.91,23.25,19.92,16.00,13.94,14.36,15.31,21.15,24.68,24.93,25.56
1919,25.91,25.12,23.66,22.00,16.09,14.34,14.60,16.40,20.56,23.94,24.90,25.88
1920,26.97,25.17,23.23,20.62,17.40,13.85,14.41,16.65,21.43,23.82,26.03,26.50
1921,26.29,25.27,24.19,21.08,16.90,14.56,13.00,15.92,20.41,24.34,24.63,25.27
1922,27.17,25.77,25.22,22.04,17.51,15.34,14.70,17.90,21.34,23.24,25.58,26.80
1923,25.64,25.00,23.97,20.78,17.19,14.96,14.28,17.49,20.81,25.06,26.74,26.57
1924,27.10,25.04,24.35,20.53,17.46,14.57,13.48,16.15,20.82,23.68,24.94,24.88
1925,25.27,24.96,23.54,21.36,16.37,14.12,13.44,16.45,19.33,23.37,25.81,27.10
1926,27.25,26.58,23.82,21.34,17.24,14.16,12.76,15.91,20.79,24.07,25.20,25.91
1927,26.88,25.61,24.01,21.75,16.86,13.68,14.00,16.17,21.21,23.87,25.58,26.32
1928,26.31,25.96,24.87,21.65,16.71,15.32,13.35,16.07,21.79,25.33,26.46,26.57
1929,26.17,25.65,23.18,20.79,17.98,15.08,14.13,16.14,21.75,25.52,26.39,25.35
