Variable:,tas
Country:,"Central African Republic"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.15,25.99,26.82,26.74,25.76,24.59,23.77,23.60,23.80,24.31,24.26,23.64
1902,24.20,25.96,26.92,26.73,25.88,24.66,23.78,23.73,23.89,24.31,24.26,23.64
1903,24.24,26.03,26.96,26.76,25.87,24.61,23.79,23.72,23.92,24.31,24.26,23.64
1904,24.20,25.98,26.88,26.73,25.85,24.65,23.73,23.65,23.92,24.31,24.26,23.64
1905,24.24,26.05,27.00,26.82,25.91,24.64,23.77,23.73,23.87,24.31,24.26,23.64
1906,24.19,26.01,27.00,26.84,25.87,24.66,23.80,23.69,23.92,24.31,24.26,23.64
1907,24.17,26.03,26.96,26.77,25.88,24.66,23.88,23.76,23.91,24.31,24.26,23.64
1908,24.17,25.98,26.95,26.77,25.88,24.57,23.79,23.60,23.86,24.31,24.26,23.64
1909,24.20,26.03,26.97,26.82,25.88,24.75,23.89,23.69,23.95,24.31,24.26,23.64
1910,24.06,25.99,26.64,26.64,25.83,24.75,23.78,23.68,23.80,24.25,24.07,23.45
1911,24.25,25.87,26.86,26.67,25.76,24.71,23.90,23.71,23.88,24.28,24.23,23.52
1912,24.11,26.02,26.91,26.71,25.89,24.74,23.78,23.68,23.83,24.17,24.11,23.52
1913,24.09,25.88,26.61,26.65,25.76,24.55,23.85,23.76,23.91,24.27,24.09,23.49
1914,24.37,26.03,27.00,26.70,25.83,24.70,23.80,23.71,23.93,24.31,24.28,23.64
1915,24.26,26.05,26.90,26.69,25.83,24.65,23.83,23.69,23.88,24.29,24.28,23.58
1916,23.96,25.99,26.85,26.75,25.77,24.60,23.75,23.66,23.81,24.15,24.23,23.52
1917,24.14,26.01,26.81,26.61,25.88,24.60,23.82,23.65,23.76,24.07,24.16,23.53
1918,24.05,25.93,27.17,26.62,25.79,24.64,24.08,23.66,24.14,24.48,24.58,24.11
1919,25.37,26.67,27.17,26.64,26.15,24.45,23.86,23.93,23.97,24.52,24.40,23.84
1920,24.20,25.76,26.31,26.48,25.46,24.51,23.58,23.16,23.24,24.04,24.31,23.48
1921,24.10,25.52,26.33,26.79,25.85,24.68,23.98,23.45,23.64,24.17,24.33,24.38
1922,24.49,25.78,26.29,26.60,25.41,24.55,23.37,22.96,23.26,23.98,24.50,23.68
1923,24.38,25.71,26.96,26.83,25.56,24.50,23.65,23.48,23.94,24.22,24.22,23.61
1924,24.76,26.46,27.53,26.96,25.59,24.69,24.06,23.48,23.47,24.24,24.26,24.11
1925,23.59,25.33,27.29,26.92,25.93,24.78,24.05,23.78,24.15,24.57,24.76,23.70
1926,24.17,26.09,26.74,26.63,26.26,24.83,24.01,24.14,24.22,24.36,24.47,23.88
1927,24.79,26.15,26.82,26.55,25.86,24.81,23.91,23.71,23.88,24.85,24.66,23.84
1928,25.38,26.39,27.48,26.90,25.92,24.61,24.03,23.69,24.00,24.31,24.34,24.09
1929,24.20,26.16,26.93,26.81,25.95,24.63,23.36,23.26,23.47,24.27,24.26,23.36
1930,23.89,26.38,26.60,26.69,25.78,24.43,23.57,23.61,24.00,24.43,24.13,24.08
1931,24.79,26.77,26.74,26.82,25.73,24.70,24.00,23.77,23.84,24.52,24.59,23.83
1932,24.55,26.44,27.12,26.86,25.75,24.67,24.15,23.75,23.88,24.60,24.51,23.59
1933,24.97,26.88,27.46,26.82,25.97,24.88,23.99,23.77,23.83,24.35,24.44,24.23
1934,24.46,25.74,27.14,26.92,25.94,24.59,24.05,23.73,24.03,24.71,24.54,23.89
1935,24.21,25.91,26.97,26.57,25.73,24.85,24.39,23.26,24.04,24.60,24.43,24.18
1936,24.25,26.17,27.26,27.02,26.52,24.80,23.87,23.64,23.82,24.60,24.92,24.34
1937,23.96,26.76,26.91,26.70,26.17,24.78,24.19,23.83,24.04,24.77,24.29,24.40
1938,24.95,26.79,26.75,27.62,26.18,24.38,23.77,23.51,23.90,24.42,24.73,24.49
1939,24.74,26.68,27.34,26.91,25.94,24.75,23.87,23.67,23.64,24.31,24.27,24.13
1940,24.74,26.17,26.29,26.80,25.67,24.91,23.90,23.80,24.04,24.66,24.16,24.17
1941,25.49,27.12,27.89,27.96,26.24,25.19,23.93,24.44,24.62,25.13,24.68,24.20
1942,25.31,27.63,27.54,27.71,26.24,25.14,23.87,23.51,24.13,24.75,24.92,23.90
1943,24.64,25.77,26.50,26.59,25.63,24.15,23.53,23.41,23.96,24.29,24.33,24.60
