Variable:,tas
Country:,"Congo (Democratic Republic of the)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.13,24.48,24.68,24.52,24.25,23.21,22.83,23.50,24.10,24.37,24.25,24.16
1902,24.13,24.46,24.69,24.54,24.58,23.67,22.86,23.76,24.10,24.31,24.08,23.84
1903,24.15,24.51,24.64,24.62,24.26,23.48,22.84,23.75,24.13,24.28,24.10,23.97
1904,24.09,24.41,24.62,24.52,24.27,23.52,22.82,23.76,24.20,24.21,24.09,23.93
1905,24.15,24.55,24.63,24.36,24.24,23.48,22.80,23.52,24.13,24.42,24.15,23.88
1906,24.11,24.45,24.39,24.33,24.13,23.23,22.79,23.31,23.94,24.21,24.31,24.08
1907,24.10,24.40,24.55,24.34,24.09,23.16,22.81,23.28,23.96,24.27,24.10,23.97
1908,24.12,24.46,24.60,24.56,24.22,23.31,22.84,23.52,24.09,24.29,24.12,23.95
1909,24.07,24.40,24.57,24.50,24.29,23.30,22.85,23.47,24.07,24.24,24.05,23.94
1910,24.06,24.39,24.60,24.43,24.25,23.35,22.79,23.47,23.99,24.18,24.04,23.98
1911,24.08,24.43,24.61,24.44,24.37,23.25,22.78,23.42,23.88,24.22,24.03,24.08
1912,24.11,24.48,24.62,24.57,24.29,23.34,22.77,23.46,24.05,24.22,24.11,23.92
1913,24.07,24.41,24.52,24.51,24.31,23.24,22.79,23.47,24.06,24.26,24.09,23.96
1914,24.14,24.45,24.71,24.52,24.15,23.32,22.79,23.49,24.10,24.27,24.11,23.98
1915,24.11,24.46,24.63,24.58,24.10,23.32,22.84,23.48,24.07,24.27,24.08,23.94
1916,24.09,24.47,24.58,24.45,24.18,23.29,22.78,23.44,24.03,24.29,24.05,23.93
1917,24.06,24.43,24.53,24.48,24.26,23.29,22.79,23.47,24.01,24.21,24.06,23.90
1918,24.01,24.39,24.60,24.37,24.05,23.28,22.82,23.38,24.02,24.26,24.04,23.92
1919,24.10,24.46,24.65,24.60,23.94,23.26,22.80,23.44,24.04,24.16,24.04,23.92
1920,24.14,24.44,24.62,24.40,24.15,23.27,22.78,23.43,24.10,24.25,24.14,23.95
1921,24.15,24.48,24.63,24.56,24.24,23.33,22.84,23.49,24.07,24.26,24.10,24.01
1922,24.23,24.54,24.66,24.57,24.22,23.42,22.82,23.55,24.07,24.16,24.12,24.03
1923,24.12,24.48,24.57,24.52,24.19,23.38,22.82,23.53,24.01,24.25,24.16,24.04
1924,24.21,24.52,24.74,24.52,24.34,23.38,22.81,23.47,24.06,24.24,24.10,23.97
