Variable:,tas
Country:,Spain
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.03,3.70,7.47,11.43,14.09,19.71,21.87,21.79,17.87,11.75,7.07,4.22
1902,4.83,6.27,9.22,11.52,12.72,17.02,21.69,21.26,17.65,12.13,8.88,5.52
1903,5.13,6.74,8.80,10.71,13.27,17.14,21.18,21.67,17.57,13.75,8.96,4.57
1904,4.80,6.47,7.16,11.33,15.52,18.71,22.21,22.02,17.20,13.98,8.04,6.73
1905,4.20,4.80,9.50,11.94,13.59,17.80,22.03,21.12,17.25,11.75,7.24,5.06
1906,5.65,4.94,7.75,9.50,13.70,18.96,21.39,22.50,18.50,13.57,8.30,4.63
1907,4.16,4.53,8.51,10.32,13.11,18.28,20.23,21.86,18.63,11.90,8.59,7.20
1908,5.45,5.99,6.82,9.16,15.48,17.37,21.14,21.22,18.45,14.16,9.49,6.14
1909,3.92,4.30,7.53,11.62,14.49,16.22,20.61,21.32,16.72,13.81,8.10,6.84
1910,4.99,7.09,7.39,10.09,12.54,17.88,20.47,20.67,17.44,13.27,8.60,6.48
1911,2.81,6.15,7.45,9.39,13.48,17.25,22.55,22.46,20.07,12.81,8.46,7.21
1912,5.61,8.36,9.82,10.48,15.35,17.50,19.84,19.67,16.66,12.28,7.36,4.92
1913,6.57,6.10,8.57,9.93,14.17,18.85,21.09,20.92,17.17,13.29,9.76,5.09
1914,3.30,7.14,9.06,11.39,14.00,16.58,20.31,20.83,18.86,13.12,7.86,5.95
1915,4.61,5.50,8.32,9.25,14.52,17.84,21.64,21.88,17.77,11.93,8.09,7.06
1916,5.54,5.93,7.10,10.45,14.48,17.32,20.86,21.78,17.55,13.66,8.49,6.21
1917,3.83,5.15,6.78,9.04,14.44,18.25,21.90,20.49,19.17,11.81,7.96,3.50
1918,5.47,6.15,7.37,9.13,14.37,18.26,21.38,21.84,17.95,10.92,7.98,6.35
1919,4.18,7.16,7.91,9.66,14.21,19.00,19.97,22.32,18.61,11.30,6.67,4.85
1920,5.50,6.93,8.54,11.29,15.32,18.23,20.74,20.55,18.17,12.55,7.84,5.04
1921,5.48,6.01,8.13,10.10,13.92,18.55,22.57,21.28,19.26,15.48,8.01,5.11
1922,4.92,6.73,7.73,10.31,16.01,17.65,20.76,21.46,16.60,13.32,8.06,4.76
1923,3.87,6.95,9.06,9.62,14.23,17.56,22.20,22.73,17.55,14.94,7.87,4.29
1924,5.39,4.19,8.74,11.15,16.10,19.08,21.94,20.77,18.06,13.65,8.67,5.73
1925,4.94,5.67,5.94,10.00,13.14,17.99,20.15,21.45,17.44,13.42,7.03,6.53
1926,5.97,9.06,9.58,11.19,13.18,17.68,21.75,22.61,21.03,15.17,8.44,4.42
1927,5.29,5.77,9.07,11.77,15.36,18.77,20.62,21.32,17.93,14.17,8.03,6.08
1928,4.87,7.31,8.85,10.26,12.83,18.77,23.65,22.42,19.11,13.63,8.32,4.61
1929,3.58,6.00,8.75,11.12,13.54,19.16,22.13,21.36,19.05,13.30,8.53,7.12
1930,6.28,4.24,8.89,9.65,14.40,17.97,20.87,22.26,19.08,15.11,9.97,6.80
1931,5.21,5.64,9.18,10.95,14.08,19.86,21.33,20.96,17.07,13.59,9.06,4.15
1932,4.79,3.90,8.76,9.51,13.82,17.21,20.01,22.08,18.77,12.69,9.22,6.50
1933,4.14,5.78,8.72,12.15,15.84,17.14,22.34,23.74,18.88,13.85,6.76,2.81
1934,3.85,4.79,7.00,9.87,15.18,19.40,22.68,20.57,19.09,14.10,6.60,7.85
1935,3.26,5.47,8.53,10.81,12.08,18.22,22.45,21.37,19.20,12.23,8.14,6.40
1936,7.60,7.49,8.38,10.57,12.37,16.43,20.52,21.82,19.01,11.57,7.66,4.50
1937,5.87,7.99,7.80,11.50,14.44,18.32,22.09,22.15,18.14,13.54,10.00,4.95
1938,4.55,4.96,8.99,10.66,13.21,19.70,21.29,20.99,17.11,13.91,10.14,5.26
1939,6.85,6.41,7.53,10.17,13.01,17.17,20.96,20.70,18.53,12.78,8.91,5.58
1940,4.53,7.84,10.33,11.41,14.20,17.63,20.69,21.92,18.33,12.13,8.28,3.72
1941,4.23,7.00,8.82,10.03,12.15,18.07,21.55,20.97,18.49,13.60,7.80,4.34
1942,4.30,3.96,9.51,11.27,14.86,19.10,21.51,21.28,18.63,15.07,8.43,5.95
1943,5.99,6.35,8.62,12.58,16.00,20.28,21.55,22.45,18.27,13.36,7.44,5.42
1944,4.61,4.16,7.95,12.19,15.34,18.86,21.57,22.28,18.61,11.70,8.85,4.85
1945,2.21,7.17,9.12,13.37,15.61,19.95,22.44,21.00,19.82,14.69,9.81,6.90
1946,3.91,6.93,8.26,10.95,13.00,18.09,22.33,21.87,19.34,14.63,8.69,4.47
1947,4.13,6.20,9.97,12.06,14.24,19.85,22.83,22.37,18.88,14.31,10.53,4.94
1948,6.59,7.08,10.57,11.11,14.29,19.24,20.86,21.84,18.88,13.97,9.95,7.03
1949,5.52,6.55,7.93,12.53,13.74,19.18,22.98,23.02,19.68,14.73,9.12,6.13
1950,4.96,7.42,8.79,10.42,14.29,19.47,23.23,21.98,18.42,13.85,10.27,4.38
1951,5.33,5.79,8.51,10.53,12.26,18.74,21.84,20.75,18.97,12.28,9.02,6.81
1952,3.75,5.70,10.69,11.23,15.06,20.24,22.08,21.55,16.89,14.47,9.15,5.96
1953,3.61,4.91,8.26,11.10,16.44,17.41,21.60,22.81,19.01,13.30,9.63,8.35
1954,3.84,4.96,8.54,9.94,14.22,18.01,20.86,20.57,18.77,14.78,10.63,6.69
1955,8.26,6.86,7.62,12.32,16.07,19.07,22.35,22.42,18.94,13.54,8.91,7.74
1956,6.12,3.56,8.28,10.01,14.52,17.54,21.07,20.91,18.25,13.53,6.88,4.49
1957,3.56,7.99,10.75,10.22,13.40,17.50,21.92,22.09,19.28,13.12,7.88,4.69
1958,5.37,7.91,8.81,9.96,15.57,17.86,21.09,21.59,20.31,13.67,8.71,7.14
1959,6.30,6.20,9.45,11.40,13.97,18.69,22.65,21.76,18.56,13.80,8.70,6.85
1960,5.41,7.04,9.69,11.34,15.53,19.89,21.47,21.15,18.33,12.14,9.36,4.64
1961,4.86,8.94,10.48,12.34,16.20,19.16,22.07,22.28,19.89,13.57,8.68,7.16
1962,6.33,6.12,7.88,11.05,14.55,18.82,21.72,22.85,19.91,15.10,6.82,4.58
1963,4.84,4.38,8.60,10.72,14.26,18.01,22.18,20.65,17.60,15.01,9.94,4.98
1964,4.54,7.17,8.35,10.62,17.19,19.05,22.70,22.17,20.97,13.04,8.74,4.61
1965,4.96,4.43,9.02,11.18,16.09,19.64,20.90,21.63,16.50,14.09,8.60,6.85
