Variable:,tas
Country:,Gabon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.44,25.67,25.27,25.71,25.01,23.71,22.91,22.90,24.12,25.19,25.09,25.02
1902,25.74,25.17,25.73,25.50,25.56,24.11,22.81,23.76,24.75,25.19,25.09,25.02
1903,26.14,26.05,26.22,25.92,25.29,23.52,23.01,23.67,25.03,25.19,25.09,25.02
1904,25.74,25.36,25.34,25.45,25.10,23.91,22.34,22.88,25.03,25.19,25.09,25.02
1905,26.14,26.25,26.59,26.43,25.71,23.81,22.72,23.86,24.45,25.19,25.09,25.02
1906,25.56,25.75,26.30,26.48,25.19,24.01,23.11,23.47,25.03,25.19,25.09,25.02
1907,25.38,25.95,25.99,25.85,25.48,24.01,23.99,24.14,24.93,25.19,25.09,25.02
1908,25.38,25.36,25.83,25.92,25.48,23.03,23.01,22.39,24.35,25.19,25.09,25.02
1909,25.74,25.95,26.08,26.37,25.63,25.06,24.08,23.37,25.41,25.19,25.09,25.02
1910,25.09,25.07,25.24,25.06,25.24,24.77,23.60,23.37,24.25,25.19,24.46,24.66
1911,25.28,25.45,26.40,26.22,26.02,24.48,23.60,23.67,24.75,25.19,25.09,25.02
1912,25.84,26.62,26.82,26.72,25.98,24.81,22.91,23.53,24.48,24.85,24.39,24.94
1913,25.48,25.17,25.51,25.66,25.40,23.42,22.81,23.57,24.35,25.19,25.09,25.02
1914,26.33,26.05,26.68,26.26,25.49,23.81,22.81,23.57,25.12,25.19,25.09,25.02
1915,25.74,25.95,25.98,26.03,25.29,24.11,23.01,23.37,24.55,25.19,25.09,25.02
1916,25.74,25.95,25.94,25.76,25.41,24.11,23.01,23.37,24.55,25.19,25.09,25.02
1917,25.74,25.95,25.88,25.94,25.58,24.11,23.01,23.37,24.55,25.19,25.09,25.02
1918,25.74,25.95,26.13,25.86,25.31,24.11,23.01,23.37,24.55,25.19,25.09,25.02
1919,25.74,25.95,26.13,26.12,24.99,24.11,23.01,23.37,24.55,25.19,25.09,25.02
1920,25.74,25.95,26.13,25.84,25.36,24.11,23.01,23.37,24.55,25.19,25.09,25.02
1921,25.74,25.95,25.94,25.94,25.46,24.11,23.01,23.37,24.55,25.19,25.09,25.02
1922,25.74,25.95,25.91,25.96,25.38,24.11,23.01,23.37,24.55,25.19,25.09,25.02
1923,25.74,25.95,25.86,25.94,25.34,24.11,23.01,23.37,24.55,25.19,25.09,25.02
