Variable:,tas
Country:,Guinea-Bissau
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.87,27.44,28.06,29.70,28.70,28.42,26.83,26.26,26.84,26.82,25.49,23.92
1902,25.06,27.04,27.51,29.12,29.35,28.84,27.12,26.56,26.44,27.88,27.33,23.55
1903,23.91,27.12,28.82,29.04,29.19,27.91,26.87,25.80,26.43,27.72,27.10,23.84
1904,24.12,26.49,27.57,29.13,28.90,27.79,26.43,25.56,26.45,26.97,27.04,24.05
1905,24.64,26.44,28.17,29.02,28.85,27.87,26.83,25.96,26.81,27.20,26.45,24.71
1906,25.33,26.77,29.22,29.32,29.10,28.45,26.33,25.46,26.44,27.08,26.94,23.65
1907,23.96,26.02,27.91,28.54,28.12,27.19,26.29,25.36,26.14,26.78,25.93,23.69
1908,24.46,26.30,28.22,29.54,29.29,28.32,26.83,25.66,26.55,27.28,27.04,25.09
1909,24.09,26.26,28.73,28.87,28.99,27.67,26.72,25.86,26.35,27.18,26.48,24.56
1910,23.62,26.99,28.31,29.49,29.31,28.19,26.28,25.76,26.74,27.48,27.84,24.71
1911,23.89,26.27,27.19,29.34,28.64,27.39,26.63,25.76,26.84,27.83,27.09,24.87
1912,24.58,26.94,28.99,29.11,29.38,28.36,26.83,25.86,26.64,27.18,27.14,24.31
1913,24.84,26.68,27.73,29.34,28.44,28.68,26.63,26.02,26.54,27.38,27.34,25.10
1914,24.55,26.05,28.15,28.93,29.60,27.53,26.23,25.56,26.34,27.39,26.53,24.21
1915,25.22,26.30,27.38,29.13,29.00,29.14,27.07,26.06,26.88,28.08,27.04,25.70
1916,24.97,26.34,27.33,28.23,28.74,28.12,26.13,25.96,26.44,27.73,26.74,24.60
1917,25.32,25.52,28.13,28.57,28.79,27.70,27.20,25.76,26.24,26.82,26.03,24.01
1918,25.17,26.71,27.77,28.72,29.37,28.53,26.37,25.73,26.74,27.18,26.30,24.10
1919,24.84,27.63,28.75,28.43,28.50,28.55,26.53,26.16,26.47,27.58,27.88,24.70
1920,24.92,25.77,27.48,29.17,28.90,27.92,25.83,25.56,26.04,27.18,26.28,24.50
1921,24.73,25.76,27.08,28.91,28.20,27.48,26.43,25.98,26.71,27.48,26.16,24.00
1922,24.08,26.39,27.17,27.36,28.30,27.09,25.82,25.66,25.94,26.98,26.88,24.46
1923,24.08,26.64,27.22,28.68,28.63,27.71,26.44,25.87,26.58,27.64,27.04,25.30
1924,24.14,25.00,28.20,28.86,29.40,27.52,26.33,25.60,25.74,26.48,26.66,23.70
1925,23.30,26.11,27.22,28.78,29.75,27.92,26.54,25.55,26.02,26.59,26.55,25.49
1926,25.06,26.29,27.77,28.93,28.95,28.35,26.44,26.15,26.47,27.48,26.56,25.10
1927,23.06,26.07,27.53,29.33,28.80,27.49,26.35,25.16,26.05,26.89,27.01,24.55
1928,23.39,24.99,27.03,28.04,28.55,28.30,26.57,25.22,26.09,26.81,26.00,24.17
1929,23.91,25.99,26.76,28.55,28.15,26.78,26.08,24.98,25.77,26.98,26.30,23.67
1930,23.19,24.73,25.93,28.07,27.67,27.05,26.39,25.29,26.39,27.25,27.36,24.31
1931,24.24,26.01,28.05,29.39,28.83,27.22,25.98,26.10,25.84,27.48,27.04,24.70
1932,24.13,26.10,27.22,29.35,28.97,28.23,26.25,25.45,26.44,27.49,26.93,23.68
1933,24.35,26.09,28.26,29.74,29.70,27.68,26.34,26.09,26.63,27.08,26.13,23.21
1934,23.85,25.58,27.32,28.99,28.70,27.72,26.56,25.67,26.64,27.16,26.30,24.00
1935,24.44,25.59,26.98,28.94,29.31,27.72,26.33,25.26,26.54,26.68,26.15,24.76
1936,25.04,25.90,28.02,29.10,28.52,28.00,26.24,25.35,26.34,27.45,26.44,25.07
1937,24.61,27.10,27.97,28.31,28.81,28.43,26.45,25.66,26.35,27.09,27.51,25.50
1938,24.44,27.20,28.02,29.23,29.80,28.47,26.33,25.81,26.24,26.99,27.09,23.90
1939,24.72,25.24,27.37,29.08,28.86,28.54,26.83,25.78,26.45,26.92,26.61,24.80
1940,24.34,25.60,28.19,28.43,29.42,28.97,26.93,25.76,26.84,26.57,26.34,24.10
1941,24.54,26.21,27.58,29.08,29.40,27.69,27.03,26.51,26.64,28.24,27.29,24.20
1942,23.65,25.34,27.83,29.26,29.09,28.40,26.66,25.38,26.76,27.41,27.09,24.20
1943,23.52,25.89,27.44,29.28,29.87,27.94,26.53,25.46,26.11,27.03,26.58,23.64
1944,24.28,26.25,27.82,29.23,29.98,28.77,27.23,26.16,26.54,27.46,27.44,24.07
1945,25.32,27.02,29.02,30.31,29.46,28.42,26.61,25.50,26.39,27.36,26.84,25.48
1946,23.63,26.34,28.57,28.92,29.49,28.21,26.63,25.66,26.25,26.90,26.87,24.20
